date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Ireland,monthly,1,,,,,,,2765.75,3093.0,3064.8,2653.0,3052.0,3062.5,3150.8,252.8,141362.0,288000.0,49.011,42.046,3945495.0,3884253.857,2417094.857,78.547,77.328,48.12,5023108.0,2653.0,3093.0,2894.138,2898.0
2022-01-16,Ireland,monthly,2,,,,,,,2880.5,3176.0,3170.6,2748.5,3031.25,3366.0,3146.6,245.6,143585.142,300582.0,47.736,37.276,3991522.0,3890443.429,2570947.143,79.463,77.451,51.182,5023108.0,2748.5,3176.0,2993.9,2901.0
2022-01-23,Ireland,monthly,3,,,,,,,2995.25,3259.0,3276.4,2844.0,3010.5,3669.5,3142.4,238.4,74342.001,185875.0,38.651,31.646,4029277.857,3895874.857,2663586.429,80.215,77.559,53.027,5023108.0,2844.0,3276.4,3093.662,2904.0
2022-01-30,Ireland,monthly,4,,,,,,,3110.0,3342.0,3382.2,2939.5,2989.75,3973.0,3138.2,231.2,34076.144,125635.0,27.004,17.59,4043811.143,3904865.714,2709399.286,80.504,77.738,53.939,5023108.0,2939.5,3382.2,3193.425,2907.0
2022-02-06,Ireland,monthly,5,,,,,,2967.0,3025.6,3425.0,3488.0,3035.0,2969.0,3774.25,3134.0,224.0,34895.858,120900.0,28.855,17.76,4051637.0,3929961.0,2740954.0,80.66,78.238,54.567,5023108.0,2967.0,3488.0,3188.12,2910.0
2022-02-13,Ireland,monthly,6,,,,,,2914.25,2941.2,3201.75,3328.5,2930.0,2889.25,3575.5,3043.5,258.25,37250.001,122130.0,30.508,18.269,4058878.571,3956148.0,2769218.0,80.804,78.759,55.13,5023108.0,2914.25,3328.5,3063.14,2785.25
2022-02-20,Ireland,monthly,7,,,,,,2861.5,2856.8,2978.5,3169.0,2825.0,2809.5,3376.75,2953.0,292.5,30057.213,116225.0,25.849,17.59,4064904.571,3975231.714,2796574.286,80.924,79.139,55.674,5023108.0,2825.0,3169.0,2938.16,2660.5
2022-02-27,Ireland,monthly,8,,,,,,2808.75,2772.4,2755.25,3009.5,2720.0,2729.75,3178.0,2862.5,326.75,27782.428,101377.0,27.527,17.59,4070184.143,3988705.429,2818474.143,81.029,79.407,56.11,5023108.0,2720.0,3009.5,2813.18,2535.75
2022-03-06,Ireland,monthly,9,,,,,,2756.0,2688.0,2532.0,2850.0,2615.0,2650.0,3075.4,2772.0,361.0,23149.999,81722.0,28.378,13.89,4073583.857,3998020.429,2839749.0,81.097,79.593,56.534,5023108.0,2532.0,2850.0,2688.2,2411.0
2022-03-13,Ireland,monthly,10,,,,,,2779.8,2727.5,2550.0,2886.0,2632.5,2699.6,2972.8,2827.75,334.75,24107.286,82729.0,29.111,11.11,4076138.857,4006737.143,2862180.571,81.148,79.766,56.98,5023108.0,2550.0,2886.0,2715.16,2493.0
2022-03-20,Ireland,monthly,11,,,,,,2803.6,2767.0,2568.0,2922.0,2650.0,2749.2,2870.2,2883.5,308.5,29246.144,93935.0,31.019,11.11,4077942.143,4013346.286,2882146.857,81.184,79.898,57.378,5023108.0,2568.0,2922.0,2742.12,2575.0
2022-03-27,Ireland,monthly,12,,,,,,2827.4,2806.5,2586.0,2958.0,2667.5,2798.8,2767.6,2939.25,282.25,47791.573,104100.0,45.55,11.11,4079710.357,4019074.643,2902212.929,81.219,80.012,57.777,5023108.0,2586.0,2958.0,2769.08,2657.0
2022-04-03,Ireland,monthly,13,,,,,,2851.2,2846.0,2604.0,2994.0,2685.0,2848.4,2665.0,2995.0,256.0,46446.001,112114.0,41.437,11.11,4082124.714,4024343.286,2930559.714,81.267,80.117,58.342,5023108.0,2604.0,2994.0,2796.04,2739.0
2022-04-10,Ireland,monthly,14,,,,,,2875.0,2767.75,2556.5,2914.4,2648.8,2898.0,2632.25,3002.25,275.5,25389.141,81011.0,31.223,11.11,4084045.714,4027736.286,2954665.714,81.305,80.184,58.821,5023108.0,2556.5,2914.4,2752.49,2726.75
2022-04-17,Ireland,monthly,15,,,,,,2775.75,2689.5,2509.0,2834.8,2612.6,3049.0,2599.5,3009.5,295.0,14522.287,63237.0,22.78,11.11,4085742.714,4030479.429,2975124.786,81.339,80.239,59.229,5023108.0,2509.0,2834.8,2684.33,2714.5
2022-04-24,Ireland,monthly,16,,,,,,2676.5,2611.25,2461.5,2755.2,2576.4,3200.0,2566.75,3016.75,314.5,9745.714,48199.0,20.449,11.11,4086974.143,4032779.429,2987165.714,81.363,80.285,59.468,5023108.0,2461.5,2755.2,2616.17,2702.25
2022-05-01,Ireland,monthly,17,,,,,,2577.25,2533.0,2414.0,2675.6,2540.2,3351.0,2534.0,3024.0,334.0,8713.572,46373.0,18.797,11.11,4088084.571,4035014.429,2999813.143,81.386,80.329,59.72,5023108.0,2414.0,2675.6,2548.01,2690.0
2022-05-08,Ireland,monthly,18,,,,,,2478.0,2524.2,2406.4,2596.0,2504.0,3502.0,2558.8,2986.8,310.6,5136.715,39903.0,12.894,11.11,4089129.429,4037234.143,3011492.571,81.406,80.373,59.953,5023108.0,2406.4,2596.0,2501.72,2676.2
2022-05-15,Ireland,monthly,19,,,,,,2493.25,2515.4,2398.8,2543.25,2541.0,3296.75,2583.6,2949.6,287.2,10762.285,41951.0,25.763,11.11,4090323.857,4039403.429,3025211.714,81.43,80.416,60.226,5023108.0,2398.8,2543.25,2498.34,2662.4
2022-05-22,Ireland,monthly,20,,,,,,2508.5,2506.6,2391.2,2490.5,2578.0,3091.5,2608.4,2912.4,263.8,15634.713,37874.0,41.456,11.11,4091354.571,4041104.143,3038509.429,81.451,80.45,60.491,5023108.0,2391.2,2578.0,2494.96,2648.6
2022-05-29,Ireland,monthly,21,,,,,,2523.75,2497.8,2383.6,2437.75,2615.0,2886.25,2633.2,2875.2,240.4,11678.997,36880.0,31.588,7.146,4092317.286,4042747.571,3051397.429,81.47,80.483,60.747,5023108.0,2383.6,2615.0,2491.58,2634.8
2022-06-05,Ireland,monthly,22,,,,,,2539.0,2489.0,2376.0,2385.0,2652.0,2681.0,2658.0,2838.0,217.0,5897.712,32746.0,17.889,5.56,4093124.857,4044169.857,3061867.0,81.486,80.511,60.956,5023108.0,2376.0,2652.0,2488.2,2621.0
