date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Israel,weekly,1,832.0,952.0,852.0,918.0,918.0,936.0,1012.0,1128.0,1011.0,970.0,1092.0,1211.0,,255.0,6704.856999999999,102140.71428571429,83.99857142857142,1730904.857142857,878.1428571428571,,9291000.0,6.564333377623306,18.629909128649842,0.00945154296784907,,832.0,1128.0,952.9,956.0
2021-01-17,Israel,weekly,2,844.0,916.0,901.0,892.0,904.0,1020.0,1019.0,1156.0,999.0,1077.0,1010.0,1263.0,,334.0,8129.163428571429,108854.42857142857,85.18999999999998,2072601.4285714286,170712.2857142857,,9291000.0,7.46792164109079,22.307624890446977,1.8373940987437918,,844.0,1156.0,972.8,929.0
2021-01-24,Israel,weekly,3,862.0,837.0,920.0,1023.0,948.0,988.0,945.0,1092.0,1016.0,1126.0,1099.0,1277.0,,414.0,7586.4081428571435,87616.14285714286,85.18999999999998,2476770.1428571427,834059.4285714285,,9291000.0,8.658687652144991,26.657734827867213,8.97706843796608,,837.0,1126.0,975.7,863.0
2021-01-31,Israel,weekly,4,852.0,932.0,910.0,978.0,839.0,1068.0,956.0,1073.0,1006.0,1143.0,1001.0,1297.0,,377.0,6417.224571428572,71724.14285714286,85.4542857142857,2933773.1428571427,1624766.5714285714,,9291000.0,8.94709133605142,31.576505681381366,17.487531712717374,,839.0,1143.0,975.7,920.0
2021-02-07,Israel,weekly,5,776.0,939.0,945.0,963.0,891.0,1071.0,1097.0,1030.0,1015.0,1067.0,991.0,1252.0,,325.0,6894.5101428571425,71632.85714285714,83.86428571428573,3365022.714285714,2013238.0,,9291000.0,9.624787308298266,36.21808970278457,21.668690130233557,,776.0,1097.0,979.4,927.0
2021-02-14,Israel,weekly,6,913.0,887.0,1018.0,970.0,891.0,1049.0,1077.0,1091.0,989.0,1054.0,944.0,1182.0,,267.0,5602.122571428571,68906.0,63.75285714285714,3751841.8571428573,2399059.4285714286,,9291000.0,8.130093999693164,40.38146439718929,25.821326321939818,,887.0,1091.0,993.9,915.0
2021-02-21,Israel,weekly,7,860.0,864.0,904.0,959.0,1029.0,1040.0,1007.0,908.0,1010.0,973.0,965.0,1089.0,,189.0,3974.2855714285715,57985.42857142857,62.96,4196315.428571428,2840506.285714286,,9291000.0,6.8539384278808955,45.16537970693605,30.572664790811388,,860.0,1040.0,955.4,900.0
2021-02-28,Israel,weekly,8,754.0,847.0,970.0,930.0,938.0,1019.0,905.0,991.0,974.0,1033.0,989.0,1009.0,,175.0,3703.551,57812.0,69.70571428571428,4615231.571428572,3267604.0,,9291000.0,6.406197675223137,49.67421775297139,35.16956194166397,,754.0,1033.0,936.1,834.0
2021-03-07,Israel,weekly,9,839.0,825.0,1004.0,887.0,911.0,984.0,896.0,980.0,934.0,1011.0,905.0,986.0,,139.0,3670.6325714285713,72168.85714285714,62.56428571428571,4876706.0,3649403.5714285714,,9291000.0,5.086172508125784,52.48849424173932,39.27891046634993,,825.0,1011.0,927.1,847.0
2021-03-14,Israel,weekly,10,807.0,844.0,951.0,921.0,986.0,1023.0,838.0,927.0,909.0,1003.0,930.0,1042.0,,120.0,2984.8774285714285,78367.28571428571,60.19,5045879.571428572,4070884.285714286,,9291000.0,3.8088309443991752,54.30932699847779,43.815351261589555,,807.0,1023.0,920.9,922.0
