date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Israel,weekly,1,832.0,952.0,852.0,918.0,918.0,936.0,1012.0,1128.0,1011.0,970.0,1092.0,1211.0,1069.0,25.0,69066.143,1396296.0,4.787,47.89,6623734.571,5970777.857,4498247.571,71.292,64.264,48.415,9291000.0,832.0,1128.0,952.9,1044.0
2022-01-16,Israel,weekly,2,844.0,916.0,901.0,892.0,904.0,1020.0,1019.0,1156.0,999.0,1077.0,1010.0,1263.0,1212.0,49.0,235786.571,2429500.0,9.61,42.687,6671398.571,6018350.429,4889525.571,71.805,64.776,52.626,9291000.0,844.0,1156.0,972.8,1163.0
2022-01-23,Israel,weekly,3,862.0,837.0,920.0,1023.0,948.0,988.0,945.0,1092.0,1016.0,1126.0,1099.0,1278.0,1392.0,75.0,360035.141,2739566.0,13.154,42.586,6691581.571,6063175.429,5038022.286,72.022,65.259,54.225,9291000.0,837.0,1126.0,975.7,1317.0
2022-01-30,Israel,weekly,4,852.0,932.0,910.0,978.0,839.0,1068.0,956.0,1073.0,1006.0,1143.0,1001.0,1298.0,1489.0,332.0,595274.571,2293874.0,26.129,43.909,6697510.571,6092131.143,5090360.857,72.086,65.57,54.788,9291000.0,839.0,1143.0,975.7,1157.0
2022-02-06,Israel,weekly,5,776.0,939.0,945.0,963.0,891.0,1071.0,1097.0,1030.0,1015.0,1067.0,991.0,1252.0,1565.0,455.0,423839.999,1560195.0,27.169,44.91,6700714.0,6111465.714,5134473.0,72.12,65.778,55.263,9291000.0,776.0,1097.0,979.4,1110.0
2022-02-13,Israel,weekly,6,913.0,887.0,1018.0,970.0,891.0,1049.0,1077.0,1091.0,989.0,1054.0,944.0,1182.0,1454.0,364.0,277501.286,1081304.0,25.605,38.387,6702599.143,6121049.286,5171286.714,72.141,65.881,55.659,9291000.0,887.0,1091.0,993.9,1090.0
2022-02-20,Israel,weekly,7,860.0,864.0,904.0,959.0,1029.0,1040.0,1007.0,908.0,1010.0,973.0,965.0,1089.0,1286.0,427.0,163960.144,745589.0,21.862,38.38,6703987.714,6125690.857,5197159.0,72.156,65.931,55.938,9291000.0,860.0,1040.0,955.4,859.0
2022-02-27,Israel,weekly,8,754.0,847.0,970.0,930.0,938.0,1019.0,905.0,991.0,974.0,1033.0,989.0,1011.0,1195.0,183.0,91796.0,556704.0,16.404,38.371,6704961.286,6128476.429,5211224.143,72.166,65.961,56.089,9291000.0,754.0,1033.0,936.1,1012.0
2022-03-06,Israel,weekly,9,839.0,825.0,1004.0,887.0,911.0,984.0,896.0,980.0,934.0,1011.0,905.0,986.0,1101.0,128.0,57555.429,440845.0,13.015,23.739,6705585.571,6130206.857,5219011.714,72.173,65.98,56.173,9291000.0,825.0,1011.0,927.1,973.0
2022-03-13,Israel,weekly,10,807.0,844.0,951.0,921.0,986.0,1023.0,838.0,927.0,909.0,1003.0,930.0,1042.0,1017.0,97.0,45327.999,393820.0,11.52,19.71,6706129.857,6131723.429,5224543.429,72.179,65.996,56.232,9291000.0,807.0,1023.0,920.9,920.0
2022-03-20,Israel,weekly,11,759.0,845.0,943.0,971.0,906.0,955.0,833.0,919.0,907.0,996.0,965.0,1063.0,1029.0,52.0,45696.429,370074.0,12.337,17.59,6706574.0,6132957.286,5229629.143,72.184,66.01,56.287,9291000.0,759.0,996.0,903.4,977.0
2022-03-27,Israel,weekly,12,757.0,825.0,952.0,833.0,911.0,830.0,789.0,885.0,868.0,943.0,893.0,998.0,1015.0,54.0,77785.857,450088.0,17.21,17.59,6707189.714,6134325.571,5239994.0,72.19,66.024,56.399,9291000.0,757.0,952.0,859.3,961.0
2022-04-03,Israel,weekly,13,788.0,886.0,878.0,808.0,842.0,935.0,810.0,903.0,872.0,925.0,983.0,922.0,1134.0,45.0,90427.429,469115.0,19.271,17.59,6707973.571,6135847.429,5257093.571,72.199,66.041,56.583,9291000.0,788.0,935.0,864.7,1089.0
2022-04-10,Israel,weekly,14,762.0,816.0,953.0,754.0,787.0,883.0,930.0,833.0,846.0,852.0,1029.0,1009.0,1057.0,54.0,65822.143,391518.0,16.738,17.59,6708721.857,6137093.571,5272316.429,72.207,66.054,56.746,9291000.0,754.0,953.0,841.6,1003.0
2022-04-17,Israel,weekly,15,732.0,827.0,833.0,760.0,852.0,811.0,830.0,856.0,790.0,892.0,878.0,928.0,891.0,46.0,40668.428,355814.0,11.42,17.59,6709355.429,6138155.286,5282491.429,72.213,66.066,56.856,9291000.0,732.0,892.0,818.3,845.0
2022-04-24,Israel,weekly,16,720.0,796.0,789.0,704.0,809.0,754.0,832.0,854.0,803.0,880.0,928.0,876.0,921.0,40.0,26239.0,329338.0,7.97,17.59,6709723.714,6138883.857,5287924.571,72.217,66.073,56.914,9291000.0,704.0,880.0,794.1,881.0
2022-05-01,Israel,weekly,17,694.0,698.0,766.0,790.0,790.0,822.0,834.0,912.0,799.0,894.0,901.0,895.0,923.0,28.0,23635.429,389318.0,6.068,17.59,6710185.286,6139896.857,5293287.571,72.222,66.084,56.972,9291000.0,694.0,912.0,799.9,895.0
2022-05-08,Israel,weekly,18,725.0,747.0,803.0,871.0,774.0,773.0,765.0,758.0,812.0,971.0,831.0,860.0,933.0,46.5,15754.429,329193.0,4.779,17.59,6710598.429,6140695.857,5297017.286,72.227,66.093,57.012,9291000.0,725.0,971.0,799.9,886.5
2022-05-15,Israel,weekly,19,694.0,773.0,732.0,769.0,770.0,848.0,746.0,848.0,797.0,847.0,857.0,907.0,864.0,86.0,15372.572,363314.0,4.234,17.59,6711028.286,6141498.571,5300594.571,72.231,66.102,57.051,9291000.0,694.0,848.0,782.4,778.0
2022-05-22,Israel,weekly,20,688.0,774.0,781.0,714.0,718.0,777.0,769.0,794.0,820.0,846.0,847.0,879.0,842.0,32.0,14849.142,328989.0,4.521,16.796,6711443.714,6142342.857,5304742.429,72.236,66.111,57.095,9291000.0,688.0,846.0,768.1,810.0
2022-05-29,Israel,weekly,21,635.0,743.0,720.0,752.0,749.0,822.0,780.0,736.0,818.0,838.0,961.0,839.0,877.0,7.0,13293.286,185889.0,7.461,14.81,6711816.286,6143104.143,5307817.571,72.24,66.119,57.129,9291000.0,635.0,838.0,759.3,870.0
2022-06-05,Israel,weekly,22,674.0,698.0,740.0,737.0,764.0,757.0,799.0,792.0,763.0,829.0,837.0,798.0,840.0,25.0,14231.572,118540.0,12.216,14.81,6712141.857,6143745.714,5310147.429,72.243,66.126,57.154,9291000.0,674.0,829.0,755.3,815.0
2022-06-12,Israel,weekly,23,697.0,753.0,702.0,710.0,751.0,725.0,748.0,820.0,820.0,758.0,810.0,785.0,863.0,18.0,25260.57,111538.0,22.406,14.81,6712428.0,6144384.857,5312602.0,72.247,66.133,57.18,9291000.0,697.0,820.0,748.4,845.0
2022-06-19,Israel,weekly,24,691.0,674.0,691.0,675.0,716.0,718.0,765.0,735.0,718.0,829.0,785.0,807.0,860.0,22.0,42385.714,150766.0,28.039,14.81,6712897.571,6145249.571,5317247.0,72.252,66.142,57.23,9291000.0,674.0,829.0,721.2,838.0
2022-06-26,Israel,weekly,25,731.0,745.0,709.0,744.0,725.0,751.0,736.0,740.0,821.0,771.0,792.0,867.0,832.0,36.0,62639.143,76017.0,32.312,14.81,6713441.857,6146130.143,5323962.857,72.257,66.151,57.302,9291000.0,709.0,821.0,747.3,796.0
2022-07-03,Israel,weekly,26,638.0,672.0,754.0,697.0,697.0,767.0,736.0,797.0,762.0,732.0,779.0,841.0,916.0,51.5,74476.857,,,14.81,6713928.571,6146947.714,5330887.143,72.263,66.16,57.377,9291000.0,638.0,797.0,725.2,864.5
2022-07-10,Israel,weekly,27,605.0,668.0,724.0,700.0,735.0,770.0,734.0,768.0,788.0,791.0,780.0,837.0,951.0,91.0,74346.572,,,14.81,6714337.571,6147721.0,5336126.857,72.267,66.169,57.433,9291000.0,605.0,791.0,728.3,860.0
2022-07-17,Israel,weekly,28,663.0,662.0,718.0,709.0,742.0,743.0,759.0,760.0,812.0,719.0,838.0,750.0,907.0,100.0,63800.572,,,14.81,6714716.857,6148475.429,5340226.143,72.271,66.177,57.477,9291000.0,662.0,812.0,728.7,807.0
2022-07-24,Israel,weekly,29,714.0,728.0,724.0,700.0,770.0,733.0,739.0,759.0,779.0,776.0,836.0,902.0,920.0,123.0,49365.715,,,14.81,6715065.429,6149293.571,5343613.429,72.275,66.185,57.514,9291000.0,700.0,779.0,742.2,797.0
2022-07-31,Israel,weekly,30,723.0,707.0,693.0,695.0,743.0,782.0,773.0,795.0,798.0,802.0,817.0,890.0,962.0,86.0,34589.428,,,14.81,6715342.429,6149951.429,5346028.357,72.278,66.193,57.54,9291000.0,693.0,802.0,751.1,876.0
2022-08-07,Israel,weekly,31,806.0,704.0,703.0,684.0,746.0,723.0,806.0,768.0,752.0,779.0,938.0,948.0,859.0,59.0,23276.144,,,14.81,6715738.0,6150506.571,5347725.714,72.282,66.199,57.558,9291000.0,684.0,806.0,747.1,800.0
2022-08-14,Israel,weekly,32,695.0,718.0,720.0,756.0,713.0,864.0,730.0,754.0,774.0,797.0,858.0,1021.0,,65.0,15525.713,,,14.81,6716169.286,6150972.143,5349130.571,72.287,66.204,57.573,9291000.0,695.0,864.0,752.1,
2022-08-21,Israel,weekly,33,752.0,744.0,721.0,773.0,711.0,742.0,775.0,747.0,780.0,789.0,944.0,1045.0,,24.0,10362.429,,,14.81,6716542.0,6151398.714,5350385.714,72.291,66.208,57.587,9291000.0,711.0,789.0,753.4,
2022-08-28,Israel,weekly,34,729.0,690.0,748.0,751.0,737.0,816.0,750.0,730.0,831.0,751.0,913.0,1047.0,,95.5,7420.713,,,14.81,6716900.786,6151860.357,5351703.286,72.295,66.213,57.601,9291000.0,690.0,831.0,753.3,
2022-09-04,Israel,weekly,35,762.0,688.0,704.0,735.0,740.0,747.0,750.0,754.0,799.0,841.0,899.0,1083.0,,30.0,6247.572,,,14.81,6717168.0,6152300.0,5352708.143,72.298,66.218,57.612,9291000.0,688.0,841.0,752.0,
2022-09-11,Israel,weekly,36,738.0,721.0,721.0,696.0,712.0,763.0,754.0,737.0,805.0,785.0,897.0,991.0,,36.0,6007.286,,,14.81,6717406.357,6152786.929,5353613.0,72.3,66.223,57.621,9291000.0,696.0,805.0,743.2,
2022-09-18,Israel,weekly,37,769.0,687.0,702.0,745.0,722.0,761.0,742.0,723.0,787.0,798.0,963.0,1033.0,,11.0,3940.715,,,14.81,6717551.25,6153156.75,5354232.75,72.302,66.227,57.628,9291000.0,687.0,798.0,743.6,
2022-09-25,Israel,weekly,38,722.0,702.0,799.0,737.0,782.0,800.0,768.0,737.0,798.0,758.0,1004.0,955.0,,,,,,,,,,,,,,702.0,800.0,760.3,
