date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Italy,weekly,1,,13118.0,13668.0,13095.0,13432.0,15178.0,13517.0,18072.0,16245.0,14168.0,13483.0,16831.0,15582.0,3423.0,114539.142,892588.0,12.846,80.29,440453.0,13.286,,0.73,0.0,,60367471.0,13095.0,18072.0,14499.222,13408.0
2021-01-17,Italy,weekly,2,,13104.0,13919.0,12855.0,13165.0,15811.0,13055.0,18990.0,15947.0,14863.0,13974.0,16921.0,16566.0,3422.0,115373.714,1097379.0,10.708,75.261,1019898.286,445.143,,1.689,0.001,,60367471.0,12855.0,18990.0,14634.333,13499.0
2021-01-24,Italy,weekly,3,,12946.0,14098.0,12898.0,12807.0,15480.0,13545.0,17973.0,15234.0,15325.0,14049.0,17209.0,16633.0,3284.0,92415.286,1618434.0,5.772,74.07,1332125.286,44331.571,,2.207,0.073,,60367471.0,12807.0,17973.0,14478.444,13925.0
2021-01-31,Italy,weekly,4,,13111.0,14099.0,12849.0,12862.0,14922.0,13388.0,16487.0,14698.0,15360.0,13989.0,16383.0,16977.0,3055.0,86418.287,1716738.0,5.034,74.07,1386007.857,413678.429,,2.296,0.685,,60367471.0,12849.0,16487.0,14197.333,13328.0
2021-02-07,Italy,weekly,5,,12870.0,14693.0,13450.0,13161.0,15228.0,12997.0,15747.0,14551.0,15807.0,13900.0,15657.0,16462.0,2757.0,83489.858,1719934.0,4.854,74.07,1436357.857,979546.857,,2.379,1.623,,60367471.0,12870.0,15807.0,14278.222,12900.0
2021-02-14,Italy,weekly,6,,13230.0,15672.0,13269.0,13102.0,15640.0,13168.0,14081.0,13844.0,15228.0,13537.0,14324.0,15204.0,2304.0,85056.142,1768343.0,4.812,74.07,1637744.857,1292001.143,,2.713,2.14,,60367471.0,13102.0,15672.0,14137.111,12020.0
2021-02-21,Italy,weekly,7,,13008.0,16114.0,13885.0,12981.0,15510.0,12685.0,13852.0,14034.0,15072.0,13641.0,14965.0,14261.0,2141.0,84302.57,1841474.0,4.578,77.78,2045896.714,1356637.143,,3.389,2.247,,60367471.0,12685.0,16114.0,14126.778,12824.0
2021-02-28,Italy,weekly,8,,12543.0,15370.0,14002.0,12606.0,15149.0,12709.0,13290.0,14026.0,14674.0,13257.0,14443.0,13410.0,1981.0,102604.286,1995174.0,5.133,77.78,2687879.714,1407051.286,,4.453,2.331,,60367471.0,12543.0,15370.0,13818.778,12462.0
2021-03-07,Italy,weekly,9,,12960.0,14199.0,13666.0,12745.0,14544.0,12772.0,13148.0,14406.0,14605.0,13696.0,14751.0,,2086.0,130934.001,2140646.0,6.112,78.309,3531621.857,1584674.0,,5.85,2.625,,60367471.0,12745.0,14605.0,13671.667,12665.0
2021-03-14,Italy,weekly,10,,12880.0,12914.0,13541.0,12624.0,14211.0,12845.0,12917.0,14197.0,13827.0,14706.0,15259.0,,2360.0,149865.429,2254443.0,6.646,79.63,4498923.0,1905259.0,,7.453,3.156,,60367471.0,12624.0,14211.0,13328.444,12899.0
2021-03-21,Italy,weekly,11,,12466.0,12814.0,12511.0,13050.0,13846.0,12887.0,12783.0,13306.0,13344.0,18234.0,15559.0,,2797.0,156453.857,2283142.0,6.852,79.63,5238042.714,2346728.857,,8.677,3.887,,60367471.0,12466.0,13846.0,13000.778,12762.0
2021-03-28,Italy,weekly,12,,11723.0,12281.0,12561.0,12649.0,13455.0,12525.0,12602.0,12417.0,12655.0,21929.0,15982.0,,2991.0,158316.715,2218141.0,7.137,79.63,6163706.286,2839247.571,,10.21,4.703,,60367471.0,11723.0,13455.0,12540.889,12991.0
