date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Jamaica,monthly,1,,,,,,,1566.25,1544.0,1591.0,1560.0,1547.0,,,,,,,,,,,,,,,1544.0,1591.0,1565.3125,
2020-01-12,Jamaica,monthly,2,,,,,,,1564.5,1553.0,1617.0,1605.75,1552.25,,,,,,,,,,,,,,,1553.0,1617.0,1585.0625,
2020-01-19,Jamaica,monthly,3,,,,,,,1562.75,1562.0,1643.0,1651.5,1557.5,,,,,,,,,,,,,,,1562.0,1651.5,1604.8125,
2020-01-26,Jamaica,monthly,4,,,,,,,1561.0,1571.0,1669.0,1697.25,1562.75,,,,,,,,,,,,,,,1561.0,1697.25,1624.5625,
2020-02-02,Jamaica,monthly,5,,,,,,1735.0,1571.8,1580.0,1695.0,1743.0,1568.0,,,,,,,,,,,,,,,1571.8,1743.0,1664.9599999999998,
2020-02-09,Jamaica,monthly,6,,,,,,1679.0,1582.6,1523.25,1651.5,1727.5,1528.25,,,,,,,,,,,,,,,1523.25,1727.5,1632.77,
2020-02-16,Jamaica,monthly,7,,,,,,1623.0,1593.4,1466.5,1608.0,1712.0,1488.5,,,,,,,,,,,,,,,1466.5,1712.0,1600.58,
2020-02-23,Jamaica,monthly,8,,,,,,1567.0,1604.2,1409.75,1564.5,1696.5,1448.75,,,,,,,,,,,,,,,1409.75,1696.5,1568.3899999999999,
2020-03-01,Jamaica,monthly,9,,,,,,1511.0,1615.0,1353.0,1521.0,1681.0,1409.0,,,,,,,,,,,,,,,1353.0,1681.0,1536.2,
2020-03-08,Jamaica,monthly,10,,,,,,1512.2,1611.75,1399.0,1558.25,1692.5,1426.6,,,,,,,,,,,,,,,1399.0,1692.5,1554.74,
2020-03-15,Jamaica,monthly,11,,,,,,1513.4,1608.5,1445.0,1595.5,1704.0,1444.2,,,,0.0,0.0,,47.779999999999994,,,,,,,2973462.0,1445.0,1704.0,1573.28,
2020-03-22,Jamaica,monthly,12,,,,,,1514.6,1605.25,1491.0,1632.75,1715.5,1461.8,,,,10.286,0.0,,68.65142857142857,,,,,,,2973462.0,1491.0,1715.5,1591.8200000000002,
2020-03-29,Jamaica,monthly,13,,,,,,1515.8,1602.0,1537.0,1670.0,1727.0,1479.4,,,,11.286,0.0,,74.73428571428572,,,,,,,2973462.0,1515.8,1727.0,1610.3600000000001,
2020-04-05,Jamaica,monthly,14,,,,,,1517.0,1535.25,1514.0,1645.8,1689.0,1497.0,,,1.0,20.143,258.0,6.886551282051282,77.64285714285714,,,,,,,2973462.0,1514.0,1689.0,1580.21,1496.0
2020-04-12,Jamaica,monthly,15,,,,,,1496.5,1468.5,1491.0,1621.6,1651.0,1487.0,,,2.5,17.571,444.0,4.022121483362085,78.7,,,,,,,2973462.0,1468.5,1651.0,1545.72,1484.5
2020-04-19,Jamaica,monthly,16,,,,,,1476.0,1401.75,1468.0,1597.4,1613.0,1477.0,,,4.0,64.144,511.0,12.267393487049906,80.02857142857144,,,,,,,2973462.0,1401.75,1613.0,1511.23,1473.0
2020-04-26,Jamaica,monthly,17,,,,,,1455.5,1335.0,1445.0,1573.2,1575.0,1467.0,,,5.5,140.859,913.0,17.06242783286423,85.18857142857144,,,,,,,2973462.0,1335.0,1575.0,1476.74,1461.5
2020-05-03,Jamaica,monthly,18,,,,,,1435.0,1366.0,1466.8,1549.0,1537.0,1457.0,,,7.0,147.285,2087.0,7.164755892880578,87.04,,,,,,,2973462.0,1366.0,1549.0,1470.76,1450.0
2020-05-10,Jamaica,monthly,19,,,,,,1428.5,1397.0,1488.6,1540.0,1519.25,1448.5,,,5.5,68.857,1859.0,3.528434838334707,87.04,,,,,,,2973462.0,1397.0,1540.0,1474.67,1443.0
2020-05-17,Jamaica,monthly,20,,,,,,1422.0,1428.0,1510.4,1531.0,1501.5,1440.0,,,4.0,26.571,1401.0,1.930607505562411,87.04,,,,,,,2973462.0,1422.0,1531.0,1478.58,1436.0
2020-05-24,Jamaica,monthly,21,,,,,,1415.5,1459.0,1532.2,1522.0,1483.75,1431.5,,,2.5,24.427,1582.0,1.5285152101479833,87.04,,,,,,,2973462.0,1415.5,1532.2,1482.49,1429.0
2020-05-31,Jamaica,monthly,22,,,,,,1409.0,1490.0,1554.0,1513.0,1466.0,1423.0,,,1.0,35.858000000000004,2304.0,1.578662308490928,86.64285714285714,,,,,,,2973462.0,1409.0,1554.0,1486.4,1422.0
2020-06-07,Jamaica,monthly,23,,,,,,1425.0,1489.5,1517.75,1502.75,1503.75,1434.2,,,1.0,21.285,2170.0,0.9632844766172004,77.38,,,,,,,2973462.0,1425.0,1517.75,1487.75,1433.2
2020-06-14,Jamaica,monthly,24,,,,,,1441.0,1489.0,1481.5,1492.5,1541.5,1445.4,,,1.0,16.713,1764.0,0.9404719336168775,73.15,,,,,,,2973462.0,1441.0,1541.5,1489.1,1444.4
2020-06-21,Jamaica,monthly,25,,,,,,1457.0,1488.5,1445.25,1482.25,1579.25,1456.6,,,1.0,29.715,3016.0,0.9710599236450236,64.81,,,,,,,2973462.0,1445.25,1579.25,1490.45,1455.6
