location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Japan,2020-01-31,1,monthly,,,,,,134256.0,124668.0,134174.0,137773.0,140223.0,132622.0,140844.0,0.0,1.14275,,2.78,,,126050796.0,,,,124668.0,140223.0,134218.8,132622.0
Japan,2020-02-29,2,monthly,,,,,,110042.0,114527.0,116534.0,122855.0,117312.0,117010.0,118984.0,6.0,6.517241379310345,60.72222222222222,21.80448275862069,,,126050796.0,10.732876928415939,,,110042.0,122855.0,116254.0,117004.0
Japan,2020-03-31,3,monthly,,,,,,113860.0,116072.0,120019.0,120575.0,118335.0,119161.0,123579.0,61.0,49.66816129032258,829.0967741935484,41.15870967741936,,,126050796.0,5.990634970041241,,,113860.0,120575.0,117772.2,119100.0
Japan,2020-04-30,4,monthly,,,,,,104886.0,105264.0,108422.0,108977.0,112790.0,113362.0,118169.0,414.0,395.6666666666667,3525.4666666666667,45.73966666666667,,,126050796.0,11.223100487878673,,,104886.0,112790.0,108067.8,112948.0
Japan,2020-05-31,5,monthly,,,,,,102731.0,103261.0,106278.0,106196.0,110055.0,108380.0,118634.0,417.0,96.57606451612904,4139.322580645161,41.90451612903226,,,126050796.0,2.333136947762997,,,102731.0,110055.0,105704.2,107963.0
Japan,2020-06-30,6,monthly,,,,,,94569.0,95443.0,97844.0,98406.0,102354.0,100423.0,108734.0,76.0,55.42373333333333,3900.1666666666665,27.776666666666664,,,126050796.0,1.421060638434255,,,94569.0,102354.0,97723.2,100347.0
Japan,2020-07-31,7,monthly,,,,,,99448.0,99203.0,102387.0,106782.0,106594.0,104849.0,112222.0,39.0,460.023064516129,8762.90322580645,27.99032258064516,,,126050796.0,5.249665010123321,,,99203.0,106782.0,102882.8,104810.0
Japan,2020-08-31,8,monthly,,,,,,101081.0,103353.0,103617.0,105948.0,111436.0,111591.0,117804.0,287.0,1091.1705806451614,20091.8064516129,32.70838709677419,,,126050796.0,5.430923213763917,,,101081.0,111436.0,105087.0,111304.0
Japan,2020-09-30,9,monthly,,,,,,98242.0,100240.0,100893.0,104679.0,107694.0,107468.0,115706.0,275.0,523.8191333333333,16865.466666666667,33.05866666666666,,,126050796.0,3.1058680064194286,,,98242.0,107694.0,102349.6,107193.0
Japan,2020-10-31,10,monthly,,,,,,107928.0,109608.0,110422.0,112320.0,114284.0,118038.0,,195.0,546.3318064516129,19460.451612903227,33.037741935483865,,,126050796.0,2.8073953129092253,,,107928.0,114284.0,110912.4,117843.0
Japan,2020-11-30,11,monthly,,,,,,106616.0,113856.0,115170.0,114473.0,119462.0,118455.0,,382.0,1450.5001333333335,24592.2,36.669999999999995,,,126050796.0,5.898212170254526,,,106616.0,119462.0,113915.4,118073.0
Japan,2020-12-31,12,monthly,,,,,,116851.0,122663.0,124807.0,123486.0,127236.0,133185.0,,1340.0,2648.0046129032257,40779.45161290323,46.89451612903226,,,126050796.0,6.493477739816779,,,116851.0,127236.0,123008.6,131845.0
