date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Japan,monthly,1,,,,,,,118805.25,124965.2,127400.2,123486.0,127236.0,135099.75,136019.2,110.2,14103.285,304516.0,4.089,47.22,101239929.0,99753248.857,1182415.429,81.677,80.478,0.954,123951696.0,118805.25,127400.2,123664.162,135909.0
2022-01-16,Japan,monthly,2,,,,,,,120759.5,127267.4,129993.4,127670.25,128582.5,137014.5,138012.4,188.4,72114.143,587826.0,11.83,47.22,101319737.143,99868779.429,1783599.571,81.741,80.571,1.439,123951696.0,120759.5,129993.4,126422.638,137824.0
2022-01-23,Japan,monthly,3,,,,,,,122713.75,129569.6,132586.6,131854.5,129929.0,138929.25,140005.6,266.6,214396.286,1057609.0,19.936,47.22,101414786.0,99953406.429,3093369.429,81.818,80.639,2.496,123951696.0,122713.75,132586.6,129181.112,139739.0
2022-01-30,Japan,monthly,4,,,,,,,124668.0,131871.8,135179.8,136038.75,131275.5,140844.0,141998.8,344.8,411714.715,1440331.0,28.437,47.22,101509835.286,99999418.857,5072100.857,81.895,80.676,4.092,123951696.0,124668.0,136038.75,131939.588,141654.0
2022-02-06,Japan,monthly,5,,,,,,134256.0,122639.8,134174.0,137773.0,140223.0,132622.0,135379.0,143992.0,423.0,580168.998,1560699.0,37.186,47.22,101603825.857,100077094.143,8352770.714,81.971,80.739,6.739,123951696.0,122639.8,140223.0,133813.16,143569.0
2022-02-13,Japan,monthly,6,,,,,,128202.5,120611.6,129764.0,134043.5,134495.25,128719.0,129914.0,142612.5,1531.0,644164.573,1477880.0,43.693,47.22,101688779.857,100160539.857,13501586.714,82.039,80.806,10.893,123951696.0,120611.6,134495.25,129423.37,141081.5
2022-02-20,Japan,monthly,7,,,,,,122149.0,118583.4,125354.0,130314.0,128767.5,124816.0,124449.0,141233.0,2639.0,579294.0,1231826.0,47.09,47.22,101759519.714,100246677.143,19467561.143,82.096,80.876,15.706,123951696.0,118583.4,130314.0,125033.58,138594.0
2022-02-27,Japan,monthly,8,,,,,,116095.5,116555.2,120944.0,126584.5,123039.75,120913.0,118984.0,139853.5,3747.0,510223.714,1207017.0,42.24,47.22,101830097.429,100338358.571,25918208.429,82.153,80.95,20.91,123951696.0,116095.5,126584.5,120643.79,136106.5
2022-03-06,Japan,monthly,9,,,,,,110042.0,114527.0,116534.0,122855.0,117312.0,117010.0,119903.0,138474.0,4855.0,455094.43,1161280.0,39.217,47.22,101899647.857,100424316.429,32674618.571,82.209,81.019,26.361,123951696.0,110042.0,122855.0,116254.0,133619.0
2022-03-13,Japan,monthly,10,,,,,,110805.6,114913.25,117405.25,122285.0,117567.75,117440.2,120822.0,138748.25,4754.75,399122.714,1072611.0,37.201,47.22,102020720.571,100493709.857,39356903.714,82.307,81.075,31.752,123951696.0,110805.6,122285.0,116595.37,133993.5
2022-03-20,Japan,monthly,11,,,,,,111569.2,115299.5,118276.5,121715.0,117823.5,117870.4,121741.0,139022.5,4654.5,354643.427,988145.0,35.883,47.22,102209830.286,100562740.429,45532416.286,82.459,81.131,36.734,123951696.0,111569.2,121715.0,116936.74,134368.0
2022-03-27,Japan,monthly,12,,,,,,112332.8,115685.75,119147.75,121145.0,118079.25,118300.6,122660.0,139296.75,4554.25,283464.428,805994.0,35.151,45.37,102424168.571,100631130.143,50651588.286,82.632,81.186,40.864,123951696.0,112332.8,121145.0,117278.11,134742.5
2022-04-03,Japan,monthly,13,,,,,,113096.4,116072.0,120019.0,120575.0,118335.0,118730.8,123579.0,139571.0,4454.0,311637.143,853320.0,36.541,45.37,102675638.571,100752592.429,55256302.571,82.835,81.284,44.579,123951696.0,113096.4,120575.0,117619.48,135117.0
2022-04-10,Japan,monthly,14,,,,,,113860.0,113370.0,117119.75,118255.4,117226.0,119161.0,122226.5,135128.0,3702.25,331676.715,895489.0,37.05,45.37,102867898.0,100929172.286,58629778.143,82.99,81.426,47.301,123951696.0,113370.0,118255.4,115966.23,131425.75
2022-04-17,Japan,monthly,15,,,,,,111616.5,110668.0,114220.5,115935.8,116117.0,117711.25,120874.0,130685.0,2950.5,344358.286,889475.0,38.742,45.37,102981604.0,101127977.714,62006738.0,83.082,81.587,50.025,123951696.0,110668.0,116117.0,113711.56,127734.5
2022-04-24,Japan,monthly,16,,,,,,109373.0,107966.0,111321.25,113616.2,115008.0,116261.5,119521.5,126242.0,2198.75,300380.429,993312.0,30.245,45.37,103117752.571,101361591.857,65234122.0,83.192,81.775,52.629,123951696.0,107966.0,115008.0,111456.89,124043.25
2022-05-01,Japan,monthly,17,,,,,,107129.5,105264.0,108422.0,111296.6,113899.0,114811.75,118169.0,121799.0,1447.0,271896.0,1907538.0,15.482,45.37,103258192.857,101554255.429,68161981.714,83.305,81.931,54.991,123951696.0,105264.0,113899.0,109202.22,120352.0
2022-05-08,Japan,monthly,18,,,,,,104886.0,104863.4,107993.2,108977.0,112790.0,113362.0,118262.0,121733.8,1368.0,201565.143,824192.0,28.57,45.37,103330574.857,101658147.429,69778099.857,83.364,82.014,56.295,123951696.0,104863.4,112790.0,107901.92,120365.8
2022-05-15,Japan,monthly,19,,,,,,104347.25,104462.8,107564.4,108281.75,112106.25,112116.5,118355.0,121668.6,1289.0,252048.999,843634.0,29.887,45.37,103423115.857,101794827.143,71388591.286,83.438,82.125,57.594,123951696.0,104347.25,112106.25,107352.49,120379.6
2022-05-22,Japan,monthly,20,,,,,,103808.5,104062.2,107135.6,107586.5,111422.5,110871.0,118448.0,121603.4,1210.0,254769.143,885808.0,28.765,45.37,103506782.571,101936400.857,73197353.429,83.506,82.239,59.053,123951696.0,103808.5,111422.5,106803.06,120393.4
2022-05-29,Japan,monthly,21,,,,,,103269.75,103661.6,106706.8,106891.25,110738.75,109625.5,118541.0,121538.2,1131.0,219733.715,862345.0,25.467,43.407,103578507.0,102018565.714,74682753.0,83.564,82.305,60.251,123951696.0,103269.75,110738.75,106253.63,120407.2
2022-06-05,Japan,monthly,22,,,,,,102731.0,103261.0,106278.0,106196.0,110055.0,108380.0,118634.0,121473.0,1052.0,154333.571,829795.0,18.671,43.08,103636841.429,102113814.143,75832200.714,83.611,82.382,61.179,123951696.0,102731.0,110055.0,105704.2,120421.0
2022-06-12,Japan,monthly,23,,,,,,101098.6,101306.5,104169.5,104248.5,108129.75,106788.6,116159.0,119080.75,953.5,114691.715,763790.0,15.043,40.701,103688049.429,102195092.143,76643517.143,83.652,82.448,61.833,123951696.0,101098.6,108129.75,103790.57,118127.25
2022-06-19,Japan,monthly,24,,,,,,99466.2,99352.0,102061.0,102301.0,106204.5,105197.2,113684.0,116688.5,855.0,100450.141,1516725.0,6.622,37.523,103726716.714,102267187.0,77392855.286,83.683,82.506,62.438,123951696.0,99352.0,106204.5,101876.94,115833.5
2022-06-26,Japan,monthly,25,,,,,,97833.8,97397.5,99952.5,100353.5,104279.25,103605.8,111209.0,114296.25,756.5,100303.857,285413.0,14.741,37.52,103762924.429,102327839.857,78175189.714,83.712,82.555,63.069,123951696.0,97397.5,104279.25,99963.31,113539.75
