date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Kazakhstan,monthly,1,,,,,,,10857.5,11387.0,10531.6,10269.0,11378.0,12931.75,13783.2,298.25,5631.715,185103.0,3.128,68.52,,,,,,,19397998.0,10269.0,11387.0,10761.275,12633.5
2021-01-17,Kazakhstan,monthly,2,,,,,,,11281.0,11757.0,10845.2,10802.25,11500.25,12780.5,13653.4,324.5,6103.713,269840.0,2.264,68.52,,,,,,,19397998.0,10802.25,11757.0,11171.362,12456.0
2021-01-24,Kazakhstan,monthly,3,,,,,,,11704.5,12127.0,11158.8,11335.5,11622.5,12629.25,13523.6,350.75,8320.428,262294.0,3.177,68.52,,,,,,,19397998.0,11158.8,12127.0,11581.45,12278.5
2021-01-31,Kazakhstan,monthly,4,,,,,,,12128.0,12497.0,11472.4,11868.75,11744.75,12478.0,13393.8,377.0,10369.0,250144.0,4.145,68.52,0.0,,,0.0,,,19397998.0,11472.4,12497.0,11991.538,12101.0
2021-02-07,Kazakhstan,monthly,5,,,,,,11759.0,11929.6,12867.0,11786.0,12402.0,11867.0,12155.0,13264.0,348.5,9083.857,249249.0,3.642,70.903,5090.909,,,0.026,,,19397998.0,11759.0,12867.0,12148.72,11806.5
2021-02-14,Kazakhstan,monthly,6,,,,,,11195.25,11731.2,12269.0,11471.25,11993.5,11610.75,11832.0,13398.0,320.0,7747.857,232660.0,3.327,71.3,13315.047,,,0.069,,,19397998.0,11195.25,12269.0,11732.04,11512.0
2021-02-21,Kazakhstan,monthly,7,,,,,,10631.5,11532.8,11671.0,11156.5,11585.0,11354.5,11509.0,13532.0,291.5,6166.143,228617.0,2.712,60.98,17315.308,,,0.089,,,19397998.0,10631.5,11671.0,11315.36,11217.5
2021-02-28,Kazakhstan,monthly,8,,,,,,10067.75,11334.4,11073.0,10841.75,11176.5,11098.25,11186.0,13666.0,263.0,5715.429,251449.0,2.273,59.26,23633.571,3891.737,,0.122,0.02,,19397998.0,10067.75,11334.4,10898.68,10923.0
2021-03-07,Kazakhstan,monthly,9,,,,,,9504.0,11136.0,10475.0,10527.0,10768.0,10842.0,11444.0,13800.0,715.0,5570.714,248872.0,2.239,58.731,40762.474,9155.947,,0.21,0.047,,19397998.0,9504.0,11136.0,10482.0,10729.0
2021-03-14,Kazakhstan,monthly,10,,,,,,9720.6,11147.0,10601.25,10775.0,10721.5,10375.8,11702.0,13109.0,1167.0,5617.143,225786.0,2.491,57.41,58792.263,15297.526,,0.303,0.079,,19397998.0,9720.6,11147.0,10593.07,10535.0
