location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Kuwait,2020-01-31,1,monthly,,,,,,596.0,619.0,686.0,708.0,735.0,599.0,,,,,,,,,,,,596.0,735.0,668.8,
Kuwait,2020-02-29,2,monthly,,,,,,504.0,522.0,530.0,575.0,593.0,607.0,,0.0,6.429,,13.89,,,4328553.0,,,,504.0,593.0,544.8,607.0
Kuwait,2020-03-31,3,monthly,,,,,,552.0,551.0,543.0,574.0,692.0,636.0,,0.0,6.921709677419355,,62.24516129032258,,,4328553.0,,,,543.0,692.0,582.4,636.0
Kuwait,2020-04-30,4,monthly,,,,,,523.0,495.0,514.0,550.0,608.0,702.0,,26.0,101.90480000000001,,89.97,,,4328553.0,,,,495.0,608.0,538.0,676.0
Kuwait,2020-05-31,5,monthly,,,,,,566.0,510.0,556.0,509.0,575.0,1347.0,,186.0,678.6497419354839,3570.3333333333335,96.22193548387096,,,4328553.0,19.008021900909828,,,509.0,575.0,543.2,1161.0
Kuwait,2020-06-30,6,monthly,,,,,,558.0,447.0,519.0,548.0,589.0,1235.0,,142.0,662.2953,3093.3,83.55199999999999,,,4328553.0,21.410639123266414,,,447.0,589.0,532.2,1093.0
Kuwait,2020-07-31,7,monthly,,,,,,509.0,518.0,544.0,505.0,577.0,1047.0,,93.0,675.4700322580645,3815.3548387096776,81.77645161290322,,,4328553.0,17.703989820420034,,,505.0,577.0,530.6,954.0
Kuwait,2020-08-31,8,monthly,,,,,,476.0,468.0,496.0,535.0,563.0,907.0,,84.0,591.4147096774193,3644.451612903226,74.07,,,4328553.0,16.227810724211793,,,468.0,563.0,507.6,823.0
Kuwait,2020-09-30,9,monthly,,,,,,481.0,472.0,529.0,526.0,559.0,878.0,,79.0,668.7143333333333,4304.9,74.07,,,4328553.0,15.53379482295369,,,472.0,559.0,513.4,799.0
Kuwait,2020-10-31,10,monthly,,,,,,490.0,476.0,511.0,583.0,562.0,906.0,,169.0,654.8985806451612,5180.129032258064,71.47870967741935,,,4328553.0,12.642514820903699,,,476.0,583.0,524.4,737.0
Kuwait,2020-11-30,11,monthly,,,,,,567.0,575.0,614.0,570.0,621.0,903.0,,101.0,599.1047666666667,6117.2,71.3,,,4328553.0,9.793774384794787,,,567.0,621.0,589.4,802.0
Kuwait,2020-12-31,12,monthly,,,,,,659.0,685.0,637.0,624.0,632.0,802.0,,54.0,260.4608064516129,5358.258064516129,71.3,,,4328553.0,4.8609231454613315,,,624.0,685.0,647.4,748.0
