date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Kyrgyzstan,monthly,1,,,,,,,3023.75,3235.0,2992.2,3041.0,3206.0,3941.25,,74.25,851.429,0.0,,41.67,,,,,,,6628347.0,2992.2,3235.0,3072.9875,3867.0
2021-01-17,Kyrgyzstan,monthly,2,,,,,,,3078.5,3213.0,2939.4,3052.0,3175.0,3623.5,,68.5,966.571,0.0,,41.67,,,,,,,6628347.0,2939.4,3213.0,3070.725,3555.0
2021-01-24,Kyrgyzstan,monthly,3,,,,,,,3133.25,3191.0,2886.6,3063.0,3144.0,3305.75,,62.75,795.001,0.0,,41.67,,,,,,,6628347.0,2886.6,3191.0,3068.4625,3243.0
2021-01-31,Kyrgyzstan,monthly,4,,,,,,,3188.0,3169.0,2833.8,3074.0,3113.0,2988.0,,57.0,746.857,0.0,,41.67,,,,,,,6628347.0,2833.8,3188.0,3066.2,2931.0
2021-02-07,Kyrgyzstan,monthly,5,,,,,,3051.0,3063.8,3147.0,2781.0,3085.0,3082.0,2896.25,,56.25,518.0,0.0,,38.49285714285714,,,,,,,6628347.0,2781.0,3147.0,3025.56,2840.0
2021-02-14,Kyrgyzstan,monthly,6,,,,,,2998.25,2939.6,3003.25,2727.0,2961.25,3036.5,2804.5,,55.5,458.572,0.0,,36.11,,,,,,,6628347.0,2727.0,3003.25,2925.87,2749.0
2021-02-21,Kyrgyzstan,monthly,7,,,,,,2945.5,2815.4,2859.5,2673.0,2837.5,2991.0,2712.75,,54.75,409.999,0.0,,36.11,,,,,,,6628347.0,2673.0,2945.5,2826.18,2658.0
2021-02-28,Kyrgyzstan,monthly,8,,,,,,2892.75,2691.2,2715.75,2619.0,2713.75,2945.5,2621.0,,54.0,367.858,0.0,,36.11,,,,,,,6628347.0,2619.0,2892.75,2726.4900000000002,2567.0
2021-03-07,Kyrgyzstan,monthly,9,,,,,,2840.0,2567.0,2572.0,2565.0,2590.0,2900.0,2724.2,,50.0,338.142,0.0,,46.76,,,,,,,6628347.0,2565.0,2840.0,2626.8,2674.2
2021-03-14,Kyrgyzstan,monthly,10,,,,,,2880.2,2601.5,2616.75,2645.5,2594.0,2798.0,2827.4,,46.0,301.85699999999997,0.0,,52.31,,,,,,,6628347.0,2594.0,2880.2,2667.59,2781.4
2021-03-21,Kyrgyzstan,monthly,11,,,,,,2920.4,2636.0,2661.5,2726.0,2598.0,2696.0,2930.6,,42.0,451.571,0.0,,52.31,,,,,,,6628347.0,2598.0,2920.4,2708.38,2888.6
2021-03-28,Kyrgyzstan,monthly,12,,,,,,2960.6,2670.5,2706.25,2806.5,2602.0,2594.0,3033.8,,38.0,608.7139999999999,0.0,,47.550000000000004,0.0,,,0.0,,,6628347.0,2602.0,2960.6,2749.17,2995.8
2021-04-04,Kyrgyzstan,monthly,13,,,,,,3000.8,2705.0,2751.0,2887.0,2606.0,2492.0,3137.0,,34.0,792.144,0.0,,33.53,286.22222222222223,,,0.004318153865846526,,,6628347.0,2606.0,3000.8,2789.96,3103.0
2021-04-11,Kyrgyzstan,monthly,14,,,,,,3041.0,2699.75,2721.75,2859.4,2650.2,2390.0,3108.75,,51.5,1073.429,0.0,,58.33,1137.6349206349207,,,0.017163176892140992,,,6628347.0,2650.2,3041.0,2794.4199999999996,3057.25
2021-04-18,Kyrgyzstan,monthly,15,,,,,,2962.5,2694.5,2692.5,2831.8,2694.4,2108.25,3080.5,,69.0,1466.429,0.0,,57.80142857142857,6768.75,,,0.10211822042509242,,,6628347.0,2692.5,2962.5,2775.14,3011.5
2021-04-25,Kyrgyzstan,monthly,16,,,,,,2884.0,2689.25,2663.25,2804.2,2738.6,1826.5,3052.25,,86.5,1844.143,0.0,,54.63,17662.5,,,0.26646915135855137,,,6628347.0,2663.25,2884.0,2755.86,2965.75
2021-05-02,Kyrgyzstan,monthly,17,,,,,,2805.5,2684.0,2634.0,2776.6,2782.8,1544.75,3024.0,,104.0,2025.429,0.0,,54.63,27444.793956043955,1650.6153846153848,,0.41405185872200045,0.024902368337315243,,6628347.0,2634.0,2805.5,2736.5800000000004,2920.0
2021-05-09,Kyrgyzstan,monthly,18,,,,,,2727.0,2697.0,2683.6,2749.0,2827.0,1263.0,2992.8,,124.0,2334.144,0.0,,54.63,33225.84615384615,4028.4615384615386,,0.5012689612334139,0.060776261992040226,,6628347.0,2683.6,2827.0,2736.7200000000003,2868.8
2021-05-16,Kyrgyzstan,monthly,19,,,,,,2767.75,2710.0,2733.2,2755.5,2820.75,1677.0,2961.6,,144.0,2277.0,0.0,,54.63,40778.80447139068,9011.75899962107,,0.6152183111625067,0.13595786399868728,,6628347.0,2710.0,2820.75,2757.44,2817.6
2021-05-23,Kyrgyzstan,monthly,20,,,,,,2808.5,2723.0,2782.8,2762.0,2814.5,2091.0,2930.4,,164.0,1979.572,0.0,,50.66142857142857,52963.51724137931,18855.172413793105,,0.7990456329667006,0.2844626633728304,,6628347.0,2723.0,2814.5,2778.16,2766.4
2021-05-30,Kyrgyzstan,monthly,21,,,,,,2849.25,2736.0,2832.4,2768.5,2808.25,2505.0,2899.2,,184.0,2009.0,0.0,,50.0,65288.58620689656,28845.862068965514,,0.98499046907014,0.4351893778187158,,6628347.0,2736.0,2849.25,2798.88,2715.2
2021-06-06,Kyrgyzstan,monthly,22,,,,,,2890.0,2749.0,2882.0,2775.0,2802.0,2919.0,2868.0,,204.0,2263.714,0.0,,53.83571428571429,77613.6551724138,38836.55172413793,,1.1709353051735794,0.5859160922646013,,6628347.0,2749.0,2890.0,2819.6,2664.0
2021-06-13,Kyrgyzstan,monthly,23,,,,,,2895.0,2766.5,2802.5,2729.75,2695.75,3047.0,2994.75,,201.0,2897.572,0.0,,54.63,88619.52638986628,49482.20267417312,,1.3369777772628122,0.7465240228698515,,6628347.0,2695.75,2895.0,2777.9,2793.75
2021-06-20,Kyrgyzstan,monthly,24,,,,,,2900.0,2784.0,2723.0,2684.5,2589.5,3175.0,3121.5,,198.0,4062.1440000000002,0.0,,54.63,94876.28571428571,62485.71428571428,,1.4313717389009013,0.9427043316488151,,6628347.0,2589.5,2900.0,2736.2,2923.5
2021-06-27,Kyrgyzstan,monthly,25,,,,,,2905.0,2801.5,2643.5,2639.25,2483.25,3303.0,3248.25,,195.0,5367.286,0.0,,55.424285714285716,111847.38175270108,74618.60144057623,,1.6874098738750563,1.1257497750280157,,6628347.0,2483.25,2905.0,2694.5,3053.25
2021-07-04,Kyrgyzstan,monthly,26,,,,,,2910.0,2819.0,2564.0,2594.0,2377.0,3431.0,3375.0,,192.0,8122.43,0.0,,57.410000000000004,168814.82352941178,82909.88235294117,,2.546861585994393,1.2508379895159558,,6628347.0,2377.0,2910.0,2652.8,3183.0
2021-07-11,Kyrgyzstan,monthly,27,,,,,,2915.0,2789.5,2622.8,2657.6,2513.4,3559.0,3490.0,,225.25,9506.429,0.0,,57.410000000000004,229115.29411764705,90881.0294117647,,3.4565977628758278,1.3710964349296244,,6628347.0,2513.4,2915.0,2699.66,3264.75
2021-07-18,Kyrgyzstan,monthly,28,,,,,,2957.75,2760.0,2681.6,2721.2,2649.8,3680.5,3605.0,,258.5,9168.428,0.0,,57.410000000000004,289415.76470588235,98852.17647058822,,4.366333939757263,1.4913548803432928,,6628347.0,2649.8,2957.75,2754.0699999999997,3346.5
2021-07-25,Kyrgyzstan,monthly,29,,,,,,3000.5,2730.5,2740.4,2784.8,2786.2,3802.0,3720.0,,291.75,8851.856,0.0,,57.410000000000004,349716.23529411765,106823.32352941178,,5.2760701166386985,1.6116133257569611,,6628347.0,2730.5,3000.5,2808.4800000000005,3428.25
2021-08-01,Kyrgyzstan,monthly,30,,,,,,3043.25,2701.0,2799.2,2848.4,2922.6,3923.5,3835.0,,325.0,7172.285,0.0,,57.410000000000004,423679.3781512605,114826.60924369749,,6.391931173055069,1.732356637992813,,6628347.0,2701.0,3043.25,2862.8900000000003,3510.0
2021-08-08,Kyrgyzstan,monthly,31,,,,,,3086.0,2689.0,2858.0,2912.0,3059.0,4045.0,3830.0,,300.6,5962.999,0.0,,57.410000000000004,518008.71428571426,150313.42857142858,,7.8150512380494614,2.2677362632256366,,6628347.0,2689.0,3086.0,2920.8,3529.4
2021-08-15,Kyrgyzstan,monthly,32,,,,,,3038.2,2677.0,2786.75,2845.5,2960.0,4150.4,3825.0,,276.2,3845.57,0.0,,57.410000000000004,574677.0,239728.57142857142,,8.669989667107048,3.616717281526924,,6628347.0,2677.0,3038.2,2861.4900000000002,3548.8
2021-08-22,Kyrgyzstan,monthly,33,,,,,,2990.4,2665.0,2715.5,2779.0,2861.0,4255.8,3820.0,,251.8,2351.715,0.0,,57.410000000000004,623446.4285714285,327620.4285714286,,9.405760268305636,4.942716918281866,,6628347.0,2665.0,2990.4,2802.18,3568.2
2021-08-29,Kyrgyzstan,monthly,34,,,,,,2942.6,2653.0,2644.25,2712.5,2762.0,4361.2,3815.0,,227.4,1630.286,0.0,,55.55714285714286,664917.1428571428,412893.9285714286,,10.031417227510008,6.229214139987369,,6628347.0,2644.25,2942.6,2742.87,3587.6
2021-09-05,Kyrgyzstan,monthly,35,,,,,,2894.8,2641.0,2573.0,2646.0,2663.0,4466.6,3810.0,,203.0,1239.429,0.0,,44.44,693815.4285714285,465535.4285714286,,10.467397506066423,7.02340158973917,,6628347.0,2573.0,2894.8,2683.56,3607.0
2021-09-12,Kyrgyzstan,monthly,36,,,,,,2847.0,2630.0,2566.5,2592.5,2647.2,4572.0,3684.25,,172.0,845.7139999999999,0.0,,44.44,726951.5714285715,509344.78571428574,,10.967313138985805,7.684340993528035,,6628347.0,2566.5,2847.0,2656.6400000000003,3512.25
2021-09-19,Kyrgyzstan,monthly,37,,,,,,2808.75,2619.0,2560.0,2539.0,2631.4,4281.75,3558.5,,141.0,599.858,0.0,,43.118571428571435,757491.4285714285,551827.2857142857,,11.428059342267817,8.325262478175716,,6628347.0,2539.0,2808.75,2631.63,3417.5
