date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Lebanon,monthly,1,,,,,,,2312.0,2222.4,1979.0,2016.0,2022.0,3453.0,,741.0,24356.999,,,81.083,,,,,,,5489744.0,1979.0,2312.0,2132.35,2712.0
2021-01-17,Lebanon,monthly,2,,,,,,,2328.0,2338.8,2053.0,2175.5,2211.25,3762.0,,1032.0,32307.571,,,82.409,,,,,,,5489744.0,2053.0,2338.8,2223.825,2730.0
2021-01-24,Lebanon,monthly,3,,,,,,,2344.0,2455.2,2127.0,2335.0,2400.5,4071.0,,1323.0,30734.429,,,85.19,,,,,,,5489744.0,2127.0,2455.2,2315.3,2748.0
2021-01-31,Lebanon,monthly,4,,,,,,,2360.0,2571.6,2201.0,2494.5,2589.75,4380.0,,1614.0,24037.572,,,85.19,,,,,,,5489744.0,2201.0,2571.6,2406.775,2766.0
2021-02-07,Lebanon,monthly,5,,,,,,2291.0,2364.2,2688.0,2275.0,2654.0,2779.0,4335.0,,1613.0,19481.571,,,89.947,,,,,,,5489744.0,2275.0,2688.0,2454.44,2722.0
2021-02-14,Lebanon,monthly,6,,,,,,2271.0,2368.4,2642.5,2251.0,2546.0,2705.5,4290.0,,1612.0,18972.999,,,91.797,,,,,,,5489744.0,2251.0,2642.5,2415.78,2678.0
2021-02-21,Lebanon,monthly,7,,,,,,2251.0,2372.6,2597.0,2227.0,2438.0,2632.0,4245.0,,1611.0,17516.999,,,92.59,,,,,,,5489744.0,2227.0,2597.0,2377.12,2634.0
2021-02-28,Lebanon,monthly,8,,,,,,2231.0,2376.8,2551.5,2203.0,2330.0,2558.5,4200.0,,1610.0,17683.715,,,92.59,,,,,,,5489744.0,2203.0,2551.5,2338.46,2590.0
2021-03-07,Lebanon,monthly,9,,,,,,2211.0,2381.0,2506.0,2179.0,2222.0,2485.0,4274.8,,1596.4,20512.715,,,92.59,,,,,,,5489744.0,2179.0,2506.0,2299.8,2678.4
2021-03-14,Lebanon,monthly,10,,,,,,2269.2,2368.0,2529.25,2247.75,2266.5,2432.4,4349.6,,1582.8,21919.285,,,92.59,78076.0,17060.8,,1.422,0.311,,5489744.0,2247.75,2529.25,2336.14,2766.8
2021-03-21,Lebanon,monthly,11,,,,,,2327.4,2355.0,2552.5,2316.5,2311.0,2379.8,4424.4,,1569.2,21697.715,,,92.59,89437.714,36178.286,,1.629,0.659,,5489744.0,2311.0,2552.5,2372.48,2855.2
