date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Liechtenstein,monthly,1,,,,,,,19.5,26.2,28.2,19.0,20.0,46.0,,7.2,363.43,1434.0,25.1983661921359,,26265.285714285714,25685.85714285714,13423.0,68.66023347698467,67.14554593730627,35.089141004862235,38254.0,19.0,28.2,23.225,
2022-01-16,Liechtenstein,monthly,2,,,,,,,24.0,26.4,27.4,18.0,19.75,41.0,,6.4,502.571,220.0,31.168636363636367,,26423.85714285714,25819.14285714286,15115.57142857143,69.07475595455938,67.49396888467312,39.513701648380376,38254.0,18.0,27.4,23.95,
2022-01-23,Liechtenstein,monthly,3,,,,,,,28.5,26.6,26.6,17.0,19.5,36.0,,5.6,624.857,0.0,,,26551.85714285714,25967.0,16563.571428571428,69.40936148600706,67.88048308673604,43.29892672288239,38254.0,17.0,28.5,24.675,
2022-01-30,Liechtenstein,monthly,4,,,,,,,33.0,26.8,25.8,16.0,19.25,31.0,,4.8,106.857,0.0,,,,,,,,,38254.0,16.0,33.0,25.4,
2022-02-06,Liechtenstein,monthly,5,,,,,,25.0,30.2,27.0,25.0,15.0,19.0,29.0,,,,,,,,,,,,,,15.0,30.2,24.44,
2022-02-13,Liechtenstein,monthly,6,,,,,,24.25,27.4,24.0,23.75,17.5,21.75,27.0,,,,,,,,,,,,,,17.5,27.4,23.380000000000003,
2022-02-20,Liechtenstein,monthly,7,,,,,,23.5,24.6,21.0,22.5,20.0,24.5,25.0,,,,,,,,,,,,,,20.0,24.6,22.32,
2022-02-27,Liechtenstein,monthly,8,,,,,,22.75,21.8,18.0,21.25,22.5,27.25,23.0,,,,,,,,,,,,,,18.0,22.75,21.259999999999998,
2022-03-06,Liechtenstein,monthly,9,,,,,,22.0,19.0,15.0,20.0,25.0,30.0,21.6,,,,,,,,,,,,,,15.0,25.0,20.2,
2022-03-13,Liechtenstein,monthly,10,,,,,,23.6,20.0,17.75,24.0,24.25,28.6,20.2,,,,,,,,,,,,,,17.75,24.25,21.919999999999998,
2022-03-20,Liechtenstein,monthly,11,,,,,,25.2,21.0,20.5,28.0,23.5,27.2,18.8,,,,,,,,,,,,,,20.5,28.0,23.64,
2022-03-27,Liechtenstein,monthly,12,,,,,,26.8,22.0,23.25,32.0,22.75,25.8,17.4,,,,,,,,,,,,,,22.0,32.0,25.36,
2022-04-03,Liechtenstein,monthly,13,,,,,,28.4,23.0,26.0,36.0,22.0,24.4,16.0,,,,,,,,,,,,,,22.0,36.0,27.080000000000002,
2022-04-10,Liechtenstein,monthly,14,,,,,,30.0,22.25,23.25,33.2,23.0,23.0,19.25,,,,,,,,,,,,,,22.25,33.2,26.339999999999996,
2022-04-17,Liechtenstein,monthly,15,,,,,,26.75,21.5,20.5,30.4,24.0,22.75,22.5,,,,,,,,,,,,,,20.5,30.4,24.630000000000003,
2022-04-24,Liechtenstein,monthly,16,,,,,,23.5,20.75,17.75,27.6,25.0,22.5,25.75,,,,,,,,,,,,,,17.75,27.6,22.919999999999998,
2022-05-01,Liechtenstein,monthly,17,,,,,,20.25,20.0,15.0,24.8,26.0,22.25,29.0,,,,,,,,,,,,,,15.0,26.0,21.21,
2022-05-08,Liechtenstein,monthly,18,,,,,,17.0,20.4,15.8,22.0,27.0,22.0,28.0,,,,,,,,,,,,,,15.8,27.0,20.44,
2022-05-15,Liechtenstein,monthly,19,,,,,,16.25,20.8,16.6,20.75,25.25,21.75,27.0,,,,,,,,,,,,,,16.25,25.25,19.93,
2022-05-22,Liechtenstein,monthly,20,,,,,,15.5,21.2,17.4,19.5,23.5,21.5,26.0,,,,,,,,,,,,,,15.5,23.5,19.419999999999998,
2022-05-29,Liechtenstein,monthly,21,,,,,,14.75,21.6,18.2,18.25,21.75,21.25,25.0,,,,,,,,,,,,,,14.75,21.75,18.91,
2022-06-05,Liechtenstein,monthly,22,,,,,,14.0,22.0,19.0,17.0,20.0,21.0,24.0,,,,,,,,,,,,,,14.0,22.0,18.4,
2022-06-12,Liechtenstein,monthly,23,,,,,,15.0,19.5,19.75,18.5,20.25,20.4,20.75,,,,,,,,,,,,,,15.0,20.25,18.6,
2022-06-19,Liechtenstein,monthly,24,,,,,,16.0,17.0,20.5,20.0,20.5,19.8,17.5,,,,,,,,,,,,,,16.0,20.5,18.8,
