location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Lithuania,2020-01-05,1,weekly,808.0,872.0,835.0,870.0,777.0,844.0,845.0,958.0,826.0,842.0,808.0,1179.0,,777.0,958.0,847.7,
Lithuania,2020-01-12,2,weekly,876.0,820.0,835.0,911.0,759.0,827.0,896.0,979.0,788.0,878.0,800.0,1174.0,,759.0,979.0,856.9,
Lithuania,2020-01-19,3,weekly,819.0,828.0,783.0,881.0,791.0,905.0,936.0,970.0,879.0,910.0,787.0,1082.0,,783.0,970.0,870.2,
Lithuania,2020-01-26,4,weekly,902.0,806.0,806.0,974.0,845.0,853.0,906.0,953.0,862.0,982.0,784.0,1083.0,,806.0,982.0,888.9,
Lithuania,2020-02-02,5,weekly,874.0,806.0,832.0,1008.0,770.0,881.0,913.0,958.0,911.0,895.0,762.0,963.0,,770.0,1008.0,884.8,
Lithuania,2020-02-09,6,weekly,827.0,858.0,878.0,934.0,922.0,873.0,891.0,923.0,957.0,854.0,764.0,983.0,,827.0,957.0,891.7,
Lithuania,2020-02-16,7,weekly,861.0,879.0,906.0,926.0,794.0,921.0,836.0,877.0,947.0,800.0,809.0,917.0,,794.0,947.0,874.7,
Lithuania,2020-02-23,8,weekly,844.0,907.0,849.0,921.0,808.0,918.0,862.0,905.0,965.0,831.0,707.0,,0.0,808.0,965.0,881.0,707.0
Lithuania,2020-03-01,9,weekly,789.0,843.0,829.0,867.0,769.0,922.0,826.0,828.0,964.0,783.0,806.0,,0.0,769.0,964.0,842.0,806.0
Lithuania,2020-03-08,10,weekly,877.0,938.0,742.0,751.0,775.0,911.0,820.0,790.0,903.0,783.0,773.0,,0.0,742.0,938.0,829.0,773.0
Lithuania,2020-03-15,11,weekly,755.0,897.0,821.0,887.0,822.0,896.0,826.0,763.0,858.0,754.0,773.0,,0.0,754.0,897.0,827.9,773.0
Lithuania,2020-03-22,12,weekly,789.0,825.0,782.0,852.0,865.0,909.0,766.0,765.0,802.0,780.0,802.0,,0.0,765.0,909.0,813.5,802.0
Lithuania,2020-03-29,13,weekly,757.0,776.0,770.0,918.0,834.0,859.0,824.0,771.0,800.0,678.0,815.0,,4.0,678.0,918.0,798.7,811.0
Lithuania,2020-04-05,14,weekly,791.0,860.0,760.0,980.0,814.0,849.0,790.0,757.0,856.0,726.0,774.0,,4.0,726.0,980.0,818.3,770.0
Lithuania,2020-04-12,15,weekly,797.0,845.0,864.0,896.0,819.0,867.0,804.0,761.0,790.0,723.0,802.0,,6.0,723.0,896.0,816.6,796.0
Lithuania,2020-04-19,16,weekly,790.0,866.0,871.0,852.0,852.0,890.0,793.0,749.0,785.0,709.0,783.0,,9.0,709.0,890.0,815.7,774.0
Lithuania,2020-04-26,17,weekly,829.0,792.0,784.0,817.0,799.0,791.0,773.0,778.0,701.0,773.0,785.0,,8.0,701.0,829.0,783.7,777.0
Lithuania,2020-05-03,18,weekly,754.0,761.0,812.0,807.0,774.0,783.0,767.0,742.0,739.0,714.0,769.0,,2.0,714.0,812.0,765.3,767.0
Lithuania,2020-05-10,19,weekly,842.0,805.0,720.0,810.0,726.0,796.0,757.0,793.0,777.0,691.0,717.0,,3.0,691.0,842.0,771.7,714.0
Lithuania,2020-05-17,20,weekly,837.0,792.0,775.0,831.0,754.0,763.0,723.0,762.0,726.0,707.0,732.0,,7.0,707.0,837.0,767.0,725.0
Lithuania,2020-05-24,21,weekly,734.0,776.0,802.0,737.0,828.0,802.0,813.0,771.0,708.0,788.0,715.0,,5.0,708.0,828.0,775.9,710.0
Lithuania,2020-05-31,22,weekly,819.0,786.0,737.0,764.0,703.0,780.0,843.0,691.0,730.0,708.0,745.0,,6.0,691.0,843.0,756.1,739.0
Lithuania,2020-06-07,23,weekly,771.0,836.0,777.0,741.0,671.0,850.0,727.0,723.0,622.0,788.0,734.0,,2.0,622.0,850.0,750.6,732.0
Lithuania,2020-06-14,24,weekly,738.0,743.0,808.0,663.0,708.0,740.0,664.0,703.0,688.0,763.0,818.0,,3.0,663.0,808.0,721.8,815.0
Lithuania,2020-06-21,25,weekly,772.0,665.0,741.0,758.0,655.0,749.0,760.0,723.0,662.0,660.0,760.0,,1.0,655.0,772.0,714.5,759.0
Lithuania,2020-06-28,26,weekly,742.0,739.0,705.0,754.0,758.0,691.0,860.0,700.0,648.0,746.0,808.0,,1.0,648.0,860.0,734.3,807.0
Lithuania,2020-07-05,27,weekly,798.0,714.0,747.0,703.0,773.0,827.0,688.0,668.0,623.0,677.0,688.0,,1.0,623.0,827.0,721.8,687.0
Lithuania,2020-07-12,28,weekly,982.0,759.0,726.0,689.0,739.0,762.0,675.0,711.0,691.0,671.0,700.0,,0.0,671.0,982.0,740.5,700.0
Lithuania,2020-07-19,29,weekly,873.0,759.0,713.0,690.0,693.0,689.0,723.0,697.0,733.0,681.0,760.0,,1.0,681.0,873.0,725.1,759.0
Lithuania,2020-07-26,30,weekly,736.0,693.0,750.0,738.0,777.0,723.0,785.0,741.0,719.0,727.0,744.0,,0.0,693.0,785.0,738.9,744.0
Lithuania,2020-08-02,31,weekly,741.0,650.0,742.0,745.0,848.0,727.0,690.0,647.0,807.0,611.0,713.0,,0.0,611.0,848.0,720.8,713.0
Lithuania,2020-08-09,32,weekly,762.0,704.0,671.0,767.0,783.0,822.0,665.0,707.0,736.0,665.0,726.0,,1.0,665.0,822.0,728.2,725.0
Lithuania,2020-08-16,33,weekly,748.0,717.0,715.0,670.0,708.0,753.0,715.0,680.0,678.0,661.0,743.0,,0.0,661.0,753.0,704.5,743.0
Lithuania,2020-08-23,34,weekly,695.0,709.0,711.0,645.0,691.0,657.0,760.0,595.0,694.0,680.0,764.0,,3.0,595.0,760.0,683.7,761.0
Lithuania,2020-08-30,35,weekly,754.0,637.0,709.0,686.0,683.0,704.0,735.0,728.0,623.0,715.0,708.0,,2.0,623.0,754.0,697.4,706.0
Lithuania,2020-09-06,36,weekly,788.0,687.0,671.0,717.0,730.0,697.0,709.0,688.0,627.0,662.0,664.0,,0.0,627.0,788.0,697.6,664.0
Lithuania,2020-09-13,37,weekly,795.0,760.0,739.0,744.0,760.0,654.0,653.0,679.0,645.0,635.0,715.0,,2.0,635.0,795.0,706.4,713.0
Lithuania,2020-09-20,38,weekly,757.0,741.0,728.0,708.0,730.0,733.0,732.0,714.0,658.0,641.0,710.0,,0.0,641.0,757.0,714.2,710.0
Lithuania,2020-09-27,39,weekly,769.0,774.0,704.0,782.0,725.0,726.0,743.0,723.0,682.0,708.0,776.0,,5.0,682.0,782.0,733.6,771.0
Lithuania,2020-10-04,40,weekly,835.0,719.0,760.0,773.0,732.0,741.0,760.0,768.0,701.0,714.0,730.0,,5.0,701.0,835.0,750.3,725.0
Lithuania,2020-10-11,41,weekly,876.0,758.0,725.0,811.0,740.0,738.0,795.0,742.0,729.0,678.0,776.0,,8.0,678.0,876.0,759.2,768.0
Lithuania,2020-10-18,42,weekly,874.0,799.0,822.0,798.0,792.0,859.0,814.0,773.0,711.0,732.0,825.0,,11.0,711.0,874.0,797.4,814.0
Lithuania,2020-10-25,43,weekly,816.0,827.0,820.0,775.0,829.0,857.0,810.0,777.0,753.0,661.0,836.0,,22.0,661.0,857.0,792.5,814.0
Lithuania,2020-11-01,44,weekly,781.0,740.0,809.0,766.0,818.0,806.0,794.0,788.0,706.0,671.0,733.0,,33.0,671.0,818.0,767.9,700.0
Lithuania,2020-11-08,45,weekly,810.0,777.0,759.0,731.0,759.0,739.0,822.0,732.0,686.0,720.0,872.0,,49.0,686.0,822.0,753.5,823.0
Lithuania,2020-11-15,46,weekly,759.0,838.0,801.0,735.0,708.0,815.0,802.0,784.0,681.0,657.0,942.0,,91.0,657.0,838.0,758.0,851.0
Lithuania,2020-11-22,47,weekly,776.0,771.0,759.0,758.0,787.0,757.0,776.0,770.0,727.0,702.0,1088.0,,144.0,702.0,787.0,758.3,944.0
Lithuania,2020-11-29,48,weekly,850.0,801.0,787.0,749.0,753.0,761.0,752.0,721.0,741.0,774.0,1093.0,,154.0,721.0,850.0,768.9,939.0
Lithuania,2020-12-06,49,weekly,880.0,779.0,750.0,749.0,772.0,786.0,752.0,790.0,843.0,681.0,1227.0,,197.0,681.0,880.0,778.2,1030.0
Lithuania,2020-12-13,50,weekly,865.0,809.0,838.0,764.0,787.0,773.0,759.0,693.0,773.0,726.0,1198.0,,249.0,693.0,865.0,778.7,949.0
Lithuania,2020-12-20,51,weekly,879.0,821.0,924.0,781.0,775.0,786.0,856.0,781.0,770.0,720.0,1358.0,,254.0,720.0,924.0,809.3,1104.0
Lithuania,2020-12-27,52,weekly,877.0,840.0,966.0,822.0,836.0,870.0,873.0,800.0,821.0,748.0,1375.0,,320.0,748.0,966.0,845.3,1055.0
Lithuania,2021-01-03,53,weekly,,,,,,,,,,,1228.0,,325.0,,,,903.0
