date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Lithuania,weekly,1,808.0,872.0,835.0,870.0,777.0,844.0,845.0,958.0,826.0,842.0,812.0,1179.0,956.0,265.0,14395.144,78163.0,18.631,74.07,17517.143,,,0.651,,,2689862.0,777.0,958.0,847.7,914.0
2021-01-17,Lithuania,weekly,2,876.0,820.0,835.0,911.0,759.0,827.0,896.0,979.0,788.0,878.0,803.0,1174.0,941.0,247.0,10512.001,73928.0,14.138,74.07,40517.571,1094.0,,1.506,0.041,,2689862.0,759.0,979.0,856.9,927.0
2021-01-24,Lithuania,weekly,3,819.0,828.0,783.0,881.0,791.0,905.0,936.0,970.0,879.0,910.0,787.0,1082.0,972.0,204.0,7241.142,61918.0,11.685,70.37,58076.286,7861.5,,2.159,0.292,,2689862.0,783.0,970.0,870.2,878.0
2021-01-31,Lithuania,weekly,4,902.0,806.0,806.0,974.0,845.0,853.0,906.0,953.0,862.0,982.0,786.0,1083.0,917.0,154.0,6272.715,60921.0,10.291,70.37,67726.714,16517.286,,2.518,0.614,,2689862.0,806.0,982.0,888.9,929.0
2021-02-07,Lithuania,weekly,5,874.0,806.0,832.0,1008.0,770.0,881.0,913.0,958.0,911.0,895.0,762.0,963.0,886.0,129.0,4898.714,54099.0,9.035,70.37,77405.286,37668.571,,2.878,1.4,,2689862.0,770.0,1008.0,884.8,834.0
2021-02-14,Lithuania,weekly,6,827.0,858.0,878.0,934.0,922.0,873.0,891.0,923.0,957.0,854.0,764.0,983.0,1036.0,133.0,3998.857,48343.0,8.273,66.67,91007.286,53731.714,,3.383,1.998,,2689862.0,827.0,957.0,891.7,850.0
2021-02-21,Lithuania,weekly,7,861.0,879.0,906.0,926.0,794.0,921.0,836.0,877.0,947.0,800.0,809.0,917.0,981.0,101.0,3525.001,45960.0,7.665,66.67,114148.0,63551.571,,4.244,2.363,,2689862.0,794.0,947.0,874.7,816.0
2021-02-28,Lithuania,weekly,8,844.0,907.0,849.0,921.0,808.0,918.0,862.0,905.0,965.0,831.0,707.0,774.0,947.0,73.0,3865.714,50543.0,7.642,66.67,151549.286,72958.0,2.857,5.634,2.712,0.0,2689862.0,808.0,965.0,881.0,701.0
2021-03-07,Lithuania,weekly,9,789.0,843.0,829.0,867.0,769.0,922.0,826.0,828.0,964.0,783.0,807.0,853.0,891.0,84.0,4563.713,52477.0,8.692,66.67,198467.143,81781.143,4.429,7.378,3.04,0.0,2689862.0,769.0,964.0,842.0,769.0
2021-03-14,Lithuania,weekly,10,877.0,938.0,742.0,751.0,775.0,911.0,820.0,790.0,903.0,783.0,773.0,893.0,897.0,68.0,3083.285,50759.0,6.077,66.67,244157.286,95298.571,5.857,9.077,3.543,0.0,2689862.0,742.0,938.0,829.0,825.0
2021-03-21,Lithuania,weekly,11,755.0,897.0,821.0,887.0,822.0,896.0,826.0,763.0,858.0,754.0,773.0,814.0,891.0,80.0,3514.001,53167.0,6.611,64.287,273082.286,118019.857,7.571,10.152,4.388,0.0,2689862.0,754.0,897.0,827.9,734.0
2021-03-28,Lithuania,weekly,12,789.0,825.0,782.0,852.0,865.0,909.0,766.0,765.0,802.0,780.0,804.0,822.0,887.0,75.0,4345.715,59187.0,7.325,64.684,310660.0,144170.429,11.143,11.549,5.36,0.0,2689862.0,765.0,909.0,813.5,747.0
2021-04-04,Lithuania,weekly,13,757.0,776.0,770.0,918.0,834.0,859.0,824.0,771.0,800.0,678.0,816.0,761.0,,59.0,5233.429,77992.0,6.74,66.67,365742.571,170881.571,14.286,13.597,6.353,0.001,2689862.0,678.0,918.0,798.7,702.0
2021-04-11,Lithuania,weekly,14,791.0,860.0,760.0,980.0,814.0,849.0,790.0,757.0,856.0,726.0,775.0,883.0,,77.0,6141.999,86007.0,7.151,61.904,444542.857,187403.714,19.571,16.527,6.967,0.001,2689862.0,726.0,980.0,818.3,806.0
2021-04-18,Lithuania,weekly,15,797.0,845.0,864.0,896.0,819.0,867.0,804.0,761.0,790.0,723.0,803.0,834.0,,73.0,7200.858,116467.0,6.183,56.353,542608.286,205455.857,26.714,20.172,7.638,0.001,2689862.0,723.0,896.0,816.6,761.0
2021-04-25,Lithuania,weekly,16,790.0,866.0,871.0,852.0,852.0,890.0,793.0,749.0,785.0,709.0,784.0,859.0,,88.0,7532.142,126234.0,5.968,42.59,610288.143,236681.429,34.714,22.688,8.799,0.001,2689862.0,709.0,890.0,815.7,771.0
2021-05-02,Lithuania,weekly,17,829.0,792.0,784.0,817.0,799.0,791.0,773.0,778.0,701.0,773.0,786.0,810.0,,102.0,7953.285,132440.0,6.009,38.89,674261.143,279392.0,48.857,25.067,10.387,0.002,2689862.0,701.0,829.0,783.7,708.0
2021-05-09,Lithuania,weekly,18,754.0,761.0,812.0,807.0,774.0,783.0,767.0,742.0,739.0,714.0,769.0,873.0,,84.0,8263.0,149511.0,5.534,41.67,746563.429,364066.286,71.429,27.755,13.535,0.003,2689862.0,714.0,812.0,765.3,789.0
2021-05-16,Lithuania,weekly,19,842.0,805.0,720.0,810.0,726.0,796.0,757.0,793.0,777.0,691.0,717.0,854.0,,69.0,8141.285,145511.0,5.595,41.67,845202.857,430378.429,88.0,31.422,16.0,0.003,2689862.0,691.0,842.0,771.7,785.0
2021-05-23,Lithuania,weekly,20,837.0,792.0,775.0,831.0,754.0,763.0,723.0,762.0,726.0,707.0,733.0,826.0,,82.0,6316.572,136829.0,4.617,45.241,917964.714,499934.571,115.286,34.127,18.586,0.004,2689862.0,707.0,837.0,767.0,744.0
2021-05-30,Lithuania,weekly,21,734.0,776.0,802.0,737.0,828.0,802.0,813.0,771.0,708.0,788.0,715.0,807.0,,72.0,4197.285,136545.0,3.075,53.967,987504.714,572935.429,148.286,36.712,21.3,0.006,2689862.0,708.0,828.0,775.9,735.0
2021-06-06,Lithuania,weekly,22,819.0,786.0,737.0,764.0,703.0,780.0,843.0,691.0,730.0,708.0,745.0,815.0,,50.0,2749.429,137118.0,2.002,44.44,1073783.857,661048.143,174.286,39.92,24.576,0.006,2689862.0,691.0,843.0,756.1,765.0
2021-06-13,Lithuania,weekly,23,771.0,836.0,777.0,741.0,671.0,850.0,727.0,723.0,622.0,788.0,735.0,805.0,,32.0,1678.285,124663.0,1.34,44.44,1152214.714,754959.0,202.714,42.835,28.067,0.008,2689862.0,622.0,850.0,750.6,773.0
2021-06-20,Lithuania,weekly,24,738.0,743.0,808.0,663.0,708.0,740.0,664.0,703.0,688.0,763.0,820.0,800.0,,27.0,955.715,93298.0,1.014,44.44,1197455.714,854110.429,236.714,44.517,31.753,0.009,2689862.0,663.0,808.0,721.8,773.0
2021-06-27,Lithuania,weekly,25,772.0,665.0,741.0,758.0,655.0,749.0,760.0,723.0,662.0,660.0,760.0,910.0,,14.0,423.142,65692.0,0.636,44.44,1222996.286,955912.714,270.0,45.467,35.538,0.01,2689862.0,655.0,772.0,714.5,896.0
