date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Malaysia,monthly,1,,,,,,,13203.0,13883.4,14674.4,15297.0,15599.0,14461.5,,155.5,15413.858,375240.0,4.155,67.13,,,,,,,32776195.0,13203.0,15297.0,14264.45,14306.0
2021-01-17,Malaysia,monthly,2,,,,,,,13229.0,13995.8,14745.8,15190.75,15706.25,14772.0,,200.0,19785.713,522708.0,3.781,74.401,,,,,,,32776195.0,13229.0,15190.75,14290.338,14572.0
2021-01-24,Malaysia,monthly,3,,,,,,,13255.0,14108.2,14817.2,15084.5,15813.5,15082.5,,244.5,24678.571,608258.0,4.057,77.31,,,,,,,32776195.0,13255.0,15084.5,14316.225,14838.0
2021-01-31,Malaysia,monthly,4,,,,,,,13281.0,14220.6,14888.6,14978.25,15920.75,15393.0,,289.0,26954.714,574368.0,4.726,77.31,,,,,,,32776195.0,13281.0,14978.25,14342.112,15104.0
2021-02-07,Malaysia,monthly,5,,,,,,14073.0,13201.8,14333.0,14960.0,14872.0,16028.0,14920.75,,310.5,31155.0,505282.0,6.168,77.31,,,,,,,32776195.0,13201.8,14960.0,14287.96,14610.25
2021-02-14,Malaysia,monthly,6,,,,,,13616.5,13122.6,14102.75,14719.0,14503.75,15477.75,14448.5,,332.0,24085.286,499507.0,4.837,77.31,,,,,,,32776195.0,13122.6,14719.0,14012.92,14116.5
2021-02-21,Malaysia,monthly,7,,,,,,13160.0,13043.4,13872.5,14478.0,14135.5,14927.5,13976.25,,353.5,19922.858,427455.0,4.71,77.31,,,,,,,32776195.0,13043.4,14478.0,13737.88,13622.75
2021-02-28,Malaysia,monthly,8,,,,,,12703.5,12964.2,13642.25,14237.0,13767.25,14377.25,13504.0,,375.0,18597.143,520376.0,3.575,77.31,7450.0,9.8,,0.023,0.0,,32776195.0,12703.5,14237.0,13462.84,13129.0
2021-03-07,Malaysia,monthly,9,,,,,,12247.0,12885.0,13412.0,13996.0,13399.0,13827.0,13732.8,,327.4,14484.572,462060.0,3.132,73.61,92528.571,46.429,,0.282,0.0,,32776195.0,12247.0,13996.0,13187.8,13405.4
2021-03-14,Malaysia,monthly,10,,,,,,12477.0,13328.75,13673.5,14243.25,13736.75,13996.8,13961.6,,279.8,11368.285,386135.0,2.941,73.61,247004.429,150.571,,0.754,0.0,,32776195.0,12477.0,14243.25,13491.85,13681.8
2021-03-21,Malaysia,monthly,11,,,,,,12707.0,13772.5,13935.0,14490.5,14074.5,14166.6,14190.4,,232.2,9438.43,373368.0,2.53,68.853,381992.857,4907.857,,1.165,0.015,,32776195.0,12707.0,14490.5,13795.9,13958.2
2021-03-28,Malaysia,monthly,12,,,,,,12937.0,14216.25,14196.5,14737.75,14412.25,14336.4,14419.2,,184.6,9311.714,380482.0,2.447,68.06,446669.571,88140.714,,1.363,0.269,,32776195.0,12937.0,14737.75,14099.95,14234.6
2021-04-04,Malaysia,monthly,13,,,,,,13167.0,14660.0,14458.0,14985.0,14750.0,14506.2,14648.0,,137.0,8703.0,366013.0,2.378,68.06,497860.0,237425.429,,1.519,0.724,,32776195.0,13167.0,14985.0,14404.0,14511.0
2021-04-11,Malaysia,monthly,14,,,,,,13397.0,14460.25,14273.0,14832.8,14625.6,14676.0,14571.25,,161.25,9362.43,377899.0,2.477,57.999,561704.143,362590.143,,1.714,1.106,,32776195.0,13397.0,14832.8,14317.73,14410.0
2021-04-18,Malaysia,monthly,15,,,,,,13125.25,14260.5,14088.0,14680.6,14501.2,14266.5,14494.5,,185.5,12171.572,421165.0,2.88,54.034,666063.0,435747.714,,2.032,1.329,,32776195.0,13125.25,14680.6,14131.11,14309.0
2021-04-25,Malaysia,monthly,16,,,,,,12853.5,14060.75,13903.0,14528.4,14376.8,13857.0,14417.75,,209.75,16496.429,496006.0,3.324,61.174,774432.286,489270.429,,2.363,1.493,,32776195.0,12853.5,14528.4,13944.49,14208.0
2021-05-02,Malaysia,monthly,17,,,,,,12581.75,13861.0,13718.0,14376.2,14252.4,13447.5,14341.0,,234.0,20310.143,536120.0,3.789,64.75,881869.714,549783.429,,2.691,1.677,,32776195.0,12581.75,14376.2,13757.87,14107.0
2021-05-09,Malaysia,monthly,18,,,,,,12310.0,13820.4,13901.0,14224.0,14128.0,13038.0,14505.6,,445.2,23498.144,558083.0,4.207,65.28,1031693.143,652489.143,,3.148,1.991,,32776195.0,12310.0,14224.0,13676.68,14060.4
2021-05-16,Malaysia,monthly,19,,,,,,12520.5,13779.8,14084.0,14271.25,14231.0,13250.0,14670.2,,656.4,28911.0,535036.0,5.45,76.194,1189868.571,736969.286,,3.63,2.248,,32776195.0,12520.5,14271.25,13777.31,14013.8
2021-05-23,Malaysia,monthly,20,,,,,,12731.0,13739.2,14267.0,14318.5,14334.0,13462.0,14834.8,,867.6,34986.572,643690.0,5.485,80.56,1390667.857,845796.143,,4.243,2.581,,32776195.0,12731.0,14334.0,13877.94,13967.2
2021-05-30,Malaysia,monthly,21,,,,,,12941.5,13698.6,14450.0,14365.75,14437.0,13674.0,14999.4,,1078.8,49269.285,837896.0,5.878,80.56,1742891.429,991967.143,,5.318,3.026,,32776195.0,12941.5,14450.0,13978.57,13920.6
2021-06-06,Malaysia,monthly,22,,,,,,13152.0,13658.0,14633.0,14413.0,14540.0,13886.0,15164.0,,1290.0,53172.572,786976.0,6.763,80.56,2215021.714,1129734.143,,6.758,3.447,,32776195.0,13152.0,14633.0,14079.2,13874.0
2021-06-13,Malaysia,monthly,23,,,,,,13086.4,13503.0,14473.5,14318.0,14588.5,13772.2,15073.5,,1561.0,44920.715,675910.0,6.638,67.06,2859892.571,1272496.143,,8.726,3.882,,32776195.0,13086.4,14588.5,13993.88,13512.5
2021-06-20,Malaysia,monthly,24,,,,,,13020.8,13348.0,14314.0,14223.0,14637.0,13658.4,14983.0,,1832.0,39362.286,601848.0,6.547,76.716,3842844.714,1539464.857,,11.724,4.697,,32776195.0,13020.8,14637.0,13908.56,13151.0
2021-06-27,Malaysia,monthly,25,,,,,,12955.2,13193.0,14154.5,14128.0,14685.5,13544.6,14892.5,,2103.0,37850.429,548259.0,6.906,78.7,5015827.286,1907866.714,,15.303,5.821,,32776195.0,12955.2,14685.5,13823.24,12789.5
2021-07-04,Malaysia,monthly,26,,,,,,12889.6,13038.0,13995.0,14033.0,14734.0,13430.8,14802.0,,2374.0,41902.858,574855.0,7.289,79.763,6126987.429,2416457.857,,18.693,7.373,,32776195.0,12889.6,14734.0,13737.92,12428.0
2021-07-11,Malaysia,monthly,27,,,,,,12824.0,13274.0,14118.6,14118.6,14757.2,13317.0,16723.75,,2744.0,50625.999,650742.0,7.768,80.56,7459998.429,3222542.143,,22.76,9.832,,32776195.0,12824.0,14757.2,13818.48,13979.75
2021-07-18,Malaysia,monthly,28,,,,,,12992.25,13510.0,14242.2,14204.2,14780.4,13402.5,18645.5,,3114.0,71056.858,849813.0,8.349,80.56,9229704.714,4237022.0,,28.16,12.927,,32776195.0,12992.25,14780.4,13945.81,15531.5
2021-07-25,Malaysia,monthly,29,,,,,,13160.5,13746.0,14365.8,14289.8,14803.6,13488.0,20567.25,,3484.0,87093.285,925427.0,9.412,84.529,11187173.429,5231823.0,,34.132,15.962,,32776195.0,13160.5,14803.6,14073.14,17083.25
2021-08-01,Malaysia,monthly,30,,,,,,13328.75,13982.0,14489.4,14375.4,14826.8,13573.5,22489.0,,3854.0,110967.285,1011405.0,10.967,85.19,13503647.857,6488695.714,,41.2,19.797,,32776195.0,13328.75,14826.8,14200.47,18635.0
2021-08-08,Malaysia,monthly,31,,,,,,13497.0,13966.8,14613.0,14461.0,14850.0,13659.0,22782.8,,4611.2,125136.144,1030778.0,12.137,82.869,15449607.286,8149143.143,,47.137,24.863,,32776195.0,13497.0,14850.0,14277.56,18171.6
2021-08-15,Malaysia,monthly,32,,,,,,13460.0,13951.6,14353.75,14415.25,14719.5,13717.2,23076.6,,5368.4,138279.999,1073380.0,12.885,81.544,16877301.714,10028250.429,,51.493,30.596,,32776195.0,13460.0,14719.5,14180.02,17708.2
2021-08-22,Malaysia,monthly,33,,,,,,13423.0,13936.4,14094.5,14369.5,14589.0,13775.4,23370.4,,6125.6,147577.715,1131332.0,13.049,73.144,18207284.286,12286819.143,,55.55,37.487,,32776195.0,13423.0,14589.0,14082.48,17244.8
2021-08-29,Malaysia,monthly,34,,,,,,13386.0,13921.2,13835.25,14323.75,14458.5,13833.6,23664.2,,6882.8,149954.571,1085035.0,13.825,67.59,19409220.857,14311736.571,,59.217,43.665,,32776195.0,13386.0,14458.5,13984.94,16781.4
2021-09-05,Malaysia,monthly,35,,,,,,13349.0,13906.0,13576.0,14278.0,14328.0,13891.8,23958.0,,7640.0,145617.286,1005890.0,14.476,67.59,20622983.857,15751080.857,13.0,62.921,48.056,0.0,32776195.0,13349.0,14328.0,13887.4,16318.0
2021-09-12,Malaysia,monthly,36,,,,,,13312.0,13686.0,13505.75,14062.75,14178.2,13950.0,22752.75,,8147.75,135289.001,1011545.0,13.38,66.001,21677397.143,17136806.143,59.0,66.138,52.284,0.0,32776195.0,13312.0,14178.2,13748.94,14605.0
2021-09-19,Malaysia,monthly,37,,,,,,13058.75,13466.0,13435.5,13847.5,14028.4,13774.75,21547.5,,8655.5,127374.144,890443.0,14.318,64.81,22347384.143,18427664.429,200.0,68.182,56.223,0.001,32776195.0,13058.75,14028.4,13567.23,12892.0
2021-09-26,Malaysia,monthly,38,,,,,,12805.5,13246.0,13365.25,13632.25,13878.6,13599.5,20342.25,,9163.25,108340.0,953308.0,11.437,64.017,23077167.429,19707443.429,211.0,70.408,60.127,0.001,32776195.0,12805.5,13878.6,13385.52,11179.0
2021-10-03,Malaysia,monthly,39,,,,,,12552.25,13026.0,13295.0,13417.0,13728.8,13424.25,19137.0,,9671.0,88244.857,952813.0,9.255,59.26,24116533.286,20864090.429,254.143,73.579,63.656,0.001,32776195.0,12552.25,13728.8,13203.81,9466.0
2021-10-10,Malaysia,monthly,40,,,,,,12299.0,13037.4,13481.8,13498.2,13579.0,13249.0,,,7897.5,68704.429,948548.0,7.24,59.26,24929121.857,21706701.0,826.143,76.059,66.227,0.003,32776195.0,12299.0,13579.0,13179.08,
