location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Malta,2020-01-05,1,weekly,,,,,,85.0,86.0,103.0,108.0,99.0,93.0,89.0,,,85.0,108.0,96.2,
Malta,2020-01-12,2,weekly,,,,,,93.0,69.0,98.0,74.0,87.0,93.0,84.0,,,69.0,98.0,84.2,
Malta,2020-01-19,3,weekly,,,,,,93.0,82.0,117.0,86.0,116.0,107.0,114.0,,,82.0,117.0,98.8,
Malta,2020-01-26,4,weekly,,,,,,72.0,71.0,107.0,82.0,105.0,88.0,90.0,,,71.0,107.0,87.4,
Malta,2020-02-02,5,weekly,,,,,,84.0,73.0,94.0,77.0,102.0,77.0,87.0,,,73.0,102.0,86.0,
Malta,2020-02-09,6,weekly,,,,,,78.0,102.0,84.0,85.0,87.0,90.0,84.0,0.0,5.56,78.0,102.0,87.2,90.0
Malta,2020-02-16,7,weekly,,,,,,93.0,63.0,77.0,99.0,78.0,72.0,82.0,0.0,5.5600000000000005,63.0,99.0,82.0,72.0
Malta,2020-02-23,8,weekly,,,,,,100.0,57.0,89.0,107.0,88.0,73.0,107.0,0.0,5.9557142857142855,57.0,107.0,88.2,73.0
Malta,2020-03-01,9,weekly,,,,,,95.0,53.0,63.0,90.0,107.0,68.0,107.0,0.0,10.712857142857143,53.0,107.0,81.6,68.0
Malta,2020-03-08,10,weekly,,,,,,75.0,64.0,78.0,91.0,88.0,70.0,104.0,0.0,11.11,64.0,91.0,79.2,70.0
Malta,2020-03-15,11,weekly,,,,,,95.0,60.0,60.0,77.0,72.0,90.0,89.0,0.0,39.68428571428571,60.0,95.0,72.8,90.0
Malta,2020-03-22,12,weekly,,,,,,81.0,66.0,71.0,76.0,87.0,104.0,,0.0,62.16857142857143,66.0,87.0,76.2,104.0
Malta,2020-03-29,13,weekly,,,,,,76.0,57.0,74.0,56.0,75.0,80.0,,0.0,72.88000000000001,56.0,76.0,67.6,80.0
Malta,2020-04-05,14,weekly,,,,,,69.0,68.0,68.0,79.0,75.0,75.0,,0.0,83.86285714285715,68.0,79.0,71.8,75.0
Malta,2020-04-12,15,weekly,,,,,,74.0,58.0,70.0,63.0,68.0,77.0,,3.0,87.03999999999999,58.0,74.0,66.6,74.0
Malta,2020-04-19,16,weekly,,,,,,65.0,58.0,69.0,68.0,75.0,93.0,,0.0,87.03999999999999,58.0,75.0,67.0,93.0
Malta,2020-04-26,17,weekly,,,,,,56.0,54.0,62.0,68.0,64.0,56.0,,1.0,87.03999999999999,54.0,68.0,60.8,55.0
Malta,2020-05-03,18,weekly,,,,,,63.0,57.0,66.0,73.0,72.0,74.0,,0.0,87.03999999999999,57.0,73.0,66.2,74.0
Malta,2020-05-10,19,weekly,,,,,,54.0,67.0,67.0,68.0,70.0,71.0,,1.0,87.03999999999999,54.0,70.0,65.2,70.0
Malta,2020-05-17,20,weekly,,,,,,49.0,61.0,58.0,71.0,63.0,71.0,,1.0,87.03999999999999,49.0,71.0,60.4,70.0
Malta,2020-05-24,21,weekly,,,,,,69.0,58.0,57.0,72.0,50.0,52.0,,0.0,85.45000000000002,50.0,72.0,61.2,52.0
Malta,2020-05-31,22,weekly,,,,,,54.0,67.0,65.0,69.0,73.0,67.0,,3.0,83.33,54.0,73.0,65.6,64.0
Malta,2020-06-07,23,weekly,,,,,,61.0,54.0,57.0,64.0,53.0,65.0,,0.0,67.85428571428572,53.0,64.0,57.8,65.0
Malta,2020-06-14,24,weekly,,,,,,66.0,53.0,53.0,75.0,74.0,57.0,,0.0,47.21999999999999,53.0,75.0,64.2,57.0
Malta,2020-06-21,25,weekly,,,,,,50.0,58.0,49.0,59.0,63.0,61.0,,0.0,47.21999999999999,49.0,63.0,55.8,61.0
Malta,2020-06-28,26,weekly,,,,,,50.0,43.0,65.0,64.0,72.0,47.0,,0.0,47.21999999999999,43.0,72.0,58.8,47.0
Malta,2020-07-05,27,weekly,,,,,,53.0,65.0,62.0,62.0,55.0,69.0,,0.0,39.15428571428571,53.0,65.0,59.4,69.0
Malta,2020-07-12,28,weekly,,,,,,58.0,73.0,42.0,60.0,68.0,62.0,,0.0,31.479999999999997,42.0,73.0,60.2,62.0
Malta,2020-07-19,29,weekly,,,,,,48.0,50.0,54.0,69.0,50.0,64.0,,0.0,31.479999999999997,48.0,69.0,54.2,64.0
Malta,2020-07-26,30,weekly,,,,,,68.0,51.0,62.0,65.0,65.0,62.0,,0.0,31.479999999999997,51.0,68.0,62.2,62.0
Malta,2020-08-02,31,weekly,,,,,,65.0,47.0,77.0,58.0,68.0,64.0,,0.0,33.068571428571424,47.0,77.0,63.0,64.0
Malta,2020-08-09,32,weekly,,,,,,58.0,57.0,74.0,54.0,72.0,63.0,,0.0,38.22714285714286,54.0,74.0,63.0,63.0
Malta,2020-08-16,33,weekly,,,,,,55.0,62.0,58.0,59.0,56.0,58.0,,0.0,39.81,55.0,62.0,58.0,58.0
