location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Mexico,2020-01-05,1,weekly,,,,,,15101.0,14299.0,14312.0,16721.0,17723.0,16421.0,36224.0,0.0,,,0.0,,,130262220.0,,,,14299.0,17723.0,15631.2,16421.0
Mexico,2020-01-12,2,weekly,,,,,,15449.0,14540.0,14583.0,16170.0,16602.0,16657.0,43364.0,0.0,,134.8,0.0,,,130262220.0,,,,14540.0,16602.0,15468.8,16657.0
Mexico,2020-01-19,3,weekly,,,,,,14820.0,14557.0,14163.0,16738.0,16252.0,16125.0,44604.0,0.0,,178.71428571428572,0.0,,,130262220.0,,,,14163.0,16738.0,15306.0,16125.0
Mexico,2020-01-26,4,weekly,,,,,,14172.0,14902.0,14118.0,16041.0,15864.0,15535.0,36570.0,0.0,,213.28571428571428,0.0,,,130262220.0,,,,14118.0,16041.0,15019.4,15535.0
Mexico,2020-02-02,5,weekly,,,,,,13628.0,15160.0,14444.0,15770.0,15862.0,15157.0,31757.0,0.0,,204.85714285714286,0.0,,,130262220.0,,,,13628.0,15862.0,14972.8,15157.0
Mexico,2020-02-09,6,weekly,,,,,,13914.0,15691.0,14330.0,15306.0,15689.0,15652.0,26791.0,0.0,,168.85714285714286,0.0,,,130262220.0,,,,13914.0,15691.0,14986.0,15652.0
Mexico,2020-02-16,7,weekly,,,,,,13550.0,15725.0,14165.0,14588.0,15445.0,14817.0,25264.0,0.0,,200.42857142857142,0.0,,,130262220.0,,,,13550.0,15725.0,14694.6,14817.0
Mexico,2020-02-23,8,weekly,,,,,,13799.0,15034.0,14278.0,14199.0,14755.0,14430.0,23960.0,0.0,,173.28571428571428,0.0,,,130262220.0,,,,13799.0,15034.0,14413.0,14430.0
Mexico,2020-03-01,9,weekly,,,,,,13054.0,14797.0,14456.0,14001.0,14639.0,13856.0,20407.0,0.0,,172.28571428571428,1.1914285714285715,,,130262220.0,,,,13054.0,14797.0,14189.4,13856.0
Mexico,2020-03-08,10,weekly,,,,,,12979.0,14351.0,13844.0,13552.0,14391.0,13965.0,19696.0,0.0,0.5428,203.14285714285714,2.78,,,130262220.0,0.26720112517580874,,,12979.0,14391.0,13823.4,13965.0
Mexico,2020-03-15,11,weekly,,,,,,12498.0,14025.0,13948.0,13497.0,13749.0,13794.0,18458.0,0.0,2.3470000000000004,235.42857142857142,2.78,,,130262220.0,0.9969053398058255,,,12498.0,14025.0,13543.4,13794.0
Mexico,2020-03-22,12,weekly,,,,,,13133.0,13418.0,13878.0,13254.0,13660.0,13114.0,17740.0,3.0,21.89785714285714,494.14285714285717,4.365714285714286,,,130262220.0,4.431483087597571,,,13133.0,13878.0,13468.6,13111.0
Mexico,2020-03-29,13,weekly,,,,,,12066.0,13411.0,13307.0,13191.0,13903.0,13634.0,16916.0,17.0,64.551,989.5714285714286,54.36571428571428,,,130262220.0,6.5231268947596375,,,12066.0,13903.0,13175.6,13617.0
Mexico,2020-04-05,14,weekly,,,,,,12477.0,12710.0,13470.0,13577.0,14049.0,13486.0,17295.0,74.0,133.22442857142858,1382.857142857143,82.41,,,130262220.0,9.633997933884297,,,12477.0,14049.0,13256.6,13412.0
Mexico,2020-04-12,15,weekly,,,,,,12202.0,12422.0,13210.0,12888.0,13718.0,13980.0,16848.0,202.0,278.6121428571429,1687.5714285714287,82.41,,,130262220.0,16.509650385168882,,,12202.0,13718.0,12888.0,13778.0
Mexico,2020-04-19,16,weekly,,,,,,11796.0,11939.0,13212.0,13080.0,13743.0,14937.0,15956.0,390.0,420.8164285714286,2285.5714285714284,82.41,,,130262220.0,18.411869491843245,,,11796.0,13743.0,12754.0,14547.0
Mexico,2020-04-26,17,weekly,,,,,,12403.0,12481.0,13363.0,12657.0,13718.0,17019.0,15423.0,665.0,747.9795714285714,2952.0,82.41,,,130262220.0,25.33806136275648,,,12403.0,13718.0,12924.4,16354.0
Mexico,2020-05-03,18,weekly,,,,,,11763.0,12723.0,13016.0,13040.0,13698.0,18773.0,15043.0,803.0,1097.1634285714285,3755.714285714286,82.41,,,130262220.0,29.21317611259034,,,11763.0,13698.0,12848.0,17970.0
Mexico,2020-05-10,19,weekly,,,,,,12059.0,12478.0,12868.0,12784.0,13792.0,20565.0,14648.0,1311.0,1481.2652857142857,4708.285714285715,82.41,,,130262220.0,31.46081983130044,,,12059.0,13792.0,12796.2,19254.0
Mexico,2020-05-17,20,weekly,,,,,,11732.0,12483.0,13361.0,13172.0,13590.0,22258.0,14181.0,1712.0,1849.857142857143,5876.571428571428,82.41,,,130262220.0,31.47851030727344,,,11732.0,13590.0,12867.6,20546.0
Mexico,2020-05-24,21,weekly,,,,,,11856.0,13019.0,13165.0,13125.0,14160.0,23177.0,14274.0,2217.0,2455.4284285714284,6892.142857142857,82.41,,,130262220.0,35.626487718934605,,,11856.0,14160.0,13065.0,20960.0
Mexico,2020-05-31,22,weekly,,,,,,11608.0,12222.0,12510.0,13567.0,13438.0,23103.0,13844.0,2536.0,3035.6734285714288,7747.571428571428,82.41,,,130262220.0,39.18225803477588,,,11608.0,13567.0,12669.0,20567.0
Mexico,2020-06-07,23,weekly,,,,,,11876.0,12011.0,12753.0,13025.0,13382.0,24037.0,14047.0,3769.0,3480.3265714285712,8566.857142857143,72.69,,,130262220.0,40.62547692102454,,,11876.0,13382.0,12609.4,20268.0
Mexico,2020-06-14,24,weekly,,,,,,11709.0,11994.0,12724.0,12451.0,13398.0,24600.0,14151.0,3442.0,4037.897857142857,9624.857142857143,71.89285714285714,,,130262220.0,41.952808204945526,,,11709.0,13398.0,12455.2,21158.0
Mexico,2020-06-21,25,weekly,,,,,,11510.0,12117.0,13154.0,12932.0,13562.0,24850.0,14172.0,4684.0,4496.3877142857145,10377.0,70.83,,,130262220.0,43.33032393067086,,,11510.0,13562.0,12655.0,20166.0
Mexico,2020-06-28,26,weekly,,,,,,11571.0,12203.0,12736.0,12610.0,13111.0,24600.0,14390.0,4823.0,5260.5918571428565,10551.142857142857,70.83,,,130262220.0,49.85802892036069,,,11571.0,13111.0,12446.2,19777.0
Mexico,2020-07-05,27,weekly,,,,,,11583.0,12439.0,12502.0,12845.0,13496.0,25336.0,15239.0,3991.0,5243.163285714285,11678.57142857143,70.83,,,130262220.0,44.89558776758409,,,11583.0,13496.0,12573.0,21345.0
Mexico,2020-07-12,28,weekly,,,,,,11538.0,12241.0,12822.0,13114.0,13146.0,26357.0,16166.0,4367.0,6121.326571428572,12184.57142857143,70.83,,,130262220.0,50.2383412277822,,,11538.0,13146.0,12572.2,21990.0
Mexico,2020-07-19,29,weekly,,,,,,12003.0,12316.0,12512.0,13334.0,13276.0,26339.0,18032.0,4178.0,6138.694,13091.142857142857,70.83,,,130262220.0,46.891964032388316,,,12003.0,13334.0,12688.2,22161.0
Mexico,2020-07-26,30,weekly,,,,,,11947.0,12141.0,12923.0,13455.0,13256.0,25623.0,20375.0,4496.0,6539.632714285714,13686.57142857143,70.83,,,130262220.0,47.7813800805795,,,11947.0,13455.0,12744.4,21127.0
Mexico,2020-08-02,31,weekly,,,,,,12083.0,12456.0,12967.0,12997.0,13596.0,24727.0,23006.0,4066.0,6698.285714285715,13020.285714285714,70.83,,,130262220.0,51.444997915340906,,,12083.0,13596.0,12819.8,20661.0
Mexico,2020-08-09,32,weekly,,,,,,12237.0,12173.0,12464.0,12602.0,13242.0,23770.0,24921.0,4552.0,6478.796142857143,12327.42857142857,70.83,,,130262220.0,52.55594145459603,,,12173.0,13242.0,12543.6,19218.0
Mexico,2020-08-16,33,weekly,,,,,,11739.0,12261.0,12638.0,12767.0,13610.0,22609.0,26203.0,4459.0,6032.306142857143,12122.714285714286,70.83,,,130262220.0,49.76035894837318,,,11739.0,13610.0,12603.0,18150.0
Mexico,2020-08-23,34,weekly,,,,,,11670.0,12245.0,12432.0,12503.0,13293.0,21685.0,25334.0,3723.0,5514.061142857143,11871.142857142857,72.95,,,130262220.0,46.449286384750536,,,11670.0,13293.0,12428.6,17962.0
Mexico,2020-08-30,35,weekly,,,,,,11680.0,12137.0,12172.0,12811.0,13023.0,20809.0,23531.0,3678.0,5214.204142857144,12420.57142857143,74.54,,,130262220.0,41.980388525947745,,,11680.0,13023.0,12364.6,17131.0
Mexico,2020-09-06,36,weekly,,,,,,11668.0,12285.0,12933.0,12556.0,12986.0,20132.0,20592.0,3400.0,5317.3468571428575,13046.42857142857,74.54,,,130262220.0,40.757107035313446,,,11668.0,12986.0,12485.6,16732.0
Mexico,2020-09-13,37,weekly,,,,,,11814.0,12491.0,13333.0,12780.0,12943.0,19434.0,18679.0,3263.0,5117.102,12594.857142857143,71.36428571428571,,,130262220.0,40.62850369765437,,,11814.0,13333.0,12672.2,16171.0
Mexico,2020-09-20,38,weekly,,,,,,11957.0,12203.0,13164.0,12994.0,13838.0,18758.0,16067.0,2672.0,4556.693857142857,10719.857142857143,68.32142857142857,,,130262220.0,42.507039006383344,,,11957.0,13838.0,12831.2,16086.0
Mexico,2020-09-27,39,weekly,,,,,,11560.0,12300.0,12604.0,12807.0,13521.0,18888.0,,2937.0,4387.142714285715,11521.714285714286,73.08142857142857,,,130262220.0,38.0771698159996,,,11560.0,13521.0,12558.4,15951.0
Mexico,2020-10-04,40,weekly,,,,,,12484.0,12500.0,13026.0,12931.0,13433.0,18429.0,,2658.0,4636.0,11831.142857142857,73.61,,,130262220.0,39.184718297954554,,,12484.0,13433.0,12874.8,15771.0
Mexico,2020-10-11,41,weekly,,,,,,12397.0,12201.0,13031.0,13232.0,13438.0,18776.0,,4693.0,8036.652857142857,11431.714285714286,72.81714285714285,,,130262220.0,70.30137962060434,,,12201.0,13438.0,12859.8,14083.0
Mexico,2020-10-18,42,weekly,,,,,,12063.0,12365.0,13390.0,13115.0,13736.0,18756.0,,2386.0,4505.551142857143,12404.857142857143,71.76,,,130262220.0,36.32086279567911,,,12063.0,13736.0,12933.8,16370.0
Mexico,2020-10-25,43,weekly,,,,,,12221.0,12506.0,13216.0,13435.0,13611.0,19528.0,,2757.0,5416.693857142857,14427.285714285714,71.76,,,130262220.0,37.544788149439064,,,12221.0,13611.0,12997.8,16771.0
Mexico,2020-11-01,44,weekly,,,,,,12153.0,12735.0,13538.0,13772.0,13959.0,20185.0,,2971.0,5578.122428571429,15312.857142857143,71.76,,,130262220.0,36.427705009795694,,,12153.0,13959.0,13231.4,17214.0
