date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Mexico,weekly,1,,,,,,15101.0,14299.0,14312.0,16721.0,17723.0,16688.0,36536.0,17442.0,6493.0,71521.001,218439.0,32.929,71.76,61049.286,,,0.047,,,130262220.0,14299.0,17723.0,15631.2,30043.0
2021-01-17,Mexico,weekly,2,,,,,,15449.0,14540.0,14583.0,16170.0,16602.0,16859.0,43676.0,18964.0,6998.0,96890.429,265757.0,36.433,71.76,292519.857,2537.667,,0.225,0.002,,130262220.0,14540.0,16602.0,15468.8,36678.0
2021-01-24,Mexico,weekly,3,,,,,,14820.0,14557.0,14163.0,16738.0,16252.0,16292.0,44875.0,22895.0,8910.0,118089.857,270470.0,43.656,71.76,541986.143,16187.857,,0.416,0.012,,130262220.0,14163.0,16738.0,15306.0,35965.0
2021-01-31,Mexico,weekly,4,,,,,,14172.0,14902.0,14118.0,16041.0,15864.0,15641.0,36826.0,30049.0,8922.0,112916.428,265420.0,42.506,71.76,626036.571,33557.857,,0.481,0.026,,130262220.0,14118.0,16041.0,15019.4,27904.0
2021-02-07,Mexico,weekly,5,,,,,,13628.0,15160.0,14444.0,15770.0,15862.0,15268.0,32028.0,28324.0,7664.0,75855.714,200229.0,37.721,71.76,634453.143,59612.714,,0.487,0.046,,130262220.0,13628.0,15862.0,14972.8,24364.0
2021-02-14,Mexico,weekly,6,,,,,,13914.0,15691.0,14330.0,15306.0,15689.0,15751.0,27048.0,24103.0,8007.0,68896.572,195508.0,35.264,69.377,641416.929,84233.071,,0.492,0.065,,130262220.0,13914.0,15691.0,14986.0,19041.0
2021-02-21,Mexico,weekly,7,,,,,,13550.0,15725.0,14165.0,14588.0,15445.0,14925.0,25502.0,20402.0,5900.0,53882.429,165173.0,32.583,64.35,1015744.0,264109.214,,0.78,0.203,,130262220.0,13550.0,15725.0,14694.6,19602.0
2021-02-28,Mexico,weekly,8,,,,,,13799.0,15034.0,14278.0,14199.0,14755.0,14542.0,24184.0,17147.0,5608.0,46755.0,163053.0,28.683,61.179,1574037.714,516490.143,,1.208,0.397,,130262220.0,13799.0,15034.0,14413.0,18576.0
2021-03-07,Mexico,weekly,9,,,,,,13054.0,14797.0,14456.0,14001.0,14639.0,13954.0,20698.0,15478.0,4889.0,43373.857,159423.0,27.199,49.139,2085374.429,590631.357,,1.601,0.453,,130262220.0,13054.0,14797.0,14189.4,15809.0
2021-03-14,Mexico,weekly,10,,,,,,12979.0,14351.0,13844.0,13552.0,14391.0,14049.0,19924.0,,4106.0,39142.429,144842.0,27.02,47.22,3070189.929,607583.571,,2.357,0.466,,130262220.0,12979.0,14391.0,13823.4,15818.0
