location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Moldova,2020-01-31,1,monthly,,,,,,4013.0,3964.0,4312.0,3623.0,3992.0,3477.0,4129.0,,,,,,,,,,,3623.0,4312.0,3980.8,
Moldova,2020-02-29,2,monthly,,,,,,3476.0,3472.0,3274.0,3094.0,3277.0,3098.0,3690.0,,,,,,,,,,,3094.0,3476.0,3318.6,
Moldova,2020-03-31,3,monthly,,,,,,3681.0,3317.0,3247.0,3468.0,3220.0,2708.0,4908.0,4.0,12.47357894736842,,60.918749999999996,,,4024025.0,,,,3220.0,3681.0,3386.6,2704.0
Moldova,2020-04-30,4,monthly,,,,,,3578.0,3044.0,2964.0,3032.0,2866.0,2275.0,4345.0,112.0,109.2334,,85.83533333333335,,,4024025.0,,,,2866.0,3578.0,3096.8,2163.0
Moldova,2020-05-31,5,monthly,,,,,,3282.0,3153.0,3093.0,3038.0,3428.0,3873.0,3378.0,179.0,135.25348387096776,,82.35032258064517,,,4024025.0,,,,3038.0,3428.0,3198.8,3694.0
Moldova,2020-06-30,6,monthly,,,,,,3023.0,3209.0,2884.0,2844.0,2825.0,3339.0,,250.0,274.51433333333335,,80.56,,,4024025.0,,,,2825.0,3209.0,2957.0,3089.0
Moldova,2020-07-31,7,monthly,,,,,,3070.0,2918.0,2442.0,2653.0,2704.0,3355.0,,233.0,248.63145161290322,,67.89290322580645,,,4024025.0,,,,2442.0,3070.0,2757.4,3122.0
Moldova,2020-08-31,8,monthly,,,,,,2682.0,2626.0,2748.0,2545.0,2711.0,2707.0,,217.0,392.8755483870968,,57.41,,,4024025.0,,,,2545.0,2748.0,2662.4,2490.0
Moldova,2020-09-30,9,monthly,,,,,,2898.0,2925.0,2620.0,3002.0,2658.0,3467.0,,325.0,502.28103333333337,,47.191,,,4024025.0,,,,2620.0,3002.0,2820.6,3142.0
Moldova,2020-10-31,10,monthly,,,,,,3320.0,3123.0,3010.0,3261.0,3029.0,3829.0,,465.0,729.3825161290323,,47.07387096774193,,,4024025.0,,,,3010.0,3320.0,3148.6,3364.0
Moldova,2020-11-30,11,monthly,,,,,,3391.0,3268.0,3170.0,3411.0,3039.0,3736.0,,519.0,1016.8285333333333,,48.70533333333333,,,4024025.0,,,,3039.0,3411.0,3255.8,3217.0
Moldova,2020-12-31,12,monthly,,,,,,3469.0,3470.0,3004.0,3205.0,3045.0,4754.0,,681.0,1234.7097419354839,,57.41,,,4024025.0,,,,3004.0,3470.0,3238.6,4073.0
