date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,positive_rate,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Moldova,monthly,1,,,,,,,3592.75,3638.4,3127.8,3205.0,3045.0,4626.0,,624.0,3755.571,14691.0,25.53818174373429,57.410000000000004,,,,,,,4024025.0,25.53714285714286,3127.8,3638.4,3390.9875,4002.0
2021-01-17,Moldova,monthly,2,,,,,,,3716.5,3806.8,3251.6,3401.75,3153.0,4460.0,,567.0,3377.428,16751.0,20.30161821625388,57.410000000000004,,,,,,,4024025.0,20.302857142857142,3251.6,3806.8,3544.1625,3893.0
2021-01-24,Moldova,monthly,3,,,,,,,3840.25,3975.2,3375.4,3598.5,3261.0,4294.0,,510.0,3253.572,16868.0,19.333083216445278,57.410000000000004,,,,,,,4024025.0,19.334285714285716,3375.4,3975.2,3697.3375,3784.0
2021-01-31,Moldova,monthly,4,,,,,,,3964.0,4143.6,3499.2,3795.25,3369.0,4128.0,,453.0,3506.429,16475.0,21.282767842842013,57.410000000000004,,,,,,,4024025.0,21.284285714285716,3499.2,4143.6,3850.5125,3675.0
2021-02-07,Moldova,monthly,5,,,,,,4013.0,3865.6,4312.0,3623.0,3992.0,3477.0,4018.75,,467.5,4254.142,17667.0,24.02868997819232,55.027142857142856,,,,,,,4024025.0,24.02857142857143,3623.0,4312.0,3961.12,3551.25
2021-02-14,Moldova,monthly,6,,,,,,3878.75,3767.2,4052.5,3490.75,3813.25,3382.25,3909.5,,482.0,5164.0,20264.0,25.46703331003173,51.85,,,,,,,4024025.0,25.467142857142854,3490.75,4052.5,3800.4900000000002,3427.5
2021-02-21,Moldova,monthly,7,,,,,,3744.5,3668.8,3793.0,3358.5,3634.5,3287.5,3800.25,,496.5,6253.714,22053.0,28.342146205564664,55.82142857142857,,,,,,,4024025.0,28.34142857142857,3358.5,3793.0,3639.8599999999997,3303.75
2021-02-28,Moldova,monthly,8,,,,,,3610.25,3570.4,3533.5,3226.25,3455.75,3192.75,3691.0,,511.0,7773.857,25055.0,30.967141330212137,51.85,,,,,,,4024025.0,30.965714285714284,3226.25,3610.25,3479.2300000000005,3180.0
2021-03-07,Moldova,monthly,9,,,,,,3476.0,3472.0,3274.0,3094.0,3277.0,3098.0,3934.4,,611.0,9442.857,27499.0,34.33233997338301,71.03,4368.599999999999,,,0.10856294381868899,,,4024025.0,34.33142857142857,3094.0,3476.0,3318.6,3323.4
2021-03-14,Moldova,monthly,10,,,,,,3517.0,3433.25,3267.25,3187.5,3262.75,3020.0,4177.8,,711.0,8968.713,25657.0,34.96256669418707,73.15,8394.671428571428,,,0.2086137990835402,,,4024025.0,34.962857142857146,3187.5,3517.0,3333.55,3466.8
