date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Moldova,monthly,1,,,,,,,3592.75,3638.4,3127.8,3205.0,3045.0,4671.0,3507.4,543.0,3007.43,55789.0,5.348,43.034,1024986.87,986403.714,82869.0,31.317,30.138,2.532,3272993.0,3127.8,3638.4,3390.988,2964.4
2022-01-16,Moldova,monthly,2,,,,,,,3716.5,3806.8,3251.6,3401.75,3153.0,4490.0,3598.8,499.0,6324.999,65394.0,9.553,40.806,1032662.779,995374.0,87845.696,31.551,30.412,2.684,3272993.0,3251.6,3806.8,3544.162,3099.8
2022-01-23,Moldova,monthly,3,,,,,,,3840.25,3975.2,3375.4,3598.5,3261.0,4309.0,3690.2,455.0,15271.428,80114.0,18.838,40.426,1040338.688,1003124.786,96554.915,31.786,30.649,2.95,3272993.0,3375.4,3975.2,3697.338,3235.2
2022-01-30,Moldova,monthly,4,,,,,,,3964.0,4143.6,3499.2,3795.25,3369.0,4128.0,3781.6,411.0,27252.142,12754.0,24.07,49.214,1048014.597,1009081.429,105264.134,32.02,30.831,3.216,3272993.0,3499.2,4143.6,3850.512,3370.6
2022-02-06,Moldova,monthly,5,,,,,,4013.0,3865.6,4312.0,3623.0,3992.0,3477.0,4018.75,3873.0,367.0,27048.857,,,48.15,1055690.506,1014559.357,113973.353,32.255,30.998,3.482,3272993.0,3623.0,4312.0,3961.12,3506.0
2022-02-13,Moldova,monthly,6,,,,,,3878.75,3767.2,4052.5,3490.75,3813.25,3382.25,3909.5,3916.5,418.75,22489.856,,,45.491,1063366.416,1020088.786,122682.571,32.489,31.167,3.748,3272993.0,3490.75,4052.5,3800.49,3497.75
2022-02-20,Moldova,monthly,7,,,,,,3744.5,3668.8,3793.0,3358.5,3634.5,3287.5,3800.25,3960.0,470.5,13511.858,,,39.126,1071042.325,1026726.857,131391.79,32.724,31.37,4.014,3272993.0,3358.5,3793.0,3639.86,3489.5
2022-02-27,Moldova,monthly,8,,,,,,3610.25,3570.4,3533.5,3226.25,3455.75,3192.75,3691.0,4003.5,522.25,8159.572,,,38.054,1076258.0,1034836.571,140101.009,32.883,31.617,4.281,3272993.0,3226.25,3610.25,3479.23,3481.25
2022-03-06,Moldova,monthly,9,,,,,,3476.0,3472.0,3274.0,3094.0,3277.0,3098.0,3934.4,4047.0,574.0,4826.714,,,38.044,1079628.5,1041736.0,148810.228,32.986,31.828,4.547,3272993.0,3094.0,3476.0,3318.6,3473.0
2022-03-13,Moldova,monthly,10,,,,,,3517.0,3433.25,3267.25,3187.5,3262.75,3020.0,4177.8,3902.25,484.25,3108.142,,,38.04,1082337.571,1045952.929,157519.446,33.069,31.957,4.813,3272993.0,3187.5,3517.0,3333.55,3418.0
2022-03-20,Moldova,monthly,11,,,,,,3558.0,3394.5,3260.5,3281.0,3248.5,2942.0,4421.2,3757.5,394.5,2633.286,,,21.444,1083692.36,1050224.929,166228.665,33.11,32.088,5.079,3272993.0,3248.5,3558.0,3348.5,3363.0
2022-03-27,Moldova,monthly,12,,,,,,3599.0,3355.75,3253.75,3374.5,3234.25,2864.0,4664.6,3612.75,304.75,2286.286,,,14.81,1084403.491,1052913.286,174937.884,33.132,32.17,5.345,3272993.0,3234.25,3599.0,3363.45,3308.0
2022-04-03,Moldova,monthly,13,,,,,,3640.0,3317.0,3247.0,3468.0,3220.0,2786.0,4908.0,3468.0,215.0,1791.0,,,14.81,1085114.621,1055028.857,183647.103,33.154,32.234,5.611,3272993.0,3220.0,3640.0,3378.4,3253.0
2022-04-10,Moldova,monthly,14,,,,,,3681.0,3248.75,3176.25,3380.8,3149.2,2708.0,4767.25,3330.0,175.75,1417.429,,,14.81,1085825.752,1056672.714,192356.321,33.175,32.285,5.877,3272993.0,3149.2,3681.0,3327.2,3154.25
2022-04-17,Moldova,monthly,15,,,,,,3655.25,3180.5,3105.5,3293.6,3078.4,2599.75,4626.5,3192.0,136.5,1113.715,,,13.753,1086536.882,1058219.643,201065.54,33.197,32.332,6.143,3272993.0,3078.4,3655.25,3262.65,3055.5
2022-04-24,Moldova,monthly,16,,,,,,3629.5,3112.25,3034.75,3206.4,3007.6,2491.5,4485.75,3054.0,97.25,813.714,,,11.11,1087248.012,1059307.7,209774.759,33.219,32.365,6.409,3272993.0,3007.6,3629.5,3198.1,2956.75
2022-05-01,Moldova,monthly,17,,,,,,3603.75,3044.0,2964.0,3119.2,2936.8,2383.25,4345.0,2916.0,58.0,192.858,,,11.11,1087959.143,1059903.895,218483.978,33.24,32.383,6.675,3272993.0,2936.8,3603.75,3133.55,2858.0
2022-05-08,Moldova,monthly,18,,,,,,3578.0,3065.8,2989.8,3032.0,2866.0,2275.0,4151.6,2901.6,56.0,438.284,,,11.11,1088670.273,1060663.833,227193.196,33.262,32.407,6.941,3272993.0,2866.0,3578.0,3106.32,2845.6
2022-05-15,Moldova,monthly,19,,,,,,3504.0,3087.6,3015.6,3033.5,3006.5,2674.5,3958.2,2887.2,54.0,682.713,,,11.11,1089381.404,1061356.5,235902.415,33.284,32.428,7.208,3272993.0,3006.5,3504.0,3129.44,2833.2
2022-05-22,Moldova,monthly,20,,,,,,3430.0,3109.4,3041.4,3035.0,3147.0,3074.0,3764.8,2872.8,52.0,291.855,,,11.11,1090092.534,1062046.0,244611.634,33.306,32.449,7.474,3272993.0,3035.0,3430.0,3152.56,2820.8
2022-05-29,Moldova,monthly,21,,,,,,3356.0,3131.2,3067.2,3036.5,3287.5,3473.5,3571.4,2858.4,50.0,351.142,,,11.11,1090803.665,1062735.5,253320.853,33.327,32.47,7.74,3272993.0,3036.5,3356.0,3175.68,2808.4
2022-06-05,Moldova,monthly,22,,,,,,3282.0,3153.0,3093.0,3038.0,3428.0,3873.0,3378.0,2844.0,48.0,167.285,,,11.11,1091514.795,1063405.307,262030.071,33.349,32.49,8.006,3272993.0,3038.0,3428.0,3198.8,2796.0
2022-06-12,Moldova,monthly,23,,,,,,3230.2,3167.0,3040.75,2989.5,3277.25,3766.2,3289.5,2794.0,43.5,245.858,,,11.11,1092225.925,1063953.675,270739.29,33.371,32.507,8.272,3272993.0,2989.5,3277.25,3140.94,2750.5
2022-06-19,Moldova,monthly,24,,,,,,3178.4,3181.0,2988.5,2941.0,3126.5,3659.4,3201.0,2744.0,39.0,226.572,,,11.11,1092937.056,1064482.35,279448.509,33.393,32.523,8.538,3272993.0,2941.0,3181.0,3083.08,2705.0
2022-06-26,Moldova,monthly,25,,,,,,3126.6,3195.0,2936.25,2892.5,2975.75,3552.6,3112.5,2694.0,34.5,263.287,,,11.11,1093648.186,1065011.025,288157.728,33.414,32.539,8.804,3272993.0,2892.5,3195.0,3025.22,2659.5
2022-07-03,Moldova,monthly,26,,,,,,3074.8,3209.0,2884.0,2844.0,2825.0,3445.8,3024.0,2644.0,30.0,563.286,,,11.11,1094359.317,1065539.7,296866.946,33.436,32.556,9.07,3272993.0,2825.0,3209.0,2967.36,2614.0
2022-07-10,Moldova,monthly,27,,,,,,3023.0,3136.25,2795.6,2805.8,2800.8,3339.0,3004.5,2615.25,32.75,719.714,,,11.11,1095070.447,1066068.375,305576.165,33.458,32.572,9.336,3272993.0,2795.6,3136.25,2912.29,2582.5
2022-07-17,Moldova,monthly,28,,,,,,3034.75,3063.5,2707.2,2767.6,2776.6,3343.0,2985.0,2586.5,35.5,1568.855,,,11.11,1095781.578,1066597.05,314285.384,33.479,32.588,9.602,3272993.0,2707.2,3063.5,2869.93,2551.0
2022-07-24,Moldova,monthly,29,,,,,,3046.5,2990.75,2618.8,2729.4,2752.4,3347.0,2965.5,2557.75,38.25,2929.142,,,11.11,1096492.708,1067125.725,322994.603,33.501,32.604,9.868,3272993.0,2618.8,3046.5,2827.57,2519.5
2022-07-31,Moldova,monthly,30,,,,,,3058.25,2918.0,2530.4,2691.2,2728.2,3351.0,2946.0,2529.0,41.0,5925.426,,,11.11,1097203.839,1067654.4,331703.821,33.523,32.62,10.135,3272993.0,2530.4,3058.25,2785.21,2488.0
2022-08-07,Moldova,monthly,31,,,,,,3070.0,2859.6,2442.0,2653.0,2704.0,3355.0,2856.6,2567.6,62.2,7633.286,,,11.11,1097914.969,1068183.075,340413.04,33.545,32.636,10.401,3272993.0,2442.0,3070.0,2745.72,2505.4
2022-08-14,Moldova,monthly,32,,,,,,2992.4,2801.2,2518.5,2626.0,2705.75,3225.4,2767.2,2606.2,83.4,9970.141,,,11.11,1098626.099,1068711.75,349122.259,33.566,32.652,10.667,3272993.0,2518.5,2992.4,2728.77,2522.8
2022-08-21,Moldova,monthly,33,,,,,,2914.8,2742.8,2595.0,2599.0,2707.5,3095.8,2677.8,2644.8,104.6,10899.716,,,11.11,1099337.23,1069240.425,357831.478,33.588,32.669,10.933,3272993.0,2595.0,2914.8,2711.82,2540.2
2022-08-28,Moldova,monthly,34,,,,,,2837.2,2684.4,2671.5,2572.0,2709.25,2966.2,2588.4,2683.4,125.8,6970.574,,,11.11,1099879.143,1069734.714,362849.571,33.605,32.684,11.086,3272993.0,2572.0,2837.2,2694.87,2557.6
2022-09-04,Moldova,monthly,35,,,,,,2759.6,2626.0,2748.0,2545.0,2711.0,2836.6,2499.0,2722.0,147.0,6514.858,,,11.11,1100294.143,1070203.214,365099.321,33.617,32.698,11.155,3272993.0,2545.0,2759.6,2677.92,2575.0
2022-09-11,Moldova,monthly,36,,,,,,2682.0,2700.75,2716.0,2659.25,2700.4,2707.0,2767.75,2714.0,132.5,4602.57,,,11.11,1100709.143,1070671.714,367349.071,33.63,32.712,11.224,3272993.0,2659.25,2716.0,2691.68,2581.5
2022-09-18,Moldova,monthly,37,,,,,,2736.0,2775.5,2684.0,2773.5,2689.8,2897.0,3036.5,2706.0,118.0,4068.713,,,11.11,1101124.143,1071140.214,369598.821,33.643,32.727,11.292,3272993.0,2684.0,2775.5,2731.76,2588.0
2022-09-25,Moldova,monthly,38,,,,,,2790.0,2850.25,2652.0,2887.75,2679.2,3087.0,3305.25,2698.0,103.5,4446.998,,,11.11,1101442.429,1071471.071,371399.786,33.652,32.737,11.347,3272993.0,2652.0,2887.75,2771.84,2594.5
2022-10-02,Moldova,monthly,39,,,,,,2844.0,2925.0,2620.0,3002.0,2668.6,3277.0,3574.0,2690.0,89.0,2625.856,,,11.11,1101688.179,1071698.696,372864.161,33.66,32.744,11.392,3272993.0,2620.0,3002.0,2811.92,2601.0
2022-10-09,Moldova,monthly,40,,,,,,2898.0,2964.6,2698.0,3053.8,2658.0,3467.0,3871.5,,80.9,1514.144,,,11.11,1101933.929,1071926.321,374328.536,33.667,32.751,11.437,3272993.0,2658.0,3053.8,2854.48,
2022-10-16,Moldova,monthly,41,,,,,,3003.5,3004.2,2776.0,3105.6,2750.75,3557.5,4169.0,,72.8,1140.002,,,11.11,1102179.679,1072153.946,375792.911,33.675,32.758,11.482,3272993.0,2750.75,3105.6,2928.01,
2022-10-23,Moldova,monthly,42,,,,,,3109.0,3043.8,2854.0,3157.4,2843.5,3648.0,4466.5,,64.7,610.715,,,11.11,1102425.429,1072381.571,377257.286,33.682,32.765,11.526,3272993.0,2843.5,3157.4,3001.54,
2022-10-30,Moldova,monthly,43,,,,,,3214.5,3083.4,2932.0,3209.2,2936.25,3738.5,4764.0,,56.6,787.426,,,11.11,1102671.179,1072609.196,378721.661,33.69,32.772,11.571,3272993.0,2932.0,3214.5,3075.07,
2022-11-06,Moldova,monthly,44,,,,,,3320.0,3123.0,3010.0,3261.0,3029.0,3829.0,4753.8,,48.5,590.145,,,11.11,1102916.929,1072836.821,380186.036,33.698,32.778,11.616,3272993.0,3010.0,3320.0,3148.6,
2022-11-13,Moldova,monthly,45,,,,,,3334.2,3159.25,3050.0,3298.5,3031.5,3810.4,4743.6,,42.875,378.855,,,11.11,1103162.679,1073064.446,381650.411,33.705,32.785,11.661,3272993.0,3031.5,3334.2,3174.69,
2022-11-20,Moldova,monthly,46,,,,,,3348.4,3195.5,3090.0,3336.0,3034.0,3791.8,4733.4,,37.25,287.855,,,11.11,,,,,,,3272993.0,3034.0,3348.4,3200.78,
2022-11-27,Moldova,monthly,47,,,,,,3362.6,3231.75,3130.0,3373.5,3036.5,3773.2,4723.2,,31.625,84.428,,,,,,,,,,3272993.0,3036.5,3373.5,3226.87,
2022-12-04,Moldova,monthly,48,,,,,,3376.8,3268.0,3170.0,3411.0,3039.0,3754.6,4713.0,,,,,,,,,,,,,,3039.0,3411.0,3252.96,
2022-12-11,Moldova,monthly,49,,,,,,3391.0,3318.5,3128.5,3369.8,3040.2,3736.0,4388.75,,,,,,,,,,,,,,3040.2,3391.0,3249.6,
2022-12-18,Moldova,monthly,50,,,,,,3410.5,3369.0,3087.0,3328.6,3041.4,4015.0,4064.5,,,,,,,,,,,,,,3041.4,3410.5,3247.3,
2022-12-25,Moldova,monthly,51,,,,,,3430.0,3419.5,3045.5,3287.4,3042.6,4294.0,3740.25,,,,,,,,,,,,,,3042.6,3430.0,3245.0,
2023-01-01,Moldova,monthly,52,,,,,,3449.5,3470.0,3004.0,3246.2,3043.8,4573.0,3416.0,,,,,,,,,,,,,,3004.0,3470.0,3242.7,
2023-01-08,Moldova,monthly,1,,,,,,3469.0,3638.4,3127.8,3205.0,3045.0,4852.0,3507.4,,,,,,,,,,,,,,3045.0,3638.4,3297.04,
