date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Monaco,monthly,1,,,,,,,40.5,42.2,51.2,41.0,50.0,52.75,56.6,2.5,137.429,,,45.37,,,,,,,36491.0,40.5,51.2,43.725,50.25
2021-01-17,Monaco,monthly,2,,,,,,,43.0,42.4,56.4,41.0,49.0,54.5,55.2,5.0,141.715,,,45.37,,,,,,,36491.0,41.0,56.4,45.7,49.5
2021-01-24,Monaco,monthly,3,,,,,,,45.5,42.6,61.6,41.0,48.0,56.25,53.8,7.5,144.429,,,45.37,,,,,,,36491.0,41.0,61.6,47.675,48.75
2021-01-31,Monaco,monthly,4,,,,,,,48.0,42.8,66.8,41.0,47.0,58.0,52.4,10.0,141.428,,,45.37,,,,,,,36491.0,41.0,66.8,49.65,48.0
2021-02-07,Monaco,monthly,5,,,,,,60.0,45.8,43.0,72.0,41.0,46.0,61.0,51.0,10.25,161.855,,,46.959,,,,,,,36491.0,41.0,72.0,52.36,50.75
2021-02-14,Monaco,monthly,6,,,,,,62.5,43.6,44.0,63.25,40.5,43.5,64.0,46.5,10.5,134.571,,,50.93,,,,,,,36491.0,40.5,63.25,50.77,53.5
2021-02-21,Monaco,monthly,7,,,,,,65.0,41.4,45.0,54.5,40.0,41.0,67.0,42.0,10.75,101.286,,,50.93,,,,,,,36491.0,40.0,65.0,49.18,56.25
2021-02-28,Monaco,monthly,8,,,,,,67.5,39.2,46.0,45.75,39.5,38.5,70.0,37.5,11.0,100.0,,,50.93,,,,,,,36491.0,39.2,67.5,47.59,59.0
2021-03-07,Monaco,monthly,9,,,,,,70.0,37.0,47.0,37.0,39.0,36.0,69.2,33.0,9.6,67.286,,,50.93,8579.1,7279.8,,23.51,19.95,,36491.0,37.0,70.0,46.0,59.6
2021-03-14,Monaco,monthly,10,,,,,,66.0,37.5,45.25,39.0,41.5,39.4,68.4,37.25,8.2,80.571,,,50.93,9056.133,7708.067,,24.817,21.123,,36491.0,37.5,66.0,45.85,60.2
