date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Mongolia,monthly,1,,,,,,,1443.0,1300.2,1426.0,1609.0,1674.0,1202.0,1697.0,54.8,6136.857,48151.0,12.233,40.28,2266543.571,2165179.905,926642.429,66.695,63.712,27.267,3398373.0,1300.2,1609.0,1444.55,1642.2
2022-01-16,Mongolia,monthly,2,,,,,,,1401.0,1314.4,1441.0,1600.0,1597.0,1185.0,1609.0,53.6,20481.715,94739.0,21.03,37.897,2267446.571,2167115.0,951532.071,66.722,63.769,28.0,3398373.0,1314.4,1600.0,1439.1,1555.4
2022-01-23,Mongolia,monthly,3,,,,,,,1359.0,1328.6,1456.0,1591.0,1520.0,1168.0,1521.0,52.4,45175.858,145623.0,30.89,37.5,2268493.0,2168915.786,983042.429,66.752,63.822,28.927,3398373.0,1328.6,1591.0,1433.65,1468.6
2022-01-30,Mongolia,monthly,4,,,,,,,1317.0,1342.8,1471.0,1582.0,1443.0,1151.0,1433.0,51.2,53991.856,142225.0,38.048,37.5,2269355.0,2170054.857,1001776.0,66.778,63.856,29.478,3398373.0,1317.0,1582.0,1428.2,1381.8
2022-02-06,Mongolia,monthly,5,,,,,,1340.0,1328.0,1357.0,1486.0,1573.0,1366.0,1172.5,1345.0,50.0,34179.714,93468.0,36.274,37.5,2269848.929,2170742.143,1008130.286,66.792,63.876,29.665,3398373.0,1328.0,1573.0,1416.8,1295.0
2022-02-13,Mongolia,monthly,6,,,,,,1328.0,1339.0,1295.75,1457.0,1519.25,1349.0,1194.0,1380.5,52.5,15862.999,76111.0,21.226,25.594,2270148.429,2171247.786,1011582.071,66.801,63.891,29.767,3398373.0,1295.75,1519.25,1387.8,1328.0
2022-02-20,Mongolia,monthly,7,,,,,,1316.0,1350.0,1234.5,1428.0,1465.5,1332.0,1215.5,1416.0,55.0,23408.571,83098.0,28.023,8.139,2270670.714,2171974.071,1016563.5,66.816,63.912,29.913,3398373.0,1234.5,1465.5,1358.8,1361.0
2022-02-27,Mongolia,monthly,8,,,,,,1304.0,1361.0,1173.25,1399.0,1411.75,1315.0,1237.0,1451.5,57.5,11989.285,56727.0,21.148,5.56,2271313.571,2172675.786,1021621.393,66.835,63.933,30.062,3398373.0,1173.25,1411.75,1329.8,1394.0
2022-03-06,Mongolia,monthly,9,,,,,,1292.0,1372.0,1112.0,1370.0,1358.0,1298.0,1265.8,1487.0,60.0,6518.0,55720.0,11.626,5.56,2271721.143,2173139.571,1025231.464,66.847,63.946,30.168,3398373.0,1112.0,1372.0,1300.8,1427.0
2022-03-13,Mongolia,monthly,10,,,,,,1322.6,1393.25,1191.0,1399.0,1361.75,1296.8,1294.6,1489.25,48.0,4177.144,44235.0,9.375,5.56,2271942.881,2173470.095,1027283.69,66.854,63.956,30.229,3398373.0,1191.0,1399.0,1333.52,1441.25
