date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Montenegro,weekly,1,,,,,,142.0,126.0,191.0,155.0,141.0,86.0,200.0,188.0,26.0,14357.857,,,,284453.571,273758.0,80079.857,45.361,43.656,12.77,627082.0,126.0,191.0,151.0,162.0
2022-01-16,Montenegro,weekly,2,,,,,,140.0,129.0,203.0,127.0,152.0,118.0,179.0,219.0,32.0,15640.285,,,,285287.429,275142.857,83126.429,45.494,43.877,13.256,627082.0,127.0,203.0,150.2,187.0
2022-01-23,Montenegro,weekly,3,,,,,,148.0,126.0,189.0,153.0,142.0,145.0,194.0,235.0,39.0,10950.143,,,,286063.429,276414.714,86130.0,45.618,44.08,13.735,627082.0,126.0,189.0,151.6,196.0
2022-01-30,Montenegro,weekly,4,,,,,,128.0,155.0,146.0,119.0,171.0,133.0,173.0,260.0,42.0,7395.428,,,,286741.643,277413.143,88530.071,45.726,44.239,14.118,627082.0,119.0,171.0,143.8,218.0
2022-02-06,Montenegro,weekly,5,,,,,,134.0,123.0,173.0,136.0,169.0,139.0,203.0,228.0,46.0,4990.571,,,,287239.5,278146.286,90168.5,45.806,44.356,14.379,627082.0,123.0,173.0,147.0,182.0
2022-02-13,Montenegro,weekly,6,,,,,,141.0,124.0,143.0,115.0,142.0,150.0,205.0,177.0,34.0,3456.001,,,,287694.857,278876.429,91821.571,45.878,44.472,14.643,627082.0,115.0,143.0,133.0,143.0
2022-02-20,Montenegro,weekly,7,,,,,,126.0,122.0,120.0,131.0,140.0,130.0,211.0,169.0,23.0,2572.429,,,,288094.714,279446.286,93197.071,45.942,44.563,14.862,627082.0,120.0,140.0,127.8,146.0
2022-02-27,Montenegro,weekly,8,,,,,,162.0,116.0,133.0,150.0,170.0,142.0,220.0,163.0,18.0,1808.714,,,,288430.857,279927.286,94249.429,45.996,44.64,15.03,627082.0,116.0,170.0,146.2,145.0
2022-03-06,Montenegro,weekly,9,,,,,,155.0,130.0,134.0,158.0,129.0,119.0,221.0,129.0,9.0,1015.999,,,,288713.857,280336.571,95082.571,46.041,44.705,15.163,627082.0,129.0,158.0,141.2,120.0
2022-03-13,Montenegro,weekly,10,,,,,,163.0,123.0,115.0,144.0,149.0,141.0,212.0,129.0,8.0,683.572,,,,289005.429,280732.571,95715.571,46.087,44.768,15.264,627082.0,115.0,163.0,138.8,121.0
2022-03-20,Montenegro,weekly,11,,,,,,122.0,118.0,115.0,126.0,121.0,113.0,232.0,129.0,3.0,617.286,,,,289253.5,281059.714,96197.071,46.127,44.82,15.34,627082.0,115.0,126.0,120.4,126.0
2022-03-27,Montenegro,weekly,12,,,,,,140.0,144.0,130.0,126.0,116.0,126.0,184.0,130.0,2.0,622.143,,,,289497.286,281350.429,96655.143,46.166,44.867,15.413,627082.0,116.0,144.0,131.2,128.0
2022-04-03,Montenegro,weekly,13,,,,,,106.0,115.0,114.0,135.0,114.0,150.0,222.0,127.0,7.0,551.43,,,,289757.857,281658.286,97083.571,46.207,44.916,15.482,627082.0,106.0,135.0,116.8,120.0
2022-04-10,Montenegro,weekly,14,,,,,,137.0,136.0,140.0,151.0,117.0,118.0,197.0,130.0,1.0,476.857,,,,290016.429,281939.429,97544.857,46.249,44.961,15.555,627082.0,117.0,151.0,136.2,129.0
2022-04-17,Montenegro,weekly,15,,,,,,114.0,107.0,127.0,127.0,120.0,122.0,187.0,109.0,3.0,414.571,,,,290222.0,282168.786,97917.429,46.281,44.997,15.615,627082.0,107.0,127.0,119.0,106.0
2022-04-24,Montenegro,weekly,16,,,,,,121.0,111.0,116.0,100.0,139.0,113.0,193.0,130.0,4.0,494.428,,,,290402.643,282399.214,98242.714,46.31,45.034,15.667,627082.0,100.0,139.0,117.4,126.0
2022-05-01,Montenegro,weekly,17,,,,,,138.0,112.0,122.0,125.0,123.0,101.0,189.0,112.0,2.0,569.571,,,,290531.286,282565.714,98483.857,46.331,45.06,15.705,627082.0,112.0,138.0,124.0,110.0
2022-05-08,Montenegro,weekly,18,,,,,,108.0,125.0,105.0,130.0,136.0,112.0,155.0,114.0,2.0,516.143,,,,290673.143,282736.143,98716.429,46.353,45.088,15.742,627082.0,105.0,136.0,120.8,112.0
2022-05-15,Montenegro,weekly,19,,,,,,98.0,119.0,93.0,127.0,110.0,95.0,166.0,125.0,2.0,509.572,,,,290853.786,282948.143,98946.429,46.382,45.121,15.779,627082.0,93.0,127.0,109.4,123.0
