date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,New Caledonia,monthly,1,,,,,,,121.75,117.2,124.4,126.0,98.0,,,4.4,249.286,0.0,,,183724.67891156464,174987.69659863945,,63.745261005271935,60.71387065948208,,288217.0,117.2,126.0,122.3375,
2022-01-16,New Caledonia,monthly,2,,,,,,,126.5,115.4,125.8,129.25,107.0,,,3.8,366.429,0.0,,,184257.81632653062,175560.2448979592,,63.93023878762551,60.912522473677534,,288217.0,115.4,129.25,124.2375,
2022-01-23,New Caledonia,monthly,3,,,,,,,131.25,113.6,127.2,132.5,116.0,,,3.2,1296.858,0.0,,,185034.7142857143,176254.66326530612,,64.19979192265352,61.15345842379393,,288217.0,113.6,132.5,126.1375,
2022-01-30,New Caledonia,monthly,4,,,,,,,136.0,111.8,128.6,135.75,125.0,,,2.6,1481.999,0.0,,,185508.0,176587.0,,64.36400351124327,61.2687662421023,,288217.0,111.8,136.0,128.0375,
2022-02-06,New Caledonia,monthly,5,,,,,,126.0,133.8,110.0,130.0,139.0,134.0,,,,,,,,,,,,,,,110.0,139.0,127.75999999999999,
2022-02-13,New Caledonia,monthly,6,,,,,,125.5,131.6,113.75,123.5,127.75,135.0,,,,,,,,,,,,,,,113.75,131.6,124.42,
2022-02-20,New Caledonia,monthly,7,,,,,,125.0,129.4,117.5,117.0,116.5,136.0,,,,,,,,,,,,,,,116.5,129.4,121.08,
2022-02-27,New Caledonia,monthly,8,,,,,,124.5,127.2,121.25,110.5,105.25,137.0,,,,,,,,,,,,,,,105.25,127.2,117.74000000000001,
2022-03-06,New Caledonia,monthly,9,,,,,,124.0,125.0,125.0,104.0,94.0,138.0,,,,,,,,,,,,,,,94.0,125.0,114.4,
2022-03-13,New Caledonia,monthly,10,,,,,,122.8,123.5,128.0,112.75,102.25,140.2,,,,,,,,,,,,,,,102.25,128.0,117.85999999999999,
2022-03-20,New Caledonia,monthly,11,,,,,,121.6,122.0,131.0,121.5,110.5,142.4,,,,,,,,,,,,,,,110.5,131.0,121.32000000000001,
2022-03-27,New Caledonia,monthly,12,,,,,,120.4,120.5,134.0,130.25,118.75,144.6,,,,,,,,,,,,,,,118.75,134.0,124.78,
2022-04-03,New Caledonia,monthly,13,,,,,,119.2,119.0,137.0,139.0,127.0,146.8,,,,,,,,,,,,,,,119.0,139.0,128.24,
2022-04-10,New Caledonia,monthly,14,,,,,,118.0,121.75,137.75,133.6,129.8,149.0,,,,,,,,,,,,,,,118.0,137.75,128.18,
2022-04-17,New Caledonia,monthly,15,,,,,,115.75,124.5,138.5,128.2,132.6,135.0,,,,,,,,,,,,,,,115.75,138.5,127.91,
2022-04-24,New Caledonia,monthly,16,,,,,,113.5,127.25,139.25,122.8,135.4,121.0,,,,,,,,,,,,,,,113.5,139.25,127.64000000000001,
2022-05-01,New Caledonia,monthly,17,,,,,,111.25,130.0,140.0,117.4,138.2,107.0,,,,,,,,,,,,,,,111.25,140.0,127.36999999999998,
2022-05-08,New Caledonia,monthly,18,,,,,,109.0,128.4,134.8,112.0,141.0,93.0,,,,,,,,,,,,,,,109.0,141.0,125.04,
2022-05-15,New Caledonia,monthly,19,,,,,,114.0,126.8,129.6,121.0,145.75,104.5,,,,,,,,,,,,,,,114.0,145.75,127.42999999999999,
2022-05-22,New Caledonia,monthly,20,,,,,,119.0,125.2,124.4,130.0,150.5,116.0,,,,,,,,,,,,,,,119.0,150.5,129.82,
2022-05-29,New Caledonia,monthly,21,,,,,,124.0,123.6,119.2,139.0,155.25,127.5,,,,,,,,,,,,,,,119.2,155.25,132.20999999999998,
2022-06-05,New Caledonia,monthly,22,,,,,,129.0,122.0,114.0,148.0,160.0,139.0,,,,,,,,,,,,,,,114.0,160.0,134.6,
