date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,New Zealand,weekly,1,,564.0,516.0,568.0,525.0,564.0,564.0,528.0,582.0,609.0,591.0,668.0,,0.0,4.632571428571429,3082.4285714285716,22.22,,,,5122600.0,0.15028966028641608,,,,516.0,609.0,557.7777777777778,668.0
2021-01-17,New Zealand,weekly,2,,543.0,544.0,561.0,522.0,566.0,558.0,601.0,611.0,604.0,581.0,631.0,,0.0,6.347,3639.4285714285716,22.22,,,,5122600.0,0.17439550949913646,,,,522.0,611.0,567.7777777777778,631.0
2021-01-24,New Zealand,weekly,3,,507.0,532.0,558.0,545.0,595.0,519.0,557.0,576.0,625.0,641.0,659.0,,0.0,4.714142857142858,3416.285714285714,22.22,,,,5122600.0,0.1379902985698754,,,,507.0,625.0,557.1111111111111,659.0
2021-01-31,New Zealand,weekly,4,,516.0,508.0,520.0,520.0,531.0,541.0,608.0,653.0,589.0,609.0,603.0,,0.0,3.693857142857143,4947.428571428572,22.22,,,,5122600.0,0.07466216216216216,,,,508.0,653.0,554.0,603.0
2021-02-07,New Zealand,weekly,5,,585.0,520.0,516.0,497.0,587.0,552.0,591.0,591.0,544.0,615.0,642.0,,0.0,2.000142857142857,5097.428571428572,22.22,,,,5122600.0,0.0392382713973432,,,,497.0,591.0,553.6666666666666,642.0
2021-02-14,New Zealand,weekly,6,,560.0,499.0,508.0,542.0,567.0,523.0,564.0,624.0,557.0,588.0,647.0,,0.0,1.8775714285714287,3955.8571428571427,22.22,1.0,,,5122600.0,0.04746307464519158,1.9521336821145514e-05,,,499.0,624.0,549.3333333333334,647.0
2021-02-21,New Zealand,weekly,7,,533.0,520.0,506.0,565.0,577.0,517.0,571.0,542.0,558.0,618.0,590.0,,1.0,2.7755714285714284,7293.142857142857,49.271428571428565,44.214285714285715,1.0,,5122600.0,0.03805727493536003,0.0008631219637349338,1.9521336821145514e-05,,506.0,577.0,543.2222222222222,589.0
2021-02-28,New Zealand,weekly,8,,677.0,520.0,512.0,546.0,542.0,568.0,580.0,583.0,571.0,622.0,603.0,,0.0,3.408142857142857,8369.142857142857,30.42142857142857,3327.8571428571427,1.0,,5122600.0,0.04072272292776184,0.06496422017836924,1.9521336821145514e-05,,512.0,677.0,566.5555555555555,603.0
2021-03-07,New Zealand,weekly,9,,513.0,494.0,499.0,532.0,586.0,534.0,572.0,572.0,618.0,595.0,640.0,,0.0,3.1222857142857143,9125.57142857143,58.79571428571428,12538.57142857143,2.142857142857143,,5122600.0,0.03421468714287951,0.24476967611313452,4.183143604531181e-05,,494.0,618.0,546.6666666666666,640.0
2021-03-14,New Zealand,weekly,10,,523.0,519.0,511.0,528.0,550.0,511.0,599.0,602.0,626.0,611.0,618.0,,0.0,3.693857142857143,7604.285714285715,30.419999999999998,20355.714285714286,10.285714285714286,,5122600.0,0.04857599098252865,0.397370754806432,0.0002007908930174967,,511.0,626.0,552.1111111111111,618.0
