date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,New Zealand,weekly,1,,564.0,516.0,568.0,525.0,564.0,564.0,528.0,582.0,609.0,590.0,669.0,677.0,2.0,417.285,81232.0,0.514,52.6,3974711.286,3867888.857,452838.714,76.654,74.594,8.733,5185289.0,516.0,609.0,557.778,675.0
2022-01-16,New Zealand,weekly,2,,543.0,544.0,561.0,522.0,566.0,558.0,601.0,611.0,604.0,581.0,631.0,609.0,0.0,420.286,98300.0,0.429,52.541,3982890.714,3890547.857,704866.571,76.811,75.03,13.594,5185289.0,522.0,611.0,567.778,609.0
2022-01-23,New Zealand,weekly,3,,507.0,532.0,558.0,545.0,595.0,519.0,557.0,576.0,625.0,641.0,659.0,634.0,1.0,453.286,98691.0,0.46,50.183,4040962.429,3907024.0,939863.857,77.931,75.348,18.126,5185289.0,507.0,625.0,557.111,633.0
2022-01-30,New Zealand,weekly,4,,516.0,508.0,520.0,520.0,531.0,541.0,608.0,653.0,589.0,610.0,603.0,647.0,0.0,615.0,115440.0,0.53,50.14,4132563.571,3920275.286,1237454.0,79.698,75.604,23.865,5185289.0,508.0,653.0,554.0,647.0
2022-02-06,New Zealand,weekly,5,,585.0,520.0,516.0,497.0,587.0,552.0,591.0,591.0,544.0,615.0,642.0,660.0,0.0,1273.286,137070.0,0.932,50.104,4191760.857,3931820.857,1496371.429,80.839,75.826,28.858,5185289.0,497.0,591.0,553.667,660.0
2022-02-13,New Zealand,weekly,6,,560.0,499.0,508.0,542.0,567.0,523.0,564.0,624.0,557.0,588.0,647.0,681.0,1.0,2143.857,135478.0,1.578,50.079,4216838.0,3941213.571,1810380.714,81.323,76.008,34.914,5185289.0,499.0,624.0,549.333,680.0
2022-02-20,New Zealand,weekly,7,,533.0,520.0,506.0,565.0,577.0,517.0,571.0,542.0,558.0,618.0,591.0,642.0,11.0,7849.142,167603.0,4.564,50.049,4235383.714,3950643.143,2110397.714,81.681,76.189,40.7,5185289.0,506.0,577.0,543.222,631.0
2022-02-27,New Zealand,weekly,8,,677.0,520.0,512.0,546.0,542.0,568.0,580.0,583.0,571.0,622.0,603.0,627.0,20.0,30840.286,202490.0,15.205,49.719,4251182.429,3959228.286,2310449.857,81.985,76.355,44.558,5185289.0,512.0,677.0,566.556,607.0
2022-03-06,New Zealand,weekly,9,,513.0,494.0,499.0,532.0,586.0,534.0,572.0,572.0,618.0,595.0,640.0,686.0,34.0,125756.715,165078.0,80.518,46.283,4264988.429,3966670.714,2456803.714,82.252,76.499,47.38,5185289.0,494.0,618.0,546.667,652.0
2022-03-13,New Zealand,weekly,10,,523.0,519.0,511.0,528.0,550.0,511.0,599.0,602.0,626.0,611.0,618.0,732.0,62.0,135110.857,61026.0,268.551,42.29,4273143.143,3973228.0,2532900.714,82.409,76.625,48.848,5185289.0,511.0,626.0,552.111,670.0
