date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,North Macedonia,monthly,1,,,,,,,1844.0,2153.8,1679.8,1880.0,1832.0,3002.5,,,,,,,,,,,,,,1679.8,2153.8,1889.4,
2020-01-12,North Macedonia,monthly,2,,,,,,,1867.0,2285.6,1696.6,1877.0,1817.5,2718.0,,,,,,,,,,,,,,1696.6,2285.6,1931.5500000000002,
2020-01-19,North Macedonia,monthly,3,,,,,,,1890.0,2417.4,1713.4,1874.0,1803.0,2433.5,,,,,,,,,,,,,,1713.4,2417.4,1973.6999999999998,
2020-01-26,North Macedonia,monthly,4,,,,,,,1913.0,2549.2,1730.2,1871.0,1788.5,2149.0,,,,,,,,,,,,,,1730.2,2549.2,2015.85,
2020-02-02,North Macedonia,monthly,5,,,,,,2105.0,1880.4,2681.0,1747.0,1868.0,1774.0,2145.0,,,,,,,,,,,,,,1747.0,2681.0,2056.2799999999997,
2020-02-09,North Macedonia,monthly,6,,,,,,2040.75,1847.8,2411.25,1757.0,1866.0,1743.75,2141.0,,,,,,,,,,,,,,1757.0,2411.25,1984.56,
2020-02-16,North Macedonia,monthly,7,,,,,,1976.5,1815.2,2141.5,1767.0,1864.0,1713.5,2137.0,,,,,,,,,,,,,,1767.0,2141.5,1912.8400000000001,
2020-02-23,North Macedonia,monthly,8,,,,,,1912.25,1782.6,1871.75,1777.0,1862.0,1683.25,2133.0,,,,,,,,,,,,,,1777.0,1912.25,1841.1200000000001,
2020-03-01,North Macedonia,monthly,9,,,,,,1848.0,1750.0,1602.0,1787.0,1860.0,1653.0,2235.0,,0.0,0.0,0.0,,,,,,,,,2082661.0,1602.0,1860.0,1769.4,1653.0
2020-03-08,North Macedonia,monthly,10,,,,,,1860.2,1739.75,1627.75,1787.5,1870.75,1657.2,2337.0,,1.8,1.144,0.0,,,,,,,,,2082661.0,1627.75,1870.75,1777.19,1655.4
2020-03-15,North Macedonia,monthly,11,,,,,,1872.4,1729.5,1653.5,1788.0,1881.5,1661.4,2439.0,,3.6,7.57,0.0,,,,,,,,,2082661.0,1653.5,1881.5,1784.98,1657.8000000000002
2020-03-22,North Macedonia,monthly,12,,,,,,1884.6,1719.25,1679.25,1788.5,1892.25,1665.6,2541.0,,5.4,46.857,0.0,,,,,,,,,2082661.0,1679.25,1892.25,1792.77,1660.1999999999998
2020-03-29,North Macedonia,monthly,13,,,,,,1896.8,1709.0,1705.0,1789.0,1903.0,1669.8,2643.0,,7.2,141.0,0.0,,,,,,,,,2082661.0,1705.0,1903.0,1800.56,1662.6
2020-04-05,North Macedonia,monthly,14,,,,,,1909.0,1691.75,1651.75,1751.0,1851.2,1674.0,2770.5,,9.0,205.572,0.0,,,,,,,,,2082661.0,1651.75,1909.0,1770.94,1665.0
