location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
North Macedonia,2021-01-31,1,monthly,,,,,,2105.0,1913.0,2681.0,1747.0,1868.0,1774.0,2149.0,352.0,315.47467741935486,1770.741935483871,,,,2082661.0,17.81596014063724,,,1747.0,2681.0,2062.8,1797.0
North Macedonia,2021-02-28,2,monthly,,,,,,1848.0,1750.0,1602.0,1787.0,1860.0,1653.0,2133.0,282.0,334.0510357142857,2282.535714285714,,1135.7142857142858,,2082661.0,14.63508472719876,0.05453188424396893,,1602.0,1860.0,1769.4,1851.0
North Macedonia,2021-03-31,3,monthly,,,,,,1909.0,1709.0,1705.0,1789.0,1903.0,1674.0,2643.0,644.0,825.5299032258065,3295.8064516129034,,5195.668202764977,,2082661.0,25.047887834002154,0.249472583524874,,1705.0,1909.0,1803.0,1999.0
North Macedonia,2021-04-30,4,monthly,,,,,,1711.0,1640.0,1492.0,1599.0,1644.0,1753.0,3153.0,1074.0,815.4856666666667,3259.8,,33765.28333333333,,2082661.0,25.01643250097143,1.621256811998368,,1492.0,1711.0,1617.2,2079.0
North Macedonia,2021-05-31,5,monthly,,,,,,1687.0,1592.0,1547.0,1531.0,1827.0,1657.0,2453.0,558.0,127.95858064516129,2146.7741935483873,,161695.51612903227,40734.02272727273,2082661.0,5.960504883546205,7.763890336883068,1.955864287431931,1531.0,1827.0,1636.8,1895.0
North Macedonia,2021-06-30,6,monthly,,,,,,1458.0,1607.0,1593.0,1462.0,1457.0,1937.0,1890.0,71.0,15.909500000000001,2908.0,,269510.5,182891.36666666667,2082661.0,0.5470942228335626,12.94068021631941,8.781619604278692,1457.0,1607.0,1515.4,1819.0
North Macedonia,2021-07-31,7,monthly,,,,,,1611.0,1570.0,1598.0,1542.0,1674.0,1903.0,1886.0,9.0,16.871064516129035,2528.2258064516127,,442238.22580645164,287436.8064516129,2082661.0,0.6673084529505584,21.234287567993622,13.80142070416707,1542.0,1674.0,1599.0,1877.0
North Macedonia,2021-08-31,8,monthly,,,,,,1530.0,1552.0,1628.0,1523.0,1590.0,1846.0,2204.0,445.0,583.751193548387,6124.870967741936,,611791.4032258064,471979.9193548387,2082661.0,9.530832512600659,29.375467405679867,22.662349722534717,1523.0,1628.0,1564.6,1759.0
North Macedonia,2021-09-30,9,monthly,,,,,,1400.0,1543.0,1516.0,1537.0,1437.0,1765.0,3119.0,730.0,530.2142,4874.173913043478,,761412.5166666667,646124.5166666667,2082661.0,10.878032041103957,36.55959931389059,31.023988861685446,1400.0,1543.0,1486.6,2389.0
North Macedonia,2021-10-31,10,monthly,,,,,,1723.0,1790.0,1671.0,1679.0,1746.0,2312.0,,464.0,357.33648387096775,,,804003.3387096775,756671.5806451613,2082661.0,,38.60461874062449,36.331960921396295,1671.0,1790.0,1721.8,
North Macedonia,2021-11-30,11,monthly,,,,,,1658.0,1733.0,1622.0,1651.0,1574.0,3847.0,,449.0,441.7572,2578.5555555555557,,862400.8181818182,783221.4772727273,2082661.0,17.13196363166286,41.40860265697673,37.606767365054964,1574.0,1733.0,1647.6,
North Macedonia,2021-12-31,12,monthly,,,,,,1821.0,2022.0,1663.0,1880.0,1832.0,3287.0,,50.0,358.71425,2955.0,,,,2082661.0,12.139230118443315,,,1663.0,2022.0,1843.6,
