date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Norway,weekly,1,886.0,977.0,895.0,1004.0,781.0,937.0,870.0,1006.0,938.0,871.0,862.0,830.0,957.0,36.0,4261.142,161801.0,2.66,61.11,16606.571,21.6,,0.306,0.0,,5434324.0,781.0,1006.0,916.5,794.0
2021-01-17,Norway,weekly,2,878.0,909.0,824.0,884.0,805.0,977.0,864.0,1048.0,872.0,827.0,952.0,868.0,911.0,45.0,3968.715,156852.0,2.524,62.699,42285.571,67.143,,0.778,0.001,,5434324.0,805.0,1048.0,888.8,823.0
2021-01-24,Norway,weekly,3,807.0,852.0,881.0,909.0,830.0,913.0,939.0,928.0,945.0,811.0,837.0,860.0,823.0,27.0,2607.429,112757.0,2.307,67.727,72122.429,1738.0,,1.327,0.032,,5434324.0,807.0,945.0,881.5,833.0
2021-01-31,Norway,weekly,4,772.0,859.0,821.0,921.0,809.0,930.0,937.0,866.0,857.0,834.0,862.0,851.0,822.0,20.0,2056.287,120540.0,1.713,71.561,100783.429,14695.857,,1.855,0.27,,5434324.0,772.0,937.0,860.6,831.0
2021-02-07,Norway,weekly,5,842.0,833.0,863.0,909.0,836.0,911.0,881.0,914.0,881.0,889.0,815.0,793.0,921.0,18.0,1899.142,110180.0,1.725,73.15,155590.714,38750.0,,2.863,0.713,,5434324.0,833.0,914.0,875.9,775.0
2021-02-14,Norway,weekly,6,863.0,816.0,937.0,893.0,817.0,898.0,852.0,823.0,904.0,843.0,796.0,813.0,888.0,10.0,1738.43,111791.0,1.557,73.15,219719.571,66633.714,,4.043,1.226,,5434324.0,816.0,937.0,864.6,803.0
2021-02-21,Norway,weekly,7,873.0,826.0,919.0,867.0,817.0,866.0,826.0,845.0,927.0,914.0,855.0,768.0,907.0,15.0,1903.857,113721.0,1.674,73.15,279471.571,95106.0,,5.143,1.75,,5434324.0,817.0,927.0,868.0,753.0
2021-02-28,Norway,weekly,8,915.0,839.0,898.0,903.0,801.0,931.0,764.0,898.0,917.0,828.0,813.0,757.0,992.0,15.0,2223.0,111786.0,1.988,68.12,327713.714,147860.286,,6.03,2.721,,5434324.0,764.0,931.0,869.4,742.0
2021-03-07,Norway,weekly,9,841.0,791.0,883.0,871.0,810.0,925.0,873.0,863.0,907.0,819.0,836.0,705.0,973.0,10.0,3460.715,141206.0,2.45,69.176,385380.0,204119.286,,7.092,3.756,,5434324.0,791.0,925.0,858.3,695.0
2021-03-14,Norway,weekly,10,831.0,857.0,860.0,826.0,789.0,975.0,762.0,822.0,950.0,833.0,799.0,790.0,929.0,7.0,4656.286,183618.0,2.53,69.44,446266.714,253079.286,,8.212,4.657,,5434324.0,762.0,975.0,850.5,783.0
2021-03-21,Norway,weekly,11,787.0,750.0,865.0,857.0,812.0,836.0,798.0,804.0,867.0,836.0,826.0,788.0,991.0,9.0,6289.287,193547.0,3.249,71.034,498817.857,275630.429,,9.179,5.072,,5434324.0,750.0,867.0,821.2,779.0
2021-03-28,Norway,weekly,12,838.0,800.0,818.0,839.0,795.0,785.0,802.0,788.0,905.0,805.0,810.0,769.0,987.0,8.0,6449.286,200737.0,3.215,71.3,592395.0,283762.571,,10.901,5.222,,5434324.0,785.0,905.0,817.5,761.0
2021-04-04,Norway,weekly,13,813.0,791.0,848.0,828.0,757.0,795.0,759.0,756.0,807.0,789.0,854.0,719.0,894.0,17.0,5794.856,150535.0,3.981,71.3,701265.286,298109.0,5.833,12.904,5.486,0.0,5434324.0,756.0,848.0,794.3,702.0
2021-04-11,Norway,weekly,14,792.0,838.0,861.0,813.0,836.0,786.0,802.0,809.0,819.0,781.0,831.0,778.0,948.0,11.0,5052.858,128082.0,4.019,71.3,830359.429,310510.429,8.429,15.28,5.714,0.0,5434324.0,781.0,861.0,813.7,767.0
2021-04-18,Norway,weekly,15,795.0,829.0,831.0,821.0,753.0,795.0,773.0,776.0,827.0,757.0,841.0,751.0,861.0,24.0,4390.714,139596.0,3.141,70.109,1018657.857,317585.286,14.714,18.745,5.844,0.0,5434324.0,753.0,831.0,795.7,727.0
2021-04-25,Norway,weekly,16,746.0,790.0,833.0,780.0,858.0,777.0,756.0,757.0,778.0,761.0,816.0,752.0,841.0,28.0,3380.286,120105.0,2.815,68.52,1193967.143,325147.571,18.286,21.971,5.983,0.0,5434324.0,746.0,858.0,783.6,724.0
2021-05-02,Norway,weekly,17,757.0,816.0,814.0,869.0,732.0,749.0,755.0,816.0,781.0,799.0,777.0,777.0,840.0,20.0,3013.142,125326.0,2.404,66.137,1351957.571,368435.143,25.0,24.878,6.78,0.0,5434324.0,732.0,869.0,788.8,757.0
2021-05-09,Norway,weekly,18,760.0,745.0,815.0,757.0,755.0,686.0,748.0,745.0,756.0,773.0,749.0,696.0,834.0,11.0,2825.427,126766.0,2.229,64.683,1480403.429,459461.143,41.571,27.242,8.455,0.001,5434324.0,686.0,815.0,754.0,685.0
2021-05-16,Norway,weekly,19,785.0,760.0,753.0,733.0,772.0,728.0,711.0,733.0,738.0,772.0,742.0,705.0,831.0,7.0,2985.286,122564.0,2.439,63.89,1579769.857,580056.714,66.0,29.07,10.674,0.001,5434324.0,711.0,785.0,748.5,698.0
2021-05-23,Norway,weekly,20,777.0,707.0,766.0,782.0,805.0,707.0,776.0,694.0,714.0,732.0,686.0,740.0,841.0,7.0,2624.714,118945.0,2.22,62.304,1627239.571,736915.429,91.429,29.944,13.56,0.002,5434324.0,694.0,805.0,746.0,733.0
2021-05-30,Norway,weekly,21,710.0,802.0,763.0,727.0,792.0,780.0,713.0,735.0,692.0,741.0,740.0,728.0,749.0,2.0,3020.858,141993.0,2.121,56.877,1658352.429,955645.429,126.429,30.516,17.585,0.002,5434324.0,692.0,802.0,745.5,726.0
2021-06-06,Norway,weekly,22,775.0,724.0,725.0,705.0,674.0,716.0,679.0,688.0,757.0,728.0,662.0,726.0,805.0,2.0,2204.141,123164.0,1.788,53.7,1774288.0,1157269.857,159.143,32.65,21.296,0.003,5434324.0,674.0,775.0,717.1,724.0
2021-06-13,Norway,weekly,23,710.0,745.0,790.0,682.0,746.0,758.0,669.0,724.0,713.0,707.0,677.0,727.0,775.0,5.0,1500.285,107846.0,1.386,53.7,1941743.857,1323082.714,185.857,35.731,24.347,0.003,5434324.0,669.0,790.0,724.4,722.0
2021-06-20,Norway,weekly,24,722.0,752.0,732.0,700.0,690.0,746.0,729.0,732.0,671.0,735.0,731.0,685.0,806.0,1.0,1234.0,107717.0,1.146,53.7,2133485.0,1446417.286,219.857,39.259,26.616,0.004,5434324.0,671.0,752.0,720.9,684.0
2021-06-27,Norway,weekly,25,710.0,726.0,737.0,715.0,705.0,712.0,725.0,757.0,703.0,723.0,739.0,696.0,891.0,2.0,1277.143,104621.0,1.221,53.7,2390123.429,1536559.286,258.429,43.982,28.275,0.005,5434324.0,703.0,757.0,721.3,694.0
