date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Oman,monthly,1,,,,,,,708.75,775.4,804.4,826.0,731.0,856.75,,,,,,,,,,,,,,708.75,826.0,778.6375,
2020-01-12,Oman,monthly,2,,,,,,,739.5,774.8,821.8,822.75,752.5,850.5,,,,,,,,,,,,,,739.5,822.75,789.7125,
2020-01-19,Oman,monthly,3,,,,,,,770.25,774.2,839.2,819.5,774.0,844.25,,,,,,,,,,,,,,770.25,839.2,800.7875,
2020-01-26,Oman,monthly,4,,,,,,,801.0,773.6,856.6,816.25,795.5,838.0,,,,,,,,,,,,,,773.6,856.6,811.8625,
2020-02-02,Oman,monthly,5,,,,,,732.0,786.8,773.0,874.0,813.0,817.0,813.75,,,,,,,,,,,,,,732.0,874.0,795.76,
2020-02-09,Oman,monthly,6,,,,,,686.5,772.6,765.25,832.0,778.75,786.75,789.5,,,,,,,,,,,,,,686.5,832.0,767.02,
2020-02-16,Oman,monthly,7,,,,,,641.0,758.4,757.5,790.0,744.5,756.5,765.25,,,,,,,,,,,,,,641.0,790.0,738.28,
2020-02-23,Oman,monthly,8,,,,,,595.5,744.2,749.75,748.0,710.25,726.25,741.0,,,,,,,,,,,,,,595.5,749.75,709.54,
2020-03-01,Oman,monthly,9,,,,,,550.0,730.0,742.0,706.0,676.0,696.0,768.6,,0.0,0.857,,19.44,,,,5223376.0,,,,,550.0,742.0,680.8,696.0
2020-03-08,Oman,monthly,10,,,,,,560.4,755.0,760.25,722.25,697.75,720.2,796.2,,0.2,1.4081428571428571,,19.44,,,,5223376.0,,,,,560.4,760.25,699.13,720.0
2020-03-15,Oman,monthly,11,,,,,,570.8,780.0,778.5,738.5,719.5,744.4,823.8,,0.4,0.6737142857142857,,21.028571428571432,,,,5223376.0,,,,,570.8,780.0,717.46,744.0
2020-03-22,Oman,monthly,12,,,,,,581.2,805.0,796.75,754.75,741.25,768.6,851.4,,0.6000000000000001,3.2244285714285716,,66.93285714285715,,,,5223376.0,,,,,581.2,805.0,735.79,768.0
2020-03-29,Oman,monthly,13,,,,,,591.6,830.0,815.0,771.0,763.0,792.8,879.0,,0.8,10.612142857142857,,81.48,,,,5223376.0,,,,,591.6,830.0,754.12,792.0
2020-04-05,Oman,monthly,14,,,,,,602.0,803.0,789.5,761.0,742.2,817.0,935.5,,1.0,16.959285714285716,,84.66,,,,5223376.0,,,,,602.0,803.0,739.54,816.0
2020-04-12,Oman,monthly,15,,,,,,598.25,776.0,764.0,751.0,721.4,786.25,992.0,,3.25,32.0,,88.36142857142856,,,,5223376.0,,,,,598.25,776.0,722.13,783.0
2020-04-19,Oman,monthly,16,,,,,,594.5,749.0,738.5,741.0,700.6,755.5,1048.5,,5.5,77.08157142857144,,92.59,,,,5223376.0,,,,,594.5,749.0,704.72,750.0
2020-04-26,Oman,monthly,17,,,,,,590.75,722.0,713.0,731.0,679.8,724.75,1105.0,,7.75,101.163,,92.59,,,,5223376.0,,,,,590.75,731.0,687.3100000000001,717.0
2020-05-03,Oman,monthly,18,,,,,,587.0,722.4,715.4,721.0,659.0,694.0,1129.2,,10.0,88.95928571428571,,89.94428571428571,,,,5223376.0,,,,,587.0,722.4,680.96,684.0
