date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Oman,monthly,1,,,,,,,708.75,775.4,804.4,826.0,731.0,856.75,869.2,64.5,1163.428,,,42.59,14043.571,,,0.311,,,4520471.0,708.75,826.0,778.638,792.25
2021-01-17,Oman,monthly,2,,,,,,,739.5,774.8,821.8,822.75,752.5,850.5,891.4,53.0,1189.713,,,42.59,22846.214,673.0,,0.505,0.015,,4520471.0,739.5,822.75,789.712,797.5
2021-01-24,Oman,monthly,3,,,,,,,770.25,774.2,839.2,819.5,774.0,844.25,913.6,41.5,1226.284,,,45.37,24773.0,4943.857,,0.548,0.109,,4520471.0,770.25,839.2,800.788,802.75
2021-01-31,Oman,monthly,4,,,,,,,801.0,773.6,856.6,816.25,795.5,838.0,935.8,30.0,1252.573,,,45.37,25023.119,11803.714,,0.554,0.261,,4520471.0,773.6,856.6,811.862,808.0
2021-02-07,Oman,monthly,5,,,,,,732.0,786.8,773.0,874.0,813.0,817.0,813.75,958.0,32.75,1302.569,,,45.37,26173.667,12272.0,,0.579,0.271,,4520471.0,732.0,874.0,795.76,781.0
2021-02-14,Oman,monthly,6,,,,,,686.5,772.6,765.25,832.0,778.75,786.75,789.5,959.75,35.5,1552.0,,,50.131,32225.429,12272.0,,0.713,0.271,,4520471.0,686.5,832.0,767.02,754.0
2021-02-21,Oman,monthly,7,,,,,,641.0,758.4,757.5,790.0,744.5,756.5,765.25,961.5,38.25,1835.001,,,56.48,41098.571,18055.143,,0.909,0.399,,4520471.0,641.0,790.0,738.28,727.0
2021-02-28,Oman,monthly,8,,,,,,595.5,744.2,749.75,748.0,710.25,726.25,741.0,963.25,41.0,2095.715,,,56.48,52529.49,19019.0,,1.162,0.421,,4520471.0,595.5,749.75,709.54,700.0
2021-03-07,Oman,monthly,9,,,,,,550.0,730.0,742.0,706.0,676.0,696.0,768.6,965.0,54.4,2272.286,,,61.243,65906.857,19019.0,,1.458,0.421,,4520471.0,550.0,742.0,680.8,714.2
2021-03-14,Oman,monthly,10,,,,,,560.4,755.0,760.25,722.25,697.75,720.2,796.2,935.75,67.8,2569.001,,,67.59,79784.939,19019.0,,1.765,0.421,,4520471.0,560.4,760.25,699.13,728.4
2021-03-21,Oman,monthly,11,,,,,,570.8,780.0,778.5,738.5,719.5,744.4,823.8,906.5,81.2,3580.857,,,67.59,92928.5,19019.0,,2.056,0.421,,4520471.0,570.8,780.0,717.46,742.6
2021-03-28,Oman,monthly,12,,,,,,581.2,805.0,796.75,754.75,741.25,768.6,851.4,877.25,94.6,4628.857,,,69.971,111444.214,19019.0,,2.465,0.421,,4520471.0,581.2,805.0,735.79,756.8
2021-04-04,Oman,monthly,13,,,,,,591.6,830.0,815.0,771.0,763.0,792.8,879.0,848.0,108.0,6110.0,,,83.731,135587.786,19019.0,,2.999,0.421,,4520471.0,591.6,830.0,754.12,771.0
2021-04-11,Oman,monthly,14,,,,,,602.0,803.0,789.5,761.0,742.2,817.0,935.5,815.75,164.0,7804.999,,,75.397,159310.571,19019.0,,3.524,0.421,,4520471.0,602.0,803.0,739.54,771.5
2021-04-18,Oman,monthly,15,,,,,,598.25,776.0,764.0,751.0,721.4,786.25,992.0,783.5,220.0,8722.57,,,79.766,179843.214,19019.0,,3.978,0.421,,4520471.0,598.25,776.0,722.13,772.0
2021-04-25,Oman,monthly,16,,,,,,594.5,749.0,738.5,741.0,700.6,755.5,1048.5,751.25,276.0,8497.429,,,80.56,199551.242,42293.984,,4.414,0.936,,4520471.0,594.5,749.0,704.72,772.5
2021-05-02,Oman,monthly,17,,,,,,590.75,722.0,713.0,731.0,679.8,724.75,1105.0,719.0,332.0,8145.286,,,80.56,204097.154,56746.308,,4.515,1.255,,4520471.0,590.75,731.0,687.31,773.0
2021-05-09,Oman,monthly,18,,,,,,587.0,722.4,715.4,721.0,659.0,694.0,1129.2,723.0,332.6,6156.572,,,80.56,208939.538,65923.577,,4.622,1.458,,4520471.0,587.0,722.4,680.96,796.6
2021-05-16,Oman,monthly,19,,,,,,593.0,722.8,717.8,712.5,663.5,710.0,1153.4,727.0,333.2,4079.572,,,74.737,213781.923,75100.846,,4.729,1.661,,4520471.0,593.0,722.8,681.92,820.2
2021-05-23,Oman,monthly,20,,,,,,599.0,723.2,720.2,704.0,668.0,726.0,1177.6,731.0,333.8,5169.001,,,75.527,233594.286,90390.556,,5.167,2.0,,4520471.0,599.0,723.2,682.88,843.8
2021-05-30,Oman,monthly,21,,,,,,605.0,723.6,722.6,695.5,672.5,742.0,1201.8,735.0,334.4,5186.0,,,80.03,273366.619,113830.185,,6.047,2.518,,4520471.0,605.0,723.6,683.84,867.4
2021-06-06,Oman,monthly,22,,,,,,611.0,724.0,725.0,687.0,677.0,758.0,1226.0,739.0,335.0,6758.716,,,65.216,313138.952,137269.815,,6.927,3.037,,4520471.0,611.0,725.0,684.8,891.0
2021-06-13,Oman,monthly,23,,,,,,603.6,707.25,730.75,690.5,678.75,780.0,1354.75,718.0,440.0,9229.142,,,44.316,385478.0,160709.444,,8.527,3.555,,4520471.0,603.6,730.75,682.17,914.75
2021-06-20,Oman,monthly,24,,,,,,596.2,690.5,736.5,694.0,680.5,802.0,1483.5,697.0,545.0,12330.428,,,45.373,584295.429,187221.571,,12.926,4.142,,4520471.0,596.2,736.5,679.54,938.5
2021-06-27,Oman,monthly,25,,,,,,588.8,673.75,742.25,697.5,682.25,824.0,1612.25,676.0,650.0,13942.286,,,72.09,780890.133,205881.067,,17.275,4.554,,4520471.0,588.8,742.25,676.91,962.25
2021-07-04,Oman,monthly,26,,,,,,581.4,657.0,748.0,701.0,684.0,846.0,1741.0,655.0,755.0,13791.285,,,75.0,981947.867,228422.933,,21.722,5.053,,4520471.0,581.4,748.0,674.28,986.0
2021-07-11,Oman,monthly,27,,,,,,574.0,680.25,750.4,707.4,683.8,868.0,1763.0,,744.75,11348.428,,,76.191,1238006.5,255271.571,,27.387,5.647,,4520471.0,574.0,750.4,679.17,1018.25
2021-07-18,Oman,monthly,28,,,,,,595.5,703.5,752.8,713.8,683.6,908.25,1785.0,,734.5,7418.856,,,53.969,1435075.442,293292.325,,31.746,6.488,,4520471.0,595.5,752.8,689.84,1050.5
2021-07-25,Oman,monthly,29,,,,,,617.0,726.75,755.2,720.2,683.4,948.5,1807.0,,724.25,1539.143,,,50.0,1519836.273,324274.818,,33.621,7.173,,4520471.0,617.0,755.2,700.51,1082.75
2021-08-01,Oman,monthly,30,,,,,,638.5,750.0,757.6,726.6,683.2,988.75,1829.0,,714.0,5896.855,,,50.0,1672838.0,419712.867,,37.006,9.285,,4520471.0,638.5,757.6,711.18,1115.0
2021-08-08,Oman,monthly,31,,,,,,660.0,742.6,760.0,733.0,683.0,1029.0,1668.4,,621.2,2222.714,,,50.0,1886212.0,565316.133,,41.726,12.506,,4520471.0,660.0,760.0,715.72,1047.2
2021-08-15,Oman,monthly,32,,,,,,658.2,735.2,728.25,742.5,700.0,1024.6,1507.8,,528.4,1625.57,,,50.0,2071479.429,711607.143,,45.824,15.742,,4520471.0,658.2,742.5,712.83,979.4
2021-08-22,Oman,monthly,33,,,,,,656.4,727.8,696.5,752.0,717.0,1020.2,1347.2,,435.6,1333.714,,,64.81,2233524.0,901650.0,,49.409,19.946,,4520471.0,656.4,752.0,709.94,911.6
2021-08-29,Oman,monthly,34,,,,,,654.6,720.4,664.75,761.5,734.0,1015.8,1186.6,,342.8,918.43,,,67.193,2408651.714,1045163.714,,53.283,23.121,,4520471.0,654.6,761.5,707.05,843.8
2021-09-05,Oman,monthly,35,,,,,,652.8,713.0,633.0,771.0,751.0,1011.4,1026.0,,250.0,687.287,,,67.79,2548339.0,1246046.0,,56.373,27.565,,4520471.0,633.0,771.0,704.16,776.0
2021-09-12,Oman,monthly,36,,,,,,651.0,706.0,651.75,754.75,746.8,1007.0,947.25,,195.5,472.715,,,63.833,2651242.5,1535368.5,,58.65,33.965,,4520471.0,651.0,754.75,702.06,751.75
2021-09-19,Oman,monthly,37,,,,,,628.5,699.0,670.5,738.5,742.6,1023.5,868.5,,141.0,385.287,,,61.753,2752981.429,1712296.571,,60.9,37.879,,4520471.0,628.5,742.6,695.82,727.5
2021-09-26,Oman,monthly,38,,,,,,606.0,692.0,689.25,722.25,738.4,1040.0,789.75,,86.5,249.856,,,55.16,2842515.375,1910408.5,,62.881,42.261,,4520471.0,606.0,738.4,689.58,703.25
2021-10-03,Oman,monthly,39,,,,,,583.5,685.0,708.0,706.0,734.2,1056.5,711.0,,32.0,205.571,,,43.819,2905171.663,2086954.027,,64.267,46.167,,4520471.0,583.5,734.2,683.34,679.0
2021-10-10,Oman,monthly,40,,,,,,561.0,694.2,712.2,718.4,730.0,1073.0,729.25,,27.75,149.714,,,45.366,2940104.462,2219752.615,,65.04,49.104,,4520471.0,561.0,730.0,683.16,701.5
2021-10-17,Oman,monthly,41,,,,,,558.5,703.4,716.4,730.8,724.25,1072.25,747.5,,23.5,125.57,,,44.273,2985973.75,2374871.75,,66.054,52.536,,4520471.0,558.5,730.8,686.67,724.0
2021-10-24,Oman,monthly,42,,,,,,556.0,712.6,720.6,743.2,718.5,1071.5,765.75,,19.25,89.284,,,43.366,3046494.473,2558703.095,,67.393,56.603,,4520471.0,556.0,743.2,690.18,746.5
2021-10-31,Oman,monthly,43,,,,,,553.5,721.8,724.8,755.6,712.75,1070.75,784.0,,15.0,125.285,,,44.666,3072342.294,2649604.059,,67.965,58.613,,4520471.0,553.5,755.6,693.69,769.0
2021-11-07,Oman,monthly,44,,,,,,551.0,731.0,729.0,768.0,707.0,1070.0,780.8,,12.4,93.712,,,44.93,3082429.706,2698263.941,,68.188,59.69,,4520471.0,551.0,768.0,697.2,768.4
2021-11-14,Oman,monthly,45,,,,,,558.0,725.75,728.75,754.75,707.0,1034.6,777.6,,9.8,78.427,,,43.37,3091229.077,2741075.663,,68.383,60.637,,4520471.0,558.0,754.75,694.85,767.8
2021-11-21,Oman,monthly,46,,,,,,565.0,720.5,728.5,741.5,707.0,999.2,774.4,,7.2,56.429,,,43.11,3097194.757,2771021.432,,68.515,61.299,,4520471.0,565.0,741.5,692.5,767.2
2021-11-28,Oman,monthly,47,,,,,,572.0,715.25,728.25,728.25,707.0,963.8,771.2,,4.6,53.855,,,46.761,3103074.568,2800577.324,,68.645,61.953,,4520471.0,572.0,728.25,690.15,766.6
2021-12-05,Oman,monthly,48,,,,,,579.0,710.0,728.0,715.0,707.0,928.4,768.0,,2.0,56.143,,,50.17,3108954.378,2830133.216,,68.775,62.607,,4520471.0,579.0,728.0,687.8,766.0
