date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Palestine,monthly,1,,,,,,,,,,1135.0,1178.0,1829.75,,609.25,7120.43,31829.0,22.331,68.06,,,,,,,5250076.0,1135.0,1135.0,1135.0,1220.5
2021-01-17,Palestine,monthly,2,,,,,,,,,,1216.25,1215.75,1761.5,,550.5,5296.287,28259.0,18.726,73.609,,,,,,,5250076.0,1216.25,1216.25,1216.25,1211.0
2021-01-24,Palestine,monthly,3,,,,,,,,,,1297.5,1253.5,1693.25,,491.75,3731.858,27026.0,13.793,78.7,,,,,,,5250076.0,1297.5,1297.5,1297.5,1201.5
2021-01-31,Palestine,monthly,4,,,,,,,,,,1378.75,1291.25,1625.0,,433.0,3468.142,27411.0,12.649,77.911,,,,,,,5250076.0,1378.75,1378.75,1378.75,1192.0
2021-02-07,Palestine,monthly,5,,,,,,,,,1159.0,1460.0,1329.0,1549.75,,377.0,3506.572,29011.0,12.09,77.78,,,,,,,5250076.0,1159.0,1460.0,1309.5,1172.75
2021-02-14,Palestine,monthly,6,,,,,,,,,1142.5,1378.0,1295.25,1474.5,,321.0,4423.142,31166.0,14.166,77.78,,,,,,,5250076.0,1142.5,1378.0,1260.25,1153.5
2021-02-21,Palestine,monthly,7,,,,,,,,,1126.0,1296.0,1261.5,1399.25,,265.0,5602.286,34285.0,16.342,83.33,,,,,,,5250076.0,1126.0,1296.0,1211.0,1134.25
2021-02-28,Palestine,monthly,8,,,,,,,,,1109.5,1214.0,1227.75,1324.0,,209.0,8213.858,44910.0,18.241,82.206,,,,,,,5250076.0,1109.5,1214.0,1161.75,1115.0
2021-03-07,Palestine,monthly,9,,,,,,,,,1093.0,1132.0,1194.0,1437.6,,284.2,11826.714,59985.0,19.691,75.46,,,,,,,5250076.0,1093.0,1132.0,1112.5,1153.4
2021-03-14,Palestine,monthly,10,,,,,,,,,1070.5,1157.0,1176.2,1551.2,,359.4,12830.285,57420.0,22.358,67.523,,,,,,,5250076.0,1070.5,1157.0,1113.75,1191.8
