date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Panama,monthly,1,,,,,,,1598.0,1613.2,1670.0,1774.0,1647.0,2391.75,,84.4,18497.0,119982.0,15.13416004870056,57.410000000000004,3033834.9285714286,2473471.5714285714,481234.5714285714,69.24061300610826,56.451551218556666,10.983121201368807,4381583.0,1598.0,1774.0,1663.8,
2022-01-16,Panama,monthly,2,,,,,,,1605.0,1637.4,1649.0,1782.25,1743.25,2643.5,,105.8,37450.428,148012.0,25.24236272078944,,3054714.4285714286,2482022.8571428573,625785.4285714285,69.71714169448413,56.64671551680881,14.282176751448702,4381583.0,1605.0,1782.25,1668.4125,
2022-01-23,Panama,monthly,3,,,,,,,1612.0,1661.6,1628.0,1790.5,1839.5,2895.25,,127.19999999999999,63418.001000000004,98625.0,35.552477305648964,,3085474.4285714286,2490935.285714286,767883.7142857143,70.4191710751897,56.850122106879766,17.52525775012625,4381583.0,1612.0,1790.5,1673.025,
2022-01-30,Panama,monthly,4,,,,,,,1619.0,1685.8,1607.0,1798.75,1935.75,3147.0,,148.6,0.0,0.0,,,3100003.0,2496116.0,846298.0,70.75075378008358,56.96836052175664,19.31489144448479,4381583.0,1607.0,1798.75,1677.6375,
2022-02-06,Panama,monthly,5,,,,,,1602.0,1582.8,1710.0,1586.0,1807.0,2032.0,3117.25,,,,,,,,,,,,,,1582.8,1807.0,1657.56,
2022-02-13,Panama,monthly,6,,,,,,1545.75,1546.6,1657.75,1542.5,1735.75,1906.75,3087.5,,,,,,,,,,,,,,1542.5,1735.75,1605.67,
2022-02-20,Panama,monthly,7,,,,,,1489.5,1510.4,1605.5,1499.0,1664.5,1781.5,3057.75,,,,,,,,,,,,,,1489.5,1664.5,1553.78,
2022-02-27,Panama,monthly,8,,,,,,1433.25,1474.2,1553.25,1455.5,1593.25,1656.25,3028.0,,,,,,,,,,,,,,1433.25,1593.25,1501.8899999999999,
2022-03-06,Panama,monthly,9,,,,,,1377.0,1438.0,1501.0,1412.0,1522.0,1531.0,2909.8,,,,,,,,,,,,,,1377.0,1522.0,1450.0,
2022-03-13,Panama,monthly,10,,,,,,1413.0,1475.25,1532.5,1456.25,1525.0,1482.2,2791.6,,,,,,,,,,,,,,1413.0,1532.5,1480.4,
2022-03-20,Panama,monthly,11,,,,,,1449.0,1512.5,1564.0,1500.5,1528.0,1433.4,2673.4,,,,,,,,,,,,,,1449.0,1564.0,1510.8,
2022-03-27,Panama,monthly,12,,,,,,1485.0,1549.75,1595.5,1544.75,1531.0,1384.6,2555.2,,,,,,,,,,,,,,1485.0,1595.5,1541.2,
2022-04-03,Panama,monthly,13,,,,,,1521.0,1587.0,1627.0,1589.0,1534.0,1335.8,2437.0,,,,,,,,,,,,,,1521.0,1627.0,1571.6,
2022-04-10,Panama,monthly,14,,,,,,1557.0,1576.75,1591.5,1602.6,1568.0,1287.0,2295.75,,,,,,,,,,,,,,1557.0,1602.6,1579.17,
2022-04-17,Panama,monthly,15,,,,,,1523.75,1566.5,1556.0,1616.2,1602.0,982.5,2154.5,,,,,,,,,,,,,,1523.75,1616.2,1572.8899999999999,
2022-04-24,Panama,monthly,16,,,,,,1490.5,1556.25,1520.5,1629.8,1636.0,678.0,2013.25,,,,,,,,,,,,,,1490.5,1636.0,1566.6100000000001,
2022-05-01,Panama,monthly,17,,,,,,1457.25,1546.0,1485.0,1643.4,1670.0,373.5,1872.0,,,,,,,,,,,,,,1457.25,1670.0,1560.33,
2022-05-08,Panama,monthly,18,,,,,,1424.0,1547.8,1497.0,1657.0,1704.0,69.0,1856.6,,,,,,,,,,,,,,1424.0,1704.0,1565.96,
2022-05-15,Panama,monthly,19,,,,,,1423.25,1549.6,1509.0,1636.0,1701.0,672.5,1841.2,,,,,,,,,,,,,,1423.25,1701.0,1563.77,
2022-05-22,Panama,monthly,20,,,,,,1422.5,1551.4,1521.0,1615.0,1698.0,1276.0,1825.8,,,,,,,,,,,,,,1422.5,1698.0,1561.58,
2022-05-29,Panama,monthly,21,,,,,,1421.75,1553.2,1533.0,1594.0,1695.0,1879.5,1810.4,,,,,,,,,,,,,,1421.75,1695.0,1559.3899999999999,
2022-06-05,Panama,monthly,22,,,,,,1421.0,1555.0,1545.0,1573.0,1692.0,2483.0,1795.0,,,,,,,,,,,,,,1421.0,1692.0,1557.2,
2022-06-12,Panama,monthly,23,,,,,,1438.4,1572.25,1556.25,1568.5,1705.25,2443.2,1834.5,,,,,,,,,,,,,,1438.4,1705.25,1568.1299999999999,
2022-06-19,Panama,monthly,24,,,,,,1455.8,1589.5,1567.5,1564.0,1718.5,2403.4,1874.0,,,,,,,,,,,,,,1455.8,1718.5,1579.06,
