date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Paraguay,monthly,1,,,,,,,2551.0,2382.4,2526.4,2750.0,2729.0,3484.5,3701.8,,,,,,,,,,,,,2382.4,2750.0,2552.45,
2020-01-12,Paraguay,monthly,2,,,,,,,2633.0,2417.8,2524.8,2741.0,2762.25,3413.0,4227.6,,,,,,,,,,,,,2417.8,2741.0,2579.15,
2020-01-19,Paraguay,monthly,3,,,,,,,2715.0,2453.2,2523.2,2732.0,2795.5,3341.5,4753.4,,,,,,,,,,,,,2453.2,2732.0,2605.85,
2020-01-26,Paraguay,monthly,4,,,,,,,2797.0,2488.6,2521.6,2723.0,2828.75,3270.0,5279.2,,,,,,,,,,,,,2488.6,2797.0,2632.55,
2020-02-02,Paraguay,monthly,5,,,,,,2456.0,2758.4,2524.0,2520.0,2714.0,2862.0,3275.25,5805.0,,,,,,,,,,,,,2456.0,2758.4,2594.48,
2020-02-09,Paraguay,monthly,6,,,,,,2359.75,2719.8,2436.0,2463.75,2634.0,2863.25,3280.5,5232.0,,,,,,,,,,,,,2359.75,2719.8,2522.66,
2020-02-16,Paraguay,monthly,7,,,,,,2263.5,2681.2,2348.0,2407.5,2554.0,2864.5,3285.75,4659.0,,,,,,,,,,,,,2263.5,2681.2,2450.84,
2020-02-23,Paraguay,monthly,8,,,,,,2167.25,2642.6,2260.0,2351.25,2474.0,2865.75,3291.0,4086.0,,,,,,,,,,,,,2167.25,2642.6,2379.02,
2020-03-01,Paraguay,monthly,9,,,,,,2071.0,2604.0,2172.0,2295.0,2394.0,2867.0,3573.2,3513.0,,,,,,,,,,,,,2071.0,2604.0,2307.2,
2020-03-08,Paraguay,monthly,10,,,,,,2135.4,2625.0,2211.25,2353.5,2457.25,2895.4,3855.4,,,,,,5.56,,,,,,,7219641.0,2135.4,2625.0,2356.48,
2020-03-15,Paraguay,monthly,11,,,,,,2199.8,2646.0,2250.5,2412.0,2520.5,2923.8,4137.6,,,3.0,20.0,10.417,43.651,,,,,,,7219641.0,2199.8,2646.0,2405.76,
2020-03-22,Paraguay,monthly,12,,,,,,2264.2,2667.0,2289.75,2470.5,2583.75,2952.2,4419.8,,,9.571,182.0,5.284,62.171,,,,,,,7219641.0,2264.2,2667.0,2455.04,
2020-03-29,Paraguay,monthly,13,,,,,,2328.6,2688.0,2329.0,2529.0,2647.0,2980.6,4702.0,,,32.857,453.0,7.167,79.233,,,,,,,7219641.0,2328.6,2688.0,2504.32,
2020-04-05,Paraguay,monthly,14,,,,,,2393.0,2651.5,2348.0,2520.4,2620.6,3009.0,5114.75,,3.0,40.0,685.0,5.915,80.027,,,,,,,7219641.0,2348.0,2651.5,2506.7,3006.0
2020-04-12,Paraguay,monthly,15,,,,,,2384.0,2615.0,2367.0,2511.8,2594.2,2899.25,5527.5,,4.0,40.715,1333.0,3.192,82.936,,,,,,,7219641.0,2367.0,2615.0,2494.4,2895.25
2020-04-19,Paraguay,monthly,16,,,,,,2375.0,2578.5,2386.0,2503.2,2567.8,2789.5,5940.25,,5.0,58.286,1900.0,3.041,94.44,,,,,,,7219641.0,2375.0,2578.5,2482.1,2784.5
2020-04-26,Paraguay,monthly,17,,,,,,2366.0,2542.0,2405.0,2494.6,2541.4,2679.75,6353.0,,6.0,32.0,2348.0,1.369,94.44,,,,,,,7219641.0,2366.0,2542.0,2469.8,2673.75
2020-05-03,Paraguay,monthly,18,,,,,,2357.0,2598.6,2472.0,2486.0,2515.0,2570.0,6592.4,,7.0,78.571,2906.0,2.588,94.44,,,,,,,7219641.0,2357.0,2598.6,2485.72,2563.0
2020-05-10,Paraguay,monthly,19,,,,,,2424.75,2655.2,2539.0,2539.5,2605.5,2596.5,6831.8,,5.5,232.858,3428.0,6.714,94.44,,,,,,,7219641.0,2424.75,2655.2,2552.79,2591.0
2020-05-17,Paraguay,monthly,20,,,,,,2492.5,2711.8,2606.0,2593.0,2696.0,2623.0,7071.2,,4.0,223.571,4890.0,4.529,94.44,,,,,,,7219641.0,2492.5,2711.8,2619.86,2619.0
