location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,people_vaccinated,people_fully_vaccinated,population,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Paraguay,2021-01-31,1,monthly,,,,,,2456.0,2797.0,2524.0,2520.0,2714.0,2858.0,2954.0,456.0,54.66322580645157,,,7132530.0,,,2456.0,2797.0,2602.2,2498.0
Paraguay,2021-02-28,2,monthly,,,,,,2071.0,2604.0,2172.0,2295.0,2394.0,2855.0,2870.0,463.0,50.0,958.125,,7132530.0,0.013433171679614386,,2071.0,2604.0,2307.2,2407.0
Paraguay,2021-03-31,3,monthly,,,,,,2393.0,2688.0,2329.0,2529.0,2647.0,2998.0,4097.0,1025.0,52.688064516129025,14972.451612903225,2746.823529411765,7132530.0,0.20991782176735638,0.0385112089176178,2329.0,2688.0,2517.2,3072.0
Paraguay,2021-04-30,4,monthly,,,,,,2357.0,2542.0,2405.0,2486.0,2515.0,2553.0,5385.0,2179.0,62.09666666666667,71529.03333333334,17573.866666666665,7132530.0,1.0028563964446464,0.24639036452235977,2357.0,2542.0,2461.0,3206.0
Paraguay,2021-05-31,5,monthly,,,,,,2628.0,2825.0,2740.0,2700.0,2877.0,2657.0,5453.0,2801.0,51.429090909090924,215382.12903225806,81770.19354838709,7132530.0,3.019715711427194,1.146440232966242,2628.0,2877.0,2754.0,2652.0
Paraguay,2021-06-30,6,monthly,,,,,,2805.0,3267.0,2957.0,2921.0,3238.0,2820.0,,2557.0,49.07000000000001,348287.38095238095,216427.42857142858,7132530.0,4.8830832951614775,3.034371093727311,2805.0,3267.0,3037.6,
Paraguay,2021-07-31,7,monthly,,,,,,3023.0,3155.0,2860.0,3024.0,3264.0,2963.0,,,,,,,,,2860.0,3264.0,3065.2,
Paraguay,2021-08-31,8,monthly,,,,,,2608.0,2730.0,2617.0,3249.0,3104.0,3412.0,,,,,,,,,2608.0,3249.0,2861.6,
Paraguay,2021-09-30,9,monthly,,,,,,2436.0,2598.0,2312.0,2818.0,2882.0,3374.0,,,,,,,,,2312.0,2882.0,2609.2,
Paraguay,2021-10-31,10,monthly,,,,,,2314.0,2520.0,2417.0,2610.0,2855.0,3371.0,,,,,,,,,2314.0,2855.0,2543.2,
Paraguay,2021-11-30,11,monthly,,,,,,2242.0,2287.0,2250.0,2410.0,2605.0,2997.0,,,,,,,,,2242.0,2605.0,2358.8,
Paraguay,2021-12-31,12,monthly,,,,,,2469.0,2347.0,2528.0,2750.0,2729.0,3390.0,,,,,,,,,2347.0,2750.0,2564.6,
