location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,people_vaccinated,people_fully_vaccinated,population,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Peru,2020-01-05,1,weekly,,,,,,,,1585.0,1988.0,2238.0,2407.0,3985.0,,,,,,,,1585.0,2238.0,1937.0,
Peru,2020-01-12,2,weekly,,,,,,,,1669.0,1980.0,2126.0,2430.0,4637.0,0.0,0.0,,,32971846.0,,,1669.0,2126.0,1925.0,2430.0
Peru,2020-01-19,3,weekly,,,,,,,,1739.0,1922.0,2132.0,2328.0,5706.0,0.0,0.0,,,32971846.0,,,1739.0,2132.0,1931.0,2328.0
Peru,2020-01-26,4,weekly,,,,,,,,1761.0,1953.0,2126.0,2356.0,6706.0,0.0,0.0,,,32971846.0,,,1761.0,2126.0,1946.6666666666667,2356.0
Peru,2020-02-02,5,weekly,,,,,,,,1879.0,1888.0,2345.0,2257.0,7016.0,0.0,0.0,,,32971846.0,,,1879.0,2345.0,2037.3333333333333,2257.0
Peru,2020-02-09,6,weekly,,,,,,,,1683.0,1914.0,2307.0,2328.0,7691.0,0.0,0.0,,,32971846.0,,,1683.0,2307.0,1968.0,2328.0
Peru,2020-02-16,7,weekly,,,,,,,,1715.0,2024.0,2251.0,2350.0,7711.0,0.0,0.0,,,32971846.0,,,1715.0,2251.0,1996.6666666666667,2350.0
Peru,2020-02-23,8,weekly,,,,,,,,1933.0,1949.0,2317.0,2345.0,7389.0,0.0,0.0,,,32971846.0,,,1933.0,2317.0,2066.3333333333335,2345.0
Peru,2020-03-01,9,weekly,,,,,,,,2054.0,1947.0,2372.0,2416.0,7503.0,0.0,0.0,,,32971846.0,,,1947.0,2372.0,2124.3333333333335,2416.0
Peru,2020-03-08,10,weekly,,,,,,,,1839.0,1893.0,2293.0,2409.0,7382.0,2.0,7.54,,,32971846.0,,,1839.0,2293.0,2008.3333333333333,2407.0
Peru,2020-03-15,11,weekly,,,,,,,,1934.0,1972.0,2252.0,2471.0,7429.0,3.0,36.771428571428565,,,32971846.0,,,1934.0,2252.0,2052.6666666666665,2468.0
Peru,2020-03-22,12,weekly,,,,,,,,1911.0,1970.0,2107.0,2184.0,7568.0,29.0,93.38285714285715,,,32971846.0,,,1911.0,2107.0,1996.0,2155.0
Peru,2020-03-29,13,weekly,,,,,,,,1788.0,1984.0,2111.0,2151.0,7837.0,61.0,94.43999999999998,,,32971846.0,,,1788.0,2111.0,1961.0,2090.0
Peru,2020-04-05,14,weekly,,,,,,,,1768.0,2098.0,2039.0,2388.0,8325.0,222.0,94.43999999999998,,,32971846.0,,,1768.0,2098.0,1968.3333333333333,2166.0
Peru,2020-04-12,15,weekly,,,,,,,,1756.0,1836.0,2096.0,2512.0,8303.0,529.0,94.43999999999998,,,32971846.0,,,1756.0,2096.0,1896.0,1983.0
Peru,2020-04-19,16,weekly,,,,,,,,1804.0,1985.0,2139.0,3095.0,8142.0,940.0,94.43999999999998,,,32971846.0,,,1804.0,2139.0,1976.0,2155.0
Peru,2020-04-26,17,weekly,,,,,,,,1685.0,1991.0,2023.0,3882.0,7617.0,1702.0,94.43999999999998,,,32971846.0,,,1685.0,2023.0,1899.6666666666667,2180.0
Peru,2020-05-03,18,weekly,,,,,,,,1780.0,2130.0,2042.0,4756.0,7127.0,2516.0,95.23714285714286,,,32971846.0,,,1780.0,2130.0,1984.0,2240.0
Peru,2020-05-10,19,weekly,,,,,,,,1751.0,2001.0,1981.0,5452.0,6463.0,3254.0,96.29999999999998,,,32971846.0,,,1751.0,2001.0,1911.0,2198.0
Peru,2020-05-17,20,weekly,,,,,,,,1812.0,2118.0,2021.0,5962.0,5975.0,3577.0,92.59000000000002,,,32971846.0,,,1812.0,2118.0,1983.6666666666667,2385.0
Peru,2020-05-24,21,weekly,,,,,,,,1810.0,2294.0,1995.0,6349.0,5531.0,3809.0,92.59000000000002,,,32971846.0,,,1810.0,2294.0,2033.0,2540.0
Peru,2020-05-31,22,weekly,,,,,,,,1782.0,2288.0,2080.0,6556.0,5078.0,4066.0,89.81000000000002,,,32971846.0,,,1782.0,2288.0,2050.0,2490.0
Peru,2020-06-07,23,weekly,,,,,,,,1933.0,2347.0,2124.0,6648.0,,4124.0,89.81000000000002,,,32971846.0,,,1933.0,2347.0,2134.6666666666665,2524.0
Peru,2020-06-14,24,weekly,,,,,,,,1839.0,2443.0,2169.0,6724.0,,4176.0,89.81000000000002,,,32971846.0,,,1839.0,2443.0,2150.3333333333335,2548.0
Peru,2020-06-21,25,weekly,,,,,,,,1918.0,2496.0,2258.0,6593.0,,4330.0,89.81000000000002,,,32971846.0,,,1918.0,2496.0,2224.0,2263.0
Peru,2020-06-28,26,weekly,,,,,,,,1966.0,2454.0,2181.0,6157.0,,3530.0,89.81000000000002,,,32971846.0,,,1966.0,2454.0,2200.3333333333335,2627.0
Peru,2020-07-05,27,weekly,,,,,,,,2009.0,2476.0,2233.0,6240.0,,3755.0,81.87428571428572,,,32971846.0,,,2009.0,2476.0,2239.3333333333335,2485.0
Peru,2020-07-12,28,weekly,,,,,,,,1922.0,2320.0,2182.0,6490.0,,3903.0,77.90857142857143,,,32971846.0,,,1922.0,2320.0,2141.3333333333335,2587.0
Peru,2020-07-19,29,weekly,,,,,,,,1957.0,2389.0,2256.0,6763.0,,4901.0,75.92999999999999,,,32971846.0,,,1957.0,2389.0,2200.6666666666665,1862.0
Peru,2020-07-26,30,weekly,,,,,,,,2004.0,2377.0,2265.0,6780.0,,3480.0,78.30857142857144,,,32971846.0,,,2004.0,2377.0,2215.3333333333335,3300.0
Peru,2020-08-02,31,weekly,,,,,,,,1929.0,2388.0,2231.0,6916.0,,4376.0,81.48,,,32971846.0,,,1929.0,2388.0,2182.6666666666665,2540.0
Peru,2020-08-09,32,weekly,,,,,,,,1962.0,2375.0,2356.0,7123.0,,4433.0,81.48,,,32971846.0,,,1962.0,2375.0,2231.0,2690.0
