date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Philippines,monthly,1,,,,,,,48147.75,49276.0,50449.2,51444.0,51862.0,55296.5,58901.4,2867.0,55462.429,350195.0,14.393,65.549,61340006.833,51462438.086,2723065.829,53.081,44.533,2.356,115559008.0,48147.75,51444.0,49829.238,56034.4
2022-01-16,Philippines,monthly,2,,,,,,,48529.5,49576.0,50868.4,53008.25,52271.5,56862.0,61600.8,2775.0,198392.43,540374.0,36.623,65.23,62385948.0,54197442.714,4311939.571,53.986,46.9,3.731,115559008.0,48529.5,53008.25,50495.538,58825.8
2022-01-23,Philippines,monthly,3,,,,,,,48911.25,49876.0,51287.6,54572.5,52681.0,58427.5,64300.2,2683.0,230532.143,505351.0,45.621,64.953,63431889.167,56608901.571,5777979.714,54.891,48.987,5.0,115559008.0,48911.25,54572.5,51161.838,61617.2
2022-01-30,Philippines,monthly,4,,,,,,,49293.0,50176.0,51706.8,56136.75,53090.5,59993.0,66999.6,2591.0,166193.0,411601.0,40.171,60.611,64477830.333,58271514.929,6961815.214,55.796,50.426,6.024,115559008.0,49293.0,56136.75,51828.138,64408.6
2022-02-06,Philippines,monthly,5,,,,,,50381.0,48220.6,50476.0,52126.0,57701.0,53500.0,58460.0,69699.0,2499.0,91608.286,310040.0,29.258,57.883,65523771.5,59557838.714,7843806.929,56.702,51.539,6.788,115559008.0,48220.6,57701.0,51780.92,67200.0
2022-02-13,Philippines,monthly,6,,,,,,48920.75,47148.2,49048.25,50403.5,55475.25,51689.0,56927.0,65295.5,2486.25,41627.0,234768.0,17.563,58.08,66569712.667,60780311.857,8635153.143,57.607,52.597,7.473,115559008.0,47148.2,55475.25,50199.19,62809.25
2022-02-20,Philippines,monthly,7,,,,,,47460.5,46075.8,47620.5,48681.0,53249.5,49878.0,55394.0,60892.0,2473.5,19441.714,199575.0,9.703,58.184,67615653.833,62132818.214,9457973.0,58.512,53.767,8.185,115559008.0,46075.8,53249.5,48617.46,58418.5
2022-02-27,Philippines,monthly,8,,,,,,46000.25,45003.4,46192.75,46958.5,51023.75,48067.0,53861.0,56488.5,2460.75,10810.571,183395.0,5.879,58.0,68587040.449,62853178.85,9915275.95,59.352,54.391,8.58,115559008.0,45003.4,51023.75,47035.73,54027.75
2022-03-06,Philippines,monthly,9,,,,,,44540.0,43931.0,44765.0,45236.0,48798.0,46256.0,55600.4,52085.0,2448.0,7575.143,172200.0,4.393,58.0,69098674.0,63322360.5,10228376.5,59.795,54.797,8.851,115559008.0,43931.0,48798.0,45454.0,49637.0
2022-03-13,Philippines,monthly,10,,,,,,44922.4,44571.5,45357.75,46018.5,49375.75,46204.0,57339.8,51973.0,2535.5,4789.572,161420.0,2.957,57.951,69560280.143,63791542.15,10541477.05,60.195,55.203,9.122,115559008.0,44571.5,49375.75,46049.18,49437.5
