location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Poland,2020-01-05,1,weekly,7662.0,8015.0,7557.0,9309.0,7533.0,7984.0,8215.0,9279.0,8372.0,8668.0,8464.0,11461.0,,7533.0,9309.0,8259.4,
Poland,2020-01-12,2,weekly,7176.0,7697.0,7442.0,9030.0,7317.0,7754.0,7920.0,10225.0,8078.0,8586.0,8242.0,10963.0,,7176.0,10225.0,8122.5,
Poland,2020-01-19,3,weekly,7320.0,7683.0,7655.0,9041.0,7261.0,7800.0,7683.0,9875.0,8639.0,8700.0,8059.0,11009.0,,7261.0,9875.0,8165.7,
Poland,2020-01-26,4,weekly,7859.0,7690.0,7368.0,8938.0,7463.0,7559.0,7977.0,9946.0,8793.0,8798.0,8017.0,10372.0,,7368.0,9946.0,8239.1,
Poland,2020-02-02,5,weekly,7372.0,8073.0,7728.0,8803.0,7713.0,7963.0,7970.0,10076.0,8987.0,9362.0,8560.0,9834.0,,7372.0,10076.0,8404.7,
Poland,2020-02-09,6,weekly,7345.0,7934.0,8133.0,8401.0,7837.0,8166.0,8145.0,9432.0,9088.0,9269.0,8343.0,9882.0,,7345.0,9432.0,8375.0,
Poland,2020-02-16,7,weekly,7410.0,7821.0,8258.0,8159.0,7584.0,8873.0,7928.0,9221.0,9128.0,9241.0,8624.0,10057.0,,7410.0,9241.0,8362.3,
Poland,2020-02-23,8,weekly,7250.0,7935.0,7699.0,7839.0,7524.0,8985.0,7861.0,9053.0,9333.0,8717.0,8474.0,9665.0,,7250.0,9333.0,8219.6,
Poland,2020-03-01,9,weekly,7023.0,8014.0,7515.0,7788.0,7627.0,9068.0,8002.0,8388.0,9864.0,8620.0,8471.0,9521.0,,7023.0,9864.0,8190.9,
Poland,2020-03-08,10,weekly,7345.0,8033.0,7501.0,7983.0,7557.0,8839.0,7859.0,7967.0,10094.0,8388.0,8364.0,9735.0,0.0,7345.0,10094.0,8156.6,8364.0
Poland,2020-03-15,11,weekly,7398.0,7921.0,7525.0,7946.0,7778.0,8850.0,7824.0,7709.0,9472.0,8183.0,8409.0,,3.0,7398.0,9472.0,8060.6,8406.0
Poland,2020-03-22,12,weekly,7417.0,7691.0,7630.0,8216.0,7758.0,8640.0,8014.0,7637.0,9061.0,8025.0,8322.0,,4.0,7417.0,9061.0,8008.9,8318.0
Poland,2020-03-29,13,weekly,7196.0,7311.0,7637.0,8239.0,7610.0,8535.0,8025.0,7684.0,8689.0,7795.0,8147.0,,15.0,7196.0,8689.0,7872.1,8132.0
