location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Poland,2021-01-10,1,weekly,7662.0,8015.0,7557.0,9309.0,7533.0,7984.0,8215.0,9279.0,8372.0,8668.0,8463.0,11470.0,2070.0,8972.224428571428,40585.857142857145,75.0,169089.0,,37797000.0,22.106775759325025,0.44736090165886183,,7533.0,9309.0,8259.4,9400.0
Poland,2021-01-17,2,weekly,7176.0,7697.0,7442.0,9030.0,7317.0,7754.0,7920.0,10225.0,8078.0,8586.0,8242.0,10969.0,2166.0,8372.530857142858,52501.857142857145,75.0,387172.4285714286,671.0,37797000.0,15.947113707542318,1.024346981430877,0.001775273169828293,7176.0,10225.0,8122.5,8803.0
Poland,2021-01-24,3,weekly,7320.0,7683.0,7655.0,9041.0,7261.0,7800.0,7683.0,9875.0,8639.0,8700.0,8059.0,11016.0,2008.0,6307.081571428571,51669.142857142855,71.3,592370.2857142857,31357.14285714286,37797000.0,12.206669634266376,1.5672415422236834,0.0829619886687908,7261.0,9875.0,8165.7,9008.0
Poland,2021-01-31,4,weekly,7859.0,7690.0,7368.0,8938.0,7463.0,7559.0,7977.0,9946.0,8793.0,8798.0,8015.0,10388.0,1817.0,5508.061142857143,39397.28571428572,71.3,877205.2857142857,160316.0,37797000.0,13.980813761644201,2.320833097108992,0.42415006481995926,7368.0,9946.0,8239.1,8571.0
Poland,2021-02-07,5,weekly,7372.0,8073.0,7728.0,8803.0,7713.0,7963.0,7970.0,10076.0,8987.0,9362.0,8560.0,9882.0,1907.0,5308.020285714286,39097.0,71.3,1134320.857142857,368245.28571428574,37797000.0,13.576541130302289,3.0010870099289813,0.9742712006621841,7372.0,10076.0,8404.7,7975.0
Poland,2021-02-14,6,weekly,7345.0,7934.0,8133.0,8401.0,7837.0,8166.0,8145.0,9432.0,9088.0,9269.0,8343.0,9925.0,1720.0,5332.775285714285,40362.857142857145,71.3,1384965.2857142857,567425.5,37797000.0,13.21208572237559,3.6642201384085658,1.501244807788978,7345.0,9432.0,8375.0,8205.0
Poland,2021-02-21,7,weekly,7410.0,7821.0,8258.0,8159.0,7584.0,8873.0,7928.0,9221.0,9128.0,9241.0,8624.0,10116.0,1364.0,6294.163428571429,43741.857142857145,71.3,1663237.857142857,823163.0,37797000.0,14.389337444030401,4.4004493931869115,2.177852739635421,7410.0,9241.0,8362.3,8752.0
Poland,2021-02-28,8,weekly,7250.0,7935.0,7699.0,7839.0,7524.0,8985.0,7861.0,9053.0,9333.0,8717.0,8474.0,9892.0,1598.0,8427.346857142857,45995.57142857143,71.82857142857144,2011889.9285714286,1083063.642857143,37797000.0,18.32208318192124,5.322882579494215,2.8654751510890892,7250.0,9333.0,8219.6,8294.0
Poland,2021-03-07,9,weekly,7023.0,8014.0,7515.0,7788.0,7627.0,9068.0,8002.0,8388.0,9864.0,8620.0,8471.0,10155.0,1516.0,11135.795857142857,50621.42857142857,71.95857142857143,2395459.0,1332548.642857143,37797000.0,21.99818569211232,6.337696113448158,3.525540764762132,7023.0,9864.0,8190.9,8639.0
Poland,2021-03-14,10,weekly,7345.0,8033.0,7501.0,7983.0,7557.0,8839.0,7859.0,7967.0,10094.0,8388.0,8364.0,10828.0,1893.0,14160.224428571428,56572.42857142857,70.37,2788227.3571428573,1534273.4285714286,37797000.0,25.030257293431678,7.376848313736161,4.059246576636846,7345.0,10094.0,8156.6,8935.0
Poland,2021-03-21,11,weekly,7398.0,7921.0,7525.0,7946.0,7778.0,8850.0,7824.0,7709.0,9472.0,8183.0,8410.0,11559.0,2122.0,19224.877428571428,67713.85714285714,70.89857142857143,3122706.0,1708587.4285714286,37797000.0,28.391348890393818,8.261782681165172,4.520431326749288,7398.0,9472.0,8060.6,9437.0
Poland,2021-03-28,12,weekly,7417.0,7691.0,7630.0,8216.0,7758.0,8640.0,8014.0,7637.0,9061.0,8025.0,8322.0,12600.0,2584.0,24591.99985714286,79507.0,73.28,3623981.3571428573,1901636.5714285714,37797000.0,30.930609703727797,9.588013221003935,5.031183880806866,7417.0,9061.0,8008.9,10016.0
Poland,2021-04-04,13,weekly,7196.0,7311.0,7637.0,8239.0,7610.0,8535.0,8025.0,7684.0,8689.0,7795.0,8148.0,13829.0,3057.0,28080.449,89256.42857142857,75.92999999999999,4338660.785714285,2048248.2857142857,37797000.0,31.460421898382673,11.478849606355757,5.4190763439275225,7196.0,8689.0,7872.1,10772.0
Poland,2021-04-11,14,weekly,7205.0,7306.0,7513.0,8590.0,7417.0,8449.0,7614.0,7366.0,8571.0,7783.0,7991.0,13792.0,3480.0,21524.83685714286,80760.14285714286,75.92999999999999,5125416.857142857,2093612.5714285714,37797000.0,26.652796906536285,13.560380075516198,5.539097207261348,7205.0,8590.0,7781.4,10312.0
Poland,2021-04-18,15,weekly,7149.0,7267.0,7871.0,7928.0,7329.0,8154.0,7510.0,7441.0,8216.0,7699.0,7996.0,12788.0,3611.0,19224.714142857145,87136.28571428571,75.92999999999999,6168429.785714285,2217839.285714286,37797000.0,22.062811130019643,16.31989254627162,5.867765393322977,7149.0,8216.0,7656.4,9177.0
