location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,deaths_min,deaths_max,deaths_median,deaths_noncovid
Poland,2021-01-10,1,weekly,7662.0,8015.0,7557.0,9309.0,7533.0,7984.0,8215.0,9279.0,8372.0,8668.0,8446.0,11407.0,2070.0,7533.0,9309.0,8115.0,9337.0
Poland,2021-01-17,2,weekly,7176.0,7697.0,7442.0,9030.0,7317.0,7754.0,7920.0,10225.0,8078.0,8586.0,8243.0,10887.0,2166.0,7176.0,10225.0,7837.0,8721.0
Poland,2021-01-24,3,weekly,7320.0,7683.0,7655.0,9041.0,7261.0,7800.0,7683.0,9875.0,8639.0,8700.0,8059.0,10935.0,2008.0,7261.0,9875.0,7741.5,8927.0
Poland,2021-01-31,4,weekly,7859.0,7690.0,7368.0,8938.0,7463.0,7559.0,7977.0,9946.0,8793.0,8798.0,8018.0,10149.0,1817.0,7368.0,9946.0,7918.0,8332.0
Poland,2021-02-07,5,weekly,7372.0,8073.0,7728.0,8803.0,7713.0,7963.0,7970.0,10076.0,8987.0,9362.0,8562.0,9249.0,1907.0,7372.0,10076.0,8021.5,7342.0
Poland,2021-02-14,6,weekly,7345.0,7934.0,8133.0,8401.0,7837.0,8166.0,8145.0,9432.0,9088.0,9269.0,8343.0,9024.0,1720.0,7345.0,9432.0,8155.5,7304.0
Poland,2021-02-21,7,weekly,7410.0,7821.0,8258.0,8159.0,7584.0,8873.0,7928.0,9221.0,9128.0,9241.0,8623.0,,1364.0,7410.0,9241.0,8208.5,
Poland,2021-02-28,8,weekly,7250.0,7935.0,7699.0,7839.0,7524.0,8985.0,7861.0,9053.0,9333.0,8717.0,8474.0,,1598.0,7250.0,9333.0,7898.0,
Poland,2021-03-07,9,weekly,7023.0,8014.0,7515.0,7788.0,7627.0,9068.0,8002.0,8388.0,9864.0,8620.0,8471.0,,,7023.0,9864.0,8008.0,
Poland,2021-03-14,10,weekly,7345.0,8033.0,7501.0,7983.0,7557.0,8839.0,7859.0,7967.0,10094.0,8388.0,8364.0,,,7345.0,10094.0,7975.0,
Poland,2021-03-21,11,weekly,7398.0,7921.0,7525.0,7946.0,7778.0,8850.0,7824.0,7709.0,9472.0,8183.0,8406.0,,,7398.0,9472.0,7872.5,
Poland,2021-03-28,12,weekly,7417.0,7691.0,7630.0,8216.0,7758.0,8640.0,8014.0,7637.0,9061.0,8025.0,8322.0,,,7417.0,9061.0,7886.0,
Poland,2021-04-04,13,weekly,7196.0,7311.0,7637.0,8239.0,7610.0,8535.0,8025.0,7684.0,8689.0,7795.0,8146.0,,,7196.0,8689.0,7739.5,
Poland,2021-04-11,14,weekly,7205.0,7306.0,7513.0,8590.0,7417.0,8449.0,7614.0,7366.0,8571.0,7783.0,7990.0,,,7205.0,8590.0,7563.5,
Poland,2021-04-18,15,weekly,7149.0,7267.0,7871.0,7928.0,7329.0,8154.0,7510.0,7441.0,8216.0,7699.0,7994.0,,,7149.0,8216.0,7604.5,
Poland,2021-04-25,16,weekly,7027.0,7203.0,7762.0,7677.0,7318.0,7974.0,7107.0,7475.0,7748.0,7730.0,8183.0,,,7027.0,7974.0,7576.0,
Poland,2021-05-02,17,weekly,7243.0,7338.0,7614.0,7496.0,7344.0,7797.0,7157.0,7466.0,7584.0,8082.0,7743.0,,,7157.0,8082.0,7481.0,
Poland,2021-05-09,18,weekly,7094.0,6977.0,7584.0,7121.0,7005.0,7483.0,7399.0,7385.0,7373.0,7485.0,7757.0,,,6977.0,7584.0,7379.0,
Poland,2021-05-16,19,weekly,6826.0,7360.0,6934.0,7284.0,6915.0,7324.0,7229.0,7060.0,7311.0,7502.0,7579.0,,,6826.0,7502.0,7256.5,
Poland,2021-05-23,20,weekly,7086.0,6982.0,7024.0,6967.0,6876.0,7266.0,6925.0,7148.0,7061.0,7435.0,7558.0,,,6876.0,7435.0,7042.5,
