date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Poland,weekly,1,7662.0,8015.0,7557.0,9309.0,7533.0,7984.0,8215.0,9279.0,8372.0,8668.0,8463.0,11478.0,12001.0,2150.0,82499.285,593138.0,13.908,48.15,21789527.714,21164893.429,7446787.571,54.669,53.102,18.684,39857144.0,7533.0,9309.0,8259.4,9851.0
2022-01-16,Poland,weekly,2,7176.0,7697.0,7442.0,9030.0,7317.0,7754.0,7920.0,10225.0,8078.0,8586.0,8242.0,10974.0,10780.0,2563.0,90342.714,639927.0,14.121,44.44,21967332.643,21380922.786,8341001.714,55.115,53.644,20.927,39857144.0,7176.0,10225.0,8122.5,8217.0
2022-01-23,Poland,weekly,3,7320.0,7683.0,7655.0,9041.0,7261.0,7800.0,7683.0,9875.0,8639.0,8700.0,8059.0,11022.0,9999.0,1539.0,147451.142,846470.0,17.195,44.44,22126561.0,21530318.929,9245961.929,55.515,54.019,23.198,39857144.0,7261.0,9875.0,8165.7,8460.0
2022-01-30,Poland,weekly,4,7859.0,7690.0,7368.0,8938.0,7463.0,7559.0,7977.0,9946.0,8793.0,8798.0,8015.0,10397.0,10158.0,1317.0,283177.143,1059304.0,26.663,44.18,22265856.429,21674576.571,9959505.286,55.864,54.381,24.988,39857144.0,7368.0,9946.0,8239.1,8841.0
2022-02-06,Poland,weekly,5,7372.0,8073.0,7728.0,8803.0,7713.0,7963.0,7970.0,10076.0,8987.0,9362.0,8560.0,9880.0,10552.0,1436.0,332868.572,1012470.0,32.885,45.37,22359938.143,21817528.143,10479255.857,56.1,54.739,26.292,39857144.0,7372.0,10076.0,8404.7,9116.0
2022-02-13,Poland,weekly,6,7345.0,7934.0,8133.0,8401.0,7837.0,8166.0,8145.0,9432.0,9088.0,9269.0,8343.0,9927.0,10689.0,1523.0,274165.857,843833.0,32.447,44.933,22427811.857,21951390.857,10826029.714,56.27,55.075,27.162,39857144.0,7345.0,9432.0,8375.0,9166.0
2022-02-20,Poland,weekly,7,7410.0,7821.0,8258.0,8159.0,7584.0,8873.0,7928.0,9221.0,9128.0,9241.0,8624.0,10117.0,10397.0,1697.0,186267.001,681118.0,27.222,43.83,22474236.714,22064966.0,11069546.643,56.387,55.36,27.773,39857144.0,7410.0,9241.0,8362.3,8700.0
2022-02-27,Poland,weekly,8,7250.0,7935.0,7699.0,7839.0,7524.0,8985.0,7861.0,9053.0,9333.0,8717.0,8474.0,9894.0,9820.0,1499.0,127323.0,559063.0,22.698,37.034,22508399.429,22158048.429,11255864.571,56.473,55.594,28.241,39857144.0,7250.0,9333.0,8219.6,8321.0
2022-03-06,Poland,weekly,9,7023.0,8014.0,7515.0,7788.0,7627.0,9068.0,8002.0,8388.0,9864.0,8620.0,8471.0,10155.0,9212.0,1229.0,89822.0,494229.0,18.148,24.597,22532460.714,22225996.0,11387620.357,56.533,55.764,28.571,39857144.0,7023.0,9864.0,8190.9,7983.0
2022-03-13,Poland,weekly,10,7345.0,8033.0,7501.0,7983.0,7557.0,8839.0,7859.0,7967.0,10094.0,8388.0,8364.0,10835.0,9159.0,898.0,79019.285,477149.0,16.56,22.52,22549695.357,22269846.286,11482718.214,56.576,55.874,28.81,39857144.0,7345.0,10094.0,8156.6,8261.0
2022-03-20,Poland,weekly,11,7398.0,7921.0,7525.0,7946.0,7778.0,8850.0,7824.0,7709.0,9472.0,8183.0,8410.0,11565.0,8776.0,775.0,75137.143,459864.0,16.341,22.52,22564703.286,22303926.0,11571828.143,56.614,55.96,29.033,39857144.0,7398.0,9472.0,8060.6,8001.0
2022-03-27,Poland,weekly,12,7417.0,7691.0,7630.0,8216.0,7758.0,8640.0,8014.0,7637.0,9061.0,8025.0,8322.0,12605.0,8884.0,610.0,61532.428,401698.0,15.275,22.52,22577589.571,22329698.286,11649650.429,56.646,56.024,29.229,39857144.0,7417.0,9061.0,8008.9,8274.0
2022-04-03,Poland,weekly,13,7196.0,7311.0,7637.0,8239.0,7610.0,8535.0,8025.0,7684.0,8689.0,7795.0,8148.0,13833.0,8897.0,517.0,38103.857,289565.0,13.026,14.81,22591696.714,22352435.429,11711738.0,56.682,56.081,29.384,39857144.0,7196.0,8689.0,7872.1,8380.0
2022-04-10,Poland,weekly,14,7205.0,7306.0,7513.0,8590.0,7417.0,8449.0,7614.0,7366.0,8571.0,7783.0,7991.0,13797.0,8574.0,290.0,14104.857,135880.0,10.003,14.81,22612027.286,22378405.643,11762425.786,56.733,56.147,29.511,39857144.0,7205.0,8590.0,7781.4,8284.0
2022-04-17,Poland,weekly,15,7149.0,7267.0,7871.0,7928.0,7329.0,8154.0,7510.0,7441.0,8216.0,7699.0,7996.0,12791.0,8433.0,203.0,7708.571,91736.0,8.4,14.81,22625747.143,22396199.857,11806047.071,56.767,56.191,29.621,39857144.0,7149.0,8216.0,7656.4,8230.0
2022-04-24,Poland,weekly,16,7027.0,7203.0,7762.0,7677.0,7318.0,7974.0,7107.0,7475.0,7748.0,7730.0,8184.0,11996.0,8732.0,110.0,5976.715,85462.0,6.992,14.81,22637816.571,22412010.429,11847594.929,56.797,56.231,29.725,39857144.0,7027.0,7974.0,7502.1,8622.0
2022-05-01,Poland,weekly,17,7243.0,7338.0,7614.0,7496.0,7344.0,7797.0,7157.0,7466.0,7584.0,8082.0,7743.0,11074.0,8288.0,111.0,6148.714,84764.0,7.25,14.81,22655137.929,22432646.929,11906314.571,56.841,56.283,29.872,39857144.0,7157.0,8082.0,7512.1,8177.0
2022-05-08,Poland,weekly,18,7094.0,6977.0,7584.0,7121.0,7005.0,7483.0,7399.0,7385.0,7373.0,7485.0,7757.0,10084.0,8205.0,79.0,4274.0,60229.0,7.127,14.81,22677260.286,22456324.143,11951831.0,56.896,56.342,29.987,39857144.0,6977.0,7584.0,7290.6,8126.0
2022-05-15,Poland,weekly,19,6826.0,7360.0,6934.0,7284.0,6915.0,7324.0,7229.0,7060.0,7311.0,7502.0,7581.0,9678.0,7901.0,69.0,3427.572,33083.0,10.677,14.81,22684667.143,22464657.143,11998156.571,56.915,56.363,30.103,39857144.0,6826.0,7502.0,7174.5,7832.0
2022-05-22,Poland,weekly,20,7086.0,6982.0,7024.0,6967.0,6876.0,7266.0,6925.0,7148.0,7061.0,7435.0,7558.0,8679.0,7584.0,61.0,2434.713,53347.0,4.658,14.81,22695622.714,22476438.286,12040247.857,56.942,56.392,30.209,39857144.0,6876.0,7435.0,7077.0,7523.0
2022-05-29,Poland,weekly,21,7108.0,6855.0,7180.0,6639.0,7507.0,7102.0,7254.0,7074.0,7309.0,7586.0,7546.0,8233.0,7472.0,43.0,1805.857,51886.0,3.475,14.81,22711412.786,22491158.214,12075446.214,56.982,56.429,30.297,39857144.0,6639.0,7586.0,7161.4,7429.0
2022-06-05,Poland,weekly,22,7064.0,6995.0,6681.0,6894.0,6657.0,7015.0,6937.0,7100.0,7695.0,7445.0,7632.0,8157.0,7580.0,38.0,1526.286,41126.0,3.72,14.81,22723085.714,22500913.0,12103172.571,57.011,56.454,30.366,39857144.0,6657.0,7695.0,7048.3,7542.0
