date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Portugal,weekly,1,2345.0,2390.0,2477.0,2314.0,2566.0,2813.0,2321.0,3366.0,2851.0,2621.0,2510.0,3836.0,2470.0,685.0,44253.714,288286.0,15.296,63.887,72319.122,238.898,5.429,0.704,0.002,0.0,10270857.0,2314.0,3366.0,2606.4,3151.0
2021-01-17,Portugal,weekly,2,2569.0,2331.0,2541.0,2321.0,2408.0,3054.0,2332.0,2967.0,2803.0,2884.0,2665.0,4618.0,2555.0,1058.0,61502.713,351987.0,17.469,64.683,133501.898,3182.306,44.531,1.3,0.031,0.0,10270857.0,2321.0,3054.0,2621.0,3560.0
2021-01-24,Portugal,weekly,3,2225.0,2315.0,2489.0,2414.0,2340.0,3167.0,2456.0,2880.0,2805.0,2985.0,2772.0,5044.0,2795.0,1608.0,77366.43,415580.0,18.588,76.32,237124.816,30092.449,320.49,2.309,0.293,0.003,10270857.0,2225.0,3167.0,2607.6,3436.0
2021-01-31,Portugal,weekly,4,2255.0,2429.0,2338.0,2375.0,2344.0,3088.0,2332.0,2995.0,2693.0,3021.0,2671.0,4818.0,2791.0,2013.0,87347.428,442255.0,19.761,81.611,295426.673,72078.265,1190.959,2.876,0.702,0.012,10270857.0,2255.0,3088.0,2587.0,2805.0
2021-02-07,Portugal,weekly,5,2277.0,2597.0,2642.0,2333.0,2414.0,2909.0,2271.0,2736.0,2619.0,2899.0,2691.0,3973.0,2876.0,1676.0,64233.714,354835.0,17.91,81.611,325211.653,110939.694,5691.878,3.166,1.08,0.055,10270857.0,2271.0,2909.0,2569.7,2297.0
2021-02-14,Portugal,weekly,6,2183.0,2442.0,2824.0,2377.0,2343.0,2869.0,2351.0,2453.0,2783.0,2779.0,2490.0,3394.0,2702.0,1163.0,30236.999,248882.0,11.974,81.611,367479.143,183187.776,17843.041,3.578,1.784,0.174,10270857.0,2183.0,2869.0,2540.4,2231.0
2021-02-21,Portugal,weekly,7,2534.0,2321.0,3049.0,2430.0,2450.0,2977.0,2345.0,2369.0,2815.0,2711.0,2288.0,2862.0,2705.0,641.0,15032.858,207051.0,7.229,81.611,463751.857,235485.408,24716.184,4.515,2.293,0.241,10270857.0,2321.0,3049.0,2600.1,2221.0
2021-02-28,Portugal,weekly,8,2503.0,2287.0,3144.0,2325.0,2296.0,2684.0,2296.0,2237.0,2777.0,2546.0,2360.0,2535.0,2474.0,355.0,8960.572,193171.0,4.627,81.611,624746.776,260681.49,27660.878,6.083,2.538,0.269,10270857.0,2237.0,3144.0,2509.5,2180.0
2021-03-07,Portugal,weekly,9,2275.0,2087.0,2948.0,2379.0,2373.0,2699.0,2391.0,2129.0,2656.0,2441.0,2309.0,2354.0,2400.0,223.0,5986.429,178340.0,3.352,81.611,770969.735,291141.327,30045.959,7.506,2.835,0.293,10270857.0,2087.0,2948.0,2437.8,2131.0
2021-03-14,Portugal,weekly,10,2202.0,2202.0,2667.0,2483.0,2182.0,2447.0,2380.0,2149.0,2387.0,2329.0,2182.0,2138.0,2446.0,144.0,4973.858,161614.0,3.073,81.611,877959.816,341479.347,32344.653,8.548,3.325,0.315,10270857.0,2149.0,2667.0,2342.8,1994.0
2021-03-21,Portugal,weekly,11,2285.0,2129.0,2478.0,2185.0,2155.0,2314.0,2288.0,2151.0,2371.0,2258.0,2362.0,2115.0,2419.0,84.0,3550.714,220906.0,1.685,74.206,976564.755,433951.469,33771.837,9.508,4.225,0.329,10270857.0,2129.0,2478.0,2261.4,2031.0
2021-03-28,Portugal,weekly,12,2061.0,2103.0,2250.0,2170.0,2046.0,2284.0,2271.0,2074.0,2234.0,2199.0,2440.0,2057.0,2447.0,69.0,3123.714,220042.0,1.444,74.206,1194136.204,478286.429,34327.429,11.626,4.657,0.334,10270857.0,2046.0,2284.0,2169.2,1988.0
2021-04-04,Portugal,weekly,13,2033.0,1959.0,2219.0,2141.0,2010.0,2083.0,2214.0,2015.0,2356.0,2135.0,2544.0,2133.0,2470.0,42.0,3008.715,174029.0,1.733,80.56,1366871.122,549340.306,34837.898,13.308,5.349,0.339,10270857.0,1959.0,2356.0,2116.5,2091.0
2021-04-11,Portugal,weekly,14,2135.0,2044.0,2032.0,2028.0,2156.0,2179.0,2225.0,2071.0,2354.0,2097.0,2654.0,1996.0,2416.0,37.0,3440.0,289512.0,1.213,65.74,1612826.959,610616.857,35407.735,15.703,5.945,0.345,10270857.0,2028.0,2354.0,2132.1,1959.0
2021-04-18,Portugal,weekly,15,2029.0,1961.0,1992.0,2015.0,2052.0,1933.0,2166.0,2033.0,2276.0,2132.0,2609.0,1966.0,2439.0,29.0,3764.285,279625.0,1.351,65.74,1994248.367,671768.469,35742.082,19.417,6.541,0.348,10270857.0,1933.0,2276.0,2058.9,1937.0
2021-04-25,Portugal,weekly,16,1965.0,1788.0,1965.0,1942.0,2043.0,1937.0,1989.0,1825.0,2197.0,2096.0,2390.0,1916.0,2309.0,20.0,3455.714,437795.0,0.822,70.37,2260912.551,792649.49,36071.592,22.013,7.717,0.351,10270857.0,1788.0,2197.0,1974.7,1896.0
2021-05-02,Portugal,weekly,17,1961.0,1889.0,1931.0,1984.0,1917.0,1816.0,2025.0,1902.0,2117.0,2084.0,2311.0,1893.0,2289.0,12.0,3161.0,387326.0,0.828,71.163,2586377.469,902873.633,36385.143,25.182,8.791,0.354,10270857.0,1816.0,2117.0,1962.6,1881.0
2021-05-09,Portugal,weekly,18,1781.0,1831.0,1933.0,1897.0,1977.0,1819.0,1954.0,2011.0,2012.0,2081.0,2174.0,2046.0,2219.0,15.0,2499.857,312251.0,0.8,72.22,2962208.184,1104040.224,37095.551,28.841,10.749,0.361,10270857.0,1781.0,2081.0,1929.6,2031.0
2021-05-16,Portugal,weekly,19,1802.0,1844.0,2103.0,1877.0,1826.0,1941.0,1849.0,1846.0,1970.0,1988.0,2172.0,1912.0,2453.0,15.0,2448.285,266490.0,0.921,63.494,3290534.449,1389520.184,38200.143,32.038,13.529,0.372,10270857.0,1802.0,2103.0,1904.6,1897.0
2021-05-23,Portugal,weekly,20,2180.0,1851.0,1857.0,1839.0,1762.0,1911.0,2045.0,1833.0,2066.0,1931.0,2057.0,1838.0,2354.0,10.0,2842.714,265194.0,1.072,62.04,3617157.184,1636331.633,39213.02,35.218,15.932,0.382,10270857.0,1762.0,2180.0,1927.5,1828.0
2021-05-30,Portugal,weekly,21,1812.0,1803.0,1842.0,1878.0,1696.0,1791.0,1971.0,1922.0,1982.0,1919.0,2071.0,1996.0,2339.0,6.0,3248.856,289027.0,1.125,62.04,3913512.224,1946988.224,40113.551,38.103,18.956,0.391,10270857.0,1696.0,1982.0,1861.6,1990.0
2021-06-06,Portugal,weekly,22,1831.0,1720.0,1806.0,1932.0,1855.0,1950.0,1983.0,1815.0,1883.0,1948.0,2335.0,1884.0,2390.0,11.0,3835.0,325178.0,1.18,62.04,4210846.837,2282263.898,40955.449,40.998,22.221,0.399,10270857.0,1720.0,1983.0,1872.3,1873.0
2021-06-13,Portugal,weekly,23,1654.0,1633.0,1703.0,1967.0,1817.0,1847.0,1906.0,1826.0,1977.0,1841.0,2023.0,1947.0,2502.0,13.0,4384.714,303695.0,1.449,62.04,4583791.122,2563661.816,41602.224,44.629,24.961,0.405,10270857.0,1633.0,1977.0,1817.1,1934.0
2021-06-20,Portugal,weekly,24,1766.0,1777.0,1699.0,1870.0,1849.0,1799.0,1799.0,1969.0,1928.0,1873.0,1871.0,1987.0,2679.0,18.0,6352.429,327887.0,1.931,65.61,4973219.388,2925597.755,42389.898,48.421,28.484,0.413,10270857.0,1699.0,1969.0,1832.9,1969.0
2021-06-27,Portugal,weekly,25,1804.0,1808.0,1765.0,1801.0,1880.0,1845.0,1916.0,2139.0,2104.0,1916.0,1942.0,1854.0,2174.0,19.0,8384.285,396749.0,2.111,65.61,5391004.796,3288892.204,43614.735,52.488,32.022,0.425,10270857.0,1765.0,2139.0,1897.8,1835.0
2021-07-04,Portugal,weekly,26,1862.0,1790.0,1836.0,2005.0,1661.0,1727.0,1893.0,1784.0,1936.0,1919.0,2121.0,1954.0,2148.0,28.0,12124.144,420480.0,2.876,68.253,5816282.122,3719031.449,44865.755,56.629,36.21,0.437,10270857.0,1661.0,2005.0,1841.3,1926.0
2021-07-11,Portugal,weekly,27,2215.0,1623.0,1735.0,2343.0,1793.0,1697.0,1913.0,1796.0,1765.0,1882.0,2061.0,1953.0,2354.0,44.0,17137.571,437242.0,3.921,64.947,6274682.653,4300415.776,46000.837,61.092,41.87,0.448,10270857.0,1623.0,2343.0,1876.2,1909.0
2021-07-18,Portugal,weekly,28,1747.0,1655.0,1649.0,2590.0,1772.0,1805.0,1934.0,1806.0,1771.0,1898.0,2236.0,2058.0,2744.0,51.0,20861.43,452216.0,4.61,63.89,6657670.082,4847126.02,46824.306,64.821,47.193,0.456,10270857.0,1649.0,2590.0,1862.7,2007.0
2021-07-25,Portugal,weekly,29,1736.0,1747.0,1882.0,1857.0,1752.0,1790.0,1958.0,1790.0,1816.0,1821.0,2651.0,1960.0,2360.0,85.0,22915.143,466705.0,4.91,63.89,6951545.776,5374231.449,47560.939,67.682,52.325,0.463,10270857.0,1736.0,1958.0,1814.9,1875.0
2021-08-01,Portugal,weekly,30,2174.0,1803.0,1745.0,1641.0,1747.0,1751.0,2054.0,1799.0,1824.0,1841.0,2440.0,1979.0,2307.0,77.0,19994.713,448917.0,4.451,62.97,7179184.714,5883731.347,48296.714,69.899,57.286,0.47,10270857.0,1641.0,2174.0,1837.9,1902.0
2021-08-08,Portugal,weekly,31,1989.0,1803.0,1713.0,1719.0,1754.0,1792.0,1864.0,1759.0,2250.0,1843.0,2217.0,2066.0,2196.0,98.0,16699.0,416005.0,4.015,57.214,7434640.347,6384381.265,48926.714,72.386,62.16,0.476,10270857.0,1713.0,2250.0,1848.6,1968.0
2021-08-15,Portugal,weekly,32,2011.0,1854.0,1817.0,1778.0,1834.0,1811.0,2091.0,1739.0,2199.0,1838.0,2090.0,2089.0,2100.0,95.0,16072.143,399365.0,4.024,56.733,7853968.082,6765993.224,49454.857,76.468,65.876,0.482,10270857.0,1739.0,2199.0,1897.2,1994.0
2021-08-22,Portugal,weekly,33,1783.0,1846.0,1740.0,1850.0,1746.0,1738.0,1879.0,1781.0,1939.0,1769.0,1941.0,2129.0,2066.0,77.0,16224.285,397510.0,4.082,56.399,8317965.082,7025831.959,49885.143,80.986,68.406,0.486,10270857.0,1738.0,1939.0,1807.1,2052.0
2021-08-29,Portugal,weekly,34,1769.0,1681.0,1769.0,1866.0,1845.0,1787.0,1914.0,1960.0,1960.0,1938.0,2014.0,2095.0,2049.0,82.0,16061.715,366833.0,4.38,50.621,8672412.959,7198814.592,50282.735,84.437,70.09,0.49,10270857.0,1681.0,1960.0,1848.9,2013.0
2021-09-05,Portugal,weekly,35,1840.0,1689.0,1641.0,1776.0,1770.0,1722.0,1873.0,1711.0,1766.0,1880.0,2078.0,2083.0,2053.0,77.0,13751.714,345298.0,3.977,50.389,8855024.0,7470219.041,50850.857,86.215,72.732,0.495,10270857.0,1641.0,1880.0,1766.8,2006.0
2021-09-12,Portugal,weekly,36,1747.0,1821.0,1832.0,1745.0,1872.0,1803.0,1864.0,1783.0,1837.0,1933.0,2061.0,1994.0,2046.0,63.0,10056.572,333515.0,3.032,50.054,8941890.429,7778749.306,51533.02,87.061,75.736,0.502,10270857.0,1745.0,1933.0,1823.7,1931.0
2021-09-19,Portugal,weekly,37,1817.0,1757.0,1725.0,1754.0,1740.0,1821.0,1707.0,1801.0,1796.0,1808.0,2239.0,1923.0,2090.0,46.0,7363.572,398576.0,1.854,49.74,8996601.653,8040914.592,52417.49,87.593,78.289,0.51,10270857.0,1707.0,1821.0,1772.6,1877.0
2021-09-26,Portugal,weekly,38,1685.0,1657.0,1745.0,1762.0,1714.0,1699.0,1835.0,1793.0,1867.0,1899.0,2127.0,2034.0,2117.0,47.0,5494.571,367858.0,1.494,49.533,9036443.653,8175912.367,53552.714,87.981,79.603,0.521,10270857.0,1657.0,1899.0,1765.6,1987.0
2021-10-03,Portugal,weekly,39,1750.0,1774.0,1595.0,1708.0,1811.0,1856.0,1852.0,1945.0,1828.0,1822.0,1891.0,2016.0,1921.0,39.0,4471.714,384395.0,1.163,48.973,9063762.102,8245166.082,55073.082,88.247,80.277,0.536,10270857.0,1595.0,1945.0,1794.1,1977.0
2021-10-10,Portugal,weekly,40,1746.0,1849.0,1718.0,1751.0,1854.0,1914.0,1856.0,1983.0,1890.0,1901.0,2142.0,2130.0,2138.0,48.0,4124.285,300207.0,1.381,38.38,9082054.898,8294350.571,58498.327,88.425,80.756,0.57,10270857.0,1718.0,1983.0,1846.2,2082.0
2021-10-17,Portugal,weekly,41,1846.0,1819.0,1738.0,1832.0,1806.0,1792.0,1879.0,1877.0,1935.0,1860.0,2157.0,2140.0,2143.0,56.0,4519.857,351713.0,1.29,34.391,9099858.245,8334153.918,87342.041,88.599,81.144,0.85,10270857.0,1738.0,1935.0,1838.4,2084.0
2021-10-24,Portugal,weekly,42,1883.0,1739.0,1856.0,1770.0,1918.0,1809.0,2026.0,2004.0,1943.0,1909.0,2216.0,2051.0,2106.0,36.0,4843.428,293792.0,1.684,34.371,9114988.0,8365453.286,186295.878,88.746,81.448,1.814,10270857.0,1739.0,2026.0,1885.7,2015.0
2021-10-31,Portugal,weekly,43,1962.0,1756.0,1992.0,1840.0,2006.0,1882.0,1971.0,1932.0,1996.0,2131.0,2228.0,2187.0,2193.0,24.0,5385.571,231932.0,2.326,31.184,9128830.102,8386345.633,302769.959,88.881,81.652,2.948,10270857.0,1756.0,2131.0,1946.8,2163.0
2021-11-07,Portugal,weekly,44,2014.0,1964.0,1784.0,1781.0,1914.0,1883.0,1939.0,1918.0,2043.0,2134.0,2474.0,2135.0,2234.0,46.0,6035.857,213764.0,2.819,30.646,9140398.041,8401487.592,418306.776,88.994,81.799,4.073,10270857.0,1781.0,2134.0,1937.4,2089.0
2021-11-14,Portugal,weekly,45,1985.0,2081.0,1930.0,1810.0,1901.0,1970.0,2040.0,1910.0,2124.0,2097.0,2562.0,2425.0,2334.0,54.0,8519.57,250030.0,3.399,30.636,9154067.571,8416955.653,584934.939,89.127,81.95,5.695,10270857.0,1810.0,2124.0,1984.8,2371.0
