date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Puerto Rico,weekly,1,,,,,,637.0,592.0,695.0,685.0,664.0,545.0,713.0,825.0,,,,,,,,,,,,,592.0,695.0,654.6,
2020-01-12,Puerto Rico,weekly,2,,,,,,633.0,615.0,604.0,656.0,612.0,585.0,654.0,869.0,,,,,,,,,,,,,604.0,656.0,624.0,
2020-01-19,Puerto Rico,weekly,3,,,,,,620.0,615.0,656.0,646.0,637.0,660.0,652.0,869.0,,,,,,,,,,,,,615.0,656.0,634.8,
2020-01-26,Puerto Rico,weekly,4,,,,,,537.0,661.0,641.0,608.0,621.0,619.0,670.0,801.0,,,,,,,,,,,,,537.0,661.0,613.6,
2020-02-02,Puerto Rico,weekly,5,,,,,,605.0,682.0,593.0,617.0,614.0,576.0,621.0,665.0,,,,,,,,,,,,,593.0,682.0,622.2,
2020-02-09,Puerto Rico,weekly,6,,,,,,594.0,645.0,594.0,598.0,613.0,597.0,636.0,696.0,,,,,,,,,,,,,594.0,645.0,608.8,
2020-02-16,Puerto Rico,weekly,7,,,,,,579.0,598.0,569.0,601.0,618.0,611.0,645.0,662.0,,,,,,,,,,,,,569.0,618.0,593.0,
2020-02-23,Puerto Rico,weekly,8,,,,,,595.0,599.0,562.0,576.0,567.0,603.0,620.0,637.0,,,,,,,,,,,,,562.0,599.0,579.8,
2020-03-01,Puerto Rico,weekly,9,,,,,,576.0,513.0,560.0,690.0,580.0,619.0,627.0,633.0,,,,,,,,,,,,3252412.0,513.0,690.0,583.8,
2020-03-08,Puerto Rico,weekly,10,,,,,,519.0,528.0,614.0,586.0,573.0,618.0,605.0,597.0,,,8.0,,,,,,,,,3252412.0,519.0,614.0,564.0,
2020-03-15,Puerto Rico,weekly,11,,,,,,559.0,566.0,543.0,625.0,548.0,606.0,633.0,577.0,,,51.0,,,,,,,,,3252412.0,543.0,625.0,568.2,
2020-03-22,Puerto Rico,weekly,12,,,,,,504.0,588.0,562.0,577.0,569.0,616.0,631.0,605.0,,,190.0,,,,,,,,,3252412.0,504.0,588.0,560.0,
2020-03-29,Puerto Rico,weekly,13,,,,,,553.0,510.0,532.0,540.0,531.0,639.0,596.0,636.0,,,555.0,,,,,,,,,3252412.0,510.0,553.0,533.2,
2020-04-05,Puerto Rico,weekly,14,,,,,,508.0,549.0,564.0,557.0,521.0,572.0,587.0,605.0,,,1086.0,,,,,,,,,3252412.0,508.0,564.0,539.8,
2020-04-12,Puerto Rico,weekly,15,,,,,,547.0,527.0,567.0,515.0,527.0,592.0,646.0,615.0,,,1476.0,,,,,,,,,3252412.0,515.0,567.0,536.6,
2020-04-19,Puerto Rico,weekly,16,,,,,,501.0,515.0,539.0,498.0,532.0,558.0,689.0,572.0,,,1163.0,,,,,,,,,3252412.0,498.0,539.0,517.0,
2020-04-26,Puerto Rico,weekly,17,,,,,,530.0,503.0,554.0,496.0,570.0,545.0,622.0,641.0,,,1416.0,,,,,,,,,3252412.0,496.0,570.0,530.6,
2020-05-03,Puerto Rico,weekly,18,,,,,,560.0,483.0,508.0,530.0,559.0,542.0,663.0,622.0,,,1938.0,,,,,,,,,3252412.0,483.0,560.0,528.0,
2020-05-10,Puerto Rico,weekly,19,,,,,,517.0,524.0,525.0,565.0,524.0,562.0,663.0,637.0,,,2318.0,,,,,,,,,3252412.0,517.0,565.0,531.0,
2020-05-17,Puerto Rico,weekly,20,,,,,,506.0,524.0,566.0,547.0,580.0,539.0,636.0,721.0,,,2439.0,,,,,,,,,3252412.0,506.0,580.0,544.6,
2020-05-24,Puerto Rico,weekly,21,,,,,,507.0,551.0,578.0,517.0,615.0,551.0,622.0,610.0,,,6366.0,,,,,,,,,3252412.0,507.0,615.0,553.6,
2020-05-31,Puerto Rico,weekly,22,,,,,,508.0,536.0,506.0,503.0,572.0,561.0,617.0,619.0,,,7888.0,,,,,,,,,3252412.0,503.0,572.0,525.0,
2020-06-07,Puerto Rico,weekly,23,,,,,,473.0,563.0,521.0,520.0,574.0,586.0,578.0,648.0,,,8198.0,,,,,,,,,3252412.0,473.0,574.0,530.2,
2020-06-14,Puerto Rico,weekly,24,,,,,,510.0,548.0,590.0,575.0,567.0,560.0,606.0,611.0,,,11893.0,,,,,,,,,3252412.0,510.0,590.0,558.0,
2020-06-21,Puerto Rico,weekly,25,,,,,,526.0,527.0,550.0,492.0,586.0,590.0,625.0,659.0,,,8570.0,,,,,,,,,3252412.0,492.0,586.0,536.2,
2020-06-28,Puerto Rico,weekly,26,,,,,,504.0,547.0,551.0,512.0,589.0,543.0,640.0,681.0,,,8940.0,,,,,,,,,3252412.0,504.0,589.0,540.6,
2020-07-05,Puerto Rico,weekly,27,,,,,,521.0,584.0,523.0,574.0,583.0,556.0,606.0,701.0,,,8196.0,,,,,,,,,3252412.0,521.0,584.0,557.0,
2020-07-12,Puerto Rico,weekly,28,,,,,,529.0,539.0,505.0,549.0,587.0,592.0,586.0,668.0,,,6163.0,,,,,,,,,3252412.0,505.0,587.0,541.8,
2020-07-19,Puerto Rico,weekly,29,,,,,,545.0,522.0,545.0,519.0,565.0,591.0,588.0,658.0,,,6654.0,,,,,,,,,3252412.0,519.0,565.0,539.2,
2020-07-26,Puerto Rico,weekly,30,,,,,,503.0,561.0,547.0,505.0,509.0,603.0,588.0,652.0,,,9133.0,,,,,,,,,3252412.0,503.0,561.0,525.0,
2020-08-02,Puerto Rico,weekly,31,,,,,,504.0,552.0,587.0,506.0,509.0,644.0,646.0,725.0,,,10845.0,,,,,,,,,3252412.0,504.0,587.0,531.6,
2020-08-09,Puerto Rico,weekly,32,,,,,,527.0,554.0,507.0,516.0,531.0,649.0,685.0,708.0,,,13932.0,,,,,,,,,3252412.0,507.0,554.0,527.0,
2020-08-16,Puerto Rico,weekly,33,,,,,,531.0,535.0,516.0,548.0,565.0,667.0,687.0,612.0,,,19952.0,,,,,,,,,3252412.0,516.0,565.0,539.0,
2020-08-23,Puerto Rico,weekly,34,,,,,,498.0,563.0,487.0,523.0,519.0,684.0,682.0,678.0,,,6695.0,,,,,,,,,3252412.0,487.0,563.0,518.0,
2020-08-30,Puerto Rico,weekly,35,,,,,,480.0,517.0,539.0,531.0,533.0,605.0,691.0,667.0,,,9364.0,,,,,,,,,3252412.0,480.0,539.0,520.0,
2020-09-06,Puerto Rico,weekly,36,,,,,,560.0,569.0,575.0,498.0,516.0,632.0,713.0,590.0,,,9665.0,,,,,,,,,3252412.0,498.0,575.0,543.6,
2020-09-13,Puerto Rico,weekly,37,,,,,,521.0,533.0,615.0,506.0,567.0,625.0,671.0,609.0,,,8045.0,,,,,,,,,3252412.0,506.0,615.0,548.4,
2020-09-20,Puerto Rico,weekly,38,,,,,,488.0,545.0,682.0,512.0,544.0,612.0,682.0,739.0,,,8976.0,,,,,,,,,3252412.0,488.0,682.0,554.2,
2020-09-27,Puerto Rico,weekly,39,,,,,,546.0,571.0,889.0,552.0,558.0,625.0,612.0,680.0,,,11507.0,,,,,,,,,3252412.0,546.0,889.0,623.2,
2020-10-04,Puerto Rico,weekly,40,,,,,,551.0,538.0,797.0,511.0,508.0,594.0,584.0,674.0,,,10773.0,,,,,,,,,3252412.0,508.0,797.0,581.0,
2020-10-11,Puerto Rico,weekly,41,,,,,,541.0,537.0,676.0,476.0,525.0,648.0,640.0,681.0,,,9945.0,,,,,,,,,3252412.0,476.0,676.0,551.0,
2020-10-18,Puerto Rico,weekly,42,,,,,,540.0,545.0,619.0,547.0,568.0,613.0,588.0,669.0,,,9305.0,,,,,,,,,3252412.0,540.0,619.0,563.8,
2020-10-25,Puerto Rico,weekly,43,,,,,,502.0,489.0,696.0,557.0,519.0,600.0,613.0,696.0,,,10231.0,,,,,,,,,3252412.0,489.0,696.0,552.6,
2020-11-01,Puerto Rico,weekly,44,,,,,,484.0,547.0,588.0,529.0,527.0,611.0,622.0,657.0,,,11460.0,,,,,,,,,3252412.0,484.0,588.0,535.0,
