date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Qatar,monthly,1,,,,,,,218.25,209.6,208.0,204.0,202.0,218.75,,,,,,,,,,,,,,204.0,218.25,209.9625,
2020-01-12,Qatar,monthly,2,,,,,,,215.5,205.2,208.0,195.0,199.5,216.5,,,,,,,,,,,,,,195.0,215.5,205.925,
2020-01-19,Qatar,monthly,3,,,,,,,212.75,200.8,208.0,186.0,197.0,214.25,,,,,,,,,,,,,,186.0,212.75,201.8875,
2020-01-26,Qatar,monthly,4,,,,,,,210.0,196.4,208.0,177.0,194.5,212.0,,,,,,,,,,,,,,177.0,210.0,197.85,
2020-02-02,Qatar,monthly,5,,,,,,210.0,205.0,192.0,208.0,168.0,192.0,203.5,,,,,,,,,,,,,,168.0,210.0,196.6,
2020-02-09,Qatar,monthly,6,,,,,,206.5,200.0,192.0,207.75,166.5,193.5,195.0,,,,,,,,,,,,,,166.5,207.75,194.55,
2020-02-16,Qatar,monthly,7,,,,,,203.0,195.0,192.0,207.5,165.0,195.0,186.5,,,,,,,,,,,,,,165.0,207.5,192.5,
2020-02-23,Qatar,monthly,8,,,,,,199.5,190.0,192.0,207.25,163.5,196.5,178.0,,,,,,,,,,,,,,163.5,207.25,190.45,
2020-03-01,Qatar,monthly,9,,,,,,196.0,185.0,192.0,207.0,162.0,198.0,192.4,,0.0,0.0,0.0,,13.89,,,,,,,2930524.0,162.0,207.0,188.4,198.0
2020-03-08,Qatar,monthly,10,,,,,,195.0,189.0,190.5,205.25,167.75,202.6,206.8,,0.4,5.0,0.0,,13.89,,,,,,,2930524.0,167.75,205.25,189.5,202.2
2020-03-15,Qatar,monthly,11,,,,,,194.0,193.0,189.0,203.5,173.5,207.2,221.2,,0.8,223.858,0.0,,28.177142857142858,,,,,,,2930524.0,173.5,203.5,190.6,206.39999999999998
2020-03-22,Qatar,monthly,12,,,,,,193.0,197.0,187.5,201.75,179.25,211.8,235.6,,1.2000000000000002,230.144,2070.0,3.971755887220533,62.699999999999996,,,,,,,2930524.0,179.25,201.75,191.7,210.60000000000002
2020-03-29,Qatar,monthly,13,,,,,,192.0,201.0,186.0,200.0,185.0,216.4,250.0,,1.6,94.857,4678.0,2.1396683273340122,82.14571428571428,,,,,,,2930524.0,185.0,201.0,192.8,214.8
2020-04-05,Qatar,monthly,14,,,,,,191.0,198.5,184.0,201.6,185.4,221.0,286.25,,2.0,480.429,12925.0,3.4894990274061572,86.11,,,,,,,2930524.0,184.0,201.6,192.1,219.0
2020-04-12,Qatar,monthly,15,,,,,,189.0,196.0,182.0,203.2,185.8,207.25,322.5,,3.5,1347.43,16875.0,8.1114779514013,86.11,,,,,,,2930524.0,182.0,203.2,191.2,203.75
2020-04-19,Qatar,monthly,16,,,,,,187.0,193.5,180.0,204.8,186.2,193.5,358.75,,5.0,1842.571,12511.0,14.654401902897066,86.11,,,,,,,2930524.0,180.0,204.8,190.3,188.5
2020-04-26,Qatar,monthly,17,,,,,,185.0,191.0,178.0,206.4,186.6,179.75,395.0,,6.5,3718.714,16768.0,22.065210682590607,84.12428571428572,,,,,,,2930524.0,178.0,206.4,189.4,173.25
2020-05-03,Qatar,monthly,18,,,,,,183.0,189.4,185.2,208.0,187.0,166.0,370.6,,8.0,5433.428,21633.0,25.127294903022875,83.33,,,,,,,2930524.0,183.0,208.0,190.52,158.0
2020-05-10,Qatar,monthly,19,,,,,,191.75,187.8,192.4,205.75,189.5,184.0,346.2,,13.0,5798.57,22095.0,26.169986175094234,83.33,,,,,,,2930524.0,187.8,205.75,193.44,171.0
2020-05-17,Qatar,monthly,20,,,,,,200.5,186.2,199.6,203.5,192.0,202.0,321.8,,18.0,8905.285,27006.0,32.90322633030617,83.33,,,,,,,2930524.0,186.2,203.5,196.35999999999999,184.0
2020-05-24,Qatar,monthly,21,,,,,,209.25,184.6,206.8,201.25,194.5,220.0,297.4,,23.0,10735.286,31361.0,34.23570893498929,83.33,,,,,,,2930524.0,184.6,209.25,199.28,197.0
2020-05-31,Qatar,monthly,22,,,,,,218.0,183.0,214.0,199.0,197.0,238.0,273.0,,28.0,12268.715,31812.0,38.551956977213365,83.33,,,,,,,2930524.0,183.0,218.0,202.2,210.0
2020-06-07,Qatar,monthly,23,,,,,,209.2,187.0,210.0,192.5,195.25,251.0,262.0,,37.4,12637.285,33967.0,37.199003217171885,83.33,,,,,,,2930524.0,187.0,210.0,198.79000000000002,213.6
2020-06-14,Qatar,monthly,24,,,,,,200.4,191.0,206.0,186.0,193.5,264.0,251.0,,46.8,11319.427,34259.0,33.0665338704147,83.33,,,,,,,2930524.0,186.0,206.0,195.38,217.2
2020-06-21,Qatar,monthly,25,,,,,,191.6,195.0,202.0,179.5,191.75,277.0,240.0,,56.2,9225.428,33522.0,27.449137183467695,80.56000000000002,,,,,,,2930524.0,179.5,202.0,191.97,220.8
2020-06-28,Qatar,monthly,26,,,,,,182.8,199.0,198.0,173.0,190.0,290.0,229.0,,65.6,7367.286,28378.0,25.963116140593304,80.56000000000002,,,,,,,2930524.0,173.0,199.0,188.56,224.4
2020-07-05,Qatar,monthly,27,,,,,,174.0,196.0,192.6,175.6,187.4,303.0,224.0,,75.0,6038.714,29354.0,20.72101281202925,80.56000000000002,,,,,,,2930524.0,174.0,196.0,185.12,228.0
2020-07-12,Qatar,monthly,28,,,,,,174.5,193.0,187.2,178.2,184.8,294.5,219.0,,71.5,4368.571,33477.0,13.038507265433461,80.56000000000002,,,,,,,2930524.0,174.5,193.0,183.54000000000002,223.0
2020-07-19,Qatar,monthly,29,,,,,,175.0,190.0,181.8,180.8,182.2,286.0,214.0,,68.0,3364.857,29718.0,11.32525447108165,80.56000000000002,,,,,,,2930524.0,175.0,190.0,181.95999999999998,218.0
2020-07-26,Qatar,monthly,30,,,,,,175.5,187.0,176.4,183.4,179.6,277.5,209.0,,64.5,2813.9990000000003,29954.0,9.399930548956792,80.56000000000002,,,,,,,2930524.0,175.5,187.0,180.38,213.0
2020-08-02,Qatar,monthly,31,,,,,,176.0,187.8,171.0,186.0,177.0,269.0,211.4,,61.0,2177.428,30752.0,7.0705160228447665,78.17714285714285,,,,,,,2930524.0,171.0,187.8,179.56,208.0
2020-08-09,Qatar,monthly,32,,,,,,174.0,188.6,174.5,192.5,172.0,257.0,213.8,,53.4,1704.8580000000002,20632.0,8.385013274589692,77.78,,,,,,,2930524.0,172.0,192.5,180.32,203.6
2020-08-16,Qatar,monthly,33,,,,,,172.0,189.4,178.0,199.0,167.0,245.0,216.2,,45.8,2115.857,26899.0,7.941443060885986,77.78,,,,,,,2930524.0,167.0,199.0,181.07999999999998,199.2
2020-08-23,Qatar,monthly,34,,,,,,170.0,190.2,181.5,205.5,162.0,233.0,218.6,,38.2,1987.858,34283.0,5.843553701288741,77.78,,,,,,,2930524.0,162.0,205.5,181.84,194.8
2020-08-30,Qatar,monthly,35,,,,,,168.0,191.0,185.0,212.0,157.0,221.0,221.0,,30.6,1744.143,37104.0,4.696966542295619,77.78,,,,,,,2930524.0,157.0,212.0,182.6,190.4
2020-09-06,Qatar,monthly,36,,,,,,166.0,192.0,182.0,204.5,163.8,209.0,207.75,,23.0,1474.571,35476.0,4.157007788755246,66.66285714285713,,,,,,,2930524.0,163.8,204.5,181.66,186.0
2020-09-13,Qatar,monthly,37,,,,,,171.25,193.0,179.0,197.0,170.6,210.75,194.5,,21.5,1625.858,31844.0,5.116204700174366,64.81,,,,,,,2930524.0,170.6,197.0,182.17000000000002,189.25
2020-09-20,Qatar,monthly,38,,,,,,176.5,194.0,176.0,189.5,177.4,212.5,181.25,,20.0,1627.857,32846.0,4.9573295676057265,64.81,,,,,,,2930524.0,176.0,194.0,182.68,192.5
2020-09-27,Qatar,monthly,39,,,,,,181.75,195.0,173.0,182.0,184.2,214.25,168.0,,18.5,1705.0,35339.0,4.8288321763652675,64.81,,,,,,,2930524.0,173.0,195.0,183.19,195.75
2020-10-04,Qatar,monthly,40,,,,,,187.0,194.2,177.0,185.4,191.0,216.0,179.75,,17.0,1551.286,35850.0,4.327726972602859,64.81,,,,,,,2930524.0,177.0,194.2,186.92000000000002,199.0
2020-10-11,Qatar,monthly,41,,,,,,190.5,193.4,181.0,188.8,189.0,218.5,191.5,,17.25,1429.858,34738.0,4.11820106710003,64.81,,,,,,,2930524.0,181.0,193.4,188.54000000000002,201.25
2020-10-18,Qatar,monthly,42,,,,,,194.0,192.6,185.0,192.2,187.0,221.0,203.25,,17.5,1439.857,40803.0,3.5475517928537275,64.81,,,,,,,2930524.0,185.0,194.0,190.16,203.5
2020-10-25,Qatar,monthly,43,,,,,,197.5,191.8,189.0,195.6,185.0,223.5,215.0,,17.75,1640.143,53570.0,3.0660839358949064,64.81,,,,,,,2930524.0,185.0,197.5,191.78,205.75
2020-11-01,Qatar,monthly,44,,,,,,201.0,191.0,193.0,199.0,183.0,226.0,212.6,,18.0,1670.858,53698.0,3.134933389756296,64.81,,,,,,,2930524.0,183.0,201.0,193.4,208.0
2020-11-08,Qatar,monthly,45,,,,,,199.6,193.25,195.75,201.0,187.5,214.4,210.2,,15.4,1463.857,37133.0,3.951662875870975,64.81,,,,,,,2930524.0,187.5,201.0,195.42000000000002,199.0
2020-11-15,Qatar,monthly,46,,,,,,198.2,195.5,198.5,203.0,192.0,202.8,207.8,,12.8,1537.286,34634.0,4.446035207468365,64.81,,,,,,,2930524.0,192.0,203.0,197.44,190.0
2020-11-22,Qatar,monthly,47,,,,,,196.8,197.75,201.25,205.0,196.5,191.2,205.4,,10.2,1526.0,32068.0,4.758239515339933,64.81,,,,,,,2930524.0,196.5,205.0,199.45999999999998,181.0
2020-11-29,Qatar,monthly,48,,,,,,195.4,200.0,204.0,207.0,201.0,179.6,203.0,,7.6,1404.286,29359.0,4.790055487948055,64.81,,,,,,,2930524.0,195.4,207.0,201.48,172.0
2020-12-06,Qatar,monthly,49,,,,,,194.0,203.5,205.0,206.4,201.2,168.0,207.5,,5.0,1364.57,28067.0,4.863639764926968,64.81,,,,,,,2930524.0,194.0,206.4,202.01999999999998,163.0
2020-12-13,Qatar,monthly,50,,,,,,200.75,207.0,206.0,205.8,201.4,181.25,212.0,,5.75,1103.5720000000001,29411.0,3.7616021141517075,64.81,,,,,,,2930524.0,200.75,207.0,204.19,175.5
2020-12-20,Qatar,monthly,51,,,,,,207.5,210.5,207.0,205.2,201.6,194.5,216.5,,6.5,1045.142,30203.0,3.4622605581230426,64.81,,,,,,,2930524.0,201.6,210.5,206.35999999999999,188.0
2020-12-27,Qatar,monthly,52,,,,,,214.25,214.0,208.0,204.6,201.8,207.75,221.0,,7.25,1039.5720000000001,27101.0,3.837163977830564,57.67,,,,,,,2930524.0,201.8,214.25,208.53000000000003,200.5
2021-01-03,Qatar,monthly,53,,,,,,221.0,209.6,208.0,204.0,202.0,221.0,,,8.0,1229.285,28795.0,4.2661122985578865,56.48,,,,,,,2930524.0,202.0,221.0,208.92,213.0
2021-01-10,Qatar,monthly,1,,,,,,218.25,205.2,208.0,195.0,199.5,218.75,,,6.75,1429.5720000000001,31903.0,4.495287591253462,56.48,,,,,,,2930524.0,195.0,218.25,205.19,212.0
