location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Qatar,2021-01-31,1,monthly,,,,,,210.0,210.0,192.0,208.0,168.0,192.0,212.0,3.0,226.91245161290323,4701.290322580645,56.48,,,2930524.0,4.826599423631124,,,168.0,210.0,197.6,209.0
Qatar,2021-02-28,2,monthly,,,,,,196.0,185.0,192.0,207.0,162.0,198.0,178.0,10.0,427.84700000000004,5283.857142857143,62.699999999999996,167547.20422535212,,2930524.0,8.097247681617866,5.717312133439348,,162.0,207.0,188.4,168.0
Qatar,2021-03-31,3,monthly,,,,,,191.0,201.0,186.0,200.0,185.0,221.0,250.0,33.0,502.5760322580645,6200.387096774193,63.68258064516129,431595.36619718315,,2930524.0,8.105558966141553,14.727583401370648,,185.0,201.0,192.6,217.0
Qatar,2021-04-30,4,monthly,,,,,,183.0,191.0,178.0,208.0,187.0,166.0,395.0,167.0,857.8857333333333,5854.433333333333,81.916,806354.40657277,560779.0,2930524.0,14.653608376557937,27.515707312848146,19.135792779721307,178.0,208.0,189.4,228.0
Qatar,2021-05-31,5,monthly,,,,,,218.0,183.0,214.0,199.0,197.0,238.0,273.0,98.0,427.0415483870968,3989.3225806451615,77.30000000000001,1217967.6935483871,838787.5967741936,2930524.0,10.70461312050716,41.56143043184042,28.62244420363708,183.0,218.0,202.2,175.0
Qatar,2021-06-30,6,monthly,,,,,,174.0,199.0,198.0,173.0,190.0,303.0,229.0,34.0,162.73333333333332,4594.166666666667,57.375,1599809.4666666666,1235263.5333333334,2930524.0,3.5421730455287492,54.591242612811456,42.15162658054783,173.0,199.0,186.8,195.0
Qatar,2021-07-31,7,monthly,,,,,,176.0,187.0,171.0,186.0,177.0,269.0,209.0,11.0,129.5161935483871,5300.677419354839,52.748387096774195,1898517.0806451612,1595820.935483871,2930524.0,2.4433894633065765,64.7842188170157,54.45513960929414,171.0,187.0,179.4,198.0
Qatar,2021-08-31,8,monthly,,,,,,166.0,191.0,185.0,212.0,157.0,209.0,221.0,1.0,208.10609677419353,5531.677419354839,50.0,2214954.4838709678,1917350.4516129033,2930524.0,3.7620794019197343,75.58219908354164,65.42688104969976,157.0,212.0,182.2,220.0
Qatar,2021-09-30,9,monthly,,,,,,187.0,195.0,173.0,182.0,191.0,216.0,168.0,4.0,140.4761333333333,5392.4,53.892,2344446.3636363638,2187279.4545454546,2930524.0,2.60507628019682,80.00092692079518,74.6378277245112,173.0,195.0,185.6,164.0
Qatar,2021-10-31,10,monthly,,,,,,201.0,191.0,193.0,199.0,183.0,226.0,215.0,4.0,82.46545161290322,5372.888888888889,54.12516129032259,,,2930524.0,1.5348437929442655,,,183.0,201.0,193.4,211.0
Qatar,2021-11-30,11,monthly,,,,,,194.0,200.0,204.0,207.0,201.0,168.0,,1.0,134.49993333333333,,55.467333333333336,,,2930524.0,,,,194.0,207.0,201.2,
Qatar,2021-12-31,12,monthly,,,,,,221.0,214.0,208.0,204.0,202.0,221.0,,3.0,161.3537619047619,,53.839047619047626,,,2930524.0,,,,202.0,221.0,209.8,
