date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Saint Kitts and Nevis,monthly,1,,,,,,,,34.8,37.4,26.0,26.0,,,,,,,,,,,,,,,26.0,37.4,32.733,
2020-01-12,Saint Kitts and Nevis,monthly,2,,,,,,,,34.6,36.8,28.25,26.75,,,,,,,,,,,,,,,28.25,36.8,33.217,
2020-01-19,Saint Kitts and Nevis,monthly,3,,,,,,,,34.4,36.2,30.5,27.5,,,,,,,,,,,,,,,30.5,36.2,33.7,
2020-01-26,Saint Kitts and Nevis,monthly,4,,,,,,,42.0,34.2,35.6,32.75,28.25,,,,,,,,,,,,,,,32.75,42.0,36.138,
2020-02-02,Saint Kitts and Nevis,monthly,5,,,,,,,38.6,34.0,35.0,35.0,29.0,,,,,,,,,,,,,,,34.0,38.6,35.65,
2020-02-09,Saint Kitts and Nevis,monthly,6,,,,,,,35.2,33.0,33.0,39.25,29.5,,,,,,,,,,,,,,,33.0,39.25,35.112,
2020-02-16,Saint Kitts and Nevis,monthly,7,,,,,,,31.8,32.0,31.0,43.5,30.0,,,,,,,,,,,,,,,31.0,43.5,34.575,
2020-02-23,Saint Kitts and Nevis,monthly,8,,,,,,,28.4,31.0,29.0,47.75,30.5,,,,,,,,,,,,,,,28.4,47.75,34.038,
2020-03-01,Saint Kitts and Nevis,monthly,9,,,,,,,25.0,30.0,27.0,52.0,31.0,,,,,,,,,,,,,,,25.0,52.0,33.5,
2020-03-08,Saint Kitts and Nevis,monthly,10,,,,,,,27.0,32.5,31.5,45.75,31.6,,,,,,,,,,,,,,,27.0,45.75,34.188,
2020-03-15,Saint Kitts and Nevis,monthly,11,,,,,,,29.0,35.0,36.0,39.5,32.2,,,,,,,,,,,,,,,29.0,39.5,34.875,
2020-03-22,Saint Kitts and Nevis,monthly,12,,,,,,,31.0,37.5,40.5,33.25,32.8,,,,,,,,,,,,,,,31.0,40.5,35.562,
2020-03-29,Saint Kitts and Nevis,monthly,13,,,,,,,33.0,40.0,45.0,27.0,33.4,,,,,,,,,,,,,,47681.0,27.0,45.0,36.25,
2020-04-05,Saint Kitts and Nevis,monthly,14,,,,,,,34.75,37.25,42.4,27.4,34.0,,,,7.143,,,,,,,,,,47681.0,27.4,42.4,35.45,
2020-04-12,Saint Kitts and Nevis,monthly,15,,,,,,,36.5,34.5,39.8,27.8,32.25,,,,2.717,,,,,,,,,,47681.0,27.8,39.8,34.65,
2020-04-19,Saint Kitts and Nevis,monthly,16,,,,,,,38.25,31.75,37.2,28.2,30.5,,,,2.431,,,,,,,,,,47681.0,28.2,38.25,33.85,
2020-04-26,Saint Kitts and Nevis,monthly,17,,,,,,,40.0,29.0,34.6,28.6,28.75,,,,1.287,,,,,,,,,,47681.0,28.6,40.0,33.05,
2020-05-03,Saint Kitts and Nevis,monthly,18,,,,,,,36.6,28.6,32.0,29.0,27.0,,,,0.0,,,,,,,,,,47681.0,28.6,36.6,31.55,
2020-05-10,Saint Kitts and Nevis,monthly,19,,,,,,,33.2,28.2,32.75,28.0,29.0,,,,0.0,,,,,,,,,,47681.0,28.0,33.2,30.538,
2020-05-17,Saint Kitts and Nevis,monthly,20,,,,,,,29.8,27.8,33.5,27.0,31.0,,,,0.0,,,,,,,,,,47681.0,27.0,33.5,29.525,
2020-05-24,Saint Kitts and Nevis,monthly,21,,,,,,,26.4,27.4,34.25,26.0,33.0,,,,0.0,,,,,,,,,,47681.0,26.0,34.25,28.512,
2020-05-31,Saint Kitts and Nevis,monthly,22,,,,,,,23.0,27.0,35.0,25.0,35.0,,,,0.0,,,,,,,,,,47681.0,23.0,35.0,27.5,
2020-06-07,Saint Kitts and Nevis,monthly,23,,,,,,,25.5,27.5,33.0,26.0,35.4,,,,0.0,,,,,,,,,,47681.0,25.5,33.0,28.0,
2020-06-14,Saint Kitts and Nevis,monthly,24,,,,,,,28.0,28.0,31.0,27.0,35.8,,,,0.0,,,,,,,,,,47681.0,27.0,31.0,28.5,
2020-06-21,Saint Kitts and Nevis,monthly,25,,,,,,,30.5,28.5,29.0,28.0,36.2,,,,0.0,,,,,,,,,,47681.0,28.0,30.5,29.0,
2020-06-28,Saint Kitts and Nevis,monthly,26,,,,,,,33.0,29.0,27.0,29.0,36.6,,,,0.0,,,,,,,,,,47681.0,27.0,33.0,29.5,
2020-07-05,Saint Kitts and Nevis,monthly,27,,,,,,,34.5,27.8,30.4,28.6,37.0,,,,0.286,,,,,,,,,,47681.0,27.8,34.5,30.325,
2020-07-12,Saint Kitts and Nevis,monthly,28,,,,,,,36.0,26.6,33.8,28.2,37.25,,,,1.144,,,,,,,,,,47681.0,26.6,36.0,31.15,
