date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,San Marino,monthly,1,,,,,,,17.5,30.6,24.0,18.0,16.0,39.25,,,,,,,,,,,,,,17.5,30.6,22.525,
2020-01-12,San Marino,monthly,2,,,,,,,17.0,29.2,25.0,19.25,17.75,33.5,,,,,,,,,,,,,,17.0,29.2,22.6125,
2020-01-19,San Marino,monthly,3,,,,,,,16.5,27.8,26.0,20.5,19.5,27.75,,,,,,,,,,,,,,16.5,27.8,22.7,
2020-01-26,San Marino,monthly,4,,,,,,,16.0,26.4,27.0,21.75,21.25,22.0,,,,,,,,,,,,,,16.0,27.0,22.7875,
2020-02-02,San Marino,monthly,5,,,,,,27.0,18.2,25.0,28.0,23.0,23.0,24.5,,,,,,,,,,,,,,18.2,28.0,24.240000000000002,
2020-02-09,San Marino,monthly,6,,,,,,24.5,20.4,27.0,25.75,21.0,23.75,27.0,,,,,,,,,,,,,,20.4,27.0,23.73,
2020-02-16,San Marino,monthly,7,,,,,,22.0,22.6,29.0,23.5,19.0,24.5,29.5,,,,,,,,,,,,,,19.0,29.0,23.22,
2020-02-23,San Marino,monthly,8,,,,,,19.5,24.8,31.0,21.25,17.0,25.25,32.0,,,,,,,,,,,,,,17.0,31.0,22.71,
2020-03-01,San Marino,monthly,9,,,,,,17.0,27.0,33.0,19.0,15.0,26.0,32.8,,1.0,,,30.555,,,,34010.0,,,,,15.0,33.0,22.2,25.0
2020-03-08,San Marino,monthly,10,,,,,,17.4,25.0,31.5,20.0,15.75,30.8,33.6,,5.8,3.10725,,38.357142857142854,,,,34010.0,,,,,15.75,31.5,21.93,25.0
2020-03-15,San Marino,monthly,11,,,,,,17.8,23.0,30.0,21.0,16.5,35.6,34.4,,10.6,6.449,,70.10714285714286,,,,34010.0,,,,,16.5,30.0,21.66,25.0
2020-03-22,San Marino,monthly,12,,,,,,18.2,21.0,28.5,22.0,17.25,40.4,35.2,,15.399999999999999,8.571285714285713,,81.21571428571428,,,,34010.0,,,,,17.25,28.5,21.39,25.0
2020-03-29,San Marino,monthly,13,,,,,,18.6,19.0,27.0,23.0,18.0,45.2,36.0,,20.2,12.959,,83.33,,,,34010.0,,,,,18.0,27.0,21.119999999999997,25.000000000000004
2020-04-05,San Marino,monthly,14,,,,,,19.0,20.5,25.0,22.2,19.6,50.0,34.0,,25.0,4.3878571428571425,,83.33,,,,34010.0,,,,,19.0,25.0,21.26,25.0
2020-04-12,San Marino,monthly,15,,,,,,20.25,22.0,23.0,21.4,21.2,45.25,32.0,,22.5,9.796000000000001,,84.92,,,,34010.0,,,,,20.25,23.0,21.57,22.75
2020-04-19,San Marino,monthly,16,,,,,,21.5,23.5,21.0,20.6,22.8,40.5,30.0,,20.0,12.755142857142857,,89.41857142857144,,,,34010.0,,,,,20.6,23.5,21.88,20.5
2020-04-26,San Marino,monthly,17,,,,,,22.75,25.0,19.0,19.8,24.4,35.75,28.0,,17.5,12.551,,92.59,,,,34010.0,,,,,19.0,25.0,22.189999999999998,18.25
2020-05-03,San Marino,monthly,18,,,,,,24.0,23.0,19.0,19.0,26.0,31.0,26.6,,15.0,10.346714285714285,,90.47428571428573,,,,34010.0,,,,,19.0,26.0,22.2,16.0
2020-05-10,San Marino,monthly,19,,,,,,23.0,21.0,19.0,20.25,25.25,29.5,25.2,,11.5,6.857428571428571,,66.67,,,,34010.0,,,,,19.0,25.25,21.7,18.0
2020-05-17,San Marino,monthly,20,,,,,,22.0,19.0,19.0,21.5,24.5,28.0,23.8,,8.0,5.551,,66.67,,,,34010.0,,,,,19.0,24.5,21.2,20.0
2020-05-24,San Marino,monthly,21,,,,,,21.0,17.0,19.0,22.75,23.75,26.5,22.4,,4.5,3.2857142857142856,,66.67,,,,34010.0,,,,,17.0,23.75,20.7,22.0
2020-05-31,San Marino,monthly,22,,,,,,20.0,15.0,19.0,24.0,23.0,25.0,21.0,,1.0,1.204,,66.67,,,,34010.0,,,,,15.0,24.0,20.2,24.0
2020-06-07,San Marino,monthly,23,,,,,,20.8,16.5,21.0,20.75,23.25,25.8,20.75,,0.8,1.7144285714285714,,57.410000000000004,,,,34010.0,,,,,16.5,23.25,20.46,25.0
2020-06-14,San Marino,monthly,24,,,,,,21.6,18.0,23.0,17.5,23.5,26.6,20.5,,0.6,0.6531428571428571,,57.410000000000004,,,,34010.0,,,,,17.5,23.5,20.72,26.0
2020-06-21,San Marino,monthly,25,,,,,,22.4,19.5,25.0,14.25,23.75,27.4,20.25,,0.3999999999999999,1.3059999999999998,,33.33,,,,34010.0,,,,,14.25,25.0,20.98,27.0
2020-06-28,San Marino,monthly,26,,,,,,23.2,21.0,27.0,11.0,24.0,28.2,20.0,,0.19999999999999996,1.2650000000000001,,33.33,,,,34010.0,,,,,11.0,27.0,21.240000000000002,28.0
2020-07-05,San Marino,monthly,27,,,,,,24.0,20.25,26.4,11.2,23.6,29.0,21.0,,0.0,0.0,,33.33,,,,34010.0,,,,,11.2,26.4,21.090000000000003,29.0
2020-07-12,San Marino,monthly,28,,,,,,22.75,19.5,25.8,11.4,23.2,27.75,22.0,,0.0,0.18385714285714286,,33.33,,,,34010.0,,,,,11.4,25.8,20.53,27.75
2020-07-19,San Marino,monthly,29,,,,,,21.5,18.75,25.2,11.6,22.8,26.5,23.0,,0.0,0.24514285714285713,,33.33,,,,34010.0,,,,,11.6,25.2,19.97,26.5
2020-07-26,San Marino,monthly,30,,,,,,20.25,18.0,24.6,11.8,22.4,25.25,24.0,,0.0,0.0,,33.33,,,,34010.0,,,,,11.8,24.6,19.410000000000004,25.25
2020-08-02,San Marino,monthly,31,,,,,,19.0,18.4,24.0,12.0,22.0,24.0,23.6,,0.0,0.0,,33.33,,,,34010.0,,,,,12.0,24.0,19.080000000000002,24.0
