date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Scotland,weekly,1,1516.0,1344.0,1184.0,1201.0,1090.0,1146.0,1394.0,1205.0,1531.0,1104.0,1161.0,1720.0,1231.0,,,,,,163377.0,2758.0,,2.989,0.05,,5466000.0,1090.0,1531.0,1271.5,
2021-01-17,Scotland,weekly,2,1387.0,1372.0,1298.0,1425.0,1313.0,1708.0,1305.0,1379.0,1899.0,1507.0,1567.0,1550.0,1517.0,,,,,,224001.286,3319.286,,4.098,0.061,,5466000.0,1298.0,1899.0,1459.3,
2021-01-24,Scotland,weekly,3,1202.0,1244.0,1106.0,1265.0,1189.0,1489.0,1215.0,1224.0,1629.0,1353.0,1322.0,1559.0,1347.0,,,,,,355417.571,4760.0,,6.502,0.087,,5466000.0,1106.0,1629.0,1291.6,
2021-01-31,Scotland,weekly,4,1132.0,1143.0,1075.0,1212.0,1137.0,1381.0,1187.0,1197.0,1610.0,1208.0,1226.0,1604.0,1261.0,,,,,,513291.571,7116.429,,9.391,0.13,,5466000.0,1075.0,1610.0,1228.2,
2021-02-07,Scotland,weekly,5,1126.0,1099.0,1085.0,1282.0,1054.0,1286.0,1205.0,1332.0,1369.0,1206.0,1188.0,1506.0,1260.0,,,,,,741345.0,9609.571,,13.563,0.176,,5466000.0,1054.0,1369.0,1204.4,
2021-02-14,Scotland,weekly,6,1129.0,1012.0,1059.0,1194.0,1107.0,1344.0,1217.0,1200.0,1265.0,1243.0,1216.0,1412.0,1238.0,,,,,,1104067.429,13525.0,,20.199,0.247,,5466000.0,1012.0,1344.0,1177.0,
2021-02-21,Scotland,weekly,7,1104.0,1089.0,1063.0,1113.0,1073.0,1360.0,1209.0,1231.0,1315.0,1181.0,1162.0,1422.0,1158.0,,,,,,1377038.429,28146.286,,25.193,0.515,,5466000.0,1063.0,1360.0,1173.8,
2021-02-28,Scotland,weekly,8,1122.0,1118.0,1121.0,1228.0,1081.0,1320.0,1239.0,1185.0,1245.0,1245.0,1162.0,1325.0,1190.0,,,,,,1541093.286,63268.571,,28.194,1.157,,5466000.0,1081.0,1320.0,1190.4,
2021-03-07,Scotland,weekly,9,1136.0,1021.0,1091.0,1108.0,1057.0,1308.0,1150.0,1219.0,1022.0,1125.0,1171.0,1204.0,1192.0,,,,,,1711542.571,104856.143,,31.313,1.918,,5466000.0,1021.0,1308.0,1123.7,
2021-03-14,Scotland,weekly,10,1079.0,1030.0,1034.0,1131.0,1044.0,1192.0,1174.0,1146.0,1475.0,1156.0,1208.0,1145.0,1222.0,,,,,,1847683.143,146503.0,,33.803,2.68,,5466000.0,1030.0,1475.0,1146.1,
2021-03-21,Scotland,weekly,11,1020.0,1034.0,1063.0,1120.0,1101.0,1201.0,1175.0,1141.0,1220.0,1108.0,1198.0,1114.0,1267.0,,,,,,2064701.0,200408.857,,37.774,3.666,,5466000.0,1020.0,1220.0,1118.3,
2021-03-28,Scotland,weekly,12,1064.0,1113.0,1037.0,1118.0,997.0,1149.0,1042.0,1152.0,1158.0,1101.0,1196.0,1097.0,1248.0,,,,,,2318296.143,281696.143,,42.413,5.154,,5466000.0,997.0,1158.0,1093.1,
2021-04-04,Scotland,weekly,13,926.0,1100.0,1004.0,1028.0,1037.0,1171.0,1172.0,1112.0,1050.0,1086.0,1079.0,972.0,1271.0,,,,,,2509595.0,410959.0,,45.913,7.518,,5466000.0,926.0,1172.0,1068.6,
2021-04-11,Scotland,weekly,14,1145.0,1033.0,957.0,1227.0,1018.0,1042.0,1166.0,1060.0,1192.0,1032.0,1744.0,1058.0,1236.0,,,,,,2625140.143,525565.0,,48.027,9.615,,5466000.0,957.0,1227.0,1087.2,
2021-04-18,Scotland,weekly,15,1032.0,1009.0,1098.0,1176.0,1071.0,1192.0,1048.0,998.0,1192.0,1069.0,1978.0,1131.0,1051.0,,,,,,2719109.143,685933.286,,49.746,12.549,,5466000.0,998.0,1192.0,1088.5,
2021-04-25,Scotland,weekly,16,1014.0,877.0,1145.0,1139.0,963.0,1095.0,1092.0,1111.0,1136.0,902.0,1916.0,1112.0,1256.0,,,,,,2760817.0,942378.714,,50.509,17.241,,5466000.0,877.0,1145.0,1047.4,
2021-05-02,Scotland,weekly,17,987.0,927.0,1093.0,1158.0,978.0,1108.0,1076.0,1121.0,1008.0,1121.0,1836.0,1040.0,1268.0,,,,,,2803593.143,1220464.571,,51.291,22.328,,5466000.0,927.0,1158.0,1057.7,
2021-05-09,Scotland,weekly,18,940.0,1112.0,1067.0,1095.0,1073.0,1117.0,1006.0,1050.0,1093.0,1131.0,1678.0,954.0,1093.0,,,,,,2872625.429,1421546.571,,52.554,26.007,,5466000.0,940.0,1131.0,1068.4,
2021-05-16,Scotland,weekly,19,1006.0,1093.0,1050.0,1012.0,989.0,1020.0,1047.0,1119.0,967.0,1018.0,1435.0,1076.0,1244.0,,,,,,2984393.857,1574241.714,,54.599,28.801,,5466000.0,967.0,1119.0,1032.1,
