date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Serbia,monthly,1,,,,,,,8816.5,10651.4,8782.4,8973.0,8511.0,15966.25,11642.4,1001.4,29983.999,127294.0,22.726,28.7,3316712.25,3222122.0,1755415.5,48.267,46.891,25.546,6871547.0,8782.4,10651.4,9305.825,10641.0
2022-01-16,Serbia,monthly,2,,,,,,,9054.0,11334.8,8910.8,9248.5,8854.75,14823.5,11579.8,979.8,69815.714,197512.0,35.081,28.7,3320446.214,3228301.5,1770500.786,48.322,46.981,25.766,6871547.0,8910.8,11334.8,9637.025,10600.0
2022-01-23,Serbia,monthly,3,,,,,,,9291.5,12018.2,9039.2,9524.0,9198.5,13680.75,11517.2,958.2,102713.286,227350.0,45.158,28.7,3326888.071,3237018.571,1795640.643,48.415,47.108,26.132,6871547.0,9039.2,12018.2,9968.225,10559.0
2022-01-30,Serbia,monthly,4,,,,,,,9529.0,12701.6,9167.6,9799.5,9542.25,12538.0,11454.6,936.6,111948.429,233487.0,47.949,35.051,3331725.429,3242499.857,1814120.786,48.486,47.187,26.4,6871547.0,9167.6,12701.6,10299.425,10518.0
2022-02-06,Serbia,monthly,5,,,,,,10121.0,9308.8,13385.0,9296.0,10075.0,9886.0,11924.75,11392.0,915.0,115630.999,230862.0,50.053,36.11,3335813.643,3247854.929,1830269.714,48.545,47.265,26.635,6871547.0,9296.0,13385.0,10437.16,10477.0
2022-02-13,Serbia,monthly,6,,,,,,9919.75,9088.6,12289.0,9414.75,9949.0,9715.75,11311.5,11817.5,1089.25,86878.857,200877.0,43.115,36.11,3339109.286,3253364.0,1843994.5,48.593,47.345,26.835,6871547.0,9088.6,12289.0,10132.22,10728.25
2022-02-20,Serbia,monthly,7,,,,,,9718.5,8868.4,11193.0,9533.5,9823.0,9545.5,10698.25,12243.0,1263.5,52063.428,145550.0,35.5,36.11,3341229.286,3257231.429,1852842.214,48.624,47.402,26.964,6871547.0,8868.4,11193.0,9827.28,10979.5
2022-02-27,Serbia,monthly,8,,,,,,9517.25,8648.2,10097.0,9652.25,9697.0,9375.25,10085.0,12668.5,1437.75,32959.285,117796.0,27.882,36.11,3343151.929,3261614.929,1861220.714,48.652,47.466,27.086,6871547.0,8648.2,10097.0,9522.34,11230.75
2022-03-06,Serbia,monthly,9,,,,,,9316.0,8428.0,9001.0,9771.0,9571.0,9205.0,10621.4,13094.0,1612.0,19676.714,96979.0,20.246,36.11,3344476.429,3264638.857,1867317.0,48.671,47.51,27.175,6871547.0,8428.0,9771.0,9217.4,11482.0
2022-03-13,Serbia,monthly,10,,,,,,9411.6,8492.25,8933.5,9784.25,9462.25,9174.0,11157.8,12633.0,1348.5,15800.857,91511.0,17.26,36.11,3345594.623,3266763.117,1872041.948,48.688,47.54,27.243,6871547.0,8492.25,9784.25,9216.77,11284.5
2022-03-20,Serbia,monthly,11,,,,,,9507.2,8556.5,8866.0,9797.5,9353.5,9143.0,11694.2,12172.0,1085.0,14816.714,97495.0,15.225,36.11,3346546.091,3268319.455,1875628.909,48.701,47.563,27.296,6871547.0,8556.5,9797.5,9216.14,11087.0
2022-03-27,Serbia,monthly,12,,,,,,9602.8,8620.75,8798.5,9810.75,9244.75,9112.0,12230.6,11711.0,821.5,14223.572,103101.0,13.795,36.11,3347392.878,3269609.776,1879082.029,48.714,47.582,27.346,6871547.0,8620.75,9810.75,9215.51,10889.5
