date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Singapore,monthly,1,,,,,,,1624.5,1632.0,1734.2,1938.0,1933.0,1855.25,0.0,29.469285714285714,29061.85714285714,45.37,630.5714285714286,5.666666666666667,5453600.0,0.10140193577246562,0.011562480353737505,0.00010390689941812137,1624.5,1938.0,1732.175,1855.25
2021-01-17,Singapore,monthly,2,,,,,,,1628.0,1666.0,1783.4,1915.25,1972.5,1859.5,0.0,30.040857142857142,31613.285714285714,47.75285714285714,14494.57142857143,16.285714285714285,5453600.0,0.09502605143407157,0.26577987803600245,0.0002986231899243488,1628.0,1915.25,1748.1625,1859.5
2021-01-24,Singapore,monthly,3,,,,,,,1631.5,1700.0,1832.6,1892.5,2012.0,1863.75,0.0,28.388,33846.71428571428,50.93,53799.42857142857,62.857142857142854,5453600.0,0.08387224756992662,0.9864938494100882,0.0011525807330413462,1631.5,1892.5,1764.15,1863.75
2021-01-31,Singapore,monthly,4,,,,,,,1635.0,1734.0,1881.8,1869.75,2051.5,1868.0,0.0,30.449,35555.28571428572,50.93,122569.71428571429,544.2857142857143,5453600.0,0.08563846243475955,2.247500995410633,0.009980301347471658,1635.0,1881.8,1780.1375,1868.0
2021-02-07,Singapore,monthly,5,,,,,,1701.0,1626.4,1768.0,1931.0,1847.0,2091.0,1841.75,0.0,28.00014285714286,34596.28571428572,50.93,188686.14285714287,13628.714285714286,5453600.0,0.08093395657667628,3.4598456589618394,0.2499030784383579,1626.4,1931.0,1774.6799999999998,1841.75
2021-02-14,Singapore,monthly,6,,,,,,1646.0,1617.8,1720.25,1863.75,1793.0,2008.75,1815.5,0.0,18.857285714285716,33577.71428571428,50.93,217538.2857142857,45344.42857142857,5453600.0,0.05616012321097327,3.988893312936147,0.8314586433076973,1617.8,1863.75,1728.1599999999999,1815.5
2021-02-21,Singapore,monthly,7,,,,,,1591.0,1609.2,1672.5,1796.5,1739.0,1926.5,1789.25,0.0,10.673428571428571,34645.42857142857,50.93,231673.85714285713,105785.57142857143,5453600.0,0.030807610156771865,4.248090383285484,1.9397383641736,1591.0,1796.5,1681.64,1789.25
2021-02-28,Singapore,monthly,8,,,,,,1536.0,1600.6,1624.75,1729.25,1685.0,1844.25,1763.0,0.0,9.816142857142856,37222.857142857145,50.93,273749.28571428574,180494.7142857143,5453600.0,0.026371277249002144,5.019606969970034,3.309643433433224,1536.0,1729.25,1635.1200000000001,1763.0
2021-03-07,Singapore,monthly,9,,,,,,1481.0,1592.0,1577.0,1662.0,1631.0,1762.0,1794.6,0.2,12.551,36667.57142857143,50.93,339903.14285714284,212454.7142857143,5453600.0,0.03422915538447752,6.232637942957731,3.895678346151428,1481.0,1662.0,1588.6,1794.3999999999999
2021-03-14,Singapore,monthly,10,,,,,,1520.8,1639.0,1627.5,1691.0,1682.5,1787.8,1826.2,0.4,11.46942857142857,36664.28571428572,50.93,442435.5714285714,226391.14285714287,5453600.0,0.0312822910578609,8.112725015193108,4.151223831178357,1520.8,1691.0,1632.16,1825.8
2021-03-21,Singapore,monthly,11,,,,,,1560.6,1686.0,1678.0,1720.0,1734.0,1813.6,1857.8,0.6000000000000001,11.795857142857143,50483.857142857145,50.93,632281.8571428572,265318.71428571426,5453600.0,0.023365602017052126,11.59384364718456,4.865019698652528,1560.6,1734.0,1675.72,1857.2
2021-03-28,Singapore,monthly,12,,,,,,1600.4,1733.0,1728.5,1749.0,1785.5,1839.4,1889.4,0.8,14.081714285714286,55062.71428571428,50.93,827989.0,330833.14285714284,5453600.0,0.025573955930769852,15.18242995452545,6.066325782183197,1600.4,1785.5,1719.28,1888.6000000000001
2021-04-04,Singapore,monthly,13,,,,,,1640.2,1780.0,1779.0,1778.0,1837.0,1865.2,1921.0,1.0,22.061285714285713,35026.0,50.93,994291.2857142857,426841.4285714286,5453600.0,0.06298545570229462,18.23183375594627,7.8267828328338815,1640.2,1837.0,1762.8400000000001,1920.0
2021-04-11,Singapore,monthly,14,,,,,,1680.0,1756.0,1749.5,1756.0,1822.6,1891.0,1924.0,0.75,24.04057142857143,27425.285714285714,50.93,1151996.7142857143,595250.4285714285,5453600.0,0.08765841741458613,21.123601186110356,10.914816425323245,1680.0,1822.6,1752.8200000000002,1923.25
2021-04-18,Singapore,monthly,15,,,,,,1657.25,1732.0,1720.0,1734.0,1808.2,1896.5,1927.0,0.5,24.530571428571427,17292.0,50.93,1285539.857142857,781245.1428571428,5453600.0,0.14186081094478042,23.572316582493343,14.325310672897587,1657.25,1808.2,1730.2900000000002,1926.5
