date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Singapore,monthly,1,,,,,,,1624.5,1632.0,1734.2,1938.0,1933.0,1856.0,2079.6,93.4,3972.572,,,43.693,4893181.0,4689786.429,2401601.0,86.804,83.196,42.604,5637022.0,1624.5,1938.0,1732.175,1986.2
2022-01-16,Singapore,monthly,2,,,,,,,1628.0,1666.0,1783.4,1915.25,1972.5,1861.0,2052.2,76.8,6012.428,,,43.677,4940979.571,4696131.143,2684715.143,87.652,83.309,47.626,5637022.0,1628.0,1915.25,1748.162,1975.4
2022-01-23,Singapore,monthly,3,,,,,,,1631.5,1700.0,1832.6,1892.5,2012.0,1866.0,2024.8,60.2,12749.715,,,46.029,4984711.571,4707892.571,2909340.571,88.428,83.517,51.611,5637022.0,1631.5,1892.5,1764.15,1964.6
2022-01-30,Singapore,monthly,4,,,,,,,1635.0,1734.0,1881.8,1869.75,2051.5,1871.0,1997.4,43.6,31148.713,1651900.0,1.886,46.363,5019009.286,4736548.571,3087385.429,89.037,84.026,54.77,5637022.0,1635.0,1881.8,1780.138,1953.8
2022-02-06,Singapore,monthly,5,,,,,,1701.0,1626.4,1768.0,1931.0,1847.0,2091.0,1845.5,1970.0,27.0,36994.858,1679700.0,2.202,46.289,5037725.0,4771422.714,3197256.857,89.369,84.644,56.719,5637022.0,1626.4,1931.0,1774.68,1943.0
2022-02-13,Singapore,monthly,6,,,,,,1646.0,1617.8,1720.25,1863.75,1793.0,2008.75,1820.0,2009.5,61.25,68862.144,1818300.0,3.774,45.519,5054541.857,4815064.286,3356373.0,89.667,85.419,59.542,5637022.0,1617.8,1863.75,1728.16,1948.25
2022-02-20,Singapore,monthly,7,,,,,,1591.0,1609.2,1672.5,1796.5,1739.0,1926.5,1794.5,2049.0,95.5,94769.715,1841100.0,5.19,43.72,5068809.857,4857807.429,3516941.714,89.92,86.177,62.39,5637022.0,1591.0,1796.5,1681.64,1953.5
2022-02-27,Singapore,monthly,8,,,,,,1536.0,1600.6,1624.75,1729.25,1685.0,1844.25,1769.0,2088.5,129.75,124899.001,1343200.0,9.608,43.636,5081932.429,4888918.857,3624653.714,90.153,86.729,64.301,5637022.0,1536.0,1729.25,1635.12,1958.75
2022-03-06,Singapore,monthly,9,,,,,,1481.0,1592.0,1577.0,1662.0,1631.0,1762.0,1800.0,2128.0,164.0,124657.858,830100.0,15.034,43.573,5090638.571,4912552.714,3706726.714,90.307,87.148,65.757,5637022.0,1481.0,1662.0,1588.6,1964.0
2022-03-13,Singapore,monthly,10,,,,,,1520.8,1639.0,1627.5,1691.0,1682.5,1787.8,1831.0,2251.5,185.25,112002.57,732700.0,15.29,43.531,5095475.143,4928682.286,3768750.857,90.393,87.434,66.857,5637022.0,1520.8,1691.0,1632.16,2066.25
2022-03-20,Singapore,monthly,11,,,,,,1560.6,1686.0,1678.0,1720.0,1734.0,1813.6,1862.0,2375.0,206.5,89645.144,670500.0,13.333,46.724,5100802.143,4949488.143,3825708.143,90.488,87.803,67.868,5637022.0,1560.6,1734.0,1675.72,2168.5
2022-03-27,Singapore,monthly,12,,,,,,1600.4,1733.0,1728.5,1749.0,1785.5,1839.4,1893.0,2498.5,227.75,65327.142,576200.0,11.311,46.69,5104319.0,4967712.857,3868565.571,90.55,88.127,68.628,5637022.0,1600.4,1785.5,1719.28,2270.75
2022-04-03,Singapore,monthly,13,,,,,,1640.2,1780.0,1779.0,1778.0,1837.0,1865.2,1924.0,2622.0,249.0,44345.715,419800.0,10.621,46.66,5106662.286,4983437.286,3910287.429,90.591,88.405,69.368,5637022.0,1640.2,1837.0,1762.84,2373.0
2022-04-10,Singapore,monthly,14,,,,,,1680.0,1756.0,1749.5,1756.0,1822.6,1891.0,1927.5,2498.0,203.5,32181.286,285500.0,11.265,46.634,5108680.571,4995789.571,3947480.857,90.627,88.625,70.028,5637022.0,1680.0,1822.6,1752.82,2294.5
2022-04-17,Singapore,monthly,15,,,,,,1657.25,1732.0,1720.0,1734.0,1808.2,1896.5,1931.0,2374.0,158.0,24693.283,237500.0,10.394,46.611,5110736.714,5006443.714,3982330.571,90.664,88.814,70.646,5637022.0,1657.25,1808.2,1730.29,2216.0
2022-04-24,Singapore,monthly,16,,,,,,1634.5,1708.0,1690.5,1712.0,1793.8,1902.0,1934.5,2250.0,112.5,22241.428,233500.0,9.526,43.426,5112422.714,5014553.571,4014516.143,90.694,88.957,71.217,5637022.0,1634.5,1793.8,1707.76,2137.5
2022-05-01,Singapore,monthly,17,,,,,,1611.75,1684.0,1661.0,1690.0,1779.4,1907.5,1938.0,2126.0,67.0,16053.285,219200.0,7.281,30.526,5114142.714,5022126.714,4049019.0,90.724,89.092,71.829,5637022.0,1611.75,1779.4,1685.23,2059.0
2022-05-08,Singapore,monthly,18,,,,,,1589.0,1692.8,1709.2,1668.0,1765.0,1913.0,1945.4,2149.4,64.4,19003.572,200500.0,9.5,28.451,5115391.714,5027865.571,4081006.143,90.746,89.194,72.396,5637022.0,1589.0,1765.0,1684.8,2085.0
2022-05-15,Singapore,monthly,19,,,,,,1623.0,1701.6,1757.4,1708.25,1765.5,1903.25,1952.8,2172.8,61.8,23702.001,193800.0,12.234,28.433,5116467.0,5034939.0,4113850.143,90.765,89.319,72.979,5637022.0,1623.0,1765.5,1711.15,2111.0
2022-05-22,Singapore,monthly,20,,,,,,1657.0,1710.4,1805.6,1748.5,1766.0,1893.5,1960.2,2196.2,59.2,25471.572,189100.0,13.476,28.406,5117678.429,5045105.429,4146179.0,90.787,89.499,73.553,5637022.0,1657.0,1805.6,1737.5,2137.0
2022-05-29,Singapore,monthly,21,,,,,,1691.0,1719.2,1853.8,1788.75,1766.5,1883.75,1967.6,2219.6,56.6,27624.572,173200.0,15.961,28.384,5119110.143,5053423.143,4179735.714,90.812,89.647,74.148,5637022.0,1691.0,1853.8,1763.85,2163.0
2022-06-05,Singapore,monthly,22,,,,,,1725.0,1728.0,1902.0,1829.0,1767.0,1874.0,1975.0,2243.0,54.0,24331.572,162200.0,15.021,28.367,5120837.571,5060101.286,4212847.286,90.843,89.766,74.735,5637022.0,1725.0,1902.0,1790.2,2189.0
2022-06-12,Singapore,monthly,23,,,,,,1745.4,1692.25,1907.75,1808.75,1759.0,1851.4,1965.5,2209.75,46.5,22233.286,168800.0,13.171,28.356,5122221.429,5064548.429,4234266.857,90.868,89.844,75.115,5637022.0,1692.25,1907.75,1782.63,2163.25
