date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,South Africa,weekly,1,,,,,,10001.0,11576.0,9938.0,10251.0,9792.0,10454.0,23511.0,12420.0,,,,,,,,,,,,,9792.0,11576.0,10311.6,
2020-01-12,South Africa,weekly,2,,,,,,9603.0,8995.0,9264.0,9499.0,9595.0,9678.0,24952.0,11336.0,,,,,,,,,,,,,8995.0,9603.0,9391.2,
2020-01-19,South Africa,weekly,3,,,,,,9098.0,8961.0,8972.0,9276.0,9556.0,9254.0,21802.0,10344.0,,,,,,,,,,,,,8961.0,9556.0,9172.6,
2020-01-26,South Africa,weekly,4,,,,,,9559.0,9040.0,8971.0,8653.0,8907.0,8626.0,15818.0,9807.0,,,,,,,,,,,,,8653.0,9559.0,9026.0,
2020-02-02,South Africa,weekly,5,,,,,,10096.0,9454.0,9135.0,9014.0,9065.0,9415.0,13832.0,10193.0,,,,,,,,,,,,,9014.0,10096.0,9352.8,
2020-02-09,South Africa,weekly,6,,,,,,10090.0,9250.0,9366.0,9158.0,9465.0,10095.0,12181.0,9914.0,,,,,2.78,,,,,,,60041996.0,9158.0,10090.0,9465.8,
2020-02-16,South Africa,weekly,7,,,,,,9384.0,9309.0,8991.0,8860.0,9098.0,9279.0,11440.0,9577.0,,,12.0,,2.78,,,,,,,60041996.0,8860.0,9384.0,9128.4,
2020-02-23,South Africa,weekly,8,,,,,,9396.0,9232.0,8870.0,8864.0,9039.0,9311.0,10717.0,9717.0,,,33.0,,2.78,,,,,,,60041996.0,8864.0,9396.0,9080.2,
2020-03-01,South Africa,weekly,9,,,,,,10080.0,9446.0,9448.0,9181.0,9479.0,9019.0,10964.0,10065.0,,,30.0,,2.78,,,,,,,60041996.0,9181.0,10080.0,9526.8,
2020-03-08,South Africa,weekly,10,,,,,,9571.0,9356.0,9305.0,9427.0,9670.0,9836.0,10919.0,10041.0,,,78.0,,9.129,,,,,,,60041996.0,9305.0,9670.0,9465.8,
