date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,South Korea,weekly,1,5036.0,5455.0,5309.0,5290.0,5310.0,5699.0,5500.0,5958.0,7000.0,6292.0,6438.0,6220.0,6818.0,341.0,27024.715,1389619.0,1.944,46.321,44422047.714,42956682.429,20159104.857,85.707,82.88,38.895,51830139.0,5036.0,7000.0,5684.9,6477.0
2022-01-16,South Korea,weekly,2,4988.0,5392.0,5377.0,5541.0,5157.0,5622.0,5569.0,5891.0,7135.0,6410.0,6320.0,6334.0,6706.0,262.0,26449.428,1260247.0,2.105,46.267,44545229.714,43462013.143,22555243.714,85.945,83.855,43.518,51830139.0,4988.0,7135.0,5708.2,6444.0
2022-01-23,South Korea,weekly,3,4937.0,5447.0,5327.0,5356.0,5316.0,5551.0,5595.0,5751.0,7370.0,6169.0,6403.0,6189.0,6683.0,232.0,36461.144,1263537.0,2.872,46.231,44632109.571,43804823.857,24605684.714,86.112,84.516,47.474,51830139.0,4937.0,7370.0,5681.9,6451.0
2022-01-30,South Korea,weekly,4,4899.0,5159.0,5521.0,5435.0,5274.0,5601.0,5659.0,5720.0,7014.0,6056.0,6490.0,5841.0,6696.0,190.0,75734.858,1659510.0,4.499,46.209,44696575.286,44012575.143,26482817.143,86.237,84.917,51.095,51830139.0,4899.0,7014.0,5633.8,6506.0
2022-02-06,South Korea,weekly,5,4787.0,5188.0,5903.0,5322.0,5426.0,5588.0,5717.0,6003.0,6888.0,5876.0,6434.0,6074.0,6603.0,131.0,149483.144,1704308.0,9.019,45.004,44734090.857,44125761.286,27713981.857,86.309,85.135,53.471,51830139.0,4787.0,6888.0,5669.8,6472.0
2022-02-13,South Korea,weekly,6,4667.0,5294.0,6083.0,5200.0,5643.0,5617.0,5915.0,5718.0,6392.0,5628.0,6431.0,5778.0,7000.0,216.0,295965.428,2530174.0,12.0,41.554,44778096.571,44248428.429,29012910.143,86.394,85.372,55.977,51830139.0,4667.0,6392.0,5615.7,6784.0
2022-02-20,South Korea,weekly,7,4916.0,5199.0,6116.0,5531.0,5697.0,5738.0,6053.0,5720.0,6094.0,5672.0,6161.0,6075.0,7025.0,348.0,515491.002,3723105.0,13.745,41.546,44829925.571,44325883.286,30121779.0,86.494,85.521,58.116,51830139.0,4916.0,6116.0,5673.6,6677.0
2022-02-27,South Korea,weekly,8,4992.0,5157.0,6036.0,5407.0,5892.0,5784.0,6028.0,5636.0,6211.0,5844.0,5970.0,5911.0,7783.0,608.0,902239.287,4790904.0,18.738,41.54,44876098.286,44376636.857,31060306.429,86.583,85.619,59.927,51830139.0,4992.0,6211.0,5698.7,7175.0
2022-03-06,South Korea,weekly,9,4897.0,5087.0,5790.0,5897.0,5928.0,6070.0,6105.0,5554.0,5938.0,5683.0,6012.0,5950.0,8811.0,1038.0,1305725.856,5251587.0,24.906,40.854,44901012.571,44416344.571,31718417.143,86.631,85.696,61.197,51830139.0,4897.0,6105.0,5694.9,7773.0
2022-03-13,South Korea,weekly,10,4719.0,5049.0,5560.0,5884.0,5771.0,6090.0,5679.0,5440.0,5940.0,5840.0,5961.0,6100.0,9612.0,1499.0,1903027.856,5634862.0,33.69,40.74,44927927.0,44450605.714,32118674.0,86.683,85.762,61.969,51830139.0,4719.0,6090.0,5597.2,8113.0
