date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,positive_rate,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Spain,weekly,1,8205.0,8886.0,8698.0,7914.0,9049.0,9605.0,8658.0,10726.0,11204.0,9127.0,8710.0,10661.0,,1037.0,100531.85800000001,930159.0,10.713612128258747,74.47142857142856,223552.85714285713,,,0.47823691959130776,,,46745211.0,15.714285714285714,7914.0,11204.0,9207.2,9624.0
2021-01-17,Spain,weekly,2,8640.0,8440.0,9131.0,8422.0,9009.0,10415.0,8671.0,11414.0,10905.0,10025.0,9398.0,12122.0,,1440.0,184804.858,1315379.0,14.04252520410345,71.3,655080.5714285715,,,1.4013854198424123,,,46745211.0,17.442857142857143,8422.0,11414.0,9507.2,10682.0
2021-01-24,Spain,weekly,3,8322.0,8419.0,9241.0,8562.0,9126.0,10738.0,8791.0,11334.0,10981.0,10476.0,9917.0,13254.0,,2127.0,240188.001,1662495.0,14.462341741877813,71.3,1040902.7142857143,44583.57142857143,,2.2267579758827365,0.0953756983331863,,46745211.0,16.614285714285714,8322.0,11334.0,9599.0,11127.0
2021-01-31,Spain,weekly,4,8063.0,8699.0,8936.0,8328.0,9061.0,10625.0,8491.0,11068.0,10324.0,10141.0,9954.0,12951.0,,2878.0,250399.001,1824108.0,13.72947009047672,71.3,1214451.0,244148.2857142857,,2.5980222872456387,0.5222958255858247,,46745211.0,14.4,8063.0,11068.0,9373.6,10073.0
2021-02-07,Spain,weekly,5,8154.0,8657.0,9256.0,8359.0,8867.0,11046.0,8461.0,10636.0,9893.0,9964.0,9974.0,11840.0,,3067.0,209982.143,1716508.0,12.226621243871419,71.3,1292472.7142857143,634607.2857142857,,2.764930752554982,1.3575878087581756,,46745211.0,11.528571428571428,8154.0,11046.0,9329.3,8773.0
2021-02-14,Spain,weekly,6,7954.0,8684.0,10064.0,8320.0,8996.0,10682.0,8556.0,9660.0,10015.0,9686.0,9192.0,10608.0,,3361.0,132885.43,1432454.0,9.232755117548836,71.3,1411058.2857142857,973270.7142857143,,3.0186157159805864,2.0820757751755883,,46745211.0,8.814285714285715,7954.0,10682.0,9261.7,7247.0
2021-02-21,Spain,weekly,7,8283.0,8496.0,11103.0,8609.0,8829.0,10857.0,8479.0,9017.0,10105.0,9363.0,8839.0,9720.0,,2354.0,83303.144,1054447.0,7.901308084509635,70.10857142857142,1721944.5714285714,1156690.2857142857,,3.6836812468951554,2.474457299410384,,46745211.0,7.671428571428572,8283.0,11103.0,9314.1,7366.0
2021-02-28,Spain,weekly,8,8059.0,8135.0,10993.0,8508.0,8396.0,10580.0,8670.0,8670.0,9656.0,9216.0,8413.0,9230.0,,2041.0,60152.0,872993.0,6.879840104832299,68.52,2297670.714285714,1238933.142857143,,4.915307183629387,2.6503958723325534,,46745211.0,6.685714285714286,8059.0,10993.0,9088.3,7189.0
2021-03-07,Spain,weekly,9,7471.0,7822.0,10535.0,8472.0,8252.0,10058.0,8645.0,8371.0,9599.0,8920.0,8379.0,8692.0,,1996.0,-24498.285,813874.0,-3.0112737440541504,68.52,3035731.5714285714,1330651.5714285714,,6.494208725314282,2.8466051237389247,,46745211.0,5.785714285714286,7471.0,10535.0,8814.5,6696.0
2021-03-14,Spain,weekly,10,7498.0,7970.0,9309.0,8739.0,8107.0,9421.0,8653.0,8213.0,9203.0,8595.0,8465.0,8487.0,,1120.0,23870.143,779205.0,3.122065827411157,67.99142857142857,3713938.0,1551707.5714285714,,7.945066287111208,3.319500625269552,,46745211.0,5.5,7498.0,9421.0,8570.8,7367.0
