date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Spain,weekly,1,8205.0,8886.0,8698.0,7914.0,9049.0,9605.0,8658.0,10726.0,11204.0,9127.0,8710.0,10479.0,9933.0,529.0,787926.713,2301796.0,34.427,46.76,39976764.571,38054070.857,15203312.429,85.521,81.407,32.524,46745211.0,7914.0,11204.0,9207.2,9404.0
2022-01-16,Spain,weekly,2,8640.0,8440.0,9131.0,8422.0,9009.0,10415.0,8671.0,11414.0,10905.0,10025.0,9398.0,11862.0,10692.0,825.0,891156.857,2305483.0,38.605,46.76,40293011.286,38137584.143,17046661.714,86.197,81.586,36.467,46745211.0,8422.0,11414.0,9507.2,9867.0
2022-01-23,Spain,weekly,3,8322.0,8419.0,9241.0,8562.0,9126.0,10738.0,8791.0,11334.0,10981.0,10476.0,9917.0,12950.0,10848.0,982.0,907226.573,2204451.0,41.178,46.76,40686844.571,38220088.286,18965798.0,87.04,81.763,40.573,46745211.0,8322.0,11334.0,9599.0,9866.0
2022-01-30,Spain,weekly,4,8063.0,8699.0,8936.0,8328.0,9061.0,10625.0,8491.0,11068.0,10324.0,10141.0,9954.0,12703.0,11227.0,1225.0,831777.715,1837415.0,45.378,46.76,40876144.857,38277072.286,20843655.286,87.445,81.884,44.59,46745211.0,8063.0,11068.0,9373.6,10002.0
2022-02-06,Spain,weekly,5,8154.0,8657.0,9256.0,8359.0,8867.0,11046.0,8461.0,10636.0,9893.0,9964.0,9974.0,11577.0,10889.0,1074.0,531573.713,1394747.0,37.769,46.76,40940700.286,38314582.286,22190581.286,87.583,81.965,47.471,46745211.0,8154.0,11046.0,9329.3,9815.0
2022-02-13,Spain,weekly,6,7954.0,8684.0,10064.0,8320.0,8996.0,10682.0,8556.0,9660.0,10015.0,9686.0,9192.0,10375.0,10030.0,1955.0,397159.858,1053286.0,37.9,46.76,40984828.857,38369795.571,23120992.143,87.677,82.083,49.462,46745211.0,7954.0,10682.0,9261.7,8075.0
2022-02-20,Spain,weekly,7,8283.0,8496.0,11103.0,8609.0,8829.0,10857.0,8479.0,9017.0,10105.0,9363.0,8839.0,9489.0,9265.0,2003.0,232306.999,841944.0,27.496,46.76,41021693.429,38708099.857,23675276.429,87.756,82.807,50.647,46745211.0,8283.0,11103.0,9314.1,7262.0
2022-02-27,Spain,weekly,8,8059.0,8135.0,10993.0,8508.0,8396.0,10580.0,8670.0,8670.0,9656.0,9216.0,8413.0,9037.0,8943.0,1412.0,172001.144,731321.0,23.533,46.76,41050102.143,38956547.286,23999986.286,87.817,83.338,51.342,46745211.0,8059.0,10993.0,9088.3,7531.0
2022-03-06,Spain,weekly,9,7471.0,7822.0,10535.0,8472.0,8252.0,10058.0,8645.0,8371.0,9599.0,8920.0,8379.0,8546.0,8627.0,1003.0,130420.285,656599.0,19.879,46.76,41081365.776,39176429.082,24099955.091,87.884,83.808,51.556,46745211.0,7471.0,10535.0,8814.5,7624.0
2022-03-13,Spain,weekly,10,7498.0,7970.0,9309.0,8739.0,8107.0,9421.0,8653.0,8213.0,9203.0,8595.0,8465.0,8325.0,8505.0,722.0,129392.43,672348.0,19.241,43.98,41091907.796,39773350.061,24141105.052,87.906,85.085,51.644,46745211.0,7498.0,9421.0,8570.8,7783.0
2022-03-20,Spain,weekly,11,7778.0,7851.0,8907.0,7947.0,7813.0,8785.0,8811.0,7906.0,8862.0,8205.0,9481.0,8080.0,8530.0,568.0,89207.001,658724.0,13.551,43.98,41115189.582,39996197.102,24321273.245,87.956,85.562,52.029,46745211.0,7778.0,8907.0,8286.5,7962.0
2022-03-27,Spain,weekly,12,7568.0,7529.0,8088.0,8131.0,8034.0,8379.0,8291.0,7875.0,8616.0,8027.0,12843.0,8199.0,8536.0,689.0,119716.003,637418.0,18.798,43.98,41136718.571,40134761.612,24434834.837,88.002,85.859,52.272,46745211.0,7529.0,8616.0,8053.8,7847.0
2022-04-03,Spain,weekly,13,7237.0,7625.0,8135.0,7703.0,7728.0,8366.0,8375.0,7827.0,8628.0,8171.0,19828.0,8200.0,8494.0,323.0,116472.571,499113.0,23.345,43.98,41155264.959,40243936.49,24520495.551,88.042,86.092,52.456,46745211.0,7237.0,8628.0,7979.5,8171.0
2022-04-10,Spain,weekly,14,7299.0,7545.0,7759.0,7561.0,7743.0,8282.0,7998.0,7814.0,8414.0,8087.0,20967.0,8079.0,8701.0,563.0,76952.714,415216.0,18.514,40.809,41169714.721,40303138.986,24601009.796,88.073,86.219,52.628,46745211.0,7299.0,8414.0,7850.2,8138.0
2022-04-17,Spain,weekly,15,7476.0,7071.0,7626.0,7551.0,7635.0,7894.0,7859.0,7800.0,8335.0,8055.0,17325.0,7958.0,8689.0,0.0,61539.572,361349.0,16.647,38.43,41182049.833,40354624.333,24650387.976,88.099,86.329,52.734,46745211.0,7071.0,8335.0,7730.2,8689.0
2022-04-24,Spain,weekly,16,7156.0,6915.0,7683.0,7253.0,7258.0,7855.0,7589.0,7574.0,8112.0,7801.0,13244.0,8094.0,8378.0,804.0,90032.858,385807.0,22.739,31.816,41189072.905,40378753.19,24695392.381,88.114,86.381,52.83,46745211.0,6915.0,8112.0,7519.6,7574.0
2022-05-01,Spain,weekly,17,7228.0,7090.0,7551.0,7020.0,6999.0,7802.0,7462.0,7661.0,7735.0,7759.0,10452.0,7867.0,8501.0,548.0,106265.999,453894.0,23.412,29.17,41201222.429,40416691.347,24771571.194,88.14,86.462,52.993,46745211.0,6999.0,7802.0,7430.7,7953.0
2022-05-08,Spain,weekly,18,6815.0,6941.0,7394.0,7054.0,7307.0,7365.0,7606.0,7520.0,7359.0,7744.0,9008.0,8067.0,8462.0,413.0,115558.428,449005.0,25.741,29.17,41210253.122,40442112.592,24835079.592,88.159,86.516,53.129,46745211.0,6815.0,7744.0,7310.5,8049.0
