date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Sweden,weekly,1,,,,,,1932.3,1895.3,2193.6,2053.5,1992.8,1874.5,2369.9,2105.4,706.0,45156.571,209563.0,21.521,69.44,31102.429,,,0.295,,,10549349.0,1895.3,2193.6,2013.5,1663.9
2021-01-17,Sweden,weekly,2,,,,,,1974.0,1949.3,2166.6,1996.5,1869.6,1945.2,2352.9,2072.4,890.0,38601.286,209693.0,18.39,69.44,82663.429,68.0,,0.784,0.001,,10549349.0,1869.6,2166.6,1991.2,1462.9
2021-01-24,Sweden,weekly,3,,,,,,1943.0,1993.3,2104.6,2000.5,1888.6,1885.2,2306.9,2021.4,682.0,25912.428,202677.0,12.772,69.44,160093.0,4599.429,,1.518,0.044,,10549349.0,1888.6,2104.6,1986.0,1624.9
2021-01-31,Sweden,weekly,4,,,,,,1954.0,2041.3,1954.6,1983.5,1877.6,1784.2,2129.9,2099.4,586.0,21455.287,199102.0,10.775,69.44,236026.286,18953.429,,2.237,0.18,,10549349.0,1877.6,2041.3,1962.2,1543.9
2021-02-07,Sweden,weekly,5,,,,,,1983.1,1946.3,1925.5,1907.3,1863.4,1900.3,1909.5,2192.5,524.0,20569.143,201351.0,10.215,69.433,284454.857,54354.571,,2.696,0.515,,10549349.0,1863.4,1983.1,1925.12,1385.5
2021-02-14,Sweden,weekly,6,,,,,,1876.1,1874.3,1922.6,2034.7,1935.7,1775.6,1917.5,2014.5,313.0,20135.858,209942.0,9.593,69.396,325937.286,111115.0,,3.09,1.053,,10549349.0,1874.3,2034.7,1928.68,1604.5
2021-02-21,Sweden,weekly,7,,,,,,2009.1,1875.3,2051.6,2075.7,1817.7,1871.6,1892.5,2088.5,221.0,22087.428,222450.0,9.926,69.364,381886.429,183631.143,,3.62,1.741,,10549349.0,1817.7,2075.7,1965.88,1671.5
2021-02-28,Sweden,weekly,8,,,,,,2115.1,1882.3,2110.6,2167.7,1873.7,1824.6,1862.5,1993.5,177.0,25174.999,237332.0,10.603,69.326,464812.286,247158.429,,4.406,2.343,,10549349.0,1873.7,2167.7,2029.88,1685.5
2021-03-07,Sweden,weekly,9,,,,,,2084.7,1899.1,2031.3,2241.1,1826.2,1825.5,1712.2,1956.9,177.0,27371.429,250454.0,10.928,69.297,589478.286,289366.0,,5.588,2.743,,10549349.0,1826.2,2241.1,2016.48,1535.2
2021-03-14,Sweden,weekly,10,,,,,,2053.3,1848.3,1872.5,2259.9,1744.8,1872.8,1859.2,1816.5,143.0,27267.715,267764.0,10.188,69.277,752764.286,324788.0,,7.136,3.079,,10549349.0,1744.8,2259.9,1955.76,1716.2
2021-03-21,Sweden,weekly,11,,,,,,1944.3,1838.3,1891.5,2144.9,1883.8,1776.8,1737.2,1806.5,116.0,30519.714,297169.0,10.266,70.319,893671.0,369207.429,,8.471,3.5,,10549349.0,1838.3,2144.9,1940.56,1621.2
2021-03-28,Sweden,weekly,12,,,,,,1886.3,1833.3,1734.5,2052.9,1686.8,1911.8,1770.2,1774.5,140.0,34442.284,327992.0,10.497,71.086,1014278.714,427892.857,,9.615,4.056,,10549349.0,1686.8,2052.9,1838.76,1630.2
2021-04-04,Sweden,weekly,13,,,,,,1942.3,1815.3,1824.5,2002.7,1719.8,2086.8,1719.6,1767.8,96.0,35968.286,331292.0,10.852,67.879,1178351.0,492669.429,,11.17,4.67,,10549349.0,1719.8,2002.7,1860.92,1623.6
2021-04-11,Sweden,weekly,14,,,,,,1845.0,1741.0,1836.3,2035.3,1746.7,2429.7,1751.1,1804.0,123.0,39672.857,317845.0,12.496,65.463,1403043.857,572235.857,,13.3,5.424,,10549349.0,1741.0,2035.3,1840.86,1628.1
2021-04-18,Sweden,weekly,15,,,,,,1859.4,1809.0,1761.3,1829.3,1660.7,2615.7,1705.1,1668.0,167.0,42909.001,328609.0,13.067,65.414,1740562.714,647737.429,,16.499,6.14,,10549349.0,1660.7,1859.4,1783.94,1538.1
2021-04-25,Sweden,weekly,16,,,,,,1854.4,1807.0,1810.3,1734.3,1784.7,2571.7,1736.1,1661.0,135.0,39460.999,332518.0,11.864,65.379,2142197.714,696417.429,,20.306,6.602,,10549349.0,1734.3,1854.4,1798.14,1601.1
2021-05-02,Sweden,weekly,17,,,,,,1774.4,1640.0,1814.3,1686.3,1746.7,2315.7,1664.9,1654.7,125.0,36027.715,337408.0,10.685,65.367,2525237.429,727558.429,,23.937,6.897,,10549349.0,1640.0,1814.3,1732.34,1539.9
2021-05-09,Sweden,weekly,18,,,,,,1666.5,1654.8,1734.9,1705.6,1658.7,2288.4,1726.1,1696.9,125.0,34663.286,352465.0,9.837,65.341,2879380.286,803977.571,,27.294,7.621,,10549349.0,1654.8,1734.9,1684.1,1601.1
2021-05-16,Sweden,weekly,19,,,,,,1671.7,1621.8,1762.9,1616.2,1687.4,2235.1,1708.1,1672.9,102.0,30484.57,318951.0,9.56,65.279,3184272.143,936073.286,,30.185,8.873,,10549349.0,1616.2,1762.9,1672.0,1606.1
2021-05-23,Sweden,weekly,20,,,,,,1678.7,1600.8,1622.9,1530.2,1601.4,2042.1,1597.1,1719.9,91.0,24226.428,274312.0,8.812,64.667,3445113.571,1114913.857,,32.657,10.569,,10549349.0,1530.2,1678.7,1606.8,1506.1
2021-05-30,Sweden,weekly,21,,,,,,1680.7,1585.8,1684.9,1504.2,1530.4,1971.1,1561.1,1599.9,85.0,13926.858,243730.0,5.663,63.237,3663270.0,1366264.571,,34.725,12.951,,10549349.0,1504.2,1684.9,1597.2,1476.1
2021-06-06,Sweden,weekly,22,,,,,,1637.7,1580.6,1663.1,1524.7,1586.3,1709.1,1560.7,1622.9,72.0,7554.715,206852.0,3.698,55.136,3870552.143,1699076.143,,36.69,16.106,,10549349.0,1524.7,1663.1,1598.48,1488.7
2021-06-13,Sweden,weekly,23,,,,,,1637.2,1503.2,1595.3,1556.1,1591.6,1802.1,1559.8,1586.7,51.0,8170.285,170751.0,4.719,53.62,4117014.571,2090901.857,,39.026,19.82,,10549349.0,1503.2,1637.2,1576.68,1508.8
2021-06-20,Sweden,weekly,24,,,,,,1629.2,1582.2,1636.3,1484.1,1491.6,1772.1,1518.8,1623.7,0.0,2497.427,153643.0,1.617,53.404,4405520.429,2534474.429,,41.761,24.025,,10549349.0,1484.1,1636.3,1564.68,1518.8
