location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Switzerland,2020-01-05,1,weekly,1301.0,1359.0,1361.0,1297.0,1330.0,1423.0,1340.0,1678.0,1561.0,1341.0,1314.0,1882.0,,,1297.0,1678.0,1399.1,
Switzerland,2020-01-12,2,weekly,1280.0,1297.0,1357.0,1421.0,1295.0,1494.0,1243.0,1731.0,1541.0,1389.0,1366.0,1771.0,,,1243.0,1731.0,1404.8,
Switzerland,2020-01-19,3,weekly,1203.0,1248.0,1345.0,1410.0,1316.0,1524.0,1323.0,1746.0,1494.0,1358.0,1418.0,1741.0,,,1203.0,1746.0,1396.7,
Switzerland,2020-01-26,4,weekly,1252.0,1299.0,1353.0,1413.0,1327.0,1480.0,1351.0,1657.0,1397.0,1403.0,1416.0,1589.0,,,1252.0,1657.0,1393.2,
Switzerland,2020-02-02,5,weekly,1297.0,1277.0,1344.0,1442.0,1327.0,1590.0,1345.0,1564.0,1397.0,1439.0,1426.0,1415.0,,,1277.0,1590.0,1402.2,
Switzerland,2020-02-09,6,weekly,1245.0,1250.0,1419.0,1458.0,1288.0,1656.0,1340.0,1592.0,1441.0,1481.0,1396.0,1387.0,,,1245.0,1656.0,1417.0,
Switzerland,2020-02-16,7,weekly,1427.0,1267.0,1432.0,1504.0,1308.0,1805.0,1313.0,1402.0,1458.0,1555.0,1383.0,1280.0,,,1267.0,1805.0,1447.1,
Switzerland,2020-02-23,8,weekly,1323.0,1283.0,1402.0,1439.0,1358.0,1772.0,1380.0,1383.0,1478.0,1527.0,1369.0,1286.0,,,1283.0,1772.0,1434.5,
Switzerland,2020-03-01,9,weekly,1306.0,1249.0,1415.0,1472.0,1371.0,1729.0,1320.0,1395.0,1636.0,1527.0,1349.0,1245.0,0.0,14.811666666666667,1249.0,1729.0,1442.0,1349.0
Switzerland,2020-03-08,10,weekly,1366.0,1294.0,1336.0,1470.0,1343.0,1549.0,1355.0,1348.0,1532.0,1452.0,1357.0,1250.0,2.0,24.205714285714286,1294.0,1549.0,1404.5,1355.0
Switzerland,2020-03-15,11,weekly,1322.0,1246.0,1402.0,1431.0,1304.0,1541.0,1278.0,1262.0,1482.0,1379.0,1396.0,1182.0,12.0,28.569999999999993,1246.0,1541.0,1364.7,1384.0
Switzerland,2020-03-22,12,weekly,1250.0,1188.0,1237.0,1358.0,1293.0,1435.0,1294.0,1239.0,1380.0,1351.0,1530.0,1209.0,84.0,69.04857142857142,1188.0,1435.0,1302.5,1446.0
Switzerland,2020-03-29,13,weekly,1220.0,1285.0,1317.0,1357.0,1221.0,1293.0,1269.0,1183.0,1348.0,1322.0,1630.0,1112.0,202.0,73.14999999999999,1183.0,1357.0,1281.5,1428.0
Switzerland,2020-04-05,14,weekly,1153.0,1227.0,1295.0,1329.0,1230.0,1302.0,1242.0,1234.0,1339.0,1382.0,1879.0,1110.0,415.0,73.14999999999999,1153.0,1382.0,1273.3,1464.0
Switzerland,2020-04-12,15,weekly,1155.0,1079.0,1282.0,1280.0,1222.0,1229.0,1224.0,1201.0,1300.0,1222.0,1647.0,1083.0,391.0,73.14999999999999,1079.0,1300.0,1219.4,1256.0
Switzerland,2020-04-19,16,weekly,1205.0,1203.0,1219.0,1221.0,1205.0,1284.0,1139.0,1181.0,1229.0,1308.0,1576.0,1030.0,287.0,73.14999999999999,1139.0,1308.0,1219.4,1289.0
Switzerland,2020-04-26,17,weekly,1150.0,1158.0,1308.0,1257.0,1144.0,1215.0,1175.0,1223.0,1147.0,1233.0,1377.0,,217.0,73.14999999999999,1144.0,1308.0,1201.0,1160.0
Switzerland,2020-05-03,18,weekly,1143.0,1198.0,1162.0,1165.0,1202.0,1275.0,1172.0,1210.0,1226.0,1256.0,1250.0,,152.0,69.44,1143.0,1275.0,1200.9,1098.0
Switzerland,2020-05-10,19,weekly,1176.0,1116.0,1186.0,1115.0,1217.0,1161.0,1149.0,1204.0,1200.0,1266.0,1184.0,,71.0,69.44,1115.0,1266.0,1179.0,1113.0
Switzerland,2020-05-17,20,weekly,1190.0,1111.0,1117.0,1161.0,1153.0,1152.0,1176.0,1207.0,1117.0,1218.0,1153.0,,48.0,58.32999999999999,1111.0,1218.0,1160.2,1105.0
Switzerland,2020-05-24,21,weekly,1163.0,1090.0,1105.0,1107.0,1161.0,1129.0,1227.0,1186.0,1223.0,1271.0,1190.0,,25.0,58.32999999999999,1090.0,1271.0,1166.2,1165.0
Switzerland,2020-05-31,22,weekly,1120.0,1116.0,1138.0,1128.0,1133.0,1099.0,1150.0,1126.0,1159.0,1245.0,1102.0,,14.0,57.53857142857142,1099.0,1245.0,1141.4,1088.0
Switzerland,2020-06-07,23,weekly,1151.0,1073.0,1047.0,1147.0,1114.0,1171.0,1104.0,1108.0,1178.0,1251.0,1171.0,,1.0,52.91428571428572,1047.0,1251.0,1134.4,1170.0
Switzerland,2020-06-14,24,weekly,1089.0,1112.0,1175.0,1192.0,1234.0,1169.0,1113.0,1120.0,1119.0,1171.0,1152.0,,17.0,46.300000000000004,1089.0,1234.0,1149.4,1135.0
Switzerland,2020-06-21,25,weekly,1085.0,1108.0,1146.0,1187.0,1090.0,1100.0,1237.0,1196.0,1127.0,1210.0,1149.0,,18.0,46.300000000000004,1085.0,1237.0,1148.6,1131.0
Switzerland,2020-06-28,26,weekly,1154.0,1155.0,1142.0,1120.0,1094.0,1197.0,1172.0,1166.0,1181.0,1243.0,1180.0,,6.0,35.19,1094.0,1243.0,1162.4,1174.0
Switzerland,2020-07-05,27,weekly,1115.0,1114.0,1105.0,1170.0,1166.0,1295.0,1092.0,1158.0,1152.0,1258.0,1180.0,,3.0,36.972857142857144,1092.0,1295.0,1162.5,1177.0
Switzerland,2020-07-12,28,weekly,1133.0,1120.0,1118.0,1114.0,1097.0,1358.0,1164.0,1087.0,1078.0,1225.0,1174.0,,3.0,39.35,1078.0,1358.0,1149.4,1171.0
Switzerland,2020-07-19,29,weekly,1060.0,1100.0,1089.0,1187.0,1196.0,1295.0,1235.0,1151.0,1223.0,1206.0,1114.0,,1.0,39.35,1060.0,1295.0,1174.2,1113.0
Switzerland,2020-07-26,30,weekly,1111.0,1162.0,1150.0,1207.0,1161.0,1174.0,1181.0,1121.0,1222.0,1260.0,1156.0,,8.0,39.35,1111.0,1260.0,1174.9,1148.0
Switzerland,2020-08-02,31,weekly,1112.0,1126.0,1130.0,1151.0,1182.0,1140.0,1113.0,1200.0,1264.0,1139.0,1280.0,,4.0,40.940000000000005,1112.0,1264.0,1155.7,1276.0
Switzerland,2020-08-09,32,weekly,1096.0,1099.0,1038.0,1103.0,1071.0,1215.0,1150.0,1099.0,1222.0,1138.0,1172.0,,5.0,43.06,1038.0,1222.0,1123.1,1167.0
Switzerland,2020-08-16,33,weekly,1062.0,1167.0,1128.0,1186.0,1116.0,1195.0,1166.0,1128.0,1187.0,1142.0,1230.0,,5.0,43.06,1062.0,1195.0,1147.7,1225.0
Switzerland,2020-08-23,34,weekly,1119.0,1214.0,1189.0,1133.0,1118.0,1152.0,1131.0,1207.0,1145.0,1252.0,1219.0,,10.0,43.06,1118.0,1252.0,1166.0,1209.0
Switzerland,2020-08-30,35,weekly,1120.0,1132.0,1097.0,1176.0,1192.0,1172.0,1137.0,1164.0,1206.0,1147.0,1173.0,,4.0,43.06,1097.0,1206.0,1154.3,1169.0
Switzerland,2020-09-06,36,weekly,1203.0,1122.0,1143.0,1178.0,1162.0,1151.0,1184.0,1153.0,1178.0,1172.0,1167.0,,8.0,43.06,1122.0,1203.0,1164.6,1159.0
Switzerland,2020-09-13,37,weekly,1127.0,1100.0,1169.0,1116.0,1145.0,1188.0,1103.0,1190.0,1230.0,1251.0,1259.0,,8.0,43.06,1100.0,1251.0,1161.9,1251.0
Switzerland,2020-09-20,38,weekly,1189.0,1129.0,1183.0,1174.0,1131.0,1130.0,1180.0,1265.0,1177.0,1296.0,1243.0,,24.0,43.06,1129.0,1296.0,1185.4,1219.0
Switzerland,2020-09-27,39,weekly,1231.0,1141.0,1161.0,1183.0,1143.0,1188.0,1212.0,1243.0,1211.0,1237.0,1254.0,,19.0,43.06,1141.0,1243.0,1195.0,1235.0
Switzerland,2020-10-04,40,weekly,1220.0,1151.0,1248.0,1127.0,1210.0,1235.0,1286.0,1295.0,1225.0,1234.0,1243.0,,13.0,36.705714285714286,1127.0,1295.0,1223.1,1230.0
Switzerland,2020-10-11,41,weekly,1265.0,1213.0,1193.0,1150.0,1226.0,1168.0,1271.0,1268.0,1233.0,1278.0,1334.0,,11.0,31.148571428571433,1150.0,1278.0,1226.5,1323.0
Switzerland,2020-10-18,42,weekly,1163.0,1120.0,1152.0,1153.0,1184.0,1220.0,1277.0,1210.0,1211.0,1298.0,1289.0,,35.0,29.17000000000001,1120.0,1298.0,1198.8,1254.0
Switzerland,2020-10-25,43,weekly,1223.0,1261.0,1252.0,1211.0,1257.0,1203.0,1230.0,1214.0,1233.0,1307.0,1492.0,,-40.0,35.252857142857145,1203.0,1307.0,1239.1,1532.0
Switzerland,2020-11-01,44,weekly,1244.0,1190.0,1178.0,1204.0,1229.0,1286.0,1313.0,1153.0,1272.0,1222.0,1694.0,,243.0,39.09000000000001,1153.0,1313.0,1229.1,1451.0
Switzerland,2020-11-08,45,weekly,1228.0,1170.0,1189.0,1213.0,1276.0,1169.0,1286.0,1312.0,1263.0,1264.0,2068.0,,446.0,59.26,1169.0,1312.0,1237.0,1622.0
Switzerland,2020-11-15,46,weekly,1183.0,1204.0,1211.0,1172.0,1309.0,1199.0,1353.0,1251.0,1248.0,1364.0,2147.0,,597.0,59.26,1172.0,1364.0,1249.4,1550.0
Switzerland,2020-11-22,47,weekly,1205.0,1229.0,1269.0,1247.0,1299.0,1257.0,1193.0,1318.0,1280.0,1331.0,2155.0,,687.0,58.73142857142857,1193.0,1331.0,1262.8,1468.0
Switzerland,2020-11-29,48,weekly,1217.0,1260.0,1217.0,1219.0,1296.0,1255.0,1331.0,1396.0,1321.0,1375.0,2121.0,,594.0,57.40999999999998,1217.0,1396.0,1288.7,1527.0
