date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Switzerland,weekly,1,1301.0,1359.0,1361.0,1297.0,1330.0,1423.0,1340.0,1678.0,1561.0,1341.0,1314.0,1895.0,439.0,3461.020285714286,22654.14285714286,60.19,28096.285714285714,29.714285714285715,8715494.0,15.27764836453755,0.3223716947574712,0.0003409363337785066,1297.0,1678.0,1399.1,1456.0
2021-01-17,Switzerland,weekly,2,1280.0,1297.0,1357.0,1421.0,1295.0,1494.0,1243.0,1731.0,1541.0,1389.0,1366.0,1781.0,396.0,2720.265,21959.14285714286,60.19,75540.42857142857,218.28571428571428,8715494.0,12.387846910496114,0.8667371989634618,0.0025045707596805674,1243.0,1731.0,1404.8,1385.0
2021-01-24,Switzerland,weekly,3,1203.0,1248.0,1345.0,1410.0,1316.0,1524.0,1323.0,1746.0,1494.0,1358.0,1418.0,1758.0,352.0,2066.591857142857,22346.714285714286,60.19,156628.85714285713,2896.8571428571427,8715494.0,9.247855549233828,1.7971311453241448,0.033238014309425745,1203.0,1746.0,1396.7,1406.0
2021-01-31,Switzerland,weekly,4,1252.0,1299.0,1353.0,1413.0,1327.0,1480.0,1351.0,1657.0,1397.0,1403.0,1416.0,1605.0,251.0,1799.0,22925.14285714286,60.19,265578.71428571426,11981.857142857143,8715494.0,7.847279343951744,3.0472020781118574,0.13747765924521482,1252.0,1657.0,1393.2,1354.0
2021-02-07,Switzerland,weekly,5,1297.0,1277.0,1344.0,1442.0,1327.0,1590.0,1345.0,1564.0,1397.0,1439.0,1426.0,1431.0,193.0,1553.1427142857142,25718.714285714286,60.19,349673.4285714286,36860.57142857143,8715494.0,6.0389594014364185,4.012089602395786,0.4229315220522374,1277.0,1590.0,1402.2,1238.0
2021-02-14,Switzerland,weekly,6,1245.0,1250.0,1419.0,1458.0,1288.0,1656.0,1340.0,1592.0,1441.0,1481.0,1396.0,1404.0,137.0,1330.346857142857,27595.428571428572,60.19,421590.5714285714,84697.85714285714,8715494.0,4.820895800546674,4.837253877159132,0.971807876212836,1245.0,1656.0,1417.0,1267.0
2021-02-21,Switzerland,weekly,7,1427.0,1267.0,1432.0,1504.0,1308.0,1805.0,1313.0,1402.0,1458.0,1555.0,1383.0,1295.0,93.0,1054.306,26094.571428571428,60.19,487191.0,149245.85714285713,8715494.0,4.040326942659119,5.589941316005724,1.7124199401991114,1267.0,1805.0,1447.1,1202.0
2021-02-28,Switzerland,weekly,8,1323.0,1283.0,1402.0,1439.0,1358.0,1772.0,1380.0,1383.0,1478.0,1527.0,1369.0,1305.0,70.0,1017.082,23896.85714285714,60.19,537298.7142857143,234124.7142857143,8715494.0,4.256132904506272,6.164868156477583,2.6863045776374155,1283.0,1772.0,1434.5,1235.0
2021-03-07,Switzerland,weekly,9,1306.0,1249.0,1415.0,1472.0,1371.0,1729.0,1320.0,1395.0,1636.0,1527.0,1349.0,1277.0,58.0,1039.9388571428572,24590.428571428572,60.19,600926.1428571428,315204.28571428574,8715494.0,4.229039173197469,6.894917750584681,3.6165968987447608,1249.0,1729.0,1442.0,1219.0
2021-03-14,Switzerland,weekly,10,1366.0,1294.0,1336.0,1470.0,1343.0,1549.0,1355.0,1348.0,1532.0,1452.0,1357.0,1282.0,69.0,1157.1222857142857,26618.285714285714,60.19,685913.8571428572,382093.85714285716,8715494.0,4.347095444592332,7.870051395168848,4.384075729302976,1294.0,1549.0,1404.5,1213.0
2021-03-21,Switzerland,weekly,11,1322.0,1246.0,1402.0,1431.0,1304.0,1541.0,1278.0,1262.0,1482.0,1379.0,1396.0,1222.0,59.0,1352.4697142857144,30518.571428571428,60.19,766154.8571428572,450190.85714285716,8715494.0,4.431628516594112,8.790722099548885,5.165408376654923,1246.0,1541.0,1364.7,1163.0
2021-03-28,Switzerland,weekly,12,1250.0,1188.0,1237.0,1358.0,1293.0,1435.0,1294.0,1239.0,1380.0,1351.0,1530.0,1265.0,62.0,1600.2858571428571,34840.142857142855,60.19,862675.4285714285,520313.28571428574,8715494.0,4.593224154403172,9.898181658680834,5.969980424681444,1188.0,1435.0,1302.5,1203.0
2021-04-04,Switzerland,weekly,13,1220.0,1285.0,1317.0,1357.0,1221.0,1293.0,1269.0,1183.0,1348.0,1322.0,1630.0,1237.0,67.0,1846.2041428571429,38494.42857142857,60.19,982896.1428571428,588388.5714285715,8715494.0,4.796029481075183,11.277572365457917,6.751063926251014,1183.0,1357.0,1281.5,1170.0
2021-04-11,Switzerland,weekly,14,1153.0,1227.0,1295.0,1329.0,1230.0,1302.0,1242.0,1234.0,1339.0,1382.0,1879.0,1252.0,70.0,1634.6732857142856,31715.571428571428,60.19,1083459.857142857,661144.8571428572,8715494.0,5.1541662725385,12.431422213621591,7.585856374209622,1153.0,1382.0,1273.3,1182.0
2021-04-18,Switzerland,weekly,15,1155.0,1079.0,1282.0,1280.0,1222.0,1229.0,1224.0,1201.0,1300.0,1222.0,1647.0,1247.0,45.0,2204.245,28052.571428571428,60.19,1270898.0,750422.2857142857,8715494.0,7.857550619245498,14.58205352444738,8.610209423749081,1079.0,1300.0,1219.4,1202.0
