date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Switzerland,weekly,1,1301.0,1359.0,1361.0,1297.0,1330.0,1423.0,1340.0,1678.0,1561.0,1341.0,1314.0,1907.0,1546.0,233.5,134858.429,502702.0,26.761,44.71,5982026.286,5850014.429,2485271.429,68.441,66.93,28.434,8740471.0,1297.0,1678.0,1399.1,1312.5
2022-01-16,Switzerland,weekly,2,1280.0,1297.0,1357.0,1421.0,1295.0,1494.0,1243.0,1731.0,1541.0,1389.0,1366.0,1791.0,1513.0,120.0,180813.142,597736.0,30.25,44.651,6011007.857,5877569.429,2889625.571,68.772,67.245,33.06,8740471.0,1243.0,1731.0,1404.8,1393.0
2022-01-23,Switzerland,weekly,3,1203.0,1248.0,1345.0,1410.0,1316.0,1524.0,1323.0,1746.0,1494.0,1358.0,1418.0,1761.0,1487.0,117.0,203189.858,627729.0,32.354,44.093,6038272.571,5899763.571,3197474.857,69.084,67.499,36.582,8740471.0,1203.0,1746.0,1396.7,1370.0
2022-01-30,Switzerland,weekly,4,1252.0,1299.0,1353.0,1413.0,1327.0,1480.0,1351.0,1657.0,1397.0,1403.0,1417.0,1611.0,1479.0,98.0,246032.144,699883.0,35.148,42.783,6055465.143,5914269.571,3397749.143,69.281,67.665,38.874,8740471.0,1252.0,1657.0,1393.2,1381.0
2022-02-06,Switzerland,weekly,5,1297.0,1277.0,1344.0,1442.0,1327.0,1590.0,1345.0,1564.0,1397.0,1439.0,1426.0,1439.0,1471.0,102.0,241783.716,638440.0,37.972,42.761,6064272.0,5928431.429,3512382.429,69.382,67.827,40.185,8740471.0,1277.0,1590.0,1402.2,1369.0
2022-02-13,Switzerland,weekly,6,1245.0,1250.0,1419.0,1458.0,1288.0,1656.0,1340.0,1592.0,1441.0,1481.0,1396.0,1410.0,1462.0,150.0,188261.571,502717.0,37.408,42.739,6068817.143,5946753.429,3576625.857,69.434,68.037,40.92,8740471.0,1245.0,1656.0,1417.0,1312.0
2022-02-20,Switzerland,weekly,7,1427.0,1267.0,1432.0,1504.0,1308.0,1805.0,1313.0,1402.0,1458.0,1555.0,1384.0,1299.0,1568.0,80.0,133051.856,401816.0,33.173,26.771,6071612.0,5963724.571,3614912.143,69.466,68.231,41.358,8740471.0,1267.0,1805.0,1447.1,1488.0
2022-02-27,Switzerland,weekly,8,1323.0,1283.0,1402.0,1439.0,1358.0,1772.0,1380.0,1383.0,1478.0,1527.0,1369.0,1312.0,1445.0,76.5,105545.572,306929.0,34.441,14.81,6073432.143,5975502.429,3637581.857,69.486,68.366,41.618,8740471.0,1283.0,1772.0,1434.5,1368.5
2022-03-06,Switzerland,weekly,9,1306.0,1249.0,1415.0,1472.0,1371.0,1729.0,1320.0,1395.0,1636.0,1527.0,1349.0,1281.0,1470.0,104.5,116980.0,314589.0,37.159,14.81,6074712.143,5982259.143,3652551.0,69.501,68.443,41.789,8740471.0,1249.0,1729.0,1442.0,1365.5
2022-03-13,Switzerland,weekly,10,1366.0,1294.0,1336.0,1470.0,1343.0,1549.0,1355.0,1348.0,1532.0,1452.0,1357.0,1287.0,1488.0,93.0,170103.286,386790.0,43.916,14.81,6075773.286,5985932.714,3664205.0,69.513,68.485,41.922,8740471.0,1294.0,1549.0,1404.5,1395.0
