location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Tunisia,2021-01-10,1,weekly,,,,,,1835.0,1424.0,1706.0,1684.0,1582.0,1699.0,2238.0,415.0,1943.7350000000001,,71.3,,,11935764.0,,,,1424.0,1835.0,1646.2,1823.0
Tunisia,2021-01-17,2,weekly,,,,,,1684.0,1307.0,1853.0,1677.0,1758.0,1618.0,2230.0,477.0,2723.469285714286,,71.82571428571428,,,11935764.0,,,,1307.0,1853.0,1655.8,1753.0
Tunisia,2021-01-24,3,weekly,,,,,,1560.0,1358.0,2021.0,1655.0,1805.0,1772.0,2197.0,542.0,2703.0612857142855,,72.22,,,11935764.0,,,,1358.0,2021.0,1679.8,1655.0
Tunisia,2021-01-31,4,weekly,,,,,,1600.0,1494.0,2058.0,1670.0,1721.0,1783.0,2194.0,520.0,1974.898,,71.3,,,11935764.0,,,,1494.0,2058.0,1708.6,1674.0
Tunisia,2021-02-07,5,weekly,,,,,,1666.0,1362.0,1915.0,1552.0,1791.0,1758.0,2014.0,460.0,1389.8775714285714,,71.3,,,11935764.0,,,,1362.0,1915.0,1657.2,1554.0
Tunisia,2021-02-14,6,weekly,,,,,,1618.0,1457.0,1703.0,1666.0,1805.0,1761.0,1728.0,330.0,963.0407142857142,,71.3,,,11935764.0,,,,1457.0,1805.0,1649.8,1398.0
Tunisia,2021-02-21,7,weekly,,,,,,1816.0,1314.0,1684.0,1607.0,1769.0,1717.0,,249.0,777.6734285714285,,71.3,,,11935764.0,,,,1314.0,1816.0,1638.0,
Tunisia,2021-02-28,8,weekly,,,,,,1758.0,1369.0,1585.0,1684.0,1710.0,1622.0,,208.0,746.1428571428571,,71.3,,,11935764.0,,,,1369.0,1758.0,1621.2,
Tunisia,2021-03-07,9,weekly,,,,,,1721.0,1340.0,1574.0,1688.0,1747.0,1523.0,,200.0,639.2654285714286,,71.3,,,11935764.0,,,,1340.0,1747.0,1614.0,
Tunisia,2021-03-14,10,weekly,,,,,,1527.0,1453.0,1362.0,1534.0,1600.0,1453.0,,188.0,613.1428571428571,,61.77571428571429,939.6666666666666,,11935764.0,,0.007872698108530519,,1362.0,1600.0,1495.2,
Tunisia,2021-03-21,11,weekly,,,,,,1497.0,1468.0,1347.0,1417.0,1358.0,1387.0,,157.0,579.0815714285715,,62.04,6530.642857142857,,11935764.0,,0.05471491273740715,,1347.0,1497.0,1417.4,
Tunisia,2021-03-28,12,weekly,,,,,,1457.0,1508.0,1307.0,1413.0,1505.0,1431.0,,189.0,585.9795714285714,,54.89142857142857,32997.57142857143,,11935764.0,,0.27645965041342496,,1307.0,1508.0,1438.0,
