date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Tunisia,monthly,1,,,,,,,5755.0,6255.2,6546.4,6114.0,6432.0,8619.5,7343.8,300.6,10524.999,93573.0,11.129,35.027,6973801.929,6021234.714,906323.286,56.44,48.731,7.335,12356116.0,5755.0,6546.4,6167.65,7043.2
2022-01-16,Tunisia,monthly,2,,,,,,,5865.0,6777.4,6711.8,6474.25,6690.25,9046.0,7519.6,405.2,27652.857,138864.0,19.554,42.3,7024102.143,6088273.714,944856.714,56.847,49.273,7.647,12356116.0,5865.0,6777.4,6457.112,7114.4
2022-01-23,Tunisia,monthly,3,,,,,,,5975.0,7299.6,6877.2,6834.5,6948.5,9472.5,7695.4,509.8,53621.857,207234.0,25.929,53.26,7066762.429,6159007.5,991678.714,57.192,49.846,8.026,12356116.0,5975.0,7299.6,6746.575,7185.6
2022-01-30,Tunisia,monthly,4,,,,,,,6085.0,7821.8,7042.6,7194.75,7206.75,9899.0,7871.2,614.4,59777.572,170917.0,34.963,53.203,7093791.429,6216728.286,1020650.429,57.411,50.313,8.26,12356116.0,6085.0,7821.8,7036.038,7256.8
2022-02-06,Tunisia,monthly,5,,,,,,7019.0,5991.0,8344.0,7208.0,7555.0,7465.0,9134.75,8047.0,719.0,50643.571,122854.0,41.332,53.159,7107655.857,6262488.571,1043138.714,57.523,50.683,8.442,12356116.0,5991.0,8344.0,7223.4,7328.0
2022-02-13,Tunisia,monthly,6,,,,,,6940.25,5897.0,7912.0,7007.5,7409.75,7336.25,8370.5,8006.0,913.25,29792.572,80348.0,36.902,46.566,7116475.0,6283238.429,1071283.286,57.595,50.851,8.67,12356116.0,5897.0,7912.0,7033.3,7092.75
2022-02-20,Tunisia,monthly,7,,,,,,6861.5,5803.0,7480.0,6807.0,7264.5,7207.5,7606.25,7965.0,1107.5,17641.427,72508.0,24.399,41.826,7123521.5,6296730.571,1109372.643,57.652,50.96,8.978,12356116.0,5803.0,7480.0,6843.2,6857.5
2022-02-27,Tunisia,monthly,8,,,,,,6782.75,5709.0,7048.0,6606.5,7119.25,7078.75,6842.0,7924.0,1301.75,17139.0,70645.0,24.139,42.204,7151535.286,6323481.286,1133859.0,57.879,51.177,9.177,12356116.0,5709.0,7119.25,6653.1,6622.25
2022-03-06,Tunisia,monthly,9,,,,,,6704.0,5615.0,6616.0,6406.0,6974.0,6950.0,6867.0,7883.0,1496.0,8836.428,46524.0,19.755,46.15,7162425.5,6334138.071,1146267.143,57.967,51.263,9.277,12356116.0,5615.0,6974.0,6463.0,6387.0
2022-03-13,Tunisia,monthly,10,,,,,,6656.8,5766.75,6419.0,6413.0,6858.0,6819.4,6892.0,,1256.75,18433.715,73632.0,25.205,46.68,7166800.143,6339365.571,1155178.571,58.002,51.305,9.349,12356116.0,5766.75,6858.0,6422.71,
2022-03-20,Tunisia,monthly,11,,,,,,6609.6,5918.5,6222.0,6420.0,6742.0,6688.8,6917.0,,1017.5,10089.286,42377.0,20.643,46.67,7170042.714,6343350.143,1161402.0,58.028,51.338,9.399,12356116.0,5918.5,6742.0,6382.42,
2022-03-27,Tunisia,monthly,12,,,,,,6562.4,6070.25,6025.0,6427.0,6626.0,6558.2,6942.0,,778.25,3425.714,23104.0,15.061,45.899,7172950.857,6347172.857,1168395.429,58.052,51.369,9.456,12356116.0,6025.0,6626.0,6342.13,
2022-04-03,Tunisia,monthly,13,,,,,,6515.2,6222.0,5828.0,6434.0,6510.0,6427.6,6967.0,,539.0,2412.426,18231.0,13.157,45.32,7175459.143,6350519.857,1174753.429,58.072,51.396,9.507,12356116.0,5828.0,6515.2,6301.84,
2022-04-10,Tunisia,monthly,14,,,,,,6468.0,5872.5,5604.75,6195.4,6317.0,6297.0,7340.0,,461.0,1570.997,14151.0,11.086,45.32,7177260.857,6352826.857,1178349.0,58.087,51.414,9.537,12356116.0,5604.75,6468.0,6091.53,
2022-04-17,Tunisia,monthly,15,,,,,,6122.5,5523.0,5381.5,5956.8,6124.0,5982.25,7713.0,,383.0,1333.429,12747.0,10.461,45.32,7178483.0,6354316.286,1180459.0,58.097,51.426,9.554,12356116.0,5381.5,6124.0,5821.56,
2022-04-24,Tunisia,monthly,16,,,,,,5777.0,5173.5,5158.25,5718.2,5931.0,5667.5,8086.0,,305.0,927.717,10937.0,8.473,45.32,7179318.0,6360195.714,1185625.571,58.103,51.474,9.595,12356116.0,5158.25,5931.0,5551.59,
2022-05-01,Tunisia,monthly,17,,,,,,5431.5,4824.0,4935.0,5479.6,5738.0,5352.75,8459.0,,227.0,690.003,10574.0,6.56,45.31,7180083.553,6367092.333,1202912.333,58.11,51.53,9.735,12356116.0,4824.0,5738.0,5281.62,
2022-05-08,Tunisia,monthly,18,,,,,,5086.0,4838.0,4928.2,5241.0,5545.0,5038.0,8326.0,,201.0,465.144,9778.0,4.824,45.31,7181449.844,6367832.667,1225700.608,58.121,51.536,9.92,12356116.0,4838.0,5545.0,5127.64,
2022-05-15,Tunisia,monthly,19,,,,,,4963.0,4852.0,4921.4,5136.25,5412.25,4968.25,8193.0,,175.0,564.002,11930.0,4.919,45.31,7182816.135,6369459.25,1228220.273,58.132,51.549,9.94,12356116.0,4852.0,5412.25,5056.98,
2022-05-22,Tunisia,monthly,20,,,,,,4840.0,4866.0,4914.6,5031.5,5279.5,4898.5,8060.0,,149.0,492.141,13355.0,3.722,45.31,7184182.426,6370680.827,1229050.886,58.143,51.559,9.947,12356116.0,4840.0,5279.5,4986.32,
2022-05-29,Tunisia,monthly,21,,,,,,4717.0,4880.0,4907.8,4926.75,5146.75,4828.75,7927.0,,123.0,1069.57,12565.0,8.512,43.724,7185548.716,6371713.923,1229881.5,58.154,51.567,9.954,12356116.0,4717.0,5146.75,4915.66,
2022-06-05,Tunisia,monthly,22,,,,,,4594.0,4894.0,4901.0,4822.0,5014.0,4759.0,7794.0,,97.0,682.713,10177.0,6.561,41.61,7186915.007,6372635.5,1230712.114,58.165,51.575,9.96,12356116.0,4594.0,5014.0,4845.0,
2022-06-12,Tunisia,monthly,23,,,,,,4568.8,4757.75,4801.75,4758.75,5066.0,4750.6,8072.75,,85.25,645.431,7578.0,8.564,41.61,7188281.298,6373416.0,1231542.727,58.176,51.581,9.967,12356116.0,4568.8,5066.0,4790.61,
2022-06-19,Tunisia,monthly,24,,,,,,4543.6,4621.5,4702.5,4695.5,5118.0,4742.2,8351.5,,73.5,854.855,,,41.61,7189647.589,6374666.0,1232373.341,58.187,51.591,9.974,12356116.0,4543.6,5118.0,4736.22,
2022-06-26,Tunisia,monthly,25,,,,,,4518.4,4485.25,4603.25,4632.25,5170.0,4733.8,8630.25,,61.75,2078.287,,,41.61,7191013.879,6376153.143,1233203.955,58.198,51.603,9.981,12356116.0,4485.25,5170.0,4681.83,
2022-07-03,Tunisia,monthly,26,,,,,,4493.2,4349.0,4504.0,4569.0,5222.0,4725.4,8909.0,,50.0,4237.431,,,41.61,7192380.17,6376784.8,1234034.568,58.209,51.608,9.987,12356116.0,4349.0,5222.0,4627.44,
2022-07-10,Tunisia,monthly,27,,,,,,4468.0,4502.0,4641.4,4777.0,5306.8,4717.0,10237.0,,125.0,11527.003,,,41.61,7193746.461,6377319.89,1234865.182,58.22,51.613,9.994,12356116.0,4468.0,5306.8,4739.04,
2022-07-17,Tunisia,monthly,28,,,,,,4597.25,4655.0,4778.8,4985.0,5391.6,4842.25,11565.0,,200.0,21901.715,,,41.61,7195112.752,6377600.667,1235695.795,58.231,51.615,10.001,12356116.0,4597.25,5391.6,4881.53,
2022-07-24,Tunisia,monthly,29,,,,,,4726.5,4808.0,4916.2,5193.0,5476.4,4967.5,12893.0,,275.0,26420.427,,,41.6,7196479.043,6378090.667,1236526.409,58.242,51.619,10.007,12356116.0,4726.5,5476.4,5024.02,
2022-07-31,Tunisia,monthly,30,,,,,,4855.75,4961.0,5053.6,5401.0,5561.2,5092.75,14221.0,,350.0,16182.572,,,41.6,7197845.333,6378848.286,1237357.023,58.253,51.625,10.014,12356116.0,4855.75,5561.2,5166.51,
2022-08-07,Tunisia,monthly,31,,,,,,4985.0,4927.2,5191.0,5609.0,5646.0,5218.0,13713.0,,318.6,6308.288,,,41.6,7199211.624,6379382.16,1238187.636,58.264,51.629,10.021,12356116.0,4927.2,5646.0,5271.64,
2022-08-14,Tunisia,monthly,32,,,,,,5064.6,4893.4,5282.5,5451.75,5645.0,5345.4,13205.0,,287.2,4977.003,,,41.6,7200577.915,6379879.245,1239018.25,58.275,51.633,10.028,12356116.0,4893.4,5645.0,5267.45,
2022-08-21,Tunisia,monthly,33,,,,,,5144.2,4859.6,5374.0,5294.5,5644.0,5472.8,12697.0,,255.8,3284.428,,,41.6,7201944.206,6380709.0,1239848.864,58.286,51.64,10.034,12356116.0,4859.6,5644.0,5263.26,
2022-08-28,Tunisia,monthly,34,,,,,,5223.8,4825.8,5465.5,5137.25,5643.0,5600.2,12189.0,,224.4,1407.286,,,41.6,7203310.496,6381393.75,1240679.477,58.298,51.646,10.041,12356116.0,4825.8,5643.0,5259.07,
2022-09-04,Tunisia,monthly,35,,,,,,5303.4,4792.0,5557.0,4980.0,5642.0,5727.6,11681.0,,193.0,1128.286,,,41.6,7204676.787,6381853.821,1241510.091,58.309,51.649,10.048,12356116.0,4792.0,5642.0,5254.88,
2022-09-11,Tunisia,monthly,36,,,,,,5383.0,4707.25,5340.0,4987.5,5568.4,5855.0,10477.5,,148.5,934.431,,,41.6,7206043.078,6382350.612,1242340.705,58.32,51.653,10.054,12356116.0,4707.25,5568.4,5197.23,
2022-09-18,Tunisia,monthly,37,,,,,,5203.25,4622.5,5123.0,4995.0,5494.8,5739.75,9274.0,,104.0,428.003,,,41.6,7207165.606,6382900.224,1243352.355,58.329,51.658,10.063,12356116.0,4622.5,5494.8,5087.71,
2022-09-25,Tunisia,monthly,38,,,,,,5023.5,4537.75,4906.0,5002.5,5421.2,5624.5,8070.5,,59.5,204.429,,,41.6,7207724.957,6383196.77,1244680.551,58.333,51.66,10.073,12356116.0,4537.75,5421.2,4978.19,
2022-10-02,Tunisia,monthly,39,,,,,,4843.75,4453.0,4689.0,5010.0,5347.6,5509.25,6867.0,,15.0,318.284,,,41.6,7208215.244,6383483.536,1245882.667,58.337,51.663,10.083,12356116.0,4453.0,5347.6,4868.67,
2022-10-09,Tunisia,monthly,40,,,,,,4664.0,4512.6,4764.0,5093.8,5274.0,5394.0,6567.25,,13.6,171.288,,,41.6,7208674.218,6383807.592,1247078.976,58.341,51.665,10.093,12356116.0,4512.6,5274.0,4861.68,
