date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Turkey,monthly,1,,,,,,,37662.5,39190.6,36826.0,38591.0,38079.0,57371.0,,5426.2,343537.571,2686804.0,12.738,35.461,57035288.929,51794891.357,25941169.786,66.832,60.692,30.397,85341248.0,36826.0,39190.6,38067.525,
2022-01-16,Turkey,monthly,2,,,,,,,39732.0,40335.2,37338.0,41141.75,39059.0,53885.0,,5333.4,475145.572,2851692.0,16.663,32.567,57200825.714,52044685.0,28993597.857,67.026,60.984,33.974,85341248.0,37338.0,41141.75,39636.738,
2022-01-23,Turkey,monthly,3,,,,,,,41801.5,41479.8,37850.0,43692.5,40039.0,50399.0,,5240.6,474869.286,2816001.0,16.863,33.556,57309547.429,52217534.143,30731265.0,67.153,61.187,36.01,85341248.0,37850.0,43692.5,41205.95,
2022-01-30,Turkey,monthly,4,,,,,,,43871.0,42624.4,38362.0,46243.25,41019.0,46913.0,,5147.8,525643.0,2902130.0,18.103,33.347,57381815.286,52333766.286,31684513.571,67.238,61.323,37.127,85341248.0,38362.0,46243.25,42775.162,
2022-02-06,Turkey,monthly,5,,,,,,34918.0,42367.8,43769.0,38874.0,48794.0,41999.0,44406.5,,5055.0,675096.572,3082708.0,21.886,33.286,57461950.143,52461282.571,32577327.714,67.332,61.472,38.173,85341248.0,34918.0,48794.0,41744.56,
2022-02-13,Turkey,monthly,6,,,,,,34406.0,40864.6,41874.0,37924.0,45756.0,40248.5,41900.0,,5548.5,703303.857,3099912.0,22.689,35.677,57538428.571,52582472.571,33500237.143,67.422,61.614,39.254,85341248.0,34406.0,45756.0,40164.92,
2022-02-20,Turkey,monthly,7,,,,,,33894.0,39361.4,39979.0,36974.0,42718.0,38498.0,39393.5,,6042.0,616682.715,3154703.0,19.553,36.613,57603327.571,52683325.0,34278499.857,67.498,61.733,40.166,85341248.0,33894.0,42718.0,38585.28,
2022-02-27,Turkey,monthly,8,,,,,,33382.0,37858.2,38084.0,36024.0,39680.0,36747.5,36887.0,,6535.5,569472.286,3192080.0,17.833,36.576,57657885.0,52769597.571,34888379.286,67.562,61.834,40.881,85341248.0,33382.0,39680.0,37005.64,
2022-03-06,Turkey,monthly,9,,,,,,32870.0,36355.0,36189.0,35074.0,36642.0,34997.0,38117.2,,7029.0,413005.571,2876550.0,14.295,23.01,57700504.429,52838563.143,35307967.429,67.612,61.914,41.373,85341248.0,32870.0,36642.0,35426.0,
2022-03-13,Turkey,monthly,10,,,,,,33881.0,35880.0,36377.5,35405.25,36728.5,35523.0,39347.4,,6168.75,240915.0,2541276.0,9.449,17.59,57727805.571,52885068.857,35555015.429,67.643,61.969,41.662,85341248.0,33881.0,36728.5,35654.45,
2022-03-20,Turkey,monthly,11,,,,,,34892.0,35405.0,36566.0,35736.5,36815.0,36049.0,40577.6,,5308.5,160231.714,2264334.0,7.063,17.59,57746533.857,52917016.429,35707378.571,67.665,62.006,41.841,85341248.0,34892.0,36815.0,35882.9,
2022-03-27,Turkey,monthly,12,,,,,,35903.0,34930.0,36754.5,36067.75,36901.5,36575.0,41807.8,,4448.25,117466.429,2047920.0,5.729,17.59,57764983.143,52949206.0,35944037.143,67.687,62.044,42.118,85341248.0,34930.0,36901.5,36111.35,
2022-04-03,Turkey,monthly,13,,,,,,36914.0,34455.0,36943.0,36399.0,36988.0,37101.0,43038.0,,3588.0,100390.857,1914624.0,5.241,17.59,57780287.857,52975846.286,36212015.571,67.705,62.075,42.432,85341248.0,34455.0,36988.0,36339.8,
2022-04-10,Turkey,monthly,14,,,,,,37925.0,34006.5,36233.75,35966.8,36592.2,37627.0,45048.0,,2875.5,78203.857,1621114.0,4.805,17.59,57791526.286,52994114.857,36379269.429,67.718,62.097,42.628,85341248.0,34006.5,37925.0,36144.85,
2022-04-17,Turkey,monthly,15,,,,,,37189.5,33558.0,35524.5,35534.6,36196.4,37799.25,47058.0,,2163.0,45556.571,1306272.0,3.469,17.59,57801207.714,53009433.0,36480916.429,67.73,62.115,42.747,85341248.0,33558.0,37189.5,35600.6,
2022-04-24,Turkey,monthly,16,,,,,,36454.0,33109.5,34815.25,35102.4,35800.6,37971.5,49068.0,,1450.5,27991.858,1130525.0,2.468,17.59,57809595.429,53022062.857,36564522.929,67.739,62.129,42.845,85341248.0,33109.5,36454.0,35056.35,
2022-05-01,Turkey,monthly,17,,,,,,35718.5,32661.0,34106.0,34670.2,35404.8,38143.75,51078.0,,738.0,17949.715,954997.0,1.873,14.419,57816745.286,53031871.857,36629093.0,67.748,62.141,42.921,85341248.0,32661.0,35718.5,34512.1,
2022-05-08,Turkey,monthly,18,,,,,,34983.0,32781.0,34141.0,34238.0,35009.0,38316.0,50091.2,,629.2,10991.713,768114.0,1.425,13.89,57820945.143,53037847.286,36662460.0,67.753,62.148,42.96,85341248.0,32781.0,35009.0,34230.4,
2022-05-15,Turkey,monthly,19,,,,,,34611.5,32901.0,34176.0,34214.75,35144.0,37502.0,49104.4,,520.4,11049.572,823809.0,1.344,13.89,57828214.714,53047507.571,36725063.857,67.761,62.159,43.033,85341248.0,32901.0,35144.0,34209.45,
2022-05-22,Turkey,monthly,20,,,,,,34240.0,33021.0,34211.0,34191.5,35279.0,36688.0,48117.6,,411.6,9667.858,920819.0,1.05,13.89,57834652.143,53055586.286,36772510.214,67.769,62.169,43.089,85341248.0,33021.0,35279.0,34188.5,
2022-05-29,Turkey,monthly,21,,,,,,33868.5,33141.0,34246.0,34168.25,35414.0,35874.0,47130.8,,302.8,8174.0,926685.0,0.882,13.89,57840235.571,53062566.0,36805758.857,67.775,62.177,43.128,85341248.0,33141.0,35414.0,34167.55,
2022-06-05,Turkey,monthly,22,,,,,,33497.0,33261.0,34281.0,34145.0,35549.0,35060.0,46144.0,,194.0,5596.143,270276.0,0.781,11.904,57844739.198,53069059.022,36827903.198,67.781,62.185,43.154,85341248.0,33261.0,35549.0,34146.6,
2022-06-12,Turkey,monthly,23,,,,,,32915.6,33420.0,33953.5,33866.5,35282.5,34770.6,44104.75,,162.25,4801.286,,,11.11,57848614.231,53074657.692,36844072.231,67.785,62.191,43.173,85341248.0,32915.6,35282.5,33887.62,
2022-06-19,Turkey,monthly,24,,,,,,32334.2,33579.0,33626.0,33588.0,35016.0,34481.2,42065.5,,130.5,6476.574,,,11.11,57852491.857,53080259.571,36858783.143,67.79,62.198,43.19,85341248.0,32334.2,35016.0,33628.64,
2022-06-26,Turkey,monthly,25,,,,,,31752.8,33738.0,33298.5,33309.5,34749.5,34191.8,40026.25,,98.75,1079.429,,,11.11,57855751.857,53084604.929,36869304.071,67.793,62.203,43.202,85341248.0,31752.8,34749.5,33369.66,
2022-07-03,Turkey,monthly,26,,,,,,31171.4,33897.0,32971.0,33031.0,34483.0,33902.4,37987.0,,67.0,29978.999,,,11.11,57858582.143,53088114.571,36881017.214,67.797,62.207,43.216,85341248.0,31171.4,34483.0,33110.68,
2022-07-10,Turkey,monthly,27,,,,,,30590.0,34079.75,33660.8,33662.0,34516.6,33613.0,39409.5,,127.5,64723.0,,,11.11,57861244.929,53091443.286,36902957.143,67.8,62.211,43.242,85341248.0,30590.0,34516.6,33301.83,
2022-07-17,Turkey,monthly,28,,,,,,31406.0,34262.5,34350.6,34293.0,34550.2,34928.0,40832.0,,188.0,83639.285,,,11.11,57863753.714,53094303.571,37243595.571,67.803,62.214,43.641,85341248.0,31406.0,34550.2,33772.46,
2022-07-24,Turkey,monthly,29,,,,,,32222.0,34445.25,35040.4,34924.0,34583.8,36243.0,42254.5,,248.5,195264.284,,,11.11,57871373.0,53101736.857,38192155.143,67.812,62.223,44.752,85341248.0,32222.0,35040.4,34243.09,
2022-07-31,Turkey,monthly,30,,,,,,33038.0,34628.0,35730.2,35555.0,34617.4,37558.0,43677.0,,309.0,221333.715,,,11.11,57881878.286,53112153.714,39243319.857,67.824,62.235,45.984,85341248.0,33038.0,35730.2,34713.72,
2022-08-07,Turkey,monthly,31,,,,,,33854.0,34600.6,36420.0,36186.0,34651.0,38873.0,45596.4,,459.0,324905.716,,,11.11,57891016.429,53121295.571,39939964.286,67.835,62.246,46.8,85341248.0,33854.0,36420.0,35142.32,
2022-08-14,Turkey,monthly,32,,,,,,33940.2,34573.2,35733.75,36141.25,34778.0,39639.0,47515.8,,609.0,290230.0,,,11.11,57899009.0,53129029.143,40395847.571,67.844,62.255,47.334,85341248.0,33940.2,36141.25,35033.28,
2022-08-21,Turkey,monthly,33,,,,,,34026.4,34545.8,35047.5,36096.5,34905.0,40405.0,49435.2,,759.0,355491.284,,,11.11,57905516.714,53135814.143,40689542.571,67.852,62.263,47.679,85341248.0,34026.4,36096.5,34924.24,
2022-08-28,Turkey,monthly,34,,,,,,34112.6,34518.4,34361.25,36051.75,35032.0,41171.0,51354.6,,909.0,20539.714,,,11.11,57910745.0,53141806.429,40861653.0,67.858,62.27,47.88,85341248.0,34112.6,36051.75,34815.2,
