date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Ukraine,monthly,1,,,,,,,52144.0,54722.2,49383.0,52561.0,47350.0,65177.5,,,,,,,,,,,,,,49383.0,54722.2,52202.55,
2020-01-12,Ukraine,monthly,2,,,,,,,53508.0,55579.4,50500.0,54969.75,48915.0,62692.0,,,,,,,,,,,,,,50500.0,55579.4,53639.2875,
2020-01-19,Ukraine,monthly,3,,,,,,,54872.0,56436.6,51617.0,57378.5,50480.0,60206.5,,,,,,,,,,,,,,51617.0,57378.5,55076.025,
2020-01-26,Ukraine,monthly,4,,,,,,,56236.0,57293.8,52734.0,59787.25,52045.0,57721.0,,,,,,,,,,,,,,52734.0,59787.25,56512.7625,
2020-02-02,Ukraine,monthly,5,,,,,,55287.0,54748.0,58151.0,53851.0,62196.0,53610.0,56138.5,,,,,,,,,,,,,,53851.0,62196.0,56846.6,
2020-02-09,Ukraine,monthly,6,,,,,,54072.25,53260.0,55452.25,52160.25,58619.75,51989.5,54556.0,,,,,,,,,,,,,,52160.25,58619.75,54712.9,
2020-02-16,Ukraine,monthly,7,,,,,,52857.5,51772.0,52753.5,50469.5,55043.5,50369.0,52973.5,,,,,,,,,,,,,,50469.5,55043.5,52579.2,
2020-02-23,Ukraine,monthly,8,,,,,,51642.75,50284.0,50054.75,48778.75,51467.25,48748.5,51391.0,,,,,,,,,,,,,,48778.75,51642.75,50445.5,
2020-03-01,Ukraine,monthly,9,,,,,,50428.0,48796.0,47356.0,47088.0,47891.0,47128.0,54100.4,,,,,,,,,,,,,,47088.0,50428.0,48311.8,
2020-03-08,Ukraine,monthly,10,,,,,,51754.2,49188.75,47951.25,48838.0,48212.5,47367.6,56809.8,,,0.143,,11.11,,,,43466822.0,,,,,47951.25,51754.2,49188.94,
2020-03-15,Ukraine,monthly,11,,,,,,53080.4,49581.5,48546.5,50588.0,48534.0,47607.2,59519.2,,,0.143,,33.332857142857144,,,,43466822.0,,,,,48534.0,53080.4,50066.08,
2020-03-22,Ukraine,monthly,12,,,,,,54406.6,49974.25,49141.75,52338.0,48855.5,47846.8,62228.6,,,3.8162857142857143,,83.86285714285714,,,,43466822.0,,,,,48855.5,54406.6,50943.22,
2020-03-29,Ukraine,monthly,13,,,,,,55732.8,50367.0,49737.0,54088.0,49177.0,48086.4,64938.0,,,29.632714285714286,,88.89,,,,43466822.0,,,,,49177.0,55732.8,51820.36,
2020-04-05,Ukraine,monthly,14,,,,,,57059.0,49652.75,49065.25,52983.8,48917.4,48326.0,65858.75,,17.0,98.71428571428571,,88.89,,,,43466822.0,,,,,48917.4,57059.0,51535.64,48309.0
2020-04-12,Ukraine,monthly,15,,,,,,56422.75,48938.5,48393.5,51879.6,48657.8,47800.25,66779.5,,73.75,149.857,,88.89,,,,43466822.0,,,,,48393.5,56422.75,50858.43000000001,47726.5
2020-04-19,Ukraine,monthly,16,,,,,,55786.5,48224.25,47721.75,50775.4,48398.2,47274.5,67700.25,,130.5,322.12242857142854,3440.5,88.89,,,,43466822.0,9.362663234164469,,,,47721.75,55786.5,50181.219999999994,47144.0
2020-04-26,Ukraine,monthly,17,,,,,,55150.25,47510.0,47050.0,49671.2,48138.6,46748.75,68621.0,,187.25,415.7142857142857,4187.285714285715,88.89,,,,43466822.0,9.928013373818702,,,,47050.0,55150.25,49504.01,46561.5
2020-05-03,Ukraine,monthly,18,,,,,,54514.0,47951.4,47894.8,48567.0,47879.0,46223.0,66355.4,,244.0,467.14300000000003,5351.285714285715,88.89,,,,43466822.0,8.729546971355347,,,,47879.0,54514.0,49361.240000000005,45979.0
2020-05-10,Ukraine,monthly,19,,,,,,53403.0,48392.8,48739.6,49082.0,49357.0,45837.25,64089.8,,294.75,472.7347142857143,5983.857142857143,88.89,,,,43466822.0,7.9001671162890625,,,,48392.8,53403.0,49794.88,45542.5
2020-05-17,Ukraine,monthly,20,,,,,,52292.0,48834.2,49584.4,49597.0,50835.0,45451.5,61824.2,,345.5,456.77542857142856,7159.0,88.89,,,,43466822.0,6.380436214156007,,,,48834.2,52292.0,50228.520000000004,45106.0
2020-05-24,Ukraine,monthly,21,,,,,,51181.0,49275.6,50429.2,50112.0,52313.0,45065.75,59558.6,,396.25,402.4488571428571,7879.857142857143,86.50714285714285,,,,43466822.0,5.10731159013035,,,,49275.6,52313.0,50662.159999999996,44669.5
2020-05-31,Ukraine,monthly,22,,,,,,50070.0,49717.0,51274.0,50627.0,53791.0,44680.0,57293.0,,447.0,380.83671428571427,9325.285714285714,83.33,,,,43466822.0,4.0839147019624065,,,,49717.0,53791.0,51095.8,44233.0
2020-06-07,Ukraine,monthly,23,,,,,,49226.2,49083.0,49596.75,48919.25,51192.25,45152.6,55239.0,,450.6,515.551,9737.714285714286,76.39,,,,43466822.0,5.294373863036207,,,,48919.25,51192.25,49603.490000000005,44702.0
2020-06-14,Ukraine,monthly,24,,,,,,48382.4,48449.0,47919.5,47211.5,48593.5,45625.2,53185.0,,454.2,543.9797142857143,9464.0,76.39,,,,43466822.0,5.747883709696897,,,,47211.5,48593.5,48111.18,45171.0
2020-06-21,Ukraine,monthly,25,,,,,,47538.6,47815.0,46242.25,45503.75,45994.75,46097.8,51131.0,,457.8,726.0204285714286,10314.285714285714,68.06,,,,43466822.0,7.038979224376732,,,,45503.75,47815.0,46618.87,45640.0
2020-06-28,Ukraine,monthly,26,,,,,,46694.8,47181.0,44565.0,43796.0,43396.0,46570.4,49077.0,,461.4,859.8162857142858,10845.0,41.67,,,,43466822.0,7.928227622999408,,,,43396.0,47181.0,45126.56,46109.0
2020-07-05,Ukraine,monthly,27,,,,,,45851.0,46507.0,44165.2,44306.8,44302.8,47043.0,48520.5,,465.0,855.3468571428572,10496.714285714286,41.67,,,,43466822.0,8.148710480830736,,,,44165.2,46507.0,45026.56,46578.0
2020-07-12,Ukraine,monthly,28,,,,,,46461.0,45833.0,43765.4,44817.6,45209.6,47106.5,47964.0,,484.75,771.0815714285715,11398.42857142857,41.67,,,,43466822.0,6.764805925628847,,,,43765.4,46461.0,45217.32,46621.75
2020-07-19,Ukraine,monthly,29,,,,,,47071.0,45159.0,43365.6,45328.4,46116.4,47170.0,47407.5,,504.5,763.0614285714286,11493.57142857143,41.67,,,,43466822.0,6.6390280280902365,,,,43365.6,47071.0,45408.08,46665.5
2020-07-26,Ukraine,monthly,30,,,,,,47681.0,44485.0,42965.8,45839.2,47023.2,47233.5,46851.0,,524.25,814.796,11773.0,41.67,,,,43466822.0,6.9208867748237495,,,,42965.8,47681.0,45598.840000000004,46709.25
2020-08-02,Ukraine,monthly,31,,,,,,48291.0,44562.2,42566.0,46350.0,47930.0,47297.0,46188.4,,544.0,996.7755714285714,13112.142857142857,43.652857142857144,,,,43466822.0,7.601927330173776,,,,42566.0,48291.0,45939.840000000004,46753.0
2020-08-09,Ukraine,monthly,32,,,,,,47206.2,44639.4,43376.0,46073.75,46537.25,46639.2,45525.8,,612.8,1191.550857142857,14777.57142857143,57.87,,,,43466822.0,8.063238691839949,,,,43376.0,47206.2,45566.52,46026.399999999994
2020-08-16,Ukraine,monthly,33,,,,,,46121.4,44716.6,44186.0,45797.5,45144.5,45981.4,44863.2,,681.6,1388.0204285714285,16656.85714285714,57.87,,,,43466822.0,8.33302715312441,,,,44186.0,46121.4,45193.2,45299.8
2020-08-23,Ukraine,monthly,34,,,,,,45036.6,44793.8,44996.0,45521.25,43751.75,45323.6,44200.6,,750.4,1798.2652857142857,17602.571428571428,57.87,,,,43466822.0,10.21592380983298,,,,43751.75,45521.25,44819.88,44573.2
2020-08-30,Ukraine,monthly,35,,,,,,43951.8,44871.0,45806.0,45245.0,42359.0,44665.8,43538.0,,819.2,2031.836857142857,16954.714285714286,61.44,,,,43466822.0,11.983905024308452,,,,42359.0,45806.0,44446.56,43846.600000000006
2020-09-06,Ukraine,monthly,36,,,,,,42867.0,44343.25,44846.0,44401.25,42270.0,44008.0,44759.75,,888.0,2334.653142857143,20561.714285714286,64.61428571428571,,,,43466822.0,11.354370119222965,,,,42270.0,44846.0,43745.5,43120.0
2020-09-13,Ukraine,monthly,37,,,,,,43060.75,43815.5,43886.0,43557.5,42181.0,45099.0,45981.5,,1070.0,2577.5104285714287,23008.428571428572,62.762857142857136,,,,43466822.0,11.202461830757674,,,,42181.0,43886.0,43300.15,44029.0
2020-09-20,Ukraine,monthly,38,,,,,,43254.5,43287.75,42926.0,42713.75,42092.0,46190.0,47203.25,,1252.0,2964.2042857142856,24905.714285714286,64.35,,,,43466822.0,11.901703567741194,,,,42092.0,43287.75,42854.8,44938.0
2020-09-27,Ukraine,monthly,39,,,,,,43448.25,42760.0,41966.0,41870.0,42003.0,47281.0,48425.0,,1434.0,3264.204142857143,25254.14285714286,64.35,,,,43466822.0,12.925420440210658,,,,41870.0,43448.25,42409.45,45847.0
2020-10-04,Ukraine,monthly,40,,,,,,43642.0,43806.8,43383.6,44095.8,41914.0,48372.0,54889.25,,1616.0,3707.755142857143,24855.714285714286,59.59285714285714,,,,43466822.0,14.917113627219955,,,,41914.0,44095.8,43368.44,46756.0
2020-10-11,Ukraine,monthly,41,,,,,,44961.25,44853.6,44801.2,46321.6,43996.75,51040.75,61353.5,,2006.5,4663.979428571429,26933.0,58.8,,,,43466822.0,17.31696962303282,,,,43996.75,46321.6,44986.88,49034.25
2020-10-18,Ukraine,monthly,42,,,,,,46280.5,45900.4,46218.8,48547.4,46079.5,53709.5,67817.75,,2397.0,5415.632571428571,29873.85714285714,58.8,,,,43466822.0,18.12833389920475,,,,45900.4,48547.4,46605.32,51312.5
2020-10-25,Ukraine,monthly,43,,,,,,47599.75,46947.2,47636.4,50773.2,48162.25,56378.25,74282.0,,2787.5,6137.122571428571,30553.85714285714,58.8,,,,43466822.0,20.086244897768342,,,,46947.2,50773.2,48223.759999999995,53590.75
2020-11-01,Ukraine,monthly,44,,,,,,48919.0,47994.0,49054.0,52999.0,50245.0,59047.0,,,3178.0,7140.877571428571,37342.28571428572,58.8,,,,43466822.0,19.1227650767418,,,,47994.0,52999.0,49842.2,55869.0
2020-11-08,Ukraine,monthly,45,,,,,,48552.6,48457.75,48873.5,52405.0,49430.25,59925.2,,,3608.8,8761.979571428572,41152.42857142857,58.8,,,,43466822.0,21.291524888307233,,,,48457.75,52405.0,49543.82,56316.399999999994
2020-11-15,Ukraine,monthly,46,,,,,,48186.2,48921.5,48693.0,51811.0,48615.5,60803.4,,,4039.6,10388.347,46178.28571428572,59.98714285714285,,,,43466822.0,22.496172907488983,,,,48186.2,51811.0,49245.44,56763.8
2020-11-22,Ukraine,monthly,47,,,,,,47819.8,49385.25,48512.5,51217.0,47800.75,61681.6,,,4470.4,12086.836714285715,39799.28571428572,61.57,,,,43466822.0,30.369481505411077,,,,47800.75,51217.0,48947.06,57211.2
2020-11-29,Ukraine,monthly,48,,,,,,47453.4,49849.0,48332.0,50623.0,46986.0,62559.8,,,4901.2,13661.652857142859,43004.28571428572,61.57,,,,43466822.0,31.768119456532574,,,,46986.0,50623.0,48648.68,57658.600000000006
2020-12-06,Ukraine,monthly,49,,,,,,47087.0,50853.0,48315.5,51010.6,47058.8,63438.0,,,5332.0,13829.244999999999,40282.857142857145,61.57,,,,43466822.0,34.330347897013965,,,,47058.8,51010.6,48864.98,58106.0
2020-12-13,Ukraine,monthly,50,,,,,,48010.25,51857.0,48299.0,51398.2,47131.6,64494.25,,,5636.5,12560.306142857142,37902.57142857143,61.57,,,,43466822.0,33.13840108850511,,,,47131.6,51857.0,49339.21000000001,58857.75
2020-12-20,Ukraine,monthly,51,,,,,,48933.5,52861.0,48282.5,51785.8,47204.4,65550.5,,,5941.0,10943.143,35387.71428571428,59.58714285714286,,,,43466822.0,30.923565482774496,,,,47204.4,52861.0,49813.439999999995,59609.5
2020-12-27,Ukraine,monthly,52,,,,,,49856.75,53865.0,48266.0,52173.4,47277.2,66606.75,,,6245.5,10089.938571428573,31248.0,54.63,,,,43466822.0,32.28986998025017,,,,47277.2,53865.0,50287.67,60361.25
